nu,[0]Isovaleraldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
500,0.5670884448666623
500.241054,0.6986956774525325
500.482108,0.6791929662310326
500.723162,0.7274063621804584
500.964216,0.8314367920628752
501.20527,0.6720853080587618
501.446324,0.725720735503205
501.687378,0.733967888472273
501.928432,0.773329546321455
502.169486,0.6958855999816838
502.41054,0.7213073136385997
502.651594,0.6861973571454434
502.892648,0.7380379743106324
503.133702,0.7573725549830973
503.374756,0.7589115828544875
503.61581,0.8031369754046818
503.856864,0.7795487908094206
504.097918,0.7647624624301655
504.338972,0.69160520442923
504.580026,0.6982556378027813
504.82108,0.7498065792841735
505.062134,0.7659947216972098
505.303188,0.7489897353735594
505.544242,0.7582895304328954
505.785296,0.7955830793609804
506.02635,0.7528795681719503
506.267404,0.7494692422300254
506.508458,0.7649919255866471
506.749512,0.8016926291505555
506.990566,0.8125238592326325
507.23162,0.7417374050518946
507.472674,0.7462086695475305
507.713728,0.8018369468120025
507.954782,0.7580544971105083
508.195836,0.7752420312474294
508.43689,0.8308965337510072
508.677944,0.7687495847685706
508.918998,0.7965144563131029
509.160052,0.7064449494447466
509.401106,0.7451274510495361
509.64216,0.7464922827250495
509.883214,0.7341587449335406
510.124268,0.7989155766999219
510.365322,0.8251995855723193
510.606376,0.8127920363529704
510.84743,0.7885574621222573
511.088484,0.7914646996189474
511.329538,0.8340766286240432
511.570592,0.845785075097306
511.811646,0.8303566264929373
512.0527,0.7771747891902667
512.293754,0.8355291853156908
512.534808,0.8146147311704672
512.775862,0.7768406758704267
513.016916,0.7575240446425549
513.25797,0.7678046040615786
513.499024,0.7274936561814553
513.740078,0.7006127287696858
513.981132,0.6309491538229335
514.222186,0.7136590155305695
514.46324,0.7365118158227973
514.704294,0.7863919081029476
514.945348,0.765879831105965
515.186402,0.7502641008274206
515.427456,0.766991162381529
515.66851,0.7148446733200491
515.909564,0.724249016710109
516.150618,0.6971184082070754
516.391672,0.7562902862360532
516.632726,0.7098369380798599
516.87378,0.7122972277322484
517.114834,0.6769756325478394
517.355888,0.773159432534467
517.596942,0.7438171801123383
517.837996,0.7533841665041907
518.07905,0.7114572127098573
518.320104,0.7028653090862105
518.561158,0.7073285577717037
518.802212,0.718305724802975
519.043266,0.7202333660309351
519.28432,0.7431629089153884
519.525374,0.7433784574119953
519.766428,0.8006350930074854
520.007482,0.7178389777910654
520.248536,0.7619075927547003
520.48959,0.7415816565509986
520.730644,0.7455522947655908
520.971698,0.664892437186983
521.212752,0.746402709025652
521.453806,0.6954960131401908
521.69486,0.6978856603674268
521.935914,0.7223684151081508
522.176968,0.7425463396126455
522.418022,0.7843970072529707
522.659076,0.7360626806153107
522.90013,0.7833779536718862
523.141184,0.7211991256558554
523.382238,0.721783533600902
523.623292,0.710817189272167
523.864346,0.7454031992166896
524.1054,0.7532259724401829
524.346454,0.7647548148437793
524.587508,0.771090139346687
524.828562,0.7776878938570466
525.069616,0.7587218786727846
525.31067,0.6977321424097405
525.551724,0.6933502473750267
525.792778,0.6758933376026086
526.033832,0.7701576845270107
526.274886,0.7304021544650643
526.51594,0.7586915304046071
526.756994,0.7541831771214983
526.998048,0.810543717771102
527.239102,0.7563583554248821
527.480156,0.758661183350336
527.72121,0.7630436812436433
527.962264,0.8003389128197863
528.203318,0.7181548964382991
528.444372,0.7369759644582341
528.685426,0.769003313994564
528.92648,0.7637612795223642
529.167534,0.7837383904246727
529.408588,0.775769375105269
529.649642,0.7937791540007354
529.890696,0.7995629604720809
530.13175,0.7689417961901894
530.372804,0.8040369927327569
530.613858,0.7407515500420803
530.854912,0.7723094247486704
531.095966,0.8093935624953772
531.33702,0.8190173589946688
531.578074,0.8235673068820549
531.819128,0.8411376148446232
532.060182,0.8221684318410359
532.301236,0.8359721331547167
532.54229,0.8469615338010708
532.783344,0.7705582706663344
533.024398,0.7933902974928998
533.265452,0.8136540526994547
533.506506,0.7809610518314517
533.74756,0.8324351150873666
533.988614,0.8506878682540595
534.229668,0.8451087176162929
534.470722,0.8376876338150782
534.711776,0.844601804474873
534.95283,0.8240945586610319
535.193884,0.8407171511618813
535.434938,0.7896306298593939
535.675992,0.8552940081273749
535.917046,0.8236990881933798
536.1581,0.8719004713042492
536.399154,0.851998936834867
536.640208,0.8755176215901663
536.881262,0.8928648976292148
537.122316,0.8921687345479612
537.36337,0.859778913594752
537.604424,0.8575721187328492
537.845478,0.8824704280746375
538.086532,0.8486147201247951
538.327586,0.8589711011473051
538.56864,0.8492174505200543
538.809694,0.9106906602805895
539.050748,0.8517518929662773
539.291802,0.872388872307697
539.532856,0.9024698468732579
539.77391,0.8714384864912477
540.014964,0.8645985360160838
540.256018,0.8840072632783711
540.497072,0.8861491514949341
540.738126,0.8807865182028651
540.97918,0.9078700748421481
541.220234,0.8979777394664967
541.461288,0.9125585784721693
541.702342,0.9242626449036153
541.943396,0.9069925888126483
542.18445,0.9213926532282571
542.425504,0.892936329678269
542.666558,0.8789124395214309
542.907612,0.8903505654924609
543.148666,0.9004055554397221
543.38972,0.8908225763640039
543.630774,0.86992350194354
543.871828,0.930092718958028
544.112882,0.937260519158922
544.353936,0.904367024891398
544.59499,0.9227683971166065
544.836044,0.9159559545651204
545.077098,0.9059800437026669
545.318152,0.8984537938116718
545.559206,0.9249450024945352
545.80026,0.91295015008844
546.041314,0.9167320979089421
546.282368,0.9466773039416914
546.523422,0.9057590115390242
546.764476,0.9334573549604412
547.00553,0.9544099336362778
547.246584,0.9176015720033638
547.487638,0.9136826297939118
547.728692,0.9281731310177933
547.969746,0.9368013740042838
548.2108,0.9185683153597327
548.451854,0.9422166890690041
548.692908,0.9171575603020137
548.933962,0.9324898614154514
549.175016,0.9529574736363916
549.41607,0.9432650167894361
549.657124,0.9358416445413054
549.898178,0.93020898781455
550.139232,0.9054855136178042
550.380286,0.9251836690918459
550.62134,0.9330793812765197
550.862394,0.9427341080498174
551.103448,0.9527106896106307
551.344502,0.9616660788077513
551.585556,0.9671119691543577
551.82661,0.9427265662071204
552.067664,0.931309144902898
552.308718,0.9432103090050035
552.549772,0.9533864010009468
552.790826,0.9549407331079586
553.03188,0.9381006809203496
553.272934,0.9506474501952217
553.513988,0.9672986397775403
553.755042,0.9526220916363665
553.996096,0.9665096460407061
554.23715,0.9633061547539
554.478204,0.9457556891469167
554.719258,0.9716719805956577
554.960312,0.9383830917260005
555.201366,0.9349820011366182
555.44242,0.946564656045205
555.683474,0.963850576516001
555.924528,0.9608374798252877
556.165582,0.9685666313487946
556.406636,0.9552645128940551
556.64769,0.9693621510692928
556.888744,0.9560070418557183
557.129798,0.9652269731140958
557.370852,0.9535084422707496
557.611906,0.9580186821509628
557.85296,0.9560883059079494
558.094014,0.9553524012720448
558.335068,0.9518717211129715
558.576122,0.9728260400353994
558.817176,0.9822946153421385
559.05823,0.9854429928285966
559.299284,0.9706279944596036
559.540338,0.973521859379797
