nu,[0]Methylacetoacetate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
520,0.9887270216184063
520.119602,0.9997632180372749
520.239205,0.984797739011988
520.358807,0.9817898456467775
520.47841,0.9894826976944268
520.598012,0.9818762469547961
520.717614,0.977961476309228
520.837217,0.9643702320113182
520.956819,0.9788821711774324
521.076422,0.9910645604531411
521.196024,0.9586329689841183
521.315626,0.9725760558674518
521.435229,0.9341315545274789
521.554831,0.9741821310072452
521.674433,0.9664207312434137
521.794036,0.9420009461507143
521.913638,0.9290488110986098
522.033241,0.9872361576825253
522.152843,0.9230840378799144
522.272445,0.9575867131416461
522.392048,0.9188898705389824
522.51165,0.9571970546502794
522.631253,0.9465656026103344
522.750855,0.9311554915707375
522.870457,0.895431100625247
522.99006,0.9529917807229663
523.109662,0.9592706719212186
523.229265,0.9571214390698167
523.348867,0.9443891146918573
523.468469,0.9237599827612868
523.588072,0.9520230807494006
523.707674,0.9111871219639627
523.827277,0.9261491390637753
523.946879,0.9111588756010027
524.066481,0.8969994769803893
524.186084,0.8991728444286186
524.305686,0.9448869389204624
524.425289,0.9360849950030753
524.544891,0.9070987131536923
524.664493,0.9398565704386894
524.784096,0.8854316613049789
524.903698,0.9243356645368003
525.0233,0.8503646682760079
525.142903,0.8829117736158655
525.262505,0.8846970579286693
525.382108,0.911651034264707
525.50171,0.86128484399832
525.621312,0.8762095537884547
525.740915,0.877393235491447
525.860517,0.8654376034779486
525.98012,0.9148766788527403
526.099722,0.8809362646390461
526.219324,0.859606975006465
526.338927,0.8728339041060365
526.458529,0.8384251233806517
526.578132,0.8484534986444969
526.697734,0.8685240519649365
526.817336,0.8618362427272511
526.936939,0.8575120907855406
527.056541,0.845810449030166
527.176144,0.8451171687457247
527.295746,0.8802846129440773
527.415348,0.836716479538232
527.534951,0.8237814622208319
527.654553,0.8330096935235409
527.774155,0.8474444394903841
527.893758,0.828341309492402
528.01336,0.8289627985037683
528.132963,0.8204190768057146
528.252565,0.8180514884867279
528.372167,0.844889017911912
528.49177,0.8314201634933202
528.611372,0.8630781808976541
528.730975,0.8331346543493972
528.850577,0.8322020658835533
528.970179,0.8165313269066746
529.089782,0.8014601719960184
529.209384,0.7813906985519764
529.328987,0.8296677164301733
529.448589,0.8352451536807975
529.568191,0.8024305257497634
529.687794,0.8043264981579905
529.807396,0.8195580888728365
529.926999,0.809846949826979
530.046601,0.8118578627639319
530.166203,0.7915201040870545
530.285806,0.780633117060805
530.405408,0.7905708496287356
530.525011,0.7980452331447279
530.644613,0.8107382716088938
530.764215,0.7758391974909887
530.883818,0.7723017016930382
531.00342,0.792161495099657
531.123022,0.7774468479739932
531.242625,0.8125157340346663
531.362227,0.7355917512131999
531.48183,0.7582895304328954
531.601432,0.7646706964407434
531.721034,0.7691648216482129
531.840637,0.7735461089117728
531.960239,0.7808673421279265
532.079842,0.7815001009077599
532.199444,0.7562449101801744
532.319046,0.7764911762096066
532.438649,0.7617171396641399
532.558251,0.7776956707748697
532.677854,0.7372929322661459
532.797456,0.7777578889172242
532.917058,0.7597544424119698
533.036661,0.8015643685910098
533.156263,0.7386064823983763
533.275866,0.759306319500205
533.395468,0.7878165663834142
533.51507,0.7598760128481312
533.634673,0.7357094553094706
533.754275,0.7502340908635907
533.873877,0.7643419587249481
533.99348,0.7472466208072083
534.113082,0.7603168687714422
534.232685,0.7455746616699357
534.352287,0.7612754718191912
534.471889,0.744576260701341
534.591492,0.7708588470004697
534.711094,0.7566836594530684
534.830697,0.7429102764763055
534.950299,0.7520819386480205
535.069901,0.7280977265706188
535.189504,0.7435568896527865
535.309106,0.7174371004996464
535.428709,0.7488099994062485
535.548311,0.7264686129515406
535.667913,0.736298258363537
