nu,[0]HFC-143a-PNNL(x-sec)-X=0.01-T=278.16K-P=1.0atm-L=15cm
500,1.0082302840945665
500.120002,1.0049144364239635
500.240005,0.997464420027142
500.360007,0.9997239880982955
500.48001,1.0079804755827209
500.600012,1.0010573586098823
500.720014,0.9881280345547166
500.840017,0.9966117531074773
500.960019,0.9973839278963469
501.080022,1.000747769440272
501.200024,0.9952352874292248
501.320026,0.9947435636651274
501.440029,0.9967302572898558
501.560031,0.9937015191148881
501.680034,1.003835436533479
501.800036,0.9979291471805419
501.920038,1.000458765200581
502.040041,0.9991777981932936
502.160043,1.0052265108035132
502.280046,1.0011379469708883
502.400048,1.0079380404979636
502.52005,0.9894945715580421
502.640053,1.0030651881115602
502.760055,0.9991024330544078
502.880058,1.002430148034594
503.00006,0.9942084361424914
503.120062,0.9892848209432226
503.240065,1.001248678951189
503.360067,1.0054327039052589
503.48007,1.0120358549194937
503.600072,1.0016819128314352
503.720074,0.9898241281184929
503.840077,1.0072955840402258
503.960079,1.0061868600444515
504.080082,0.9973189005841615
504.200084,0.9845673233007488
504.320086,0.9941786103367964
504.440089,0.9955160829081487
504.560091,0.9984974299903852
504.680094,0.99042196439566
504.800096,0.994601325505794
504.920098,1.0021254555851904
505.040101,1.0028885638841534
505.160103,0.9867288486870573
505.280106,0.9981225645908073
505.400108,0.9935165091169943
505.52011,0.9936002660890196
505.640113,1.0087093072385016
505.760115,0.9755781591364273
505.880118,0.9933903405322112
506.00012,0.9926326727893865
506.120122,0.9983430742197172
506.240125,0.9994363289222646
506.360127,0.9924709860967278
506.48013,1.0008509318372445
506.600132,1.003077325273766
506.720134,0.9931115349958115
506.840137,0.9997938412536355
506.960139,0.9941374521943079
507.080142,0.988816999871322
507.200144,0.9889415986628648
507.320146,0.9954640187785015
507.440149,0.9845013594998997
507.560151,1.00135812141272
507.680154,0.9967482982707832
507.800156,0.9933657047572508
507.920158,0.999826555043316
508.040161,0.995441621090054
508.160163,0.9922528649463763
508.280166,1.0050547322717107
508.400168,1.0018522132317405
508.52017,0.99143707250559
508.640173,1.003286589029269
508.760175,0.9778382609259453
508.880178,0.9797047776475696
509.00018,0.9869410181969301
509.120182,0.9950146682225445
509.240185,0.9849622139676796
509.360187,0.992832807709143
509.48019,0.9820363058274936
509.600192,1.0009183314083125
509.720194,0.9988387747444512
509.840197,0.9942030674314317
509.960199,0.9996839199638233
510.080202,0.9910769488375739
510.200204,0.9929801550307078
510.320206,0.9881389040228787
510.440209,0.9943391831482713
510.560211,0.9866282074772802
510.680214,0.9861162802941946
510.800216,0.9768081623562382
510.920218,0.9942941406034961
511.040221,0.9942071436723645
511.160223,1.0044503736293324
511.280226,0.98891687543194
511.400228,1.0026509074579117
511.52023,0.9910825979922824
511.640233,0.9850124483215571
511.760235,0.9956101636232274
511.880238,0.9867594377554948
512.00024,0.9990397413437067
512.120242,0.9961754323601915
512.240245,0.9935410492778393
512.360247,0.9825981912783458
512.48025,0.9906852535433739
512.600252,0.9934399119470002
