nu,[0]2-Vinylpyridine-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
540,1.0
540.135203,0.9931474862840927
540.270405,0.994979843318596
540.405608,0.9824724267589632
540.540811,0.9995049425813821
540.676014,0.9880055142748462
540.811216,1.0
540.946419,1.0
541.081622,0.9978100015535041
541.216824,1.0
541.352027,0.9824645670109882
541.48723,1.0
541.622432,0.9888961083956105
541.757635,0.9843271181800799
541.892838,0.9939739300334884
542.028041,0.994764254546436
542.163243,0.998924578680428
542.298446,1.0
542.433649,0.9870130675210268
542.568851,0.9783321939553057
542.704054,0.9819685476600751
542.839257,0.989695459345489
542.974459,1.0
543.109662,1.0
543.244865,0.9974563405980614
543.380068,1.0
543.51527,0.996194359873217
543.650473,0.9996100760401144
543.785676,0.9566621310218135
543.920878,0.9903071811418045
544.056081,0.9997969506173169
544.191284,1.0
544.326487,0.9953227724559005
544.461689,1.0
544.596892,0.9861843246650387
544.732095,0.9903625408605201
544.867297,0.9692923595069423
545.0025,0.972158910223623
545.137703,0.9863648129106232
545.272905,0.9783703496549012
545.408108,0.972560494775047
545.543311,0.9978564007973504
545.678514,0.9838380291510356
545.813716,0.9991503011986477
545.948919,0.9777170164989002
546.084122,0.9919880679954471
546.219324,0.9951545771202616
546.354527,0.9961822063761631
546.48973,0.9987003452836548
546.624932,0.9809664694209059
546.760135,0.9757108467886257
546.895338,0.9808536647633146
547.030541,0.9739785482170072
547.165743,0.9850754911355981
547.300946,0.9644830699293531
547.436149,0.9730021374849842
547.571351,0.9863421267808178
547.706554,0.9536009370755754
547.841757,0.9556705865965847
547.97696,0.9694435809099881
548.112162,0.9656199004474415
548.247365,0.9691973735101004
548.382568,0.9837829357640323
548.51777,0.9662951047142534
548.652973,0.9662429261874317
548.788176,0.9682151054674225
548.923378,0.9598473668745182
549.058581,0.9437244987273832
549.193784,0.972694717384473
549.328987,0.9442739062477229
549.464189,0.9694203145432437
549.599392,0.957363621428678
549.734595,0.9796038732521375
549.869797,0.9450192323522354
550.005,0.9558818131358954
550.140203,0.9354973181760512
550.275406,0.9547659949428295
550.410608,0.9618747829904375
550.545811,0.9606424496131194
550.681014,0.9627745564910948
550.816216,0.9570448724173981
