nu,[0]Furfural-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
550,0.9316845381249474
550.119002,0.9043579812663672
550.238005,0.9322120208370519
550.357007,0.9492984888052018
550.47601,0.9363424537756598
550.595012,0.924397597101042
550.714014,0.9276126837187813
550.833017,0.9529060153222022
550.952019,0.9110149238711438
551.071021,0.9106032381735308
551.190024,0.9140070447077288
551.309026,0.9379215208006298
551.428029,0.9408298255617384
551.547031,0.9484359685537225
551.666033,0.9302406154578026
551.785036,0.9692623119095377
551.904038,0.9257130255320752
552.02304,0.9324106031457552
552.142043,0.9548099151887549
552.261045,0.9426502084477886
552.380048,0.9248034967346201
552.49905,0.9309106298771785
552.618052,0.9620825703837941
552.737055,0.9566468245501693
552.856057,0.9378933835770663
552.97506,0.9842749502252793
553.094062,0.9443938366492356
553.213064,0.9682044551598391
553.332067,0.943857573263238
553.451069,0.9413474242924005
553.570071,0.9289336161882656
553.689074,0.9501161867725233
553.808076,0.9390711786852979
553.927079,0.945516443223448
554.046081,0.9538069371251882
554.165083,0.9539719599993778
554.284086,0.9535885403439723
554.403088,0.958430718765811
554.52209,0.9618209195107815
554.641093,0.9304555258611692
554.760095,0.9473288420302055
554.879098,0.9556638969258924
554.9981,0.946228685230657
555.117102,0.9554364759825897
555.236105,0.9501674944319033
555.355107,0.9484340716836823
555.474109,0.9516033311323835
555.593112,0.9526992571509502
555.712114,0.9563675244571986
555.831117,0.9611863271424217
555.950119,0.9470882510606765
556.069121,0.9357490008044365
556.188124,0.9575656464656913
556.307126,0.9786423744217959
556.426129,0.9565903840525318
556.545131,0.9589896467865384
556.664133,0.9664932155163832
556.783136,0.9580225142333555
556.902138,0.9837435852336176
557.02114,0.9754874345863845
557.140143,0.9793433332752056
557.259145,0.9686121550502667
557.378148,0.9666623666293893
557.49715,0.9859338656562144
557.616152,0.9661878519102709
557.735155,0.9510563164987609
557.854157,0.9537191909233598
557.973159,0.9820746059902692
558.092162,0.9639026258524523
558.211164,0.9556973457476358
558.330167,0.9631973073084094
558.449169,0.9617420534289352
558.568171,0.9578376337296509
558.687174,0.9680911818652024
558.806176,0.9713416682785311
558.925179,0.9755069445301751
559.044181,0.9786286735244605
559.163183,0.9715660741217804
559.282186,0.9812264599825303
559.401188,0.9706629376963786
559.52019,0.9494674789758881
559.639193,0.9662622512392053
559.758195,0.976519069927971
559.877198,0.9726451112188543
559.9962,0.9852892757119622
560.115202,0.9728659267207123
560.234205,0.9879778505077411
560.353207,0.9708881576224253
560.472209,0.9649355185800651
560.591212,0.9517517928317516
560.710214,0.9855888491846394
560.829217,0.9793070982422266
560.948219,0.9659840077798298
561.067221,0.9715408137322398
561.186224,0.9772468476986257
561.305226,0.9851631667558165
561.424228,0.9746576479038627
561.543231,0.9888743529205369
561.662233,0.9740681583654469
561.781236,0.9728824655820465
561.900238,0.9681144163323796
562.01924,0.9644155584773864
562.138243,0.9840790989980279
562.257245,0.9754620722427972
562.376248,0.9799320955238379
562.49525,0.9783703496549012
562.614252,0.9825117264420219
562.733255,0.9628554329506037
562.852257,0.9720062932554633
562.971259,0.9787911393685576
563.090262,0.9699051458982535
563.209264,0.9720665595138799
563.328267,0.9729641911415808
563.447269,0.9790652392597747
563.566271,0.9848952388143107
563.685274,0.9759382139031677
563.804276,0.9857435987814869
563.923278,0.9816003784907363
564.042281,0.962187443099425
564.161283,0.9867120744392112
564.280286,0.9868827903945935
564.399288,0.9707706872624532
564.51829,0.9810773248951667
564.637293,0.9798860397976663
564.756295,0.9752045842456363
564.875298,0.9859752757481779
564.9943,0.9746323071344486
565.113302,0.9851139098289121
565.232305,0.9815876177687608
565.351307,0.9684484734275498
565.470309,0.9839629845152355
565.589312,0.9739084242860274
565.708314,0.9746956602933677
565.827317,0.9917224491587877
565.946319,0.9729213816589861
566.065321,0.9564258646555485
566.184324,0.9862582912631014
566.303326,0.9720354538816682
566.422328,0.9745855259064646
566.541331,0.9754250053883267
566.660333,0.989688531501521
566.779336,0.9805104260509261
566.898338,0.9760211721770261
567.01734,0.9727122260469634
567.136343,0.9807751996087816
567.255345,0.9897281198345425
567.374347,0.9846726776406987
567.49335,0.9753674570107026
567.612352,0.9778333717468636
567.731355,0.9825421847776434
567.850357,0.9802545462234968
567.969359,0.9746722678782308
568.088362,0.9737808506387023
568.207364,0.9776524893052321
568.326367,0.9728435510617188
568.445369,0.9757176767884582
568.564371,0.9879699467165522
568.683374,0.975676697506604
568.802376,0.9790799253485091
568.921378,0.9827249546210806
569.040381,0.9765259055853852
569.159383,0.9810665331039479
569.278386,0.9643364796438677
569.397388,0.9741762859319943
569.51639,0.9715971647335995
569.635393,0.9766040307827983
569.754395,0.9767827656741753
569.873397,0.9731451793125113
569.9924,0.9696394282932517
570.111402,0.9805672973048875
570.230405,0.9732931086221095
570.349407,0.9743195003720299
570.468409,0.9789320954412203
570.587412,0.9825215516084121
570.706414,0.9680747244549991
570.825417,0.9791641298428304
570.944419,0.9660941362339194
571.063421,0.9662274664242911
571.182424,0.967995345582172
571.301426,0.9708881576224253
571.420428,0.970143771913941
571.539431,0.9607106576483986
571.658433,0.9689764216984038
571.777436,0.973899659149652
571.896438,0.9651845040616047
572.01544,0.9669862527701097
572.134443,0.9603802300189782
572.253445,0.9711843236735271
572.372447,0.9626465159899635
572.49145,0.9636713169804226
572.610452,0.969887687762751
572.729455,0.9601017601323578
572.848457,0.9649017464279309
572.967459,0.9636886632202439
573.086462,0.9636375890745701
573.205464,0.959996154747146
573.324466,0.9725177030547016
573.443469,0.9667948084456748
573.562471,0.9585879142933695
573.681474,0.9619132587512672
573.800476,0.9644541358712682
573.919478,0.958228511217798
574.038481,0.9551556189466582
574.157483,0.9661037972235865
574.276486,0.9637108283143957
574.395488,0.9624511185807255
574.51449,0.9609037798987218
574.633493,0.9570123334449016
574.752495,0.9540902598568574
574.871497,0.9594356806671345
574.9905,0.9555989139903462
575.109502,0.945353828380491
575.228505,0.9613074442498591
575.347507,0.9501874481587999
575.466509,0.9459921576265318
575.585512,0.9465807477811372
575.704514,0.9551441571480017
575.823516,0.9515262543842121
575.942519,0.9480547739196189
576.061521,0.9425559481400377
576.180524,0.9526687712624982
576.299526,0.9441379405949851
576.418528,0.947211380536557
576.537531,0.9445307836839698
576.656533,0.9429820797270807
576.775536,0.9465741217390939
576.894538,0.9424871440672027
577.01354,0.9443418964165894
577.132543,0.9429292742091843
577.251545,0.9426454952085295
577.370547,0.9403548264472008
577.48955,0.9428444143932544
577.608552,0.9375951808978278
577.727555,0.9411158813069794
