nu,[0]cis-1-3-Dichloropropene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.9915179770715677
600.119202,0.9890998419777784
600.238404,0.9890751147908202
600.357606,0.9935143233830785
600.476808,0.9947662440769347
600.59601,0.9892670139767088
600.715212,0.9917076726043808
600.834414,0.9918085344034202
600.953616,0.9905307186978525
601.072818,0.9928624938538991
601.19202,0.9949439251945783
601.311222,0.9899953825057348
601.430424,0.9959761175982831
601.549626,0.9913392224955111
601.668828,0.989055333486338
601.78803,0.9925837372048901
601.907232,0.9924750552361126
602.026434,0.9946257929993504
602.145636,0.9900503287742087
602.264838,0.9939511682911136
602.38404,0.9917269119198501
602.503242,0.9931873122967989
602.622444,0.9960220331556499
602.741646,0.9895292044741192
602.860848,0.9892106273639458
602.98005,0.9940216419272063
603.099252,0.99056083128941
603.218454,0.9948925874125644
603.337656,0.9930872040612593
603.456858,0.9933956055149682
603.57606,0.9903915589080796
603.695262,0.9929203794246388
603.814464,0.988090486402823
603.933666,0.9916665175899402
604.052868,0.9889613776926277
604.17207,0.9964785150232512
604.291272,0.9928706353597289
604.410474,0.9920288395428913
604.529676,0.9937864842269792
604.648878,0.9971055968849705
604.76808,0.9924091570802879
604.887282,0.9908157353833061
605.006484,0.9929481815844912
605.125686,0.9913497307469632
605.244888,0.9974118550373061
605.36409,0.989742965867685
605.483292,0.9901020107502585
605.602494,0.9879175856969555
605.721696,0.9931388459385476
605.840898,0.9913873036137598
605.9601,0.9973307687496938
606.079302,0.9992783005504147
606.198504,0.9914864473012229
606.317706,0.9915299745116747
606.436908,0.9939249283266398
606.55611,0.9923527898410105
606.675312,0.9906856498175546
606.794514,0.9919001817460411
606.913716,0.9928977410980658
607.032918,0.9945108209031949
607.15212,0.9952337945774133
607.271322,0.9934826307816623
607.390524,0.9915692398761144
607.509726,0.9968431932257067
607.628928,0.9962822280906893
607.74813,0.9961725434556264
607.867332,0.9915595225451787
607.986534,0.9945512983173155
608.105736,0.9934084204009351
608.224938,0.9959633691855678
608.34414,0.9924271198485936
608.463342,0.9905016965729708
608.582544,0.9943709030741439
608.701746,0.9961618844664372
608.820948,0.9957064437811204
608.94015,0.9914570005910239
609.059352,0.9960970364385846
609.178554,0.9942396547775163
609.297756,0.9940945063840093
609.416958,0.9940615029942567
609.53616,0.9923492173773975
609.655362,0.9924726732988383
609.774564,0.9946908436533458
609.893766,0.992560113993062
610.012968,0.9943511152900618
610.13217,0.991871020309373
610.251372,0.9914151619883996
610.370574,0.9949553671155089
610.489776,0.9928681531862432
610.608978,0.9939267173931209
610.72818,0.9966883954981534
610.847382,0.9925733151303654
610.966584,0.9941908388089086
611.085786,0.9939404336764631
611.204988,0.9916338922982004
611.32419,0.9931952578270794
611.443392,0.9949512878068664
611.562594,0.9938023849379323
611.681796,0.9902301382401194
611.800998,0.9954336575889393
611.9202,0.9952506141706668
612.039402,0.9880638083198459
612.158604,0.9930377495499245
612.277806,0.9983770184612895
612.397008,0.9947775844767572
612.51621,0.9887339427317815
612.635412,0.9936946625980613
612.754614,0.994449859258367
612.873816,0.9909877559259198
612.993018,0.9922536587489859
613.11222,0.9904873344024966
613.231422,0.9921903549849692
613.350624,0.9929639695860926
613.469826,0.9943363990024563
613.589028,0.9926368418553673
613.70823,0.9949956636238759
613.827432,0.9944574171060172
613.946634,0.9922883882348045
614.065836,0.9900502297691808
614.185038,0.9943259585250794
614.30424,0.9943348080654907
614.423442,0.9931521540882475
614.542644,0.9938258389509731
614.661846,0.9906891172233969
614.781048,0.9941217449466508
614.90025,0.9899627131971587
