nu,[0]Phenol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
550,0.6328005458083923
550.135003,0.6807160637077062
550.270005,0.6611794456184075
550.405008,0.6849427642844604
550.540011,0.6563638463302199
550.675014,0.6667500772896734
550.810016,0.6731009234705911
550.945019,0.6491509504704649
551.080022,0.6647860629072024
551.215024,0.690161259000554
551.350027,0.6498654093963503
551.48503,0.6800220873108546
551.620032,0.6870212882337992
551.755035,0.6581647493796375
551.890038,0.6914115820803837
552.025041,0.7123827085283214
552.160043,0.6736194107736575
552.295046,0.7080504009780823
552.430049,0.6962475545937173
552.565051,0.6683187824779693
552.700054,0.683294039733615
552.835057,0.684887971055076
552.970059,0.7102700707041083
553.105062,0.6846756886895157
553.240065,0.7085745521868345
553.375068,0.7217907514723273
553.51007,0.7036459227397244
553.645073,0.731447376701734
553.780076,0.6645401375629211
553.915078,0.6797773234195665
554.050081,0.7306578399614788
554.185084,0.6901888660030504
554.320086,0.741566825066183
554.455089,0.7358566119157026
554.590092,0.7410701417008961
554.725095,0.7093898816464326
554.860097,0.7382077425673249
554.9951,0.7402480102109973
555.130103,0.7409071242023042
555.265105,0.7208674503492228
555.400108,0.7820317017001622
555.535111,0.7016433868290552
555.670113,0.7250171276947228
555.805116,0.716841874759085
555.940119,0.7546433692038578
556.075122,0.716798865536889
556.210124,0.7504516903003345
556.345127,0.7499340572379709
556.48013,0.7360332386969283
556.615132,0.7317034280899586
556.750135,0.7669221362831357
556.885138,0.7373003052323334
557.02014,0.7346361032423908
557.155143,0.7638147446831894
557.290146,0.752036815085422
557.425149,0.765634788768876
557.560151,0.7488399524052808
557.695154,0.7368433207229259
557.830157,0.7456492228641003
557.965159,0.7457387061397331
558.100162,0.7687188354001714
558.235165,0.7310671229403954
558.370167,0.7421751592456638
558.50517,0.7870527548225186
558.640173,0.7700729718409959
558.775176,0.7935172500964361
558.910178,0.7950184158538997
559.045181,0.7841381989462965
559.180184,0.7716763905998485
559.315186,0.7563129752849743
559.450189,0.7732522172333417
559.585192,0.7800634628344406
559.720194,0.7953683009259465
559.855197,0.7877771765398494
559.9902,0.8053728025561002
560.125203,0.7797982863396355
560.260205,0.7769727500113086
560.395208,0.792541823888912
560.530211,0.8085764876894921
560.665213,0.8104221453315973
560.800216,0.7864312286813591
560.935219,0.8233038075060013
561.070221,0.8027033985142595
561.205224,0.7914172131615782
561.340227,0.7987398346053871
561.47523,0.809846949826979
561.610232,0.798787760433224
561.745235,0.7777967777838837
561.880238,0.8127270155909273
562.01524,0.799171270593307
562.150243,0.7828924098747404
562.285246,0.7941443764062889
562.420248,0.7990913574619707
562.555251,0.8160578760510893
562.690254,0.8031209128258
562.825257,0.8226618809200609
562.960259,0.8206898597777935
563.095262,0.8284075794479243
563.230265,0.7943111642374435
563.365267,0.8088676276271047
563.50027,0.8171357837100195
563.635273,0.8134913381609111
563.770275,0.8149080452670582
563.905278,0.8183460400386814
564.040281,0.8106734151414583
564.175284,0.8244572400508972
564.310286,0.8019652509875527
564.445289,0.8270997289463693
564.580292,0.8160578760510893
564.715294,0.8315698325925638
564.850297,0.8239050387081698
564.9853,0.8340265855276336
565.120302,0.8488778314681849
565.255305,0.819295872241296
565.390308,0.8265540232279609
565.525311,0.8321854220086748
565.660313,0.8216424123888372
565.795316,0.8302403847023434
565.930319,0.8253068684916823
566.065321,0.8563381035860174
566.200324,0.8294022652353721
566.335327,0.8413226854769121
566.470329,0.8492089583880098
566.605332,0.8336013404157353
566.740335,0.821798539278776
566.875338,0.8552170351304802
567.01034,0.8482498942383283
567.145343,0.8439095148727318
567.280346,0.8586791006158184
567.415348,0.8461996113371882
567.550351,0.8383496685150673
567.685354,0.8543964207346881
567.820356,0.8398264631297048
567.955359,0.8454637378267172
568.090362,0.8329513848858204
568.225365,0.8498970963025355
568.360367,0.8480632997877381
568.49537,0.8404901881724499
568.630373,0.8548237257624103
568.765375,0.845607478879791
568.900378,0.8314617355407874
569.035381,0.8593405381440604
569.170383,0.8512920711071511
569.305386,0.8421728506503853
569.440389,0.8474868127716818
569.575392,0.8528940055473834
569.710394,0.8340849694320335
569.845397,0.8385508965819131
569.9804,0.8450918156109613
570.115402,0.8426951597168678
570.250405,0.8453031149761842
570.385408,0.8465550898192056
570.52041,0.8578551642319697
570.655413,0.8430744578744253
570.790416,0.8520500583047059
570.925419,0.8494467701884568
571.060421,0.8470885875599345
571.195424,0.8450326612542951
571.330427,0.8444413453761198
571.465429,0.851564528160709
571.600432,0.8399860453175272
571.735435,0.8565693460903189
571.870437,0.8582412859267396
572.00544,0.8473342788738456
572.140443,0.8643737696176177
572.275446,0.8355041198161156
572.410448,0.8491919743786827
572.545451,0.8429227181289946
572.680454,0.860733798051673
572.815456,0.8408684938695254
572.950459,0.8410787372723232
573.085462,0.868272216507773
573.220464,0.8614657328082199
573.355467,0.8365909814788911
573.49047,0.8692626112523364
573.625473,0.8499735904833893
573.760475,0.8524591405045658
573.895478,0.8451678772970908
574.030481,0.8499990900735958
574.165483,0.8493533361827006
574.300486,0.856106923508764
574.435489,0.8367750517418029
574.570491,0.8491580073790521
574.705494,0.8537131769320612
574.840497,0.8362396870436654
574.9755,0.8507984648655564
575.110502,0.8488948091945909
575.245505,0.8458273654083098
575.380508,0.8494042989117382
575.51551,0.8463434774993929
575.650513,0.8590054606785371
575.785516,0.840960994491292
575.920518,0.8540718117744176
576.055521,0.8485638047690636
576.190524,0.8560213170968051
576.325527,0.840582647178301
576.460529,0.8426530260122334
576.595532,0.8488184120996842
576.730535,0.841516211949263
576.865537,0.8376457504804795
577.00054,0.844973511038289
577.135543,0.8530390098533431
577.270545,0.8371684284524071
577.405548,0.8452693035278186
577.540551,0.8410030435922353
577.675554,0.844618696679884
577.810556,0.8401624609100328
577.945559,0.8485638047690636
578.080562,0.8381149634681231
578.215564,0.8410366843867905
578.350567,0.8466397495611041
578.48557,0.8550460088266546
578.620572,0.8372019158592889
578.755575,0.856612175628353
578.890578,0.8366160795848051
579.025581,0.8529963589691315
579.160583,0.840910538345322
579.295586,0.8510197012259021
579.430589,0.846970003458757
579.565591,0.8376625035630194
579.700594,0.8625863665149573
579.835597,0.838903161929022
579.970599,0.8490391335793792
580.105602,0.8396081366329655
580.240605,0.8498206090058483
580.375608,0.8446947157833935
580.51061,0.851998936834867
580.645613,0.8410619158657924
580.780616,0.8306057708506702
580.915618,0.8465212282928478
581.050621,0.8468937795885713
581.185624,0.8641317788424143
581.320626,0.8472580222203479
581.455629,0.8622845141139287
581.590632,0.8600024851753326
581.725635,0.8542853564193296
581.860637,0.8676733153230527
581.99564,0.8627847841964145
582.130643,0.8596585529722889
582.265645,0.858910975274655
582.400648,0.8509601319317659
582.535651,0.8658011636136935
582.670653,0.8703585724530751
582.805656,0.8641317788424143
