nu,[0]Perfluorotributylamine-HITRAN(x-sec)-X=0.01-T=298.2K-P=0.0atm-L=15cm
559.741772,1.0
559.802037,1.0
559.862302,1.0
559.922567,0.9999994309601619
559.982833,1.0
560.043098,1.0
560.103363,1.0
560.163628,1.0
560.223893,1.0
560.284158,1.0
560.344423,0.9999999340370022
560.404688,1.0
560.464953,1.0
560.525218,1.0
560.585483,1.0
560.645748,1.0
560.706013,1.0
560.766278,1.0
560.826543,1.0
560.886808,1.0
560.947073,1.0
561.007338,1.0
561.067603,1.0
561.127868,1.0
561.188133,1.0
561.248399,1.0
561.308664,1.0
561.368929,1.0
561.429194,0.9999995349001082
561.489459,1.0
561.549724,1.0
561.609989,0.999998761400767
561.670254,1.0
561.730519,1.0
561.790784,0.9999991890603288
561.851049,0.9999990280404724
561.911314,1.0
561.971579,1.0
562.031844,1.0
562.092109,0.9999998226600157
562.152374,1.0
562.212639,1.0
562.272904,0.9999989979005021
562.333169,1.0
562.393434,1.0
562.453699,1.0
562.513964,0.9999999940691
562.57423,1.0
562.634495,1.0
562.69476,1.0
562.755025,1.0
562.81529,1.0
562.875555,0.9999973114036143
562.93582,1.0
562.996085,1.0
563.05635,0.9999983215014087
563.116615,1.0
563.17688,1.0
563.237145,1.0
563.29741,1.0
563.357675,1.0
563.41794,1.0
563.478205,0.9999990396904611
563.53847,1.0
563.598735,1.0
563.659,1.0
563.719265,1.0
563.77953,0.9999980794018444
563.839795,0.9999997345400352
563.900061,1.0
563.960326,0.999999348870212
564.020591,1.0
564.080856,1.0
564.141121,1.0
564.201386,1.0
564.261651,1.0
564.321916,0.9999999080740042
564.382181,0.9999993083102392
564.442446,1.0
564.502711,1.0
564.562976,1.0
564.623241,1.0
564.683506,1.0
564.743771,1.0
564.804036,1.0
564.864301,1.0
564.924566,1.0
564.984831,1.0
565.045096,1.0
565.105361,1.0
565.165626,1.0
565.225892,1.0
565.286157,1.0
565.346422,0.9999990209904792
565.406687,1.0
565.466952,1.0
565.527217,1.0
565.587482,1.0
565.647747,1.0
565.708012,0.9999986965008496
565.768277,1.0
565.828542,1.0
565.888807,1.0
565.949072,1.0
566.009337,1.0
566.069602,1.0
566.129867,1.0
