nu,[0]Ethylacrylate-PNNL(x-sec)-X=0.01-T=278.27K-P=1.0atm-L=15cm
580,1.0007961367487557
580.119602,0.9991522095775455
580.239204,0.9961970496016198
580.358806,0.9949856142184229
580.478408,0.998068966848201
580.59801,0.9996419341208936
580.717612,1.0008207266119207
580.837214,1.0028096396598847
580.956816,1.0002902421120936
581.076418,1.0013816536050753
581.19602,1.001174589290298
581.315622,0.997763504690817
581.435224,1.0013085554124788
581.554826,0.9944018284901173
581.674428,0.9987488832998999
581.79403,0.9975151922582637
581.913632,0.9986571024949171
582.033234,1.0023944621565364
582.152836,1.0008993942126287
582.272438,0.9989224809410154
582.39204,0.9983840071248791
582.511642,1.0013490090952761
582.631244,0.9994844729297679
582.750846,0.9994804650050674
582.870448,1.0043516410103923
582.99005,0.9991859015580961
583.109652,1.0017811844278233
583.229254,0.9922645735992637
583.348856,1.0002039107869787
583.468458,0.9988818256233825
583.58806,1.0010661679533992
583.707662,0.9975510036964772
583.827264,0.9986861638394403
583.946866,0.9993186222433266
584.066468,1.0008885845575435
584.18607,0.9984836508209278
584.305672,0.9990951995789777
584.425274,0.9995712219515929
584.544876,0.9998713282789161
584.664478,0.9982141964480746
584.78408,1.0010464471441411
584.903682,0.9997073528295394
585.023284,1.000944255528812
585.142886,1.0009560667407131
585.262488,0.9995078911253118
585.38209,0.9986274428194214
585.501692,0.9973777441351637
585.621294,1.0005576254152788
585.740896,1.0001771656919878
585.860498,0.9982137971624758
585.9801,0.9989137903532354
586.099702,1.0015765414368378
586.219304,0.9998903960069566
586.338906,0.9975190825750996
586.458508,0.9991381715876181
586.57811,1.000488869457742
586.697712,1.000829463815002
586.817314,0.9983806126250254
586.936916,0.9989339686156002
587.056518,0.9976197373284783
587.17612,1.000754984857701
587.295722,0.9997869826914094
587.415324,0.9972868871612709
587.534926,1.000861290697996
587.654528,1.0001392997013026
587.77413,0.995707339917323
587.893732,0.997939924873531
588.013334,1.0001719747859683
588.132936,0.997550305411019
588.252538,0.9986424223434098
588.37214,0.9985807081486973
588.491742,1.001233960703788
588.611344,0.9981914374238494
588.730946,0.9987764491494859
588.850548,0.9968682143038698
588.97015,1.000440777113696
589.089752,0.994737893642974
589.209354,0.998132645679619
589.328956,1.00109199579371
589.448558,0.9995726213522832
589.56816,0.9974173408175947
589.687762,0.9986632941881469
589.807364,1.000060421825325
589.926966,1.000206721363917
590.046568,1.0015470955193768
590.16617,1.0000272663717207
590.285772,0.9973925054350102
590.405374,0.9994671520139382
590.524976,1.0031552674099524
590.644578,0.9967924551984653
590.76418,0.9994808348129078
590.883782,0.9989786219619922
591.003384,0.999755869804627
591.122986,0.9997492214501986
591.242588,0.9982945559253142
591.36219,0.9973545055044564
591.481792,0.9981616917622268
591.601394,0.9986884608202586
591.720996,1.002702545309309
591.840598,0.9983235068872229
591.9602,0.997157647155628
592.079802,1.0004963331325478
592.199404,0.9968823699330177
592.319006,1.0006922895218517
592.438608,1.000878425589967
592.55821,0.9978668783445658
592.677812,0.9975561909751833
592.797414,0.9986393265566991
592.917016,0.9993063207068029
593.036618,0.9987028420376389
593.15622,0.9987165243602986
593.275822,0.9987861373280302
593.395424,0.9985198964353065
593.515026,1.0014117956464843
593.634628,1.0005242073486749
