nu,[0]m-Xylene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
580,0.9986456180042744
580.241054,0.9992114310840192
580.482108,0.9982799809311954
580.723162,0.9994262546548435
580.964216,0.9988653442092317
581.20527,0.9989976027361263
581.446324,0.9949482034626549
581.687378,0.998514704145345
581.928432,0.9961173570253973
582.169486,0.9970594319645608
582.41054,0.9981314479211628
582.651594,0.9972989544056122
582.892648,0.99761574685751
583.133702,0.9974632230705561
583.374756,0.9989404617074987
583.61581,0.9986503116497091
583.856864,0.9985866996509207
584.097918,0.9967467034747818
584.338972,0.9992534088379755
584.580026,0.9989639370841835
584.82108,0.9997444426603415
585.062134,0.9993246881257736
585.303188,0.9994155608511307
585.544242,0.9991029425967787
585.785296,0.9971118786700184
586.02635,0.9987043400930256
586.267404,0.9973121188386955
586.508458,0.9984958323957753
586.749512,0.9983986834776547
586.990566,0.9988919143807694
587.23162,0.9987422915790227
587.472674,0.997707032874619
587.713728,0.999378083470304
587.954782,1.0011930110722207
588.195836,0.9985531477014883
588.43689,0.9995366373856298
588.677944,0.9991899882367907
588.918998,0.9997710462139193
589.160052,0.9995155074044602
589.401106,0.9981226644030687
589.64216,0.9981941325443688
589.883214,0.9974515528191172
590.124268,0.9983228080610127
590.365322,0.999946768416851
590.606376,0.9988940120559922
590.84743,1.0005766962253635
591.088484,1.0008960011694334
591.329538,0.9990339069686536
591.570592,0.9998222857930408
591.811646,1.0000792281383832
592.0527,0.9977742805948575
592.293754,0.9989946057478135
592.534808,0.9988800276377146
592.775862,0.9992561168183828
593.016916,0.9994022087484299
593.25797,1.000304816447095
593.499024,0.998826988516448
593.740078,0.9995446636970536
593.981132,0.9994084450376697
594.222186,0.9989317709632867
594.46324,1.0002106021735246
594.704294,0.9991381815789998
594.945348,0.9992307660122755
595.186402,0.9991294691320428
595.427456,0.9997196193140133
595.66851,1.0004245901128754
595.909564,1.0002837502494883
596.150618,1.0007063193260997
596.391672,1.0001830467510124
596.632726,0.9983334901722082
596.87378,0.9995129586431659
597.114834,0.9983343886727537
597.355888,0.9973811352252585
597.596942,0.9990926818622471
597.837996,0.9994779263279104
598.07905,1.0000798131849027
598.320104,0.9988898167099517
598.561158,0.9999241158793456
598.802212,1.0003328053674223
599.043266,1.0003373568920413
599.28432,0.9998556304222906
599.525374,0.9994340302213517
599.766428,0.999356537111095
600.007482,0.9999540330565123
600.248536,0.9988093094352116
600.48959,0.9992040269547472
600.730644,0.9993855488524708
600.971698,1.0004338640918107
601.212752,0.9993956826733145
601.453806,0.9998879162818494
601.69486,0.9997781746068916
601.935914,0.9991810455264146
602.176968,0.9989191845022675
602.418022,0.9990615406286921
602.659076,0.9983775176499236
602.90013,0.9997530704921106
603.141184,0.9996712740422213
603.382238,1.0010031027713922
603.623292,0.9998672588108913
603.864346,1.0000175061532308
604.1054,0.9993631628669004
604.346454,1.0001351191277672
604.587508,0.9997043737060668
604.828562,0.9996638665055256
605.069616,0.9992621923140426
605.31067,0.9987706562628802
605.551724,0.9981497138937929
605.792778,0.9986254455665331
606.033832,0.9989973030368904
606.274886,0.9991027727492928
606.51594,0.9993011043414235
606.756994,0.9997737356016508
606.998048,1.0012165393844374
607.239102,1.0012240485366422
607.480156,0.9995319695604326
607.72121,1.0001954791035503
607.962264,0.9989765241090889
608.203318,0.9998484514846366
608.444372,1.0000087212380298
608.685426,0.9991385312774246
608.92648,0.9993821009782747
609.167534,1.0002300364543282
609.408588,0.9993279958959655
609.649642,0.9997485016310184
609.890696,1.0000444029857833
610.13175,0.9998878162930627
610.372804,0.9999857071021444
610.613858,0.9993585158389974
610.854912,0.9998360134472649
611.095966,1.0001119162621577
611.33702,1.0000968256873044
611.578074,0.9993582959801481
611.819128,0.9997864128129916
612.060182,1.000777432043756
612.301236,1.0001934487087887
612.54229,0.9994796854106087
612.783344,0.9997929114457955
613.024398,0.9992358521098186
613.265452,0.9990845692626076
613.506506,0.9996075670219724
613.74756,0.9996398148822397
613.988614,1.0000117890694906
614.229668,1.000508429206336
614.470722,1.000585931590891
614.711776,0.9998837867532826
614.95283,1.0004906503295148
615.193884,1.0013433014221913
615.434938,1.0002562928373988
615.675992,0.9997129612035202
615.917046,1.0003758506141491
616.1581,1.0015198538088677
616.399154,0.9992998252368286
616.640208,0.9996246204725313
616.881262,1.0004872286573416
617.122316,1.0015532049752933
617.36337,0.999658458338637
617.604424,1.0008259308932304
617.845478,1.0001385595984946
618.086532,1.0014677761305009
618.327586,1.0007528332367968
618.56864,1.0014794933720272
618.809694,1.0000595107706958
619.050748,1.0001386696137422
619.291802,1.0004404569726986
619.532856,1.000654283950426
619.77391,1.000429962407349
620.014964,1.0006227738431537
620.256018,1.0017590453082854
620.497072,1.0001983796746456
620.738126,1.0005297902893282
620.97918,1.0002461402875507
621.220234,1.0002493410803208
621.461288,1.0005889533649672
621.702342,1.0007978581195913
621.943396,0.9998398428265296
622.18445,1.0010039035741947
622.425504,0.9997592589827703
622.666558,1.0005242973958575
622.907612,1.0008689172900884
623.148666,1.0008033525149145
623.38972,1.0012313574988743
623.630774,1.000680051129989
623.871828,1.0003281138175668
624.112882,1.0001905581538988
624.353936,1.0007808847318522
624.59499,1.0003669273013596
624.836044,1.0001728549376934
625.077098,0.9993313836236138
625.318152,1.0000054675149468
625.559206,1.0011835999021492
625.80026,1.0005343827316053
626.041314,1.000304206261343
626.282368,1.0006227838493815
626.523422,1.0015040299201865
626.764476,1.0008488400609827
627.00553,1.0014665743698905
627.246584,1.0003869548477193
627.487638,1.0004110844720724
627.728692,0.999084948914816
627.969746,0.9995162570413718
628.2108,1.0009446759254874
628.451854,1.00008754283165
628.692908,1.000675638140694
628.933962,1.0012906321497506
629.175016,1.0021433937913917
629.41607,1.0010662680600209
629.657124,1.0015327734983135
629.898178,1.00080149102241
630.139232,1.0011496603533911
630.380286,1.000026701356475
630.62134,1.0012469768298815
630.862394,1.000182366626772
631.103448,1.0009143978069996
631.344502,1.0008649538570236
631.585556,1.0001801362225813
631.82661,1.0010099096156342
632.067664,1.0007470789245494
632.308718,1.001444742636536
632.549772,1.0003001350315084
632.790826,1.0008391118575366
633.03188,1.0007123536033984
633.272934,1.0005432475055072
633.513988,1.0007180676872511
633.755042,1.0009569676015786
633.996096,1.0007597084323774
634.23715,1.0008405730837067
634.478204,1.0008729608086822
634.719258,1.000906440569167
634.960312,1.000614448696308
635.201366,1.0010128125485813
635.44242,1.0011163226247777
635.683474,1.0003839837028754
635.924528,1.0006168401676983
636.165582,1.000440406950677
636.406636,0.9999444635422061
636.64769,1.000402581013994
636.888744,1.0006424262674183
637.129798,1.001326679261352
637.370852,1.0016054874171527
637.611906,1.0015989770026434
637.85296,1.0006994845252795
638.094014,1.0018479052764857
638.335068,1.000423829790476
638.576122,1.0009351369681792
638.817176,0.9998282747464696
639.05823,1.0001853671783725
