nu,[0]CFC-115-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
525,0.9890632459606558
525.119502,0.9897578121235197
525.239005,0.9840358004702466
525.358507,0.9870199766366813
525.47801,0.987484972543617
525.597512,0.990153101332139
525.717014,0.9886212334868592
525.836517,0.987771384713412
525.956019,0.9866627400688588
526.075522,0.990511898792987
526.195024,0.9905745011232034
526.314526,0.9867288486870573
526.434029,0.9917482342776709
526.553531,0.9904588087780367
526.673033,0.9902265734180384
526.792536,0.9893976058414271
526.912038,0.9856056043374939
527.031541,0.9899864725873869
527.151043,0.9903734349083867
527.270545,0.9887161456809863
527.390048,0.9944329537544568
527.50955,0.9873437722886022
527.629053,0.9856607997967952
527.748555,0.9904423672982756
527.868057,0.9891117112470977
527.98756,0.9897993828246074
528.107062,0.9902171663102748
528.226565,0.9870930188174798
528.346067,0.9899300449666519
528.465569,0.989162157230733
528.585072,0.9872529408398623
528.704574,0.9892333794700234
528.824076,0.9889791791576389
528.943579,0.9860502127167035
529.063081,0.9861941865575947
529.182584,0.9894114575048704
529.302086,0.9883652137433739
529.421588,0.991082003342902
529.541091,0.9900369631849881
529.660593,0.9892877888021372
529.780096,0.9874879350029784
529.899598,0.9884867901414596
530.0191,0.9931708255242554
530.138603,0.9896182661102353
530.258105,0.9849188765836944
530.377608,0.9872470173399878
530.49711,0.9906676195028042
530.616612,0.9921625740439646
530.736115,0.9869222664957261
530.855617,0.9873487090198054
530.97512,0.9905185352449409
531.094622,0.9915962109262437
531.214124,0.9909751704613374
531.333627,0.9900614173999871
531.453129,0.9874267126489208
531.572631,0.9895183197127362
531.692134,0.986660766745352
531.811636,0.9886064042795761
531.931139,0.988468997539371
532.050641,0.9871482975743243
532.170143,0.9889801681373125
532.289646,0.9883711439524471
532.409148,0.9880657844494386
532.528651,0.9896083699770549
532.648153,0.9883325982294794
532.767655,0.9895470161601043
532.887158,0.9863618538206231
533.00666,0.9876340940328602
533.126163,0.9890721475699267
533.245665,0.9905274499518743
533.365167,0.9855819500868419
533.48467,0.9894371825371895
533.604172,0.9863026738848097
533.723674,0.985613489213868
533.843177,0.9887131795369984
533.962679,0.9890662131548444
534.082182,0.9879946462739633
534.201684,0.9867268752313334
534.321186,0.9864407659253709
534.440689,0.9859723178267875
534.560191,0.9875432358757484
534.679694,0.9863224001355493
534.799196,0.9881566906832306
534.918698,0.9855169038246865
535.038201,0.9873230382870919
535.157703,0.9854627018855431
535.277206,0.9844235869645548
535.396708,0.9846835090997256
535.51621,0.9850469243605755
535.635713,0.9877664458688356
535.755215,0.9863342360753664
535.874717,0.9868966068503741
535.99422,0.9837317803814241
536.113722,0.9865650652925732
536.233225,0.9876726125136329
536.352727,0.9825647835077777
536.472229,0.9860797946668121
536.591732,0.9839246107071334
536.711234,0.9855799789249129
536.830737,0.9836058707719222
536.950239,0.9835321030979366
537.069741,0.983580297351738
537.189244,0.9850232835180821
537.308746,0.9834652251888006
537.428249,0.9853621898161534
537.547751,0.9822906861715355
537.667253,0.9820490723824518
537.786756,0.9825156564967878
537.906258,0.9821374607763842
538.025761,0.9808919188021893
538.145263,0.9817643194426328
538.264765,0.9813962268445175
538.384268,0.9799516943617361
538.50377,0.9814305763135692
538.623272,0.9807300849872438
538.742775,0.9786962012326129
538.862277,0.9805329780500722
538.98178,0.9817113056007695
539.101282,0.978849868598779
539.220784,0.9807055670415947
539.340287,0.9797635616977323
539.459789,0.980291796604006
539.579292,0.9790388048551808
539.698794,0.979602893648754
539.818296,0.9795490169712255
539.937799,0.9770807298549337
540.057301,0.9784926535924449
540.176804,0.9781238313893942
540.296306,0.9780299360086312
540.415808,0.977257597473074
540.535311,0.9756669407884127
540.654813,0.9758777076096201
540.774315,0.9754669495653517
540.893818,0.9752455436983171
541.01332,0.9741665442178437
541.132823,0.9747492700289381
541.252325,0.9740243262845496
541.371827,0.9730128405673634
541.49133,0.975020287995758
541.610832,0.9727988012876226
541.730335,0.9714786371098341
541.849837,0.9730867923533788
541.969339,0.9737360577498173
542.088842,0.9707250621123512
