nu,[0]FluoroetherE-1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
601.681653,0.9999851651100381
602.163769,0.9999853521072815
602.645886,0.9999859070993059
603.128003,0.9999865140909356
603.610119,0.9999863610930108
604.092236,0.9999859890981536
604.574353,0.9999864580916925
605.056469,0.9999875180778999
605.538586,0.9999880310716281
606.020703,0.9999875080780247
606.502819,0.9999872310815233
606.984936,0.9999884970661592
607.467053,0.9999903540465225
607.949169,0.9999912727380827
608.431286,0.9999915959353144
608.913403,0.9999919265325906
609.395519,0.9999919580323368
609.877636,0.9999919921320631
610.359753,0.9999924733283255
610.841869,0.9999931756232862
611.323986,0.9999939582182517
611.806103,0.9999946581142679
612.288219,0.9999948817130985
612.770336,0.9999947213139323
613.252453,0.9999948234133986
613.734569,0.9999953070110121
614.216686,0.9999957882088696
614.698803,0.9999963326067249
615.180919,0.9999969451046662
615.663036,0.999997338803541
616.145153,0.999997462703219
616.627269,0.9999975356030366
617.109386,0.9999977033026374
617.591503,0.9999976839026822
618.073619,0.9999970642043094
618.555736,0.9999963958064951
619.037853,0.9999965854058297
619.519969,0.9999972950036585
620.002086,0.9999975648029651
620.484203,0.9999974141033434
620.96632,0.9999970472043596
621.448436,0.999996359406627
621.930553,0.9999959754080987
622.41267,0.9999960629077503
622.894786,0.9999956837093152
623.376903,0.9999944370154734
623.85902,0.9999931538234351
624.341136,0.9999927455263138
624.823253,0.9999924490285087
625.30537,0.9999912557382313
625.787486,0.9999898490515212
626.269603,0.9999888470621945
626.75172,0.9999877490750432
627.233836,0.9999864610916519
627.715953,0.9999856881024162
628.19807,0.9999854811054002
628.680186,0.9999850491117657
629.162303,0.9999839941280954
629.64442,0.9999827351490392
630.126536,0.9999819941621071
630.608653,0.9999819011637859
631.09077,0.9999818531646558
631.572886,0.999981600169279
632.055003,0.999981369173556
632.53712,0.9999810871788497
633.019236,0.9999807591851069
633.501353,0.9999804551910023
633.98347,0.9999803271935122
634.465586,0.9999807081860894
634.947703,0.9999811041785283
635.42982,0.9999808641830921
635.911936,0.9999806621869779
636.394053,0.9999814491720688
636.87617,0.9999831191424833
637.358286,0.9999848371149577
637.840403,0.9999858650998986
638.32252,0.9999864220921806
638.804636,0.9999871650823683
639.286753,0.9999878220741515
639.76887,0.9999882930685267
640.250987,0.9999890710597213
640.733103,0.9999898610513995
641.21522,0.9999903759463115
641.697337,0.9999910880397117
642.179453,0.9999919629322974
642.66157,0.9999919726322195
643.143687,0.9999909883406053
643.625803,0.9999901839481777
644.10792,0.9999897930520912
644.590037,0.9999889060615382
645.072153,0.9999875860770534
645.55427,0.9999869610850074
646.036387,0.9999868840860143
646.518503,0.9999862780941462
647.00062,0.9999855421045164
647.482737,0.9999854741055019
647.964853,0.9999855661041697
648.44697,0.999985532104661
648.929087,0.9999861690956479
649.411203,0.9999873890795183
649.89332,0.9999879890721318
650.375437,0.9999872650810898
650.857553,0.9999857751011748
651.33967,0.9999851291105728
651.821787,0.999985836100309
652.303903,0.999986798087146
652.78602,0.9999874640785753
653.268137,0.9999881640700452
653.750253,0.9999891000594048
654.23237,0.9999901329486797
654.714487,0.9999912533382522
655.196603,0.9999923056296018
655.67872,0.9999928548255269
656.160837,0.9999931902231867
656.642953,0.9999939922180467
657.12507,0.999995047012266
657.607187,0.9999956521094521
658.089303,0.9999958028088082
658.57142,0.999995647309473
659.053537,0.999995647309473
659.535653,0.9999961844072794
660.01777,0.9999961965072333
660.499887,0.9999953484108187
660.982004,0.9999947845136007
661.46412,0.9999945148150436
661.946237,0.9999939072185611
662.428354,0.9999932850225456
662.91047,0.9999929642247511
663.392587,0.999992565627635
663.874704,0.9999919070327482
664.35682,0.9999909106413085
664.838937,0.9999892510577703
665.321054,0.9999873360801881
665.80317,0.9999860330975381
666.285287,0.9999852071094159
666.767404,0.9999849201137027
667.24952,0.9999855911038091
667.731637,0.9999860890967575
668.213754,0.9999853941066671
668.69587,0.9999841451256899
669.177987,0.9999827621485735
669.660104,0.999981564169942
670.14222,0.9999813251743768
670.624337,0.9999820231615852
671.106454,0.9999827931480396
671.58857,0.9999830901429733
672.070687,0.999983209140968
672.552804,0.9999836931329584
673.03492,0.9999845721190109
673.517037,0.9999852211092088
673.999154,0.9999856441030469
674.48127,0.9999869590850334
674.963387,0.9999892340579531
675.445504,0.999991100139604
675.92762,0.9999922035303926
676.409737,0.9999932388228568
676.891854,0.9999941453171387
677.37397,0.9999946217144631
677.856087,0.9999948866130735
678.338204,0.9999952414113221
678.82032,0.9999958028088082
679.302437,0.9999962767069315
679.784554,0.9999961431074378
680.266671,0.9999955258100092
680.748787,0.9999954699102609
681.230904,0.999996415306425
681.713021,0.9999972294038381
682.195137,0.9999973266035735
682.677254,0.9999974457032622
683.159371,0.9999979853020295
683.641487,0.9999982526015267
684.123604,0.9999977908024403
684.605721,0.9999973898034066
685.087837,0.9999977763024724
685.569954,0.999998167501679
686.052071,0.9999979512020988
686.534187,0.9999977276025819
687.016304,0.999997436003287
687.498421,0.9999968211050527
687.980537,0.9999964785062004
688.462654,0.9999966437056323
688.944771,0.9999965830058379
689.426887,0.9999958150087571
689.909004,0.999994862313198
690.391121,0.9999945901146334
690.873237,0.99999499601252
691.355354,0.9999950810120982
691.837471,0.9999942766163786
692.319587,0.9999930857239037
692.801704,0.9999922497300335
693.283821,0.9999919313325518
693.765937,0.9999915011361156
694.248054,0.9999902836472041
694.730171,0.9999884150671059
695.212287,0.999986356093079
695.694404,0.9999842301243458
696.176521,0.9999817801659832
696.658637,0.9999787032267795
697.140754,0.9999744823255814
697.622871,0.9999689404823568
698.104987,0.9999629626858982
698.587104,0.9999570809210501
699.069221,0.9999509812014605
699.551337,0.9999447355271373
700.033454,0.9999391708501678
700.515571,0.9999347721274302
700.997688,0.9999312243651525
701.479804,0.9999281135839523
701.961921,0.9999250758069576
702.444038,0.9999219650448855
702.926154,0.9999192682589824
703.408271,0.9999174934038564
703.890388,0.9999165464824386
704.372504,0.9999159875292453
704.854621,0.9999153065866896
705.336738,0.999914334669484
705.818854,0.9999137517195968
706.300971,0.9999142376777982
706.783088,0.999915816543626
707.265204,0.999918538318183
707.747321,0.9999223780127423
708.229438,0.9999267766809581
708.711554,0.999931394353475
709.193671,0.9999361820364528
709.675788,0.999940871748144
710.157904,0.9999449305163797
710.640021,0.999947968353693
711.122138,0.9999505442229772
711.604254,0.9999534600830156
712.086371,0.999956521945198
712.568488,0.9999595118196685
713.050604,0.9999624517049549
