nu,[0]Toluene-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
600,1.0012876282823597
600.118002,1.0017758750016157
600.236005,1.001484701078933
600.354007,1.0022980364474279
600.472009,1.0030162397247306
600.590012,1.0028975899218453
600.708014,1.0000713915482553
600.826017,1.003012829475313
600.944019,1.0025954623957993
601.062021,1.0019452896256813
601.180024,1.0023897509136357
601.298026,1.0012759132856417
601.416028,0.9999963004068435
601.534031,1.001195714297
601.652033,1.0007049583664307
601.770035,1.003197099856804
601.888038,1.0019092202445075
602.00604,1.004541883226569
602.124042,1.0036772445345383
602.242045,1.0026685542691745
602.360047,1.004925088573446
602.47805,1.0012305565141086
602.596052,0.9982857709718759
602.714054,1.002951848149132
602.832057,1.0024189208798082
602.950059,1.0060209535105997
603.068061,1.0026636412052956
603.186064,0.9990824811780399
603.304066,0.9993657412271867
603.422068,1.0027196916694348
603.540071,1.0041978865443584
603.658073,1.0008020114393206
603.776076,1.001802823135104
603.894078,1.0029532522827023
604.01208,1.0047954615981396
604.130083,1.0032354227179805
604.248085,0.9999160845211008
604.366087,1.0006135481437095
604.48409,1.0036029751664433
604.602092,1.001256388595699
604.720094,1.0012003198078785
604.838097,1.0022201609154995
604.956099,1.0002900520569655
605.074101,0.9990094609080489
605.192104,1.000962222639453
605.310106,1.002981235068799
605.428109,1.0028182638598697
605.546111,1.006535765508096
605.664113,0.9993388086833783
605.782116,1.0047284439759134
605.900118,0.999465502894498
606.01812,0.999910176034414
606.136123,1.0008950903544869
606.254125,0.9998941256050894
606.372127,1.00188437320395
606.49013,1.0035645379085727
606.608132,1.0014260157949453
606.726135,1.0028788359122645
606.844137,1.0032262933171725
606.962139,1.002172757022999
607.080142,1.0012927348622858
607.198144,1.0025370127841644
607.316146,1.0028371170204493
607.434149,1.0013119598673546
607.552151,1.000269516312997
607.670153,1.0017775780220508
607.788156,1.0024624268050462
607.906158,0.9993319232627067
608.02416,1.0044701614966027
608.142163,1.001582651072375
608.260165,0.9999637186581838
608.378168,0.9998787173553346
608.49617,1.0018652373951693
608.614172,1.0075100601002345
608.732175,1.0009280003260947
608.850177,1.000410644291292
608.968179,1.0009928425421726
609.086182,1.0043863921783631
609.204184,1.0003933073250517
609.322186,1.0021073172785964
