nu,[0]HFC-1243zf-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
719.735172,1.0
719.854174,1.0
719.973176,1.0
720.092178,1.0
720.21118,1.0
720.330182,1.0
720.449184,1.0
720.568186,1.0
720.687188,1.0
720.80619,1.0
720.925192,1.0
721.044194,1.0
721.163196,1.0
721.282198,1.0
721.4012,1.0
721.520202,1.0
721.639204,1.0
721.758206,1.0
721.877208,1.0
721.99621,1.0
722.115212,1.0
722.234214,1.0
722.353216,1.0
722.472218,1.0
722.59122,1.0
722.710222,1.0
722.829224,1.0
722.948226,1.0
723.067228,1.0
723.18623,1.0
723.305232,1.0
723.424234,1.0
723.543236,1.0
723.662238,1.0
723.78124,1.0
723.900242,1.0
724.019244,1.0
724.138246,1.0
724.257248,1.0
724.37625,1.0
724.495252,1.0
724.614254,1.0
724.733256,1.0
724.852258,1.0
724.97126,1.0
725.090262,1.0
725.209264,1.0
725.328266,1.0
725.447268,1.0
725.56627,1.0
725.685272,1.0
725.804274,1.0
725.923276,1.0
726.042278,1.0
726.16128,1.0
726.280282,1.0
726.399284,1.0
726.518286,1.0
726.637288,1.0
726.75629,1.0
726.875292,1.0
726.994294,1.0
727.113296,1.0
727.232298,1.0
727.3513,1.0
727.470302,1.0
727.589304,1.0
727.708306,1.0
727.827308,1.0
727.94631,1.0
728.065312,1.0
728.184314,1.0
728.303316,1.0
728.422318,1.0
728.54132,1.0
728.660322,1.0
728.779324,1.0
728.898326,1.0
729.017328,1.0
729.13633,1.0
729.255332,1.0
729.374334,1.0
729.493336,1.0
729.612338,1.0
729.73134,1.0
729.850342,1.0
729.969344,1.0
730.088346,1.0
730.207348,1.0
730.32635,1.0
730.445352,1.0
730.564354,1.0
730.683356,1.0
730.802358,1.0
730.92136,1.0
731.040362,1.0
731.159364,1.0
731.278366,1.0
731.397368,1.0
731.51637,1.0
731.635372,1.0
731.754374,1.0
731.873376,1.0
731.992378,1.0
732.11138,1.0
732.230382,1.0
732.349384,1.0
732.468386,1.0
732.587388,1.0
732.70639,1.0
732.825392,1.0
732.944394,1.0
733.063396,1.0
733.182398,1.0
733.3014,1.0
733.420402,1.0
733.539404,1.0
733.658406,1.0
733.777408,1.0
733.89641,1.0
734.015412,1.0
734.134414,1.0
734.253416,1.0
734.372418,1.0
734.49142,1.0
734.610422,1.0
734.729424,1.0
734.848426,1.0
734.967428,1.0
735.08643,1.0
735.205432,1.0
735.324434,1.0
735.443436,1.0
735.562438,1.0
735.68144,1.0
735.800442,1.0
735.919444,1.0
736.038446,1.0
736.157448,1.0
736.27645,1.0
736.395452,1.0
736.514454,1.0
736.633456,1.0
736.752458,1.0
736.87146,1.0
736.990462,1.0
737.109464,1.0
737.228466,1.0
737.347468,1.0
737.46647,1.0
737.585472,1.0
737.704474,1.0
737.823476,1.0
737.942478,1.0
738.06148,1.0
738.180482,1.0
738.299484,1.0
738.418486,1.0
738.537488,1.0
738.65649,1.0
738.775492,1.0
738.894494,1.0
739.013496,1.0
739.132498,1.0
739.2515,1.0
739.370502,1.0
739.489504,1.0
739.608506,1.0
739.727508,1.0
739.84651,1.0
739.965512,1.0
740.084514,1.0
740.203516,1.0
740.322518,1.0
740.44152,1.0
740.560522,1.0
740.679524,1.0
740.798526,1.0
740.917528,1.0
741.03653,1.0
741.155532,1.0
741.274534,1.0
741.393536,1.0
741.512538,1.0
741.63154,1.0
741.750542,1.0
741.869544,1.0
741.988546,1.0
742.107548,1.0
742.22655,1.0
742.345552,1.0
742.464554,1.0
742.583556,1.0
742.702558,1.0
742.82156,1.0
742.940562,1.0
743.059564,1.0
743.178566,1.0
743.297568,1.0
743.41657,1.0
743.535572,1.0
743.654574,1.0
743.773576,1.0
743.892578,1.0
744.01158,1.0
744.130582,1.0
744.249584,1.0
744.368586,1.0
744.487588,1.0
744.60659,1.0
744.725592,1.0
744.844594,1.0
744.963596,1.0
745.082598,1.0
745.2016,1.0
745.320602,1.0
745.439604,1.0
745.558606,1.0
745.677608,1.0
745.79661,1.0
745.915612,1.0
746.034614,1.0
746.153616,1.0
746.272618,1.0
746.39162,1.0
746.510622,1.0
746.629624,1.0
746.748626,1.0
746.867628,1.0
746.98663,1.0
747.105632,1.0
747.224634,1.0
747.343636,1.0
747.462638,1.0
747.58164,1.0
747.700642,1.0
747.819644,1.0
747.938646,1.0
748.057648,1.0
748.17665,1.0
748.295652,1.0
748.414654,1.0
748.533656,1.0
748.652658,1.0
748.77166,1.0
748.890662,1.0
749.009664,1.0
749.128666,1.0
749.247668,1.0
749.36667,1.0
749.485672,1.0
749.604674,1.0
749.723676,1.0
749.842678,1.0
749.96168,1.0
750.080682,1.0
750.199684,1.0
750.318686,1.0
750.437688,1.0
750.55669,1.0
750.675692,1.0
750.794694,1.0
750.913696,1.0
751.032698,1.0
751.1517,1.0
751.270702,1.0
751.389704,1.0
751.508706,1.0
751.627708,1.0
751.74671,1.0
751.865712,1.0
751.984714,1.0
752.103716,1.0
752.222718,1.0
752.34172,1.0
752.460722,1.0
752.579724,1.0
752.698726,1.0
752.817728,1.0
752.93673,1.0
753.055732,1.0
753.174734,1.0
753.293736,1.0
753.412738,1.0
753.53174,1.0
753.650742,1.0
753.769744,1.0
753.888746,1.0
754.007748,1.0
754.12675,1.0
754.245752,1.0
754.364754,1.0
754.483756,1.0
754.602758,1.0
754.72176,1.0
754.840762,1.0
754.959764,1.0
755.078766,1.0
755.197768,1.0
755.31677,1.0
755.435772,1.0
755.554774,1.0
755.673776,1.0
755.792778,1.0
755.91178,1.0
756.030782,1.0
756.149784,1.0
756.268786,1.0
756.387788,1.0
756.50679,1.0
756.625792,1.0
756.744794,1.0
756.863796,1.0
756.982798,1.0
757.1018,1.0
757.220802,1.0
757.339804,1.0
757.458806,1.0
757.577808,1.0
757.69681,1.0
757.815812,1.0
757.934814,1.0
758.053816,1.0
758.172818,1.0
758.29182,1.0
758.410822,1.0
758.529824,1.0
758.648826,1.0
758.767828,1.0
758.88683,1.0
759.005832,1.0
759.124834,1.0
759.243836,1.0
759.362838,1.0
759.48184,1.0
759.600842,1.0
759.719844,1.0
759.838846,1.0
759.957848,1.0
760.07685,1.0
760.195852,1.0
760.314854,1.0
760.433856,1.0
760.552858,1.0
760.67186,1.0
760.790862,1.0
760.909864,1.0
761.028866,1.0
761.147868,1.0
761.26687,1.0
761.385872,1.0
761.504874,1.0
761.623876,1.0
761.742878,1.0
761.86188,1.0
761.980882,1.0
762.099884,1.0
762.218886,1.0
762.337888,1.0
762.45689,1.0
762.575892,1.0
762.694894,1.0
762.813896,1.0
762.932898,1.0
763.0519,1.0
763.170902,1.0
763.289904,1.0
763.408906,1.0
763.527908,1.0
763.64691,1.0
763.765912,1.0
763.884914,1.0
764.003916,1.0
764.122918,1.0
764.24192,1.0
764.360922,1.0
764.479924,1.0
764.598926,1.0
764.717928,1.0
764.83693,1.0
764.955932,1.0
765.074934,1.0
765.193936,1.0
765.312938,1.0
765.43194,1.0
765.550942,1.0
765.669944,1.0
765.788946,1.0
765.907948,1.0
766.02695,1.0
766.145952,1.0
766.264954,1.0
766.383956,1.0
766.502958,1.0
766.62196,1.0
766.740962,1.0
766.859964,1.0
766.978966,1.0
767.097968,1.0
767.21697,1.0
767.335972,1.0
767.454974,1.0
767.573976,1.0
767.692978,1.0
767.81198,1.0
767.930982,1.0
768.049984,1.0
768.168986,1.0
768.287988,1.0
768.40699,1.0
768.525992,1.0
768.644994,1.0
768.763996,1.0
768.882998,1.0
769.002,1.0
769.121002,1.0
769.240004,1.0
769.359006,1.0
769.478008,1.0
769.59701,1.0
769.716012,1.0
769.835014,1.0
769.954016,1.0
770.073018,1.0
770.19202,1.0
770.311022,1.0
770.430024,1.0
770.549026,1.0
770.668028,1.0
770.78703,1.0
770.906032,1.0
771.025034,1.0
771.144036,1.0
771.263038,1.0
771.38204,1.0
771.501042,1.0
771.620044,1.0
771.739046,1.0
771.858048,1.0
771.97705,1.0
772.096052,1.0
772.215054,1.0
772.334056,1.0
772.453058,1.0
772.57206,1.0
772.691062,1.0
772.810064,1.0
772.929066,1.0
773.048068,1.0
773.16707,1.0
773.286072,1.0
773.405074,1.0
773.524076,1.0
773.643078,1.0
773.76208,1.0
773.881082,1.0
774.000084,1.0
774.119086,1.0
774.238088,1.0
774.35709,1.0
774.476092,1.0
774.595094,1.0
774.714096,1.0
774.833098,1.0
774.9521,1.0
775.071102,1.0
775.190104,1.0
775.309106,1.0
775.428108,1.0
775.54711,1.0
775.666112,1.0
775.785114,1.0
775.904116,1.0
776.023118,1.0
776.14212,1.0
776.261122,1.0
776.380124,1.0
776.499126,1.0
776.618128,1.0
776.73713,1.0
776.856132,1.0
776.975134,1.0
777.094136,1.0
777.213138,1.0
777.33214,1.0
777.451142,1.0
777.570144,1.0
777.689146,1.0
777.808148,1.0
777.92715,1.0
778.046152,1.0
778.165154,1.0
778.284156,1.0
778.403158,1.0
778.52216,1.0
778.641162,1.0
778.760164,1.0
778.879166,1.0
778.998168,1.0
779.11717,1.0
779.236172,1.0
779.355174,1.0
779.474176,1.0
779.593178,1.0
779.71218,1.0
779.831182,1.0
779.950184,1.0
780.069186,1.0
780.188188,1.0
780.30719,1.0
780.426192,1.0
780.545194,1.0
780.664196,1.0
780.783198,1.0
780.9022,1.0
781.021202,1.0
781.140204,1.0
781.259206,1.0
781.378208,1.0
781.49721,1.0
781.616212,1.0
781.735214,1.0
781.854216,1.0
781.973218,1.0
782.09222,1.0
782.211222,1.0
782.330224,1.0
782.449226,1.0
782.568228,1.0
782.68723,1.0
782.806232,1.0
782.925234,1.0
783.044236,1.0
783.163238,1.0
783.28224,1.0
783.401242,1.0
783.520244,1.0
783.639246,1.0
783.758248,1.0
783.87725,1.0
783.996252,1.0
784.115254,1.0
784.234256,1.0
784.353258,1.0
784.47226,1.0
784.591262,1.0
784.710264,1.0
784.829266,1.0
784.948268,1.0
785.06727,1.0
785.186272,1.0
785.305274,1.0
785.424276,1.0
785.543278,1.0
785.66228,1.0
785.781282,1.0
785.900284,1.0
786.019286,1.0
786.138288,1.0
786.25729,1.0
786.376292,1.0
786.495294,1.0
786.614296,1.0
786.733298,1.0
786.8523,1.0
786.971302,1.0
787.090304,1.0
787.209306,1.0
787.328308,1.0
787.44731,1.0
787.566312,1.0
787.685314,1.0
787.804316,1.0
787.923318,1.0
788.04232,1.0
788.161322,1.0
788.280324,1.0
788.399326,1.0
788.518328,1.0
788.63733,1.0
788.756332,1.0
788.875334,1.0
788.994336,1.0
789.113338,1.0
789.23234,1.0
789.351342,1.0
789.470344,1.0
789.589346,1.0
789.708348,1.0
789.82735,1.0
789.946352,1.0
790.065354,1.0
790.184356,1.0
790.303358,1.0
790.42236,1.0
790.541362,1.0
790.660364,1.0
790.779366,1.0
790.898368,1.0
