nu,[0]Acetol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
510,0.881024362670338
510.119802,0.9672019147498945
510.239605,0.9425606609315604
510.359407,0.9679546906314175
510.47921,1.0
510.599012,0.9628920221522462
510.718814,0.9905633076945837
510.838617,0.9626946495190912
510.958419,0.9714708653118244
511.078222,0.9992397591296386
511.198024,0.9585284836850513
511.317826,0.9529269794851443
511.437629,0.9709512674037165
511.557431,0.9785856148101241
511.677234,0.9567721534930518
511.797036,0.9658323601952553
511.916838,1.0
512.036641,0.9746225608601087
512.156443,0.9914915038949985
512.276246,0.9439557395554162
512.396048,0.9497229200830212
512.51585,0.9561896566398694
512.635653,0.9432612437369151
512.755455,0.9387237866206795
512.875258,0.8585245522874744
512.99506,0.923894861564683
513.114862,0.9397231202808726
513.234665,0.9219198405871144
513.354467,0.8841487157563921
513.474269,0.8974391144264876
513.594072,0.9849287258217063
513.713874,0.9232280502224943
513.833677,0.901567828110934
513.953479,0.8999014694859163
514.073281,0.9893758393335311
514.193084,0.9650561430587604
514.312886,0.9897310890233557
514.432689,0.9458776995003152
514.552491,0.9759313823595808
514.672293,0.9003875475086932
514.792096,0.9416581202044229
514.911898,0.899037978617143
515.031701,0.9113958077084982
515.151503,0.8544904095102569
515.271305,0.9180109135808637
515.391108,0.9224196565786106
515.51091,0.9609566310600098
515.630713,0.994305575051861
515.750515,0.8459034932969002
515.870317,0.8649617436694788
515.99012,0.9254223972730827
516.109922,0.953185257691701
516.229725,0.8585760653059867
516.349527,0.8839100278274583
516.469329,0.9462523412434867
516.589132,0.8958341352965282
516.708934,0.8965600549038698
516.828737,0.8206488263106498
516.948539,0.9072765219261609
517.068341,0.8119146948034236
517.188144,0.9353008843655063
517.307946,0.9491390200548326
517.427749,0.9840308803035447
517.547551,0.8757452857668403
517.667353,0.9572047122573469
517.787156,0.8792640748196107
517.906958,0.8693234617648672
518.026761,0.94283592883171
518.146563,0.8690192517931
518.266365,0.9148885723268728
518.386168,0.8348025910388065
518.50597,0.9642699427223225
518.625773,0.938942534746129
518.745575,0.8280514407640663
518.865377,0.8968649371495818
518.98518,0.9552692892285605
519.104982,0.9482358696755318
519.224784,0.8494127929971976
519.344587,0.9317115573683302
519.464389,0.9454824052441793
519.584192,0.9565836879432799
519.703994,0.9088392891959092
519.823796,0.9893214251587713
519.943599,0.9200318407749115
520.063401,0.867100839872619
520.183204,0.8386095971991714
520.303006,0.9415874984937548
520.422808,0.8982741210207874
520.542611,0.9375333016579258
520.662413,0.9604887591167489
520.782216,0.9529336499973474
520.902018,0.9424984539807909
521.02182,0.9396902305472364
521.141623,0.9471545495586711
521.261425,0.8974480888625039
521.381228,0.9538403209522011
521.50103,0.9112791565109474
521.620832,0.9006036664533312
521.740635,0.9562785864131073
521.860437,0.9205656140218391
521.98024,0.9324143327956271
522.100042,0.9416345790456835
522.219844,0.890849301442169
522.339647,0.8740479868247559
522.459449,0.9559085782013724
522.579252,0.943417838100348
522.699054,0.9458464860512564
522.818856,0.9109702852335297
522.938659,0.8484959223800138
523.058461,0.8859807991501293
523.178264,0.9830031051396804
523.298066,0.9829195534267415
523.417868,0.8750974739752975
523.537671,0.9138562459865887
523.657473,0.9037432268792863
523.777276,0.998791331029448
523.897078,0.9562259925371994
524.01688,0.9202554356779002
524.136683,0.9455041515895819
524.256485,0.9538822908496539
524.376288,0.9249172545606813
524.49609,0.9271934975289561
524.615892,0.9683574435495189
524.735695,0.8870268735556461
524.855497,0.9636366254374629
524.9753,0.945307507177779
525.095102,0.9720918335729886
525.214904,0.9199794004545506
525.334707,0.9054275643993274
525.454509,0.9334200174129987
525.574311,0.9124691521134422
525.694114,0.8877101472749065
525.813916,0.9361308642916188
525.933719,0.9887932685481021
526.053521,0.9628149938716464
526.173323,0.9948076272134515
526.293126,0.9413031820031607
526.412928,0.9020638268035323
526.532731,0.9776583552377658
526.652533,0.9854558036707737
526.772335,0.9643480517510559
526.892138,0.9127703166230506
527.01194,0.975795737324981
527.131743,0.9959651619212458
527.251545,0.9031469531415242
527.371347,0.9519754807853722
527.49115,0.884077986688332
527.610952,0.8893272508608355
527.730755,0.9951366644990876
527.850557,0.9815336319344076
527.970359,0.9510192260256863
528.090162,0.9078128808290634
528.209964,0.9409540232955826
528.329767,0.986545334188579
528.449569,0.8888204787716112
528.569371,0.960202576109918
528.689174,0.8993706842159714
528.808976,0.9074879419852501
528.928779,0.9234671972557059
529.048581,0.959859844971395
529.168383,0.911671090808082
529.288186,0.9146132323073541
529.407988,0.9674872814042577
529.527791,0.9612718765324287
529.647593,0.9762964489597822
529.767395,0.924385580010391
