nu,[0]Heptane-PNNL(x-sec)-X=0.01-T=278.28K-P=1.0atm-L=15cm
600,1.0003217117381251
600.119002,0.9965201686957349
600.238004,0.99961710332365
600.357006,0.9993839398430323
600.476008,0.9988037161187401
600.59501,0.9983758204095862
600.714012,0.9983808123011679
600.833014,0.9987604688541423
600.952016,0.9978792519705736
601.071018,1.000738992920819
601.19002,0.9990726802269733
601.309022,0.9998601097855486
601.428024,0.9982160930568497
601.547026,1.000680131184396
601.666028,0.9984899412877429
601.78503,1.0004119848424535
601.904032,0.9998679287221792
602.023034,1.000954505250467
602.142036,0.9993005847049844
602.261038,0.9996724336615719
602.38004,0.9982410487711212
602.499042,0.9993977514245188
602.618044,0.9999697204584346
602.737046,0.9984573910462288
602.856048,0.9995445837334838
602.97505,0.999829284573537
603.094052,0.9979935156863972
603.213054,0.9993780734765233
603.332056,1.0000909971399885
603.451058,1.0000232522703298
603.57006,0.999473608592595
603.689062,0.999913470743872
603.808064,0.99949669669962
603.927066,0.9999234969265094
604.046068,0.99925058095483
604.16507,1.0007795536941606
604.284072,0.9993524597447414
604.403074,0.9994021287962565
604.522076,1.0003664771363436
604.641078,0.9995912235718597
604.76008,0.9987419919563802
604.879082,0.9998078384653933
604.998084,0.9978790523947432
605.117086,0.9981773630238066
605.236088,1.001292334345272
605.35509,0.9977664979858211
605.474092,0.9990188016901764
605.593094,1.000694671172335
605.712096,0.9995880348809425
605.831098,0.9980659726457918
605.9501,1.000631219135004
606.069102,0.9997230083692672
606.188104,0.9999733033563617
606.307106,1.0001328988302671
606.426108,1.0006398145940938
606.54511,0.9990936909463654
606.664112,0.9995610963464008
606.783114,0.99946674223249
606.902116,0.9987151261581432
607.021118,0.999545733210416
607.14012,0.9995502711583458
607.259122,1.0001578824621242
607.378124,1.000460656069434
607.497126,0.9983070346852554
607.616128,0.9980117791348442
607.73513,1.0000079656317256
607.854132,1.0005153527486215
607.973134,0.9998523509012013
608.092136,0.9997099420749362
608.211138,0.9986223498324502
608.33014,0.9991009643749107
608.449142,1.0006215530841143
608.568144,0.9999521621442667
608.687146,1.000802311679969
608.806148,0.9992632615251603
608.92515,0.9999008429163886
609.044152,0.9996685949267969
609.163154,0.9992017987322516
609.282156,1.0005873224063024
609.401158,0.9987968243968753
609.52016,1.000511981017564
609.639162,0.9993673402136518
609.758164,0.9986975489266029
609.877166,1.0000128760828961
609.996168,0.999336969901662
610.11517,0.9993937738293835
610.234172,1.0003861945539225
610.353174,1.0015903632884804
610.472176,1.0003155497753595
610.591178,0.9993174130685253
610.71018,0.9998897060828214
610.829182,0.9992415577628238
610.948184,1.0009263688147838
611.067186,0.9999156795551686
611.186188,1.0006508717251357
611.30519,1.00029985494751
611.424192,0.9996559691921747
611.543194,0.9998742479074573
611.662196,0.999239679190461
611.781198,0.998879228534012
611.9002,0.9994829137352064
612.019202,0.9993061808039277
612.138204,0.9995926729801847
612.257206,0.9995785188481467
612.376208,1.0000963736436412
612.49521,0.9996759125276942
612.614212,0.9979638757191369
612.733214,1.0005414965563562
612.852216,0.9998671288281562
612.971218,1.0001565322498942
613.09022,1.0011363451514548
613.209222,0.9987039406113695
613.328224,0.9994902999412308
613.447226,0.9989124917661519
613.566228,0.9990488426372066
613.68523,1.0003360564543227
613.804232,0.9998217558873698
613.923234,1.0000937183912941
614.042236,0.9996234908973484
614.161238,0.9990487227513527
614.28024,0.9992952984188735
614.399242,1.002273179764348
614.518244,1.000003616306539
614.637246,0.9993856288033178
614.756248,0.9994032181451705
614.87525,0.9992813383610658
614.994252,0.9993917650499169
615.113254,0.999757599383778
615.232256,1.0007383924776034
615.351258,1.000279188965987
615.47026,0.9983332905055301
615.589262,0.9995199852439637
615.708264,1.0003198911542663
615.827266,0.9996249903337093
615.946268,0.9983298961781127
616.06527,0.9996331373105795
616.184272,1.0008556558647914
616.303274,0.9998657090178413
616.422276,0.999925504774907
616.541278,1.000174215173701
616.66028,0.9994471828597336
616.779282,1.0001961792406309
616.898284,0.9996153539952497
617.017286,0.9998500412449383
617.136288,0.9998340137772377
617.25529,0.9995885546668557
617.374292,1.0000309634793587
617.493294,1.000608415009374
617.612296,0.9987756501286462
617.731298,1.0001148665966624
617.8503,1.0007737191663704
617.969302,0.9999829431454698
618.088304,1.0007840472044447
618.207306,0.9988150026645012
618.326308,1.0002721970388928
618.44531,1.0017548379291308
618.564312,0.9990874466303105
618.683314,0.9984495032639963
618.802316,1.0001193271189144
618.921318,1.0001205372640323
619.04032,1.0006053931765235
619.159322,0.9976642321609905
619.278324,1.0025914520219705
619.397326,1.0007031270780324
619.516328,0.9991057600710493
619.63533,1.000426911100617
619.754332,0.999089824461263
619.873334,1.0000025791033258
619.992336,1.0006834234274435
620.111338,0.9985878979556793
620.23034,0.9987884345387879
620.349342,0.9994871615466163
620.468344,0.998977722881637
620.587346,0.9999710804181792
620.706348,1.0002018503690449
620.82535,1.0004802953048713
620.944352,1.0008518225949703
621.063354,1.0000350716149946
621.182356,1.0002696763561325
621.301358,1.0015392834824988
621.42036,0.9986501119196668
621.539362,1.0002918525806799
621.658364,1.0004619866829916
621.777366,1.000844486377998
621.896368,1.0008923278878497
622.01537,1.000090453090634
622.134372,0.9996537199687744
622.253374,0.9999239098949989
622.372376,1.0008483196197213
622.491378,0.9988570536612805
622.61038,0.9999690974774927
622.729382,0.9994563978052403
622.848384,1.000463177233464
622.967386,1.0000923732661475
623.086388,1.0007530934325672
623.20539,1.0011067119542116
623.324392,0.9995238833795075
623.443394,1.0006834934752855
623.562396,1.0015080359443183
623.681398,1.0006161297299938
623.8004,1.0005609172552816
623.919402,0.9975379358639233
624.038404,1.0018128412134257
624.157406,1.0000144861049225
624.276408,1.0006144386901636
624.39541,1.000737211606997
624.514412,1.0006715754058506
624.633414,1.0005833100591843
624.752416,1.0000466610885947
624.871418,1.0000699974497071
624.99042,1.000027543379312
625.109422,1.0001103160843718
625.228424,1.0011655787595417
625.347426,1.0001936987571822
625.466428,1.0000758538767598
625.58543,1.0012611946378989
625.704432,1.0000580256834248
625.823434,1.000134269013277
625.942436,0.9999826561504063
626.061438,1.0002246552312077
626.18044,0.998227572607927
626.299442,1.0002381783599625
626.418444,0.9996173732203042
626.537446,1.0004969034156201
626.656448,0.9994296127327007
626.77545,0.9996795513546385
626.894452,1.000285960879019
627.013454,0.9999346171375525
627.132456,0.9995010145346763
627.251458,0.9995106797562182
627.37046,1.0009026271228931
627.489462,0.9994336804195023
627.608464,0.9997264074332741
627.727466,1.0003858844342501
627.846468,1.0001203672435555
627.96547,0.999731106158431
628.084472,0.99917361164709
628.203474,0.9997529805143384
