nu,[0]Peroxyacetalnitrate-HITRAN(x-sec)-X=0.01-T=250.0K-P=0.0011atm-L=15cm
1590.0209,0.999961088757062
1590.141429,0.9999534640828294
1590.261958,0.99997464632141
1590.382488,0.999967003544395
1590.503017,0.999981015180214
1590.623546,0.9999694874655168
1590.744075,0.9999722263856939
1590.864604,0.9999567649346623
1590.985133,0.999987425079065
1591.105663,0.9999878980732289
1591.226192,0.999953186095805
1591.346721,0.9999454464880969
1591.46725,0.9999681855060918
1591.587779,0.9999671745387673
1591.708308,0.9999775292524711
1591.828838,0.999983823130847
1591.949367,0.9999613667462833
1592.069896,0.9999454464880969
1592.190425,0.9999804211916674
1592.310954,0.9999826091512226
1592.431483,0.9999814461721244
1592.552013,0.9999530941001161
1592.672542,0.9999775942510125
1592.793071,0.999964073645367
1592.9136,0.999958358867016
1593.034129,0.999989191058417
1593.154658,0.9999524911285822
1593.275188,0.9999396988181893
1593.395717,0.9999266746884321
1593.516246,0.9999753973026513
1593.636775,0.999990048449517
1593.757304,0.9999885560654823
1593.877833,0.9999723103833645
1593.998363,0.9999624377054807
1594.118892,0.9999476703692429
1594.239421,0.9999641716418509
1594.35995,0.999956407950161
1594.480479,0.9999262577190957
1594.601008,0.999921484082536
1594.721538,0.9999585718581692
1594.842067,0.9999829661450778
1594.962596,0.9999742983302936
1595.083125,0.9999535570785059
1595.203654,0.9999266746884321
1595.324183,0.9999377059403555
1595.444713,0.9999479493546819
1595.565242,0.9999883890674074
1595.685771,0.9999864380919635
1595.8063,0.9999666835550051
1595.926829,0.9999393748377794
1596.047358,0.999933488212007
1596.167888,0.9999727963700255
1596.288417,0.9999501732413941
1596.408946,0.9999597638094972
1596.529475,0.9999456774755218
1596.650004,0.9999515641730525
1596.770534,0.9999744703258877
1596.891063,0.999980597188237
1597.011592,0.9999361300397728
1597.132121,0.999931263362471
1597.25265,0.9999366860044157
1597.373179,0.999965640590298
1597.493709,0.9999857661013029
1597.614238,0.9999712674127887
1597.734767,0.99996287768905
1597.855296,0.9999452604982612
1597.975825,0.9999237089103132
1598.096354,0.9999532330936058
1598.216884,0.9999677265207999
1598.337413,0.9999638696527168
1598.457942,0.9999347861265171
