nu,[0]Diacetonealcohol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
520,1.0
520.129603,1.0
520.259205,1.0
520.388808,1.0
520.51841,1.0
520.648013,0.9978014204243897
520.777616,1.0
520.907218,1.0
521.036821,1.0
521.166423,0.984748500356014
521.296026,1.0
521.425629,1.0
521.555231,1.0
521.684834,0.9940439082613675
521.814436,0.9925089984634275
521.944039,1.0
522.073641,0.9990486028655132
522.203244,0.9868334474886568
522.332847,0.9978376412733555
522.462449,0.9915858983792755
522.592052,0.9934329578919558
522.721654,0.9979641751083446
522.851257,0.990127654724425
522.98086,0.9957103270438235
523.110462,0.9662815766774838
523.240065,0.9992411580662806
523.369667,0.9706765270726317
523.49927,0.9656334192206789
523.628873,0.9519573934230677
523.758475,0.9685985945750195
523.888078,0.9502340084844783
524.01768,0.9661057294331132
524.147283,0.9687264580283056
524.276886,0.9532319649136455
524.406488,0.9410631802932684
524.536091,0.9743536021513205
524.665693,0.9200806037546801
524.795296,0.9756552328553709
524.924898,0.9632387256831122
525.054501,0.9369334723107301
525.184104,0.9322660907022713
525.313706,0.9452299951402274
525.443309,0.9535017677350146
525.572911,0.9328554690955498
525.702514,0.9156244385175926
525.832117,0.9277054496253712
525.961719,0.9115945136527396
526.091322,0.9289187533693094
526.220924,0.9157636240100767
526.350527,0.9332921476298933
526.48013,0.9029844013200615
526.609732,0.9296882166109203
526.739335,0.9102263264590353
526.868937,0.8977353182051837
526.99854,0.9152280589580822
527.128143,0.8985166877785018
527.257745,0.9024157003068588
527.387348,0.8546869649074484
527.51695,0.8881363504261717
527.646553,0.8879321025549792
527.776156,0.8742577835161898
527.905758,0.883865833430936
528.035361,0.8758591400543583
528.164963,0.8702628382755816
528.294566,0.908461290680746
528.424168,0.8619051923846188
528.553771,0.851053742694776
528.683374,0.8515474970404576
528.812976,0.8615863464535712
528.942579,0.8724412172103668
529.072181,0.8115818780106588
529.201784,0.8508665314653734
529.331387,0.8266780156306428
529.460989,0.7962596124642732
529.590592,0.8356795941054326
529.720194,0.8031209128258
529.849797,0.8320106814184572
529.9794,0.7912826836706714
530.109002,0.8142645221364024
530.238605,0.8232708760123354
530.368207,0.7677738924916516
530.49781,0.80276761735486
530.627413,0.8259591185226306
530.757015,0.790547132859
530.886618,0.7633031602041898
531.01622,0.7699959683940483
531.145823,0.7983405645139254
531.275426,0.751600760200813
531.405028,0.758312279460042
531.534631,0.7857473310510124
531.664233,0.7197581688416769
531.793836,0.7620523689506268
531.923438,0.7229320822735517
532.053041,0.7379567945984242
532.182644,0.7370717775613305
532.312246,0.7358492533863762
532.441849,0.7467610683253357
532.571451,0.7120693290851023
532.701054,0.7454702885235927
532.830657,0.7456790494295421
532.960259,0.7164118986399645
533.089862,0.7317766020914067
533.219464,0.7267592585219601
533.349067,0.7201469432124843
533.47867,0.7060353301751398
533.608272,0.6864924854570554
533.737875,0.7262071313203957
533.867477,0.678297022968252
533.99708,0.6861081572871308
534.126683,0.6815879381498552
534.256285,0.6738350034780981
534.385888,0.6736530925862345
534.51549,0.666256864743628
534.645093,0.7066003844308459
534.774695,0.6592582101849812
534.904298,0.6771448976132279
535.033901,0.6796481779973204
535.163503,0.6330537166575099
535.293106,0.647018753231135
535.422708,0.6477179109618411
535.552311,0.6356672782099679
535.681914,0.6428010574832214
535.811516,0.6455194096347162
535.941119,0.6201648184881443
536.070721,0.6116102779798539
536.200324,0.6563179024690307
536.329927,0.6195325728733656
536.459529,0.6256651219374523
536.589132,0.651622416894461
536.718734,0.6128898801793444
536.848337,0.6140861814603652
536.97794,0.6087789799811087
537.107542,0.635247876224229
537.237145,0.6324083310691242
537.366747,0.6243650909847177
537.49635,0.6079272857342181
537.625953,0.6235601792970071
537.755555,0.6168187859990037
537.885158,0.6292604739324723
538.01476,0.6144363103610545
538.144363,0.6119528756539181
538.273965,0.6220467676012377
538.403568,0.6500473971880831
538.533171,0.6267421919618721
538.662773,0.5993377400189965
538.792376,0.6381831294940534
538.921978,0.6206239102968448
539.051581,0.6151064110778932
539.181184,0.6014030120759667
539.310786,0.6519483095692875
539.440389,0.6393776484733602
539.569991,0.6058032594484248
539.699594,0.628644100740213
539.829197,0.6324778998117525
539.958799,0.6084807513528989
540.088402,0.6365578356442082
540.218004,0.6250147684530677
540.347607,0.637742935019261
540.47721,0.6483076025297861
540.606812,0.6355465129001758
540.736415,0.6392114318938489
540.866017,0.6393201070743993
540.99562,0.658566352353213
541.125223,0.6567052442860873
541.254825,0.6461523287358631
541.384428,0.6587705395698259
541.51403,0.6536390442473453
