nu,[0]2-Pentylfuran-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
550,1.0114227469818804
550.135003,1.0037483073990472
550.270005,1.0039516874078254
550.405008,1.0008235589385848
550.540011,0.9997857229606049
550.675014,1.0096542040472807
550.810016,1.0169825920924345
550.945019,1.0165819798769389
551.080022,1.0028560708210739
551.215024,0.9982960533682712
551.350027,1.004430987924194
551.48503,0.9993628930388828
551.620032,0.9970398897912083
551.755035,1.014051811482281
551.890038,0.9995840165451191
552.025041,1.0092205497568332
552.160043,1.0072518683605156
552.295046,1.0043637937387724
552.430049,1.0090549502524289
552.565051,1.0028871598411466
552.700054,1.006662999669886
552.835057,1.0103734348577202
552.970059,1.0020069111558358
553.105062,1.010204716582467
553.240065,1.0099631045122162
553.375068,1.0043226156673855
553.51007,1.0091308340378826
553.645073,1.0075481447003007
553.780076,0.9973947994404108
553.915078,1.0107685681142673
554.050081,1.0129774860551788
554.185084,1.0052687312035893
554.320086,1.011516813671383
554.455089,1.014221172276031
554.590092,0.9980917230800652
554.725095,1.0129855899074824
554.860097,1.0065800540561194
554.9951,1.0106381873787187
555.130103,1.0001894179373125
555.265105,1.00573287036499
555.400108,1.0074961565573397
555.535111,1.0011955140578772
555.670113,1.0063740282065192
555.805116,1.0014572607740573
555.940119,1.004896348126903
556.075122,1.0089861350514469
556.210124,1.008068879346878
556.345127,1.0103704037419623
556.48013,1.014275941698095
556.615132,0.998130050538114
556.750135,1.0070064309879547
556.885138,1.0037634641129216
557.02014,1.0108686391559454
557.155143,1.0057149684792246
557.290146,1.0135905228591764
557.425149,0.9981486159297116
557.560151,0.9988831241705998
557.695154,1.0013951723486503
557.830157,1.0069548735785692
557.965159,1.0060052597061369
558.100162,1.0153902283134824
558.235165,1.004493867272141
558.370167,1.0028324036970757
558.50517,1.0014099931068745
558.640173,1.0031418252194322
558.775176,1.010896943874106
558.910178,1.0050869950464314
559.045181,1.007263854729068
559.180184,1.0060327240246132
559.315186,1.0043997506062123
559.450189,1.0067253140381753
559.585192,1.0003171802910347
559.720194,1.008386773577928
559.855197,1.0078957079892517
559.9902,1.0073557213816748
560.125203,1.0091899708374485
560.260205,1.0054831778938815
560.395208,1.0070918287541166
560.530211,1.0049891043404686
560.665213,1.000410734328254
560.800216,1.0109525447350287
560.935219,1.009871807974234
561.070221,1.0017415146783861
561.205224,1.0014160015848586
561.340227,1.0100063318581478
561.47523,1.0036304742646989
561.610232,1.0046369173837668
561.745235,1.0055341571833147
561.880238,1.0109808518025782
562.01524,1.0026281475406384
562.150243,1.0075718223599126
562.285246,1.0024360623899147
562.420248,1.0016688910512102
562.555251,1.00421355215358
562.690254,1.0138094820588561
562.825257,1.0054695034156487
562.960259,1.0062775215647817
563.095262,1.0078157850285954
563.230265,1.0026230341501252
563.365267,1.0086477778474254
563.50027,1.0093905168082362
563.635273,1.0035635343445364
563.770275,0.9994347698028077
563.905278,1.007752294634107
564.040281,1.0048644934175672
564.175284,1.0038254986118502
564.310286,1.003472615607006
564.445289,0.9944714390544529
564.580292,1.0011506615035521
564.715294,1.0030487379773665
564.850297,1.0030189478722338
564.9853,1.0072278960513203
565.120302,1.0059205576292771
565.255305,0.9990009393936916
565.390308,1.0047886290122314
565.525311,1.0019547079556699
565.660313,1.0052087184517349
565.795316,1.009392030895147
565.930319,1.0029752171994422
566.065321,1.005104081670583
566.200324,1.0021085198080986
566.335327,1.006910367156756
566.470329,1.0036485397758246
566.605332,0.9951987629644042
566.740335,1.0028193669605667
566.875338,1.0068598215250308
567.01034,1.0053323667283176
