nu,[0]beta-Pinene(1S)(-)-PNNL(x-sec)-X=0.01-T=298.16K-P=1.0atm-L=15cm
600,0.9513283575052891
600.119202,0.9358856301322521
600.238404,0.9448500890484217
600.357606,0.9431999337486684
600.476808,0.945401097253622
600.59601,0.9477230128103279
600.715212,0.9520592583138384
600.834414,0.946089599836955
600.953616,0.9535484904663312
601.072818,0.9424089208805523
601.19202,0.9407649105433685
601.311222,0.9395925078449281
601.430424,0.9524763516057427
601.549626,0.9465107033974756
601.668828,0.949184579821221
601.78803,0.9451742282156547
601.907232,0.9441294433917572
602.026434,0.9460981146816703
602.145636,0.9498843867037092
602.264838,0.9479381703536931
602.38404,0.943400856732095
602.503242,0.9500268800484485
602.622444,0.944551563589789
602.741646,0.9415131160195203
602.860848,0.9358631691466619
602.98005,0.9400144796065218
603.099252,0.9478339028897699
603.218454,0.9512379856040594
603.337656,0.9435886121836324
603.456858,0.9446923122582793
603.57606,0.9505894624694033
603.695262,0.9454218963065503
603.814464,0.9510239811337042
603.933666,0.9530556333113126
604.052868,0.9568400867275512
604.17207,0.9592303833990629
604.291272,0.9571549389064279
604.410474,0.9603591018863281
604.529676,0.9643278006546064
604.648878,0.9692787895088993
604.76808,0.9644117008228678
604.887282,0.9511133815896864
605.006484,0.9582706741998703
605.125686,0.9605483112659117
605.244888,0.9550658385382225
605.36409,0.962299063316672
605.483292,0.9572458729449225
605.602494,0.9673353978242503
605.721696,0.9594414372984883
605.840898,0.9729982454842183
605.9601,0.9627726309439073
606.079302,0.9655600338694968
606.198504,0.9537420804586153
606.317706,0.9557852739480798
606.436908,0.9592275057122291
606.55611,0.9674408431292778
606.675312,0.9559009309633357
606.794514,0.9624838424750604
606.913716,0.9734809723203373
607.032918,0.9637137194512173
607.15212,0.9688407744948918
607.271322,0.9668479836224433
607.390524,0.9691188717022122
607.509726,0.9654924470326929
607.628928,0.9615737632954013
607.74813,0.9687196769668331
607.867332,0.967976953845328
607.986534,0.9684726849420282
608.105736,0.9708192270102999
608.224938,0.9693737834849
608.34414,0.9660236139360694
608.463342,0.9681831548961294
608.582544,0.9676149981545231
608.701746,0.9670645818288681
608.820948,0.9733904427995994
608.94015,0.981734866954839
609.059352,0.9696471854397065
609.178554,0.9729427861648313
609.297756,0.9686780229162921
609.416958,0.9797802178198578
609.53616,0.9706066408786157
609.655362,0.9695318042899538
609.774564,0.9846667696223569
609.893766,0.9743886795123866
610.012968,0.974217202195239
610.13217,0.9685453231172964
610.251372,0.9758991771553517
610.370574,0.9690335929938206
610.489776,0.9889356650310738
610.608978,0.9797900156710252
610.72818,0.9813432328791178
610.847382,0.9778089262181403
610.966584,0.9827819543214239
611.085786,0.9769361326073753
611.204988,0.9835134161655041
611.32419,0.980046754286421
611.443392,0.9828458372246267
611.562594,0.9771970093802809
611.681796,0.9908112767225289
611.800998,0.9865847967911934
611.9202,0.9831820279863008
612.039402,0.9916508493827414
612.158604,0.9897528633468309
612.277806,0.9837327641136964
612.397008,0.9885984954599772
612.51621,0.9829283997425308
612.635412,0.9805163091311315
612.754614,0.9859762617239466
612.873816,0.9882367346169115
612.993018,0.9878385554513517
613.11222,0.9888961083956105
613.231422,0.9912001473589439
613.350624,0.9851424785465416
613.469826,0.9905262613196475
613.589028,0.9906703933760224
613.70823,0.9902300392171106
613.827432,0.9879867423484089
613.946634,0.9911906318832037
614.065836,0.9917308788354315
614.185038,0.9970847575957669
614.30424,0.9903893800490468
614.423442,0.9909007510205207
614.542644,0.9924065768198338
614.661846,0.9996790715085689
614.781048,0.9935323061550754
614.90025,0.999877047559271
615.019452,0.9936126861699711
615.138654,0.9972108967957389
615.257856,0.9917145154109295
615.377058,1.0000360516498452
615.49626,0.9895222777939312
615.615462,1.0006361822781595
615.734664,0.9914174422458946
615.853866,0.9899330147612415
615.973068,0.9921193166987533
616.09227,0.987675575535915
616.211472,1.0055178676619139
616.330674,1.0022490252717786
616.449876,0.9963396155997717
616.569078,0.999947513377471
616.68828,1.0008097276525747
616.807482,0.9901429028077177
616.926684,1.0012752123927477
617.045886,1.008482171478958
617.165088,0.9984224456490902
617.28429,1.008324356368476
617.403492,1.0002568229733744
617.522694,0.9971076908089225
617.641896,0.9966078663292194
617.761098,1.0045659925210768
617.8803,0.9986709839251176
617.999502,1.0015107400196657
618.118704,1.004211945413182
618.237906,1.0002795190581737
618.357108,0.9959296065996316
618.47631,0.9930728044011982
618.595512,0.9962096017635232
618.714714,1.003024865701484
618.833916,1.0033930433836686
618.953118,0.9949607398889978
619.07232,0.9943513141603048
619.191522,0.9999044575644692
619.310724,0.9974892572004221
619.429926,1.0007111227279604
619.549128,0.9983117267393447
619.66833,1.0051409696672708
619.787532,1.0002554226148024
619.906734,0.9993791827868005
620.025936,1.0004634473585583
620.145138,0.995913572262042
620.26434,1.005949729748442
620.383542,0.998073557976008
620.502744,0.9982211839719061
620.621946,1.0030308838687325
620.741148,1.0080837988766964
620.86035,0.9929064786366326
620.979552,0.9941346686133388
621.098754,1.0048727333401968
621.217956,0.999401858957718
621.337158,1.0008993541766538
621.45636,0.9953295406737651
621.575562,1.0076452770231525
621.694764,1.0053906776965895
621.813966,1.002810341626878
621.933168,0.9972579662608984
622.05237,1.0030574645393475
622.171572,1.0004009103430787
622.290774,1.010854487094062
622.409976,1.0085566002095994
622.529178,1.006038559031334
622.64838,0.9976633342635857
622.767582,0.9960129693963883
622.886784,1.0038539072754415
623.005986,1.0056991788781682
623.125188,1.0029362022223394
623.24439,0.993370373587035
623.363592,1.002938809859855
623.482794,1.00149351418308
623.601996,1.0041303063006946
623.721198,0.9982679018165049
623.8404,1.0041581210954122
623.959602,1.005480362544925
624.078804,0.9992431465581637
624.198006,1.0044759874404348
624.317208,0.9954510778303738
624.43641,0.9996961261790048
624.555612,0.9935128331127112
624.674814,1.00329882920032
624.794016,0.996930022049177
624.913218,0.9974938456615587
625.03242,1.0014429400376217
625.151622,0.9968000308499122
625.270824,1.0033780929387033
625.390026,0.995567751533641
625.509228,1.0077840393313644
625.62843,1.0028689074609347
625.747632,1.0050384505169303
625.866834,1.0038962708041927
625.986036,0.9951149707562641
626.105238,1.0028145534391577
626.22444,1.0014986218130268
626.343642,1.0105805826437886
626.462844,0.9976536569761782
626.582046,0.9953748291981719
626.701248,1.0002205043075016
626.82045,0.9945772564449537
626.939652,1.0071408753204512
627.058854,0.9996989053380987
627.178056,1.005303614633786
627.297258,1.006207990190378
627.41646,1.0052025866972543
627.535662,1.001770565603548
627.654864,0.9962830251167906
627.774066,0.9978989103854722
627.893268,1.0040658432043177
628.01247,1.005480362544925
