nu,[0]Halon-2311-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
599.99,1.0
600.050265,1.0
600.110531,1.0
600.170796,1.0
600.231062,1.0
600.291327,1.0
600.351592,1.0
600.411858,1.0
600.472123,1.0
600.532388,1.0
600.592654,1.0
600.652919,1.0
600.713185,1.0
600.77345,1.0
600.833715,1.0
600.893981,1.0
600.954246,1.0
601.014511,1.0
601.074777,1.0
601.135042,1.0
601.195308,1.0
601.255573,1.0
601.315838,1.0
601.376104,1.0
601.436369,1.0
601.496634,1.0
601.5569,1.0
601.617165,1.0
601.677431,1.0
601.737696,1.0
601.797961,1.0
601.858227,1.0
601.918492,1.0
601.978758,1.0
602.039023,1.0
602.099288,1.0
602.159554,1.0
602.219819,1.0
602.280084,1.0
602.34035,1.0
602.400615,1.0
602.460881,1.0
602.521146,1.0
602.581411,1.0
602.641677,1.0
602.701942,1.0
602.762207,1.0
602.822473,1.0
602.882738,1.0
602.943004,1.0
603.003269,1.0
603.063534,1.0
603.1238,1.0
603.184065,1.0
603.244331,1.0
603.304596,1.0
603.364861,1.0
603.425127,1.0
603.485392,1.0
603.545657,1.0
603.605923,1.0
603.666188,1.0
603.726454,1.0
603.786719,1.0
603.846984,1.0
603.90725,1.0
603.967515,1.0
604.02778,1.0
604.088046,1.0
604.148311,1.0
604.208577,1.0
604.268842,1.0
604.329107,1.0
604.389373,1.0
604.449638,1.0
604.509903,1.0
604.570169,1.0
604.630434,1.0
604.6907,1.0
604.750965,1.0
604.81123,1.0
604.871496,1.0
604.931761,1.0
604.992027,1.0
605.052292,1.0
605.112557,1.0
605.172823,1.0
605.233088,1.0
605.293353,1.0
605.353619,1.0
605.413884,1.0
605.47415,1.0
605.534415,1.0
605.59468,1.0
605.654946,1.0
605.715211,1.0
605.775476,1.0
605.835742,1.0
605.896007,1.0
605.956273,1.0
606.016538,1.0
606.076803,1.0
606.137069,1.0
606.197334,1.0
606.2576,1.0
606.317865,1.0
606.37813,1.0
606.438396,1.0
606.498661,1.0
606.558926,1.0
606.619192,1.0
606.679457,1.0
606.739723,1.0
606.799988,1.0
606.860253,1.0
606.920519,1.0
606.980784,1.0
607.041049,1.0
607.101315,1.0
607.16158,1.0
607.221846,1.0
607.282111,1.0
607.342376,1.0
607.402642,1.0
607.462907,1.0
607.523172,1.0
607.583438,1.0
607.643703,1.0
607.703969,1.0
607.764234,1.0
607.824499,1.0
607.884765,1.0
607.94503,1.0
608.005296,1.0
608.065561,1.0
608.125826,1.0
608.186092,1.0
608.246357,1.0
608.306622,1.0
608.366888,1.0
608.427153,1.0
608.487419,1.0
608.547684,1.0
608.607949,1.0
608.668215,1.0
608.72848,1.0
608.788745,1.0
608.849011,1.0
608.909276,1.0
608.969542,1.0
609.029807,1.0
609.090072,1.0
609.150338,1.0
609.210603,1.0
609.270869,1.0
609.331134,1.0
609.391399,1.0
609.451665,1.0
609.51193,1.0
609.572195,1.0
609.632461,1.0
609.692726,1.0
609.752992,1.0
609.813257,1.0
609.873522,1.0
609.933788,1.0
609.994053,1.0
610.054318,1.0
610.114584,1.0
610.174849,1.0
610.235115,1.0
610.29538,1.0
610.355645,1.0
610.415911,1.0
610.476176,1.0
610.536441,1.0
610.596707,1.0
610.656972,1.0
610.717238,1.0
610.777503,1.0
610.837768,1.0
610.898034,1.0
610.958299,1.0
611.018565,1.0
611.07883,1.0
611.139095,1.0
611.199361,1.0
611.259626,1.0
611.319891,1.0
611.380157,1.0
611.440422,1.0
611.500688,1.0
611.560953,1.0
611.621218,1.0
611.681484,1.0
611.741749,1.0
611.802014,1.0
611.86228,1.0
611.922545,1.0
611.982811,1.0
612.043076,1.0
612.103341,1.0
612.163607,1.0
612.223872,1.0
612.284138,1.0
612.344403,1.0
612.404668,1.0
612.464934,1.0
612.525199,1.0
612.585464,1.0
612.64573,1.0
612.705995,1.0
612.766261,1.0
612.826526,1.0
612.886791,1.0
612.947057,1.0
613.007322,1.0
613.067587,1.0
613.127853,1.0
613.188118,1.0
613.248384,1.0
613.308649,1.0
613.368914,1.0
613.42918,1.0
613.489445,1.0
613.54971,1.0
613.609976,1.0
613.670241,1.0
613.730507,1.0
613.790772,1.0
613.851037,1.0
613.911303,1.0
613.971568,1.0
614.031834,1.0
614.092099,1.0
614.152364,1.0
614.21263,1.0
614.272895,1.0
614.33316,1.0
614.393426,1.0
614.453691,1.0
614.513957,1.0
614.574222,1.0
614.634487,1.0
614.694753,1.0
614.755018,1.0
614.815283,1.0
614.875549,1.0
614.935814,1.0
614.99608,1.0
615.056345,1.0
615.11661,1.0
615.176876,1.0
615.237141,1.0
615.297407,1.0
615.357672,1.0
615.417937,1.0
615.478203,1.0
615.538468,1.0
615.598733,1.0
615.658999,1.0
615.719264,1.0
615.77953,1.0
615.839795,1.0
615.90006,1.0
615.960326,1.0
616.020591,1.0
616.080856,1.0
616.141122,1.0
616.201387,1.0
616.261653,1.0
616.321918,1.0
616.382183,1.0
616.442449,1.0
616.502714,1.0
616.562979,1.0
616.623245,1.0
616.68351,1.0
616.743776,1.0
616.804041,1.0
616.864306,1.0
616.924572,1.0
616.984837,1.0
617.045103,1.0
617.105368,1.0
617.165633,1.0
617.225899,1.0
617.286164,1.0
617.346429,1.0
617.406695,1.0
617.46696,1.0
617.527226,1.0
617.587491,1.0
617.647756,1.0
617.708022,1.0
617.768287,1.0
617.828552,1.0
617.888818,1.0
617.949083,1.0
618.009349,1.0
618.069614,1.0
618.129879,1.0
618.190145,1.0
618.25041,1.0
618.310676,1.0
618.370941,1.0
618.431206,1.0
618.491472,1.0
618.551737,1.0
618.612002,1.0
618.672268,1.0
618.732533,1.0
618.792799,1.0
618.853064,1.0
618.913329,1.0
618.973595,1.0
619.03386,1.0
619.094125,1.0
619.154391,1.0
619.214656,1.0
619.274922,1.0
619.335187,1.0
619.395452,1.0
619.455718,1.0
619.515983,1.0
619.576248,1.0
619.636514,1.0
619.696779,1.0
619.757045,1.0
619.81731,1.0
619.877575,1.0
619.937841,1.0
619.998106,1.0
620.058372,1.0
620.118637,1.0
620.178902,1.0
620.239168,1.0
620.299433,1.0
620.359698,1.0
620.419964,1.0
620.480229,1.0
620.540495,1.0
620.60076,1.0
620.661025,1.0
620.721291,1.0
620.781556,1.0
620.841821,1.0
620.902087,1.0
620.962352,1.0
621.022618,1.0
621.082883,1.0
621.143148,1.0
621.203414,1.0
621.263679,1.0
621.323945,1.0
621.38421,1.0
621.444475,1.0
621.504741,1.0
621.565006,1.0
621.625271,1.0
621.685537,1.0
621.745802,1.0
621.806068,1.0
621.866333,1.0
621.926598,1.0
621.986864,1.0
622.047129,1.0
622.107394,1.0
622.16766,1.0
622.227925,1.0
622.288191,1.0
622.348456,1.0
622.408721,1.0
622.468987,1.0
622.529252,1.0
622.589517,1.0
622.649783,1.0
622.710048,1.0
622.770314,1.0
622.830579,1.0
622.890844,1.0
622.95111,1.0
623.011375,1.0
623.071641,1.0
623.131906,1.0
623.192171,1.0
623.252437,1.0
623.312702,1.0
623.372967,1.0
623.433233,1.0
623.493498,1.0
623.553764,1.0
623.614029,1.0
623.674294,1.0
623.73456,1.0
623.794825,1.0
623.85509,1.0
623.915356,1.0
623.975621,1.0
624.035887,1.0
624.096152,1.0
624.156417,1.0
624.216683,1.0
624.276948,1.0
624.337214,1.0
624.397479,1.0
624.457744,1.0
624.51801,1.0
624.578275,1.0
624.63854,1.0
624.698806,1.0
624.759071,1.0
624.819337,1.0
624.879602,1.0
624.939867,1.0
625.000133,1.0
625.060398,1.0
625.120663,1.0
625.180929,1.0
625.241194,1.0
625.30146,1.0
625.361725,1.0
625.42199,1.0
625.482256,1.0
625.542521,1.0
625.602786,1.0
625.663052,1.0
625.723317,1.0
625.783583,1.0
625.843848,1.0
625.904113,1.0
625.964379,1.0
626.024644,1.0
626.08491,1.0
626.145175,1.0
626.20544,1.0
626.265706,1.0
626.325971,1.0
626.386236,1.0
626.446502,1.0
626.506767,1.0
626.567033,1.0
626.627298,1.0
626.687563,1.0
626.747829,1.0
626.808094,1.0
626.868359,1.0
626.928625,1.0
626.98889,1.0
627.049156,1.0
627.109421,1.0
627.169686,1.0
627.229952,1.0
627.290217,1.0
627.350483,1.0
627.410748,1.0
627.471013,1.0
627.531279,1.0
627.591544,1.0
627.651809,1.0
627.712075,1.0
627.77234,1.0
627.832606,1.0
627.892871,1.0
627.953136,1.0
628.013402,1.0
628.073667,1.0
628.133932,1.0
628.194198,1.0
628.254463,1.0
628.314729,1.0
628.374994,1.0
628.435259,1.0
628.495525,1.0
628.55579,1.0
628.616055,1.0
628.676321,1.0
628.736586,1.0
628.796852,1.0
628.857117,1.0
628.917382,1.0
628.977648,1.0
629.037913,1.0
629.098179,1.0
629.158444,1.0
629.218709,1.0
629.278975,1.0
629.33924,1.0
629.399505,1.0
629.459771,1.0
629.520036,1.0
629.580302,1.0
629.640567,1.0
629.700832,1.0
629.761098,1.0
629.821363,1.0
629.881628,1.0
629.941894,1.0
630.002159,1.0
630.062425,1.0
630.12269,1.0
630.182955,1.0
630.243221,1.0
630.303486,1.0
630.363752,1.0
630.424017,1.0
630.484282,1.0
630.544548,1.0
630.604813,1.0
630.665078,1.0
630.725344,1.0
630.785609,1.0
630.845875,1.0
