nu,[0]Chloromethanol-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
657.1251,0.9056919878520773
657.607217,0.9027406284425245
658.089333,0.8975378381587802
658.57145,0.8941515492486335
659.053567,0.88763025695677
659.535683,0.8815795828948272
660.0178,0.8767179027365962
660.499916,0.8704978409658516
660.982033,0.8609834470504633
661.46415,0.8547040588176851
661.946266,0.8507984648655564
662.428383,0.8477665295706299
662.9105,0.8379724960344084
663.392616,0.8286975728466155
663.874733,0.8226207488543251
664.35685,0.8194023876280374
664.838966,0.8116955074274539
665.321083,0.8019091153847526
665.803199,0.7913934710013175
666.285316,0.7857787615728606
666.767433,0.7797592974000501
667.249549,0.7857787615728606
667.731666,0.851564528160709
668.213783,0.8467159505675584
668.695899,0.784247985979062
669.178016,0.7497915833025481
669.660133,0.7285565726597
670.142249,0.7119981257124218
670.624366,0.6999334639194916
671.106482,0.697292709595893
671.588599,0.6918057990233248
672.070716,0.6814175624631659
672.552832,0.6788466661322861
673.034949,0.6802533341302718
673.517066,0.6732692197376156
673.999182,0.6741989726428063
674.481299,0.6767522674463674
674.963416,0.668198495923238
675.445532,0.664766119624466
675.927649,0.6744282392666223
676.409765,0.6661369493006878
676.891882,0.6565870479801025
677.373999,0.6652183143145807
677.856115,0.6670501823430265
678.338232,0.6451773749947958
678.820349,0.6328828152267437
679.302465,0.6407601968087301
679.784582,0.6465142753755555
680.266699,0.6595285614693832
680.748815,0.6748937553362909
681.230932,0.6620262971781739
681.713048,0.6491834088294406
682.195165,0.6302743992863972
682.677282,0.551397121915903
683.159398,0.5011499105503768
683.641515,0.5536791010727513
684.123632,0.6387833036734494
684.605748,0.6538874742828766
685.087865,0.652763754503155
685.569982,0.6440750644276951
686.052098,0.594710824988244
686.534215,0.522432233607217
687.016331,0.475152249994912
687.498448,0.5265757937653954
687.980565,0.5799751622880056
688.462681,0.5955261371798075
688.944798,0.5975782747446367
689.426915,0.5795751174573652
689.909031,0.5681328481615873
690.391148,0.5634650333754788
690.873265,0.5457414228159514
691.355381,0.5320381934596731
691.837498,0.5320381934596731
692.319614,0.5283903337152842
692.801731,0.5201021730879775
693.283848,0.5271237174618474
693.765964,0.5307575252384958
694.248081,0.5165413167056406
694.730198,0.5008042363833993
695.212314,0.4944792946896188
695.694431,0.492613691167722
696.176548,0.5047813064689254
696.658664,0.5110642310022526
697.140781,0.5167169706127926
697.622897,0.5233315902740334
698.105014,0.5217117743560592
698.587131,0.5300308852909357
699.069247,0.5628849631785365
699.551364,0.589217437274767
700.033481,0.5708778586505748
700.515597,0.4961782707486555
700.997714,0.4769517243638164
701.479831,0.541631173976351
701.961947,0.5973691589458755
702.444064,0.6178373771024696
702.92618,0.6255274907506116
703.408297,0.6272500587956612
703.890414,0.624452508216519
704.37253,0.6261721159910935
704.854647,0.6300601424163716
705.336764,0.6307094386932399
705.81888,0.6287635544670984
706.300997,0.6315804185565178
706.783114,0.6363732606365411
707.26523,0.6370290627751196
707.747347,0.6333133218967768
708.229463,0.6374687645080872
708.71158,0.6498524122181346
709.193697,0.6638493750786082
709.675813,0.6732692197376156
710.15793,0.6800152871239824
710.640047,0.6849427642844604
711.122163,0.6774496813883601
711.60428,0.6665967424060844
712.086397,0.6802533341302718
712.568513,0.7042794891323011
713.05063,0.7259094474259228
713.532746,0.7459923004084033
714.014863,0.7628148024728024
714.49698,0.7739871558802972
714.979096,0.7833544526857926
715.461213,0.7955671678585088
715.94333,0.8101061423195106
716.425446,0.8195171119928235
716.907563,0.8256535701787067
717.38968,0.8338681355296099
717.871796,0.8444497898317959
718.353913,0.8520585788478916
718.836029,0.8573148856841158
719.318146,0.8612503932935788
719.800263,0.8672482595457145
720.282379,0.8747300102090205
720.764496,0.8824880776596943
721.246613,0.8860782623984161
721.728729,0.8894695546049692
722.210846,0.895663942979604
722.692963,0.901279372561288
723.175079,0.904755986332818
723.657196,0.9056611948479742
724.139312,0.9076240753862977
724.621429,0.9131939403230618
725.103546,0.9184186009263868
725.585662,0.9207258063750094
726.067779,0.9216442277609497
726.549896,0.9253585453305883
727.032012,0.9306844460765631
727.514129,0.9340493545675318
727.996246,0.933953152438506
728.478362,0.9355918081768517
728.960479,0.9410095412207198
729.442595,0.945581686108884
729.924712,0.9469802891540012
730.406829,0.9484786491326133
730.888945,0.9526601972821398
731.371062,0.9579133058917266
731.853179,0.9599241577354616
732.335295,0.9608816793659413
732.817412,0.9634275389764444
733.299529,0.9665686049273423
733.781645,0.9699730416347894
734.263762,0.9739425116774033
734.745878,0.9718721656420123
735.227995,0.9685172357101953
735.710112,0.9638582873514564
736.192228,0.9668344478454232
736.674345,0.9755166996483959
737.156462,0.9791514007918815
737.638578,0.9795519556226845
738.120695,0.9598579252536248
738.602812,0.9324460354218838
739.084928,0.9549550573263865
739.567045,0.9839826639717196
740.049161,0.9857327556615375
740.531278,0.9846145836665069
741.013395,0.982414462595744
741.495511,0.9799928531972287
741.977628,0.9760231242213225
742.459745,0.9731928645945774
742.941861,0.97389478966353
743.423978,0.9743974490499652
743.906095,0.972667482313679
744.388211,0.9711279966162545
744.870328,0.9686044061840218
745.352444,0.9677359575890996
745.834561,0.9695366519610944
746.316678,0.9723329422439541
746.798794,0.9694271005091964
747.280911,0.9615093400114646
747.763028,0.9619719372497271
748.245144,0.9729680830061291
748.727261,0.9774432940572108
749.209378,0.9701971312887656
749.691494,0.9608153808173913
750.173611,0.9716486607479627
750.655727,0.9840298962731564
751.137844,0.9874277000761271
751.619961,0.9896806140249389
752.102077,0.9930743933189563
752.584194,0.9950252154339277
753.066311,0.9961886815815489
753.548427,0.9965106021480349
754.030544,0.9984143584600336
754.512661,1.0
754.994777,1.0
755.476894,1.0
755.95901,1.0
756.441127,1.0
756.923244,1.0
757.40536,1.0
757.887477,1.0
758.369594,1.0
758.85171,1.0
759.333827,1.0
759.815943,1.0
760.29806,1.0
760.780177,1.0
761.262293,1.0
761.74441,1.0
762.226527,1.0
762.708643,1.0
763.19076,1.0
763.672877,1.0
764.154993,1.0
764.63711,1.0
765.119226,1.0
765.601343,1.0
766.08346,1.0
766.565576,1.0
767.047693,1.0
767.52981,1.0
768.011926,1.0
768.494043,1.0
768.97616,1.0
769.458276,1.0
769.940393,1.0
770.422509,1.0
770.904626,1.0
771.386743,1.0
771.868859,1.0
772.350976,1.0
772.833093,1.0
773.315209,1.0
773.797326,1.0
774.279443,1.0
774.761559,1.0
775.243676,1.0
775.725792,1.0
776.207909,1.0
776.690026,1.0
777.172142,1.0
777.654259,1.0
778.136376,1.0
778.618492,1.0
779.100609,1.0
779.582726,1.0
780.064842,1.0
780.546959,1.0
781.029075,1.0
781.511192,1.0
781.993309,1.0
782.475425,1.0
782.957542,1.0
783.439659,1.0
783.921775,1.0
784.403892,1.0
784.886009,1.0
785.368125,1.0
785.850242,1.0
786.332358,1.0
786.814475,1.0
787.296592,1.0
787.778708,1.0
788.260825,1.0
788.742942,1.0
789.225058,1.0
789.707175,1.0
790.189292,1.0
790.671408,1.0
791.153525,1.0
791.635641,1.0
792.117758,1.0
792.599875,1.0
793.081991,1.0
793.564108,1.0
794.046225,1.0
794.528341,1.0
795.010458,1.0
795.492575,1.0
