nu,[0]Glycoaldehyde-HITRAN(x-sec)-X=0.01-T=298.1K-P=0.0atm-L=15cm
570,0.9999886850640144
570.118602,0.9999981075017907
570.237205,0.9999886350645814
570.355807,0.9999913670372642
570.474409,0.999990449945602
570.593012,0.9999885560654823
570.711614,0.9999852621086038
570.830217,0.9999903531465312
570.948819,0.9999861320961603
571.067421,0.9999883300680942
571.186024,0.9999824191545449
571.304626,0.9999889430611284
571.423228,0.9999991050604005
571.541831,0.9999946395143674
571.660433,0.9999940826175078
571.779036,0.9999911802388943
571.897638,0.9999922883297351
572.01624,0.9999883100683278
572.134843,0.9999929397249239
572.253445,0.9999870240841879
572.372047,0.999991806733565
572.49065,0.9999951220118974
572.609252,0.9999932875225288
572.727855,0.9999884880662628
572.846457,0.9999951683116727
572.965059,0.9999919221326261
573.083662,0.9999974030033723
573.202264,0.9999924417285638
573.320866,0.9999980332019341
573.439469,0.9999948021135091
573.558071,0.9999898910510958
573.676674,0.9999894850552824
573.795276,0.9999917868337282
573.913878,0.9999985214010931
574.032481,0.9999849481132808
574.151083,0.9999933620220315
574.269685,0.9999927330264046
574.388288,0.9999896480535818
574.50689,0.9999920390316887
574.625493,0.9999905027450993
574.744095,0.9999925107280447
574.862697,0.9999887040637996
574.9813,0.9999929871245903
575.099902,0.9999899460505413
575.218504,0.9999956439094878
575.337107,0.9999958449086325
575.455709,0.9999947731136603
575.574311,0.9999900435495658
575.692914,0.9999899140508636
575.811516,0.9999893920562646
575.930119,0.9999949860125701
576.048721,0.999996523206044
576.167323,0.99999651000609
576.285926,0.9999947737136571
576.404528,0.9999941619170417
576.52313,0.9999967159053926
576.641733,0.9999917662338976
576.760335,0.9999900318496824
576.878938,0.9999875430775881
576.99754,0.9999871390827023
577.116142,0.9999958110087739
577.234745,0.9999896940531067
577.353347,0.999995616409608
577.471949,0.9999866750887774
577.590552,0.999989758052449
577.709154,0.9999924982281384
577.827757,0.9999928484255727
577.946359,0.999993558120749
578.064961,0.9999956284095555
578.183564,0.9999943386160257
578.302166,0.9999933342222164
578.420768,0.9999927526262623
578.539371,0.9999983445013704
578.657973,0.9999886090648772
