nu,[0]Isopropylamine-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.9821246930723844
600.241054,0.9813363635005306
600.482108,0.9814178177990077
600.723162,0.9816651662536894
600.964216,0.9816376800138434
601.20527,0.9816936349563049
601.446324,0.9822897038813404
601.687378,0.9820156832816087
601.928432,0.9816180474565693
602.169486,0.9819989891568933
602.41054,0.9809399836837907
602.651594,0.9812843540515276
602.892648,0.98097529815886
603.133702,0.9811891740854876
603.374756,0.9815002603582418
603.61581,0.9809252696943905
603.856864,0.981098908833737
604.097918,0.9809694123247286
604.338972,0.9809615646008208
604.580026,0.9806565329891042
604.82108,0.9804104190879107
605.062134,0.9805604333578302
605.303188,0.9800506744812785
605.544242,0.9796126897266708
605.785296,0.9797204530494148
606.02635,0.980143783717973
606.267404,0.9805633750435427
606.508458,0.9806898758780518
606.749512,0.9804917965298121
606.990566,0.9815355950036345
607.23162,0.9810802681315564
607.472674,0.9810734005937158
607.713728,0.9810910600738614
607.954782,0.9818448274176089
608.195836,0.9813677667666121
608.43689,0.9811038143405448
608.677944,0.9797214327703577
608.918998,0.9805496472523869
609.160052,0.9807634303770019
609.401106,0.9804653236086918
609.64216,0.9805790641830562
609.883214,0.9810763438183324
610.124268,0.9813952454487813
610.365322,0.9812215538624958
610.606376,0.981227441209481
610.84743,0.9813216435654778
611.088484,0.9813510836563839
611.329538,0.9809733362102255
611.570592,0.981179362242806
611.811646,0.9812941669441325
612.0527,0.9811234366130538
612.293754,0.981282391484782
612.534808,0.980963526525912
612.775862,0.9808919188021893
613.016916,0.9806683009381076
613.25797,0.9813108490867684
613.499024,0.9810086518860075
613.740078,0.9805731807263215
613.981132,0.9807281235290354
614.222186,0.9793345192248694
614.46324,0.9799467946155137
614.704294,0.9806781076701506
614.945348,0.9798194098124052
615.186402,0.9806055401752134
615.427456,0.98021925769503
615.66851,0.9786443317085021
615.909564,0.9780553651175444
616.150618,0.9759587088208556
616.391672,0.9776798639581761
616.632726,0.9780084195867205
616.87378,0.9786883716943212
617.114834,0.9790113921524245
617.355888,0.9789908331290598
617.596942,0.9787304561991145
617.837996,0.9796597122643096
618.07905,0.9800183333426523
618.320104,0.9809272315468918
618.561158,0.9810086518860075
618.802212,0.9804084582690333
619.043266,0.980919384160429
619.28432,0.9804555190044788
619.525374,0.980919384160429
619.766428,0.9801947525199036
620.007482,0.9799242560984315
620.248536,0.9803496355262371
620.48959,0.9808566073287228
620.730644,0.9810066898706657
620.971698,0.9811224554901077
621.212752,0.980816393032221
621.453806,0.9803182648398339
621.69486,0.9806653589376179
621.935914,0.9811410969938558
622.176968,0.980907613198445
622.418022,0.9806614362840274
622.659076,0.9815444288637418
622.90013,0.9805790641830562
623.141184,0.9806967407312098
623.382238,0.9810214050813776
623.623292,0.9807163548621651
623.864346,0.9811744563582595
624.1054,0.9802859148708716
624.346454,0.9809537169396947
624.587508,0.9805143481004743
624.828562,0.9805045430060189
625.069616,0.980964507489929
625.31067,0.9804496362890129
625.551724,0.9798576235145503
625.792778,0.9803202254783242
626.033832,0.9802692501519693
626.274886,0.9802241588035713
626.51594,0.97989485881171
626.756994,0.9796802853342836
626.998048,0.9798517443864466
627.239102,0.9799889332336559
627.480156,0.9800545946918169
627.72121,0.9801859308068287
627.962264,0.9802741515104735
628.203318,0.980076156130075
628.444372,0.9797253516639266
628.685426,0.9799605139666735
628.92648,0.980124181038326
629.167534,0.9800075532002764
629.408588,0.980609462605219
629.649642,0.9801300618010546
629.890696,0.9796842040632624
630.13175,0.9801673074510658
630.372804,0.979774339156187
630.613858,0.9795676285793578
630.854912,0.9793727140159127
631.095966,0.9796881228079162
631.33702,0.9793570441778475
631.578074,0.9802339610941707
631.819128,0.9794637999137448
632.060182,0.9802751317851152
632.301236,0.9801320220631384
632.54229,0.9801124196187222
632.783344,0.9802731712368121
633.024398,0.9805574916809425
633.265452,0.9794549847792138
633.506506,0.9805182701657108
633.74756,0.9805212117249337
633.988614,0.9807761803844716
634.229668,0.9801829902534471
634.470722,0.9807928537212611
634.711776,0.9805878894343474
634.95283,0.9807075284546902
635.193884,0.9803790464564647
635.434938,0.9801751488208909
635.675992,0.9797772784836134
635.917046,0.9801682876188634
636.1581,0.9801467241537347
636.399154,0.9799252360231775
636.640208,0.9797214327703577
636.881262,0.9803270877439205
637.122316,0.9801055588557976
637.36337,0.9801947525199036
637.604424,0.9798507645351922
637.845478,0.9799360152600595
638.086532,0.9799654137814928
638.327586,0.9800585149180361
638.56864,0.9801084991768847
638.809694,0.9799605139666735
639.050748,0.9795597920696751
639.291802,0.9803437534460702
639.532856,0.9797047776475696
639.77391,0.9796988994365383
640.014964,0.9801398631506792
640.256018,0.9800634152228614
640.497072,0.9798586033726637
640.738126,0.9801516248996074
640.97918,0.9794647793780344
641.220234,0.9798448854482422
641.461288,0.9796215062805528
641.702342,0.9794696767141746
641.943396,0.9799801133729462
642.18445,0.9796420785481927
642.425504,0.9798017732217584
642.666558,0.9799134769908996
642.907612,0.9797909954615308
643.148666,0.9797263313897682
643.38972,0.9797616021725685
643.630774,0.979289470873105
643.871828,0.9796753869451029
644.112882,0.979560771629957
644.353936,0.9792395283836348
644.59499,0.9794334370065749
644.836044,0.9796518750179605
645.077098,0.979742986878973
645.318152,0.9797772784836134
645.559206,0.9795823222039883
645.80026,0.9793492093528334
646.041314,0.9797145747443314
646.282368,0.979782177382253
646.523422,0.9801045787507288
646.764476,0.9800016731725973
647.00553,0.9795284466578582
647.246584,0.9794677177767802
647.487638,0.9794628204504346
647.728692,0.979797854022504
647.969746,0.9793306018946272
648.2108,0.9796391396263655
648.451854,0.9796401192659949
648.692908,0.9791886092520677
648.933962,0.9795470578751507
649.175016,0.9796665699062972
649.41607,0.9790681764598983
649.657124,0.9795509760712185
649.898178,0.9794804509398767
650.139232,0.9790211823152968
650.380286,0.9793697759021779
650.62134,0.9789330743738052
650.862394,0.9789878961609658
651.103448,0.9790985280438157
651.344502,0.978954611138345
651.585556,0.9788126730104929
651.82661,0.9792405076236529
652.067664,0.9783556742097225
652.308718,0.9786022509069823
652.549772,0.978529837019762
652.790826,0.9786844569486639
653.03188,0.9774266776624515
653.272934,0.977414948612694
653.513988,0.9782754523335792
