nu,[0]2-Methylfuran-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
550,0.9958395786325204
550.119002,0.9988764316760878
550.238005,0.9953009751258654
550.357007,0.9949692965881547
550.47601,0.996368410230743
550.595012,0.997533047940013
550.714014,0.9950232253854869
550.833017,0.9922563378374812
550.952019,0.9997485316234739
551.071021,0.9906730681896955
551.190024,0.9986851651537758
551.309026,0.9906854516804444
551.428029,0.9959637675709953
551.547031,0.9929840276608641
551.666033,0.9887507513516808
551.785036,1.0
551.904038,0.9912983801609021
552.02304,0.9922776715780816
552.142043,0.9951841336501144
552.261045,0.9916819877082812
552.380048,0.9913981097942628
552.49905,0.9964716393452187
552.618052,0.9990095008684281
552.737055,0.9997359148766166
552.856057,0.9942344847447535
552.97506,0.9928564374111588
553.094062,0.995464317417752
553.213064,0.997297757647585
553.332067,1.0
553.451069,0.9934550123484246
553.570071,0.9970418838729819
553.689074,0.9928903936819672
553.808076,0.9931174936828975
553.927079,0.9950876054708426
554.046081,0.9977306788115013
554.165083,0.9951474120331006
554.284086,0.9956425214793574
554.403088,0.9913355545471736
554.52209,0.9974133511562108
554.641093,0.9990100902842075
554.760095,0.9972838953050972
554.879098,0.9949511883117426
554.9981,0.9991813552725868
555.117102,0.9996036585640264
555.236105,0.9943048790382021
555.355107,0.9980557924247899
555.474109,0.9996668754982924
555.593112,0.998119769851539
555.712114,0.9975587846246516
555.831117,0.9981500133387521
555.950119,0.9960302005698081
556.069121,0.9996383654055591
556.188124,0.9973964950130111
556.307126,0.9995787887343833
556.426129,1.0
556.545131,0.9952901264043621
556.664133,0.9946430996387159
556.783136,0.993978005334956
556.902138,0.9998918558480004
557.02114,0.9905438928440191
557.140143,0.9950472057341808
557.259145,1.0
557.378148,0.9953726393759564
557.49715,1.0
557.616152,0.9935270404478069
557.735155,0.9969218472565129
557.854157,0.9978889314462631
557.973159,1.0
558.092162,0.996532824582242
558.211164,0.9989638371877948
558.330167,1.0
558.449169,0.9980115795325084
558.568171,1.0
558.687174,0.9988634463668806
558.806176,0.997329970885398
558.925179,0.9986539067973023
559.044181,0.9979659714454765
559.163183,0.9971963376229279
559.282186,0.9977682939671337
559.401188,1.0
559.52019,0.9977743803722905
559.639193,0.9979511018632806
559.758195,0.9981204685356224
559.877198,0.9991632702537262
559.9962,0.998683866863905
560.115202,0.9995094703490274
560.234205,0.9993393783066615
560.353207,1.0
560.472209,0.9995355978680674
560.591212,0.9920729858084981
560.710214,0.998920682882168
560.829217,1.0
560.948219,0.9951076069327267
561.067221,0.9998497112944792
561.186224,1.0
561.305226,1.0
561.424228,0.9960798041089144
561.543231,1.0
561.662233,0.9974524505259188
561.781236,1.0
561.900238,0.9982649070172916
562.01924,0.9998362934013878
562.138243,0.9987770484155352
562.257245,1.0
562.376248,0.9986580012867139
562.49525,1.0
562.614252,0.9955995106514701
562.733255,0.9987916306668922
562.852257,0.999757389434704
562.971259,0.9987719546655773
563.090262,1.0
563.209264,0.9998531807789969
563.328267,0.9974768884103196
563.447269,0.9974020804490223
563.566271,1.0
563.685274,0.9992759522491677
563.804276,0.9973267794345975
563.923278,0.9968921394281135
564.042281,0.9985920920336583
564.161283,0.9993720672323504
564.280286,0.9982184887783478
564.399288,0.9974694073617104
564.51829,0.9959678510308133
564.637293,0.9976549539267753
