nu,[0]Dimethylsulfate-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
525,1.271096609575994
525.119602,1.3267468917920964
525.239204,1.2307946282272777
525.358806,1.3156488947447875
525.478408,1.2183652485612069
525.59801,1.239043858096586
525.717612,1.2163566034889768
525.837214,1.2635939474389917
525.956816,1.2153717535582194
526.076418,1.1708383140785816
526.19602,1.2044704382315954
526.315622,1.2400478901997505
526.435224,1.2089110551680677
526.554826,1.2027492764289134
526.674428,1.1509411511740282
526.79403,1.199182410495744
526.913632,1.2360242764705291
527.033234,1.2166607306541606
527.152836,1.2055428940936892
527.272438,1.2608170964107535
527.39204,1.2032786025537499
527.511642,1.1860043875255326
527.631244,1.2128827935191195
527.750846,1.2085605217918651
527.870448,1.101503428688159
527.99005,1.1652550615415442
528.109652,1.1424556218361541
528.229254,1.1332731062524632
528.348856,1.1293926383049895
528.468458,1.106674973049788
528.58806,1.1648007006736714
528.707662,1.1033974380668505
528.827264,1.1242206049920294
528.946866,1.0858216700814516
529.066468,1.140469477500835
529.18607,1.0144291089291264
529.305672,1.138122528564547
529.425274,1.0706158032677058
529.544876,1.1195423659766768
529.664478,1.069416315390808
529.78408,1.188390653738607
529.903682,1.1197550992352319
530.023284,1.1719628585550808
530.142886,1.085742407992637
530.262488,1.1044041955419956
530.38209,1.1507570153211013
530.501692,1.1242768174275781
530.621294,1.1005422358166488
530.740896,1.0789744428108772
530.860498,1.1743091297613066
530.9801,1.1306582666794804
531.099702,1.0529249941625969
531.219304,1.1027730918235592
531.338906,1.0908345003796618
531.458508,1.0778582819754385
531.57811,1.0671238087174497
531.697712,1.0652483878541237
531.817314,1.0300970282610598
531.936916,1.069266607586444
532.056518,1.0720492459717958
532.17612,1.031737217057229
532.295722,1.0212690289323734
532.415324,1.0437343468076958
532.534926,1.045138068859725
532.654528,1.0167975181029176
532.77413,1.0659015853004412
532.893732,1.021009659540332
533.013334,1.089337812322113
533.132936,1.0346808275707435
533.252538,1.0247021653742114
533.37214,1.0248784293049193
533.491742,1.014546789531105
533.611344,1.008828140194018
533.730946,1.0355399691520615
533.850548,1.0402977809439373
533.97015,1.026135700809198
534.089752,1.0524586516926666
534.209354,1.0153100156538875
534.328956,1.002818364141701
534.448558,0.9898528334344334
534.56816,1.0130342143827762
534.687762,1.0019968911368244
534.807364,0.9960351807332614
534.926966,0.9733719485568821
535.046568,0.9885431354943249
535.16617,1.0251090528956939
535.285772,0.9474861116710016
535.405374,0.9752084850717749
535.524976,0.9893689137268954
535.644578,1.0063428310952025
535.76418,0.9775821008600166
535.883782,0.9785259229082423
536.003384,0.9656720453299649
536.122986,0.9664448920637038
536.242588,0.9872549153477185
536.36219,0.96233178204104
536.481792,0.9602227405757424
536.601394,0.9558799013741809
536.720996,1.0123860799107252
536.840598,0.9937163253778294
536.9602,1.0111314991724472
537.079802,0.9506978358452899
537.199404,0.9654914815407286
537.319006,0.9646673037894831
537.438608,0.9657888987169371
537.55821,0.9476585698365427
537.677812,0.9486085996089488
537.797414,0.9810135569415296
537.917016,0.923476431973852
538.036618,0.960525258383077
538.15622,0.9080798170537294
538.275822,0.9583789649043645
538.395424,0.9161959664654024
538.515026,0.9124299167834669
538.634628,0.9499879297448531
538.75423,0.8972506719996054
538.873832,0.9098131774987332
538.993434,0.919466195146694
539.113036,0.9081697214058098
539.232638,0.9041861695725545
539.35224,0.92527064044433
