nu,[0]HCFC-141-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
550,0.9993132059510722
550.119002,1.0001761855188458
550.238005,0.9977394588801072
550.357007,0.9994592362654408
550.47601,0.9999411697305681
550.595012,0.9987927293382902
550.714014,0.998973826876115
550.833017,0.9998951354986663
550.952019,0.9997715760927143
551.071021,0.9967652431358847
551.190024,0.9988540570946144
551.309026,0.9984419150766066
551.428029,1.0001722748376058
551.547031,0.999648111927136
551.666033,0.9996393050660641
551.785036,0.9993956027216631
551.904038,0.9980948171692026
552.02304,0.9985696239643542
552.142043,0.9985068159103409
552.261045,0.99947863595749
552.380048,0.9991140327009914
552.49905,0.9994087048838992
552.618052,0.9999469034096738
552.737055,0.999869348535646
552.856057,0.9988856213815317
552.97506,0.9994346298819496
553.094062,0.9997121314421068
553.213064,0.9994325010884552
553.332067,0.998604175071074
553.451069,0.9993292150768643
553.570071,0.99775203047649
553.689074,0.9997702064065932
553.808076,0.9998714782596265
553.927079,0.9983018435021721
554.046081,0.9996415042749545
554.165083,0.999819656263887
554.284086,0.9987099328529898
554.403088,0.9984209480165449
554.52209,0.9980456123076259
554.641093,1.0002317268445182
554.760095,0.999506521800439
554.879098,0.9971224481119503
554.9981,0.999656299078699
555.117102,0.999128649846214
555.236105,0.9988407724239984
555.355107,0.998569324393512
555.474109,0.9964598810492485
555.593112,0.9978229731678396
555.712114,0.9994057766206839
555.831117,0.998401678678198
555.950119,0.9993961523893957
556.069121,0.9993607643981877
556.188124,0.9993861984532886
556.307126,0.9989673335673436
556.426129,0.9995521902967088
556.545131,0.9996793814091292
556.664133,0.9983349876735665
556.783136,0.9979436172580839
556.902138,0.999361513919042
557.02114,0.9974647192665128
557.140143,0.9986956514030626
557.259145,1.0001252978491197
557.378148,0.999213559406634
557.49715,0.9984637811939799
557.616152,0.9988242916872198
557.735155,0.9990148755540007
557.854157,0.9967708250368755
557.973159,0.9995423747423946
558.092162,0.9979895237203184
558.211164,0.9977759768125762
558.330167,0.9993760447410932
558.449169,0.9999826851499037
558.568171,0.9993779235698235
558.687174,0.9996474021772285
558.806176,0.9992561667811899
558.925179,0.9989448570552001
559.044181,0.9986523089523297
559.163183,0.9975743466630753
559.282186,0.9979956114749806
559.401188,0.9990454458769161
559.52019,0.9986223498324502
559.639193,0.9989141899188314
559.758195,0.9988641455715378
559.877198,0.9978502141068442
559.9962,0.9989902101812185
560.115202,0.9975989870537455
560.234205,0.9989056991843027
560.353207,0.9985992819226045
560.472209,0.9986323361058798
560.591212,0.9970653146325633
560.710214,0.9992973169974151
560.829217,0.9978712689684899
560.948219,0.9980478080103883
561.067221,0.9994449241116526
561.186224,0.9999336022044312
561.305226,0.9987403939704715
561.424228,0.9984135597288663
561.543231,0.9983648383359632
561.662233,0.9978120969567076
561.781236,0.9990529187647998
561.900238,0.9976992507901128
562.01924,0.9966516183749016
562.138243,0.9978226738209925
562.257245,0.9992816981024124
562.376248,0.9980051922788385
562.49525,0.9986855646279218
562.614252,0.9986196535557457
562.733255,0.9984619839607912
562.852257,0.9980664716789028
562.971259,0.9980176674217115
563.090262,0.9973383484923394
563.209264,0.997472699016186
563.328267,0.997464619520046
563.447269,0.9982716952417393
563.566271,0.997703840217222
563.685274,0.9976643319274188
563.804276,0.9976815916696574
563.923278,0.9969404898693645
564.042281,0.9964021876923745
564.161283,0.9983696304986883
564.280286,0.9962220544613746
564.399288,0.997053449625916
564.51829,0.996170750346662
564.637293,0.9990840097754055
564.756295,0.9969900390429978
564.875298,0.9962905968965542
564.9943,0.9973604896494418
565.113302,0.9972199714561895
565.232305,0.9979486069886445
565.351307,0.9984080684693888
565.470309,0.999513178536041
565.589312,0.9978143919271697
565.708314,0.9950777541523126
565.827317,0.9978015202045367
565.946319,0.9983219095708898
566.065321,0.9982216830826228
566.184324,0.9963541622643499
566.303326,0.9949426317683163
566.422328,0.9958974385928545
566.541331,0.9965286391531681
566.660333,0.9970497605349773
566.779336,0.9961880838685193
566.898338,0.9956760751977083
567.01734,0.9968581459857505
567.136343,0.9986585006158394
567.255345,0.9974464658291697
567.374347,0.9971145708757253
567.49335,0.9978006221835726
567.612352,0.9959416574207787
567.731355,0.9970059910112379
567.850357,0.9953963295266852
567.969359,0.9961537159724755
568.088362,0.9970473676184235
568.207364,0.9953357117360475
568.326367,0.9966148426087006
568.445369,0.9970413853521646
568.564371,0.9957796308943317
568.683374,0.9960066945344469
568.802376,0.9962458644530044
568.921378,0.9969327137638704
569.040381,0.9963838540607909
569.159383,0.9959547043419481
569.278386,0.996014861822828
569.397388,0.9959856790149068
569.51639,0.9963240728230024
569.635393,0.9956735860106317
569.754395,0.9962149813098976
569.873397,0.9959330923593547
569.9924,0.9964044794200417
570.111402,0.9968214622809626
570.230405,0.9962355035498909
570.349407,0.9958874796682633
570.468409,0.9958960443374164
570.587412,0.996570693549082
570.706414,0.9957648934648518
570.825417,0.9964085646867821
570.944419,0.9965048224033037
571.063421,0.9960763178357009
571.182424,0.9963239731906001
571.301426,0.9969426831408548
571.420428,0.9970523528677246
571.539431,0.9973889148284537
571.658433,0.9962545318297282
571.777436,0.9956514823023744
571.896438,0.9976467731896942
572.01544,0.9964752266495774
572.134443,0.9968108960294636
572.253445,0.996822658467435
572.372447,0.9963893341870586
572.49145,0.9961423598848432
572.610452,0.9973007495453458
572.729455,0.9961026145976075
572.848457,0.9979853321731209
572.967459,0.9968316299117326
573.086462,0.9962732615909858
573.205464,0.9971209524293999
573.324466,0.9957889912668558
573.443469,0.9966140453171455
573.562471,0.9959031152244329
573.681474,0.995671395531152
573.800476,0.996021236338342
573.919478,0.9959487286316492
574.038481,0.9956737851453689
574.157483,0.9947586838822084
574.276486,0.9964505143703901
574.395488,0.9949825297677998
574.51449,0.9960975344872274
574.633493,0.9959437489004553
574.752495,0.9960343839054355
574.871497,0.9941434170369156
574.9905,0.9962218552169836
575.109502,0.9935009110302465
575.228505,0.9963594429554037
575.347507,0.9951517906913466
575.466509,0.9937728694454069
575.585512,0.9933399769186746
575.704514,0.9942549661860974
575.823516,0.9952639506182507
575.942519,0.9932587250318101
576.061521,0.9942067459895866
576.180524,0.9933851749158711
576.299526,0.9942990126567216
576.418528,0.9933026280377059
576.537531,0.9942985155073395
576.656533,0.9930843241125434
576.775536,0.9936255038562966
576.894538,0.9936010609695505
577.01354,0.9936958550323719
577.132543,0.9929250461613889
577.251545,0.9926372389101834
577.370547,0.9930262303788411
577.48955,0.9926349558471594
577.608552,0.9928624938538991
577.727555,0.9924641380705495
577.846557,0.9914899175098614
577.965559,0.9915047899701672
578.084562,0.9910695157883316
578.203564,0.9921445168494379
578.322566,0.9907300335288541
578.441569,0.9897855257302477
578.560571,0.9907454890379298
578.679574,0.9899201457156985
578.798576,0.9904332552704119
578.917578,0.9899904325411971
579.036581,0.9898221484722163
579.155583,0.9902177604407528
579.274585,0.9877911403386619
579.393588,0.9884264942863032
579.51259,0.9886528698725102
579.631593,0.9910673354377952
579.750595,0.9873862289836229
579.869597,0.9881428565864
579.9886,0.9884166100707815
580.107602,0.9875590366939287
580.226605,0.988136927747047
580.345607,0.9865640787280011
580.464609,0.9874513986253104
580.583612,0.985967387977523
580.702614,0.985254791190795
580.821616,0.9846244298615745
580.940619,0.9846027683623949
581.059621,0.9855592819626744
581.178624,0.9858618951109784
581.297626,0.9841361772410229
