nu,[0]Ethylacetate-PNNL(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
565,0.9993522998483606
565.119602,1.0001313886307301
565.239204,0.9993988107866968
565.358806,0.9997678869424049
565.478408,0.9996208618910245
565.59801,0.9973218925453512
565.717612,0.9989970033377444
565.837214,0.999086667342406
565.956816,0.9978489169024091
566.076418,1.0020227429901032
566.19602,1.001018117930547
566.315622,0.9981125834150673
566.435224,1.0001905281481824
566.554826,0.9978908274370341
566.674428,1.0002098220095592
566.79403,0.9982523289587052
566.913632,0.9979516008389563
567.033234,0.9998082383886087
567.152836,0.9995971911492776
567.272438,0.9999036956375629
567.39204,0.9975609792563919
567.511642,0.9998655590379962
567.631244,0.998086433207951
567.750846,0.9992879636183019
567.870448,0.9985110096477745
567.99005,0.9975178855529186
568.109652,0.9974662154647139
568.229254,0.9966663689280074
568.348856,0.9998614995920672
568.468458,0.9995703123421947
568.58806,0.9990760371168184
568.707662,0.9985106102434506
568.827264,0.9993839198553537
568.946866,1.0005968480429537
569.066468,1.0003383972434334
569.18607,0.9985287833019313
569.305672,0.9980081862989064
569.425274,0.9996467524066283
569.544876,0.9986977486661327
569.664478,1.0004018107043031
569.78408,0.9986436207150358
569.903682,0.9995649846466284
570.023284,0.9986916566284466
570.142886,0.9982703974893791
570.262488,0.9981562018880192
570.38209,0.9985926911890932
570.501692,0.9994593062275897
570.621294,0.9967972398137332
570.740896,0.9983993823569777
570.860498,0.9987138278293232
570.9801,0.997039391271388
571.099702,0.9976370960629284
571.219304,0.9991317271671946
571.338906,0.9988735349386362
571.458508,0.9987371980063243
571.57811,0.996568899723448
571.697712,0.9994125226324437
571.817314,0.9966600899496619
571.936916,0.999047034360438
572.056518,0.9990505709931994
572.17612,0.9978023184460721
572.295722,0.9995354579330936
572.415324,0.9978969145896471
572.534926,0.9987317049668412
572.654528,0.9957077382003386
572.77413,0.9978708698200621
572.893732,0.9988608493252963
573.013334,0.9990197907192797
573.132936,0.9979441162300172
573.252538,0.9978474201301563
573.37214,0.997119955308946
573.491742,0.9981966280328196
573.611344,0.9979813402397761
573.730946,0.9968827686860454
573.850548,0.9985872988031202
573.97015,0.9963751855589686
574.089752,0.9979760509526895
574.209354,0.9957241675135604
574.328956,1.0001257579068628
574.448558,0.9967254729961031
574.56816,0.9991935153836745
574.687762,0.996800728610178
574.807364,0.9973230893323403
574.926966,0.998255024243632
575.046568,0.9992099422600961
575.16617,0.998059984267921
575.285772,0.9955819882542801
575.405374,0.9973787415134064
575.524976,0.996990836635348
575.644578,0.9992154379298915
575.76418,0.9961438540995037
575.883782,0.9985946883764728
576.003384,0.9967647447533877
576.122986,0.9982433447281737
576.242588,0.9956059820693214
576.36219,0.9945139038915183
576.481792,0.9985266863936881
576.601394,0.9961971492213298
576.720996,0.9972655454502428
576.840598,0.996400693090214
576.9602,0.9954457024090672
577.079802,0.9949992456147125
577.199404,0.9967255726686554
577.319006,0.9962828258602054
577.438608,0.9966497247386257
577.55821,0.9952748985819212
577.677812,0.9962595131148405
577.797414,0.9969759815825526
577.917016,0.9958632798965358
578.036618,0.9954324630692669
578.15622,0.9964919675740086
578.275822,0.996363627673852
578.395424,0.9938997823440512
578.515026,0.9960910598742957
578.634628,0.9964272973438847
578.75423,0.9953122220904295
578.873832,0.995121240000328
578.993434,0.9940647834026292
579.113036,0.992567359708341
579.232638,0.9946050055375064
579.35224,0.9946556322207265
579.471842,0.99375319293739
579.591444,0.9932528648226201
579.711046,0.9915999789990045
579.830648,0.9932748159534918
579.95025,0.9945948606181891
580.069852,0.9940857583908443
580.189454,0.9924624508829488
580.309056,0.9927521929581602
580.428658,0.9925021501749647
580.54826,0.9928424382340857
580.667862,0.9925153505413443
580.787464,0.9942559604415607
580.907066,0.9929035992120198
581.026668,0.9919862824185318
581.14627,0.9914153602714519
581.265872,0.9919594991504822
581.385474,0.9920743747116505
581.505076,0.9921379687172356
581.624678,0.9921139592689081
581.74428,0.9914570005910239
