nu,[0]HFE-356mff2-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
500,1.0
500.241054,0.9768951021514515
500.482108,0.9892145842143689
500.723162,0.9986526085480674
500.964216,1.0
501.20527,0.9680611715037276
501.446324,1.0
501.687378,0.9278585336536443
501.928432,0.93849664294981
502.169486,1.0
502.41054,0.9504174213468877
502.651594,0.9355936793623393
502.892648,0.9365259948830408
503.133702,0.9198423337356071
503.374756,0.9701428017706542
503.61581,0.9509887938973702
503.856864,0.96975191299092
504.097918,0.9867456232200682
504.338972,0.9879462357223641
504.580026,0.9693253160074228
504.82108,0.9986526085480674
505.062134,0.9067731231625704
505.303188,0.9790045390966652
505.544242,0.9953501442085029
505.785296,0.9194386115745953
506.02635,1.0
506.267404,0.985915133090727
506.508458,0.9737350840142465
506.749512,0.9609297246510317
506.990566,0.9741363455230552
507.23162,0.9022893709520771
507.472674,0.9377405194143109
507.713728,0.9267161158140713
507.954782,0.939476005597244
508.195836,0.9692875130572608
508.43689,0.9533635200018958
508.677944,0.9577629253078863
508.918998,0.9871354647298696
509.160052,0.9818340271839087
509.401106,0.9418182156925886
509.64216,0.957904684710769
509.883214,0.9935127337614329
510.124268,0.9202131049014745
510.365322,0.930174570718721
510.606376,0.923050807452702
510.84743,0.9565444688160718
511.088484,0.933657136210234
511.329538,0.981832063517818
511.570592,0.9995821073414708
511.811646,0.9402589151464628
512.0527,0.9739327723009835
512.293754,1.0
512.534808,0.9844777317508058
512.775862,0.9699672218139991
513.016916,0.996243871963268
513.25797,0.9375604905179105
513.499024,0.9732950552102734
513.740078,0.953624777397005
513.981132,0.9863046464921301
514.222186,0.9412354106138557
514.46324,0.9749208409982656
514.704294,0.9549445528785305
514.945348,0.9808311053884589
515.186402,0.9681792821712553
515.427456,0.9726373300890891
515.66851,0.9701563838649534
515.909564,0.9523839658804172
516.150618,0.9790172662383997
516.391672,0.9456639552942332
516.632726,0.9496440963518844
516.87378,0.9417089711158761
517.114834,0.9523811087328052
517.355888,0.9278427601926471
517.596942,0.9294028461350301
517.837996,0.9405861821900965
518.07905,0.9377630254568483
518.320104,0.9652752356693053
518.561158,0.9536543402233257
518.802212,0.925497359523192
519.043266,0.9461454207700467
519.28432,0.942964163237773
519.525374,0.9412354106138557
519.766428,0.9602496271888894
520.007482,0.9755693789725058
520.248536,0.9493450055708047
520.48959,0.9550849400460077
520.730644,0.9496488445842367
520.971698,0.9309869676786355
521.212752,0.9446923122582793
521.453806,0.9312895876162073
521.69486,0.9605992216755227
521.935914,0.9507634362591515
522.176968,0.9583205055705332
522.418022,0.9420263805196227
522.659076,0.9496507438838252
522.90013,0.9420273225464743
523.141184,0.9137557273281577
523.382238,0.9547946383523269
523.623292,0.9339242003395403
523.864346,0.9485725531670504
524.1054,0.9302024763744253
524.346454,0.9206558338727138
524.587508,0.92993275676751
524.828562,0.9189486813726235
525.069616,0.9531776322401413
525.31067,0.9350988811916116
525.551724,0.9105394981777846
525.792778,0.92861783244504
526.033832,0.8769721877979416
526.274886,0.9069200323078422
526.51594,0.9304778570617632
526.756994,0.9236371308534125
526.998048,0.919332882213819
527.239102,0.9450910565431789
527.480156,0.9359006044221283
527.72121,0.9080761847417259
527.962264,0.9565444688160718
528.203318,0.9203612711384256
528.444372,0.9055217337627469
