nu,[0]HFE-329me3-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
670.146714,0.8804342740491112
670.387768,0.896040200844276
670.628822,0.836022292987486
670.869876,0.9160264858890429
671.11093,0.8568177872229081
671.351984,0.8782535023241266
671.593038,0.8359219763314472
671.834092,0.8505432636081994
672.075146,0.7974867969569951
672.3162,0.8398936519342715
672.557254,0.7973671829087294
672.798308,0.8546869649074484
673.039362,0.8072918726136873
673.280416,0.8463011613834297
673.52147,0.8236579042685769
673.762524,0.8525614417393776
674.003578,0.7570393843618166
674.244632,0.7626622547675869
674.485686,0.8094745058987295
674.72674,0.7150162566308195
674.967794,0.774072299150238
675.208848,0.7348344817701624
675.449902,0.7060918152609271
675.690956,0.7202981899509106
675.93201,0.7587446406705731
676.173064,0.7816955003569003
676.414118,0.7186290351185016
676.655172,0.715009106504004
676.896226,0.7476427664855678
677.13728,0.7027247500807623
677.378334,0.7476278137797656
677.619388,0.7080291597846724
677.860442,0.6905685742895591
678.101496,0.7114714419964039
678.34255,0.6856143372104447
678.583604,0.6787855726815807
678.824658,0.736637033474686
679.065712,0.6788466661322861
679.306766,0.7132880093124704
679.54782,0.6788127246475236
679.788874,0.6872549151861299
680.029928,0.6804302229917012
680.270982,0.6855869131854405
680.512036,0.695767309484664
680.75309,0.638004463232239
680.994144,0.6872274255393191
681.235198,0.7294021886464359
681.476252,0.6474653502291101
681.717306,0.7294094827047926
681.95836,0.6872274255393191
682.199414,0.7240100539656161
682.440468,0.699338773254498
682.681522,0.6704809421534497
682.922576,0.6839434775054605
683.16363,0.720442263995825
683.404684,0.7608188435382828
683.645738,0.7495891669025001
683.886792,0.720420651052101
684.127846,0.7222239558715343
684.3689,0.7495591839354874
684.609954,0.740366459368311
684.851008,0.6787923605712468
685.092062,0.7168633803379098
685.333116,0.7589343505434868
685.57417,0.7385104697966188
685.815224,0.7422642256086482
686.056278,0.7761185498824988
686.297332,0.7331243105508041
686.538386,0.7665541019930157
686.77944,0.7838481214803269
687.020494,0.8055258379264857
687.261548,0.7995149881336371
687.502602,0.6925395019641492
687.743656,0.7742580987970998
687.98471,0.7820473424906036
688.225764,0.7742813268884834
688.466818,0.8238226523236869
688.707872,0.8217081464111542
688.948926,0.8095878402627756
689.18998,0.7898833520943499
689.431034,0.8197384114871489
689.672088,0.8917584313070496
689.913142,0.8381987791551844
690.154196,0.8634148470338335
690.39525,0.7878874730651415
690.636304,0.8198121912642229
690.877358,0.8464958330369298
691.118412,0.8465889527000514
691.359466,0.8486316925889217
691.60052,0.8741791038563111
691.841574,0.8507559260057935
692.082628,0.797742033567701
692.323682,0.8571005837515526
692.564736,0.805678902376354
692.80579,0.8362146002293581
693.046844,0.8176998019646998
693.287898,0.8549434094616805
693.528952,0.8341433574234495
693.770006,0.8258930444361475
694.01106,0.8593405381440604
694.252114,0.8342434606324127
694.493168,0.8487250472095164
694.734222,0.8157967793084598
694.975276,0.9052148139208538
695.21633,0.8720835896299743
695.457384,0.8403137037644451
695.698438,0.842551913715971
695.939492,0.8614140464148587
696.180546,0.8424508135524562
696.4216,0.8445342390331687
696.662654,0.8722405788047095
696.903708,0.8445173485172938
697.144762,0.8405069981443125
697.385816,0.8424508135524562
697.62687,0.8917495137673243
697.867924,0.8808657925567958
698.108978,0.8852988565163913
698.350032,0.8466143507496013
698.591086,0.809838851397973
698.83214,0.8766740679373385
699.073194,0.8424339647046742
699.314248,0.8445089033860343
699.555302,0.8659310435289858
699.796356,0.8198285876720117
700.03741,0.8723278072239383
700.278464,0.853192570695178
700.519518,0.8656886167781266
700.760572,0.8681419854428708
701.001626,0.8873107675758046
701.24268,0.8464958330369298
701.483734,0.8613279093171439
701.724788,0.8078087047808123
701.965842,0.8530731320961776
702.206896,0.8301324604675594
702.44795,0.8549519589385224
702.689004,0.8281094063936931
702.930058,0.8445849126077027
703.171112,0.8446355892227424
703.412166,0.8237485116213594
703.65322,0.8677947980907932
703.894274,0.819607263833403
704.135328,0.8304645798711989
704.376382,0.817806109848818
704.617436,0.8385341257316904
704.85849,0.8341183334980876
705.099544,0.8118578627639319
705.340598,0.8220040145969403
705.581652,0.8319607622751614
705.822706,0.8076310064132977
706.06376,0.8036511475864885
706.304814,0.8036270384137003
706.545868,0.8072676542207866
706.786922,0.6429810669794701
707.027976,0.7319742084496292
707.26903,0.7427097177782995
707.510084,0.7686804004192839
707.751138,0.7032730892102851
707.992192,0.7067134495373222
708.233246,0.7153881617712238
708.4743,0.7064873374133396
708.715354,0.6962545171040758
708.956408,0.6693287061399819
709.197462,0.6945855098728269
709.438516,0.6622580469360281
709.67957,0.6136319257814149
709.920624,0.6416707226085177
710.161678,0.6226379928179718
710.402732,0.5839324328628477
710.643786,0.6226504457023565
710.88484,0.586501531288167
711.125894,0.5738426782116155
711.366948,0.5543272847345071
711.608002,0.5558760173362718
711.849056,0.5420104485287407
712.09011,0.5231903098183793
712.331164,0.5118723507337082
712.572218,0.5106197984774615
712.813272,0.48747805740915234
713.054326,0.4848479220496352
713.29538,0.4684480824436397
713.536434,0.4836276434828357
713.777488,0.46029393704149096
714.018542,0.48721976249292454
714.259596,0.4729621097195727
714.50065,0.4832940555099183
714.741704,0.442135006045927
714.982758,0.43481266318441264
715.223812,0.4578516754723567
715.464866,0.42819781739589324
715.70592,0.4421173209993884
715.946974,0.45556813071427305
716.188028,0.43995184554597605
716.429082,0.4325315531548413
716.670136,0.4343780678551092
716.91119,0.42824063931869333
717.152244,0.4222194822638616
717.393298,0.4468644384727544
717.634352,0.4476829491039613
717.875406,0.4421747999871716
718.11646,0.45078264309903543
718.357514,0.4240262140803941
718.598568,0.4501835007017265
718.839622,0.43036568563387373
719.080676,0.45717455618452746
719.32173,0.4684152922255397
719.562784,0.4622728397427004
719.803838,0.4601834797520059
720.044892,0.49578644470642896
720.285946,0.4978980210177315
720.527,0.4946424997842259
720.768054,0.49609888857607887
721.009108,0.529098851363269
721.250162,0.5627217502062396
721.491216,0.5778447760057565
721.73227,0.5624292109629275
721.973324,0.5940510622085909
722.214378,0.6016676876256309
722.455432,0.6511664408128824
722.696486,0.6214871773637758
722.93754,0.6431032449887395
723.178594,0.6928720007184089
723.419648,0.6845250766059406
723.660702,0.7134734883061159
723.901756,0.6979345140735123
724.14281,0.7139873741944163
724.383864,0.7373445445778144
724.624918,0.7540625174661887
724.865972,0.7633718605800787
725.107026,0.7934934449360125
725.34808,0.7994110579407886
725.589134,0.7742503562548246
725.830188,0.8057594742951204
726.071242,0.8268350993760959
726.312296,0.8203452424113996
726.55335,0.8390290068414439
726.794404,0.8592030546569296
727.035458,0.8537302513663435
727.276512,0.9123158701719307
727.517566,0.8944824465340783
727.75862,0.8925703008241435
727.999674,0.8856264776994837
728.240728,0.9515148361376692
728.481782,0.8728950046178168
728.722836,0.9330019389017767
728.96389,0.9541627734720889
729.204944,0.9614189623813187
729.445998,0.953979591805585
729.687052,0.9394017899243595
729.928106,0.9569204646706626
730.16916,0.9104830464789183
730.410214,0.9901988474621479
730.651268,0.9747161291171558
730.892322,0.9658111121170607
731.133376,0.963478601989168
731.37443,1.0
731.615484,0.9475041140781457
731.856538,0.9711085742505464
732.097592,0.9517432271041619
732.338646,0.9690093674568163
732.5797,0.9642072672130216
732.820754,0.9993915152020069
733.061808,1.0
733.302862,0.951967865011989
733.543916,0.9781394814958969
733.78497,0.9575091517591601
734.026024,0.9562059120022025
734.267078,0.9852469091839935
734.508132,0.9452696956337279
734.749186,0.9362581867468932
734.99024,1.0
735.231294,1.0
735.472348,0.9608297931561958
735.713402,1.0
735.954456,0.9907496501777222
736.19551,0.9428811860424583
736.436564,1.0
736.677618,0.9761949194087185
736.918672,1.0
737.159726,0.9996756426152342
737.40078,0.95929753187607
737.641834,0.9667600044590463
737.882888,0.9956043891010244
738.123942,0.9903028237997936
738.364996,0.9784906966090947
738.60605,0.9614276151909177
738.847104,1.0
739.088158,1.0
739.329212,1.0
739.570266,1.0
739.81132,0.9619632795412515
740.052374,0.9782950180382822
740.293428,0.9836717745730166
740.534482,0.9908500182008397
740.775536,0.9932556459345351
741.01659,1.0
741.257644,1.0
741.498698,0.9668431493946107
741.739752,1.0
741.980806,0.99568503632271
742.22186,1.0
742.462914,0.9993419566055836
742.703968,0.9706707030309414
742.945022,0.9999519921524136
743.186076,0.9788900022661261
743.42713,1.0
743.668184,1.0
743.909238,0.9990767264795218
744.150292,0.9711697560179297
744.391346,1.0
744.6324,0.9740214042159538
744.873454,0.999634146940558
745.114508,0.9784378595380916
745.355562,0.9991202871744126
745.596616,0.9861823522983618
745.83767,1.0
746.078724,1.0
746.319778,1.0
746.560832,1.0
746.801886,0.9993623533830663
747.04294,1.0
747.283994,0.9777668813382843
747.525048,0.9830188333151876
747.766102,1.0
748.007156,0.9383962291812468
748.24821,0.9999504602271351
748.489264,0.9910187743281157
748.730318,1.0
748.971372,1.0
749.212426,0.9855474553222509
749.45348,0.9649963114326904
749.694534,1.0
749.935588,0.9998815370172933
750.176642,1.0
750.417696,0.9901919160944755
750.65875,0.9854991646800704
750.899804,1.0
751.140858,1.0
751.381912,0.9831358195168931
751.622966,0.9633061547539
751.86402,0.9910940946170994
752.105074,0.981404078045737
752.346128,0.9648612214056124
752.587182,0.9934968376848616
752.828236,1.0
753.06929,1.0
753.310344,1.0
753.551398,0.9995884047285838
753.792452,0.970840585268234
754.033506,1.0
754.27456,0.9692186960868652
754.515614,1.0
754.756668,0.9996555893229786
754.997722,1.0
755.238776,0.9998012797474856
755.47983,0.9995043628686835
755.720884,0.9906813898784192
755.961938,0.9864249829993798
756.202992,0.9995747504442342
756.444046,0.992332149117646
756.6851,0.9901732016441135
756.926154,0.9977968305484124
757.167208,0.985054804767492
757.408262,0.9736601092993409
757.649316,0.9864634543239027
757.89037,0.9816877448121657
758.131424,0.940655788142967
758.372478,0.9912332539967434
758.613532,0.972090861481641
758.854586,1.0
759.09564,0.9997153405231992
759.336694,1.0
759.577748,0.9805780836044823
759.818802,0.9928920815970712
760.059856,0.9974394837283463
760.30091,0.9640800002535537
760.541964,0.9782353438622627
760.783018,0.9686615555298757
761.024072,0.9994703802980529
761.265126,0.9955339028055205
761.50618,0.9958555121932466
761.747234,0.9942612300121154
761.988288,0.9960260172517507
762.229342,0.9586646043940762
762.470396,0.9575110667793786
762.71145,0.9575120242909242
762.952504,0.9714902949234261
763.193558,0.9546075169417071
763.434612,0.9691702363635639
763.675666,0.9997013246123769
763.91672,0.9520183206458971
764.157774,0.9308678089730925
764.398828,0.9547955931474427
764.639882,0.9998650691039923
764.880936,0.9788586782872399
765.12199,0.9676101600916275
765.363044,0.954232429896981
765.604098,0.9996111556195796
765.845152,0.9435386033124336
766.086206,0.9759577328626347
766.32726,0.9680698840934777
766.568314,0.9563187509571862
766.809368,0.9576250173762514
767.050422,0.9397682280732245
767.291476,0.9258120821252404
767.53253,0.9401677144549986
767.773584,0.9429273883525217
768.014638,0.9384985199449728
768.255692,0.952752609803211
768.496746,0.9623722008246741
768.7378,0.9220489184000327
768.978854,0.8981124462301714
769.219908,0.9161858883652009
769.460962,0.9106842854682794
769.702016,0.9040234307089685
769.94307,0.9181587252364692
770.184124,0.9154605564109841
770.425178,0.8995685675328657
770.666232,0.8631213358855647
770.907286,0.8640453699850449
771.14834,0.9550906705728396
771.389394,0.895431100625247
771.630448,0.8967035159892351
771.871502,0.8770072673870406
772.112556,0.8584129513498951
772.35361,0.859778913594752
772.594664,0.8289047731387845
772.835718,0.8186898175637244
773.076772,0.8400196454313377
773.317826,0.8384754303972499
773.55888,0.781672049843649
773.799934,0.8049943662783905
774.040988,0.816898848689982
774.282042,0.7529247423012511
774.523096,0.7814610268795734
774.76415,0.792597303758357
775.005204,0.7673133663278215
775.246258,0.7739794160474376
775.487312,0.743742802113289
775.728366,0.7528795681719503
775.96942,0.7251839008122659
776.210474,0.7453957452219675
776.451528,0.734327620864863
776.692582,0.7339018343347913
776.933636,0.7217474453264363
777.17469,0.742843417560119
777.415744,0.7327285302933937
777.656798,0.7130170113618033
777.897852,0.7396116705874737
778.138906,0.7285347162903674
778.37996,0.7003325397197239
778.621014,0.6985210253655899
778.862068,0.7142515984013321
779.103122,0.6987236258385946
779.344176,0.68696632872915
779.58523,0.7252274131516717
779.826284,0.7230116091765012
780.067338,0.6954195127863421
780.308392,0.7061836131636454
780.549446,0.7074629629657694
780.7905,0.7127674990750239
781.031554,0.7130526631036574
781.272608,0.7165981899504319
781.513662,0.7189740598546707
781.754716,0.7415594094350105
781.99577,0.7789487692784329
782.236824,0.7305409440590065
782.477878,0.7488099994062485
782.718932,0.753858948069578
782.959986,0.7559727110112996
783.20104,0.7451945155379873
783.442094,0.7782558132849331
783.683148,0.7835738226429054
783.924202,0.7637536419477569
784.165256,0.7754281116636855
784.40631,0.7813203765536442
784.647364,0.8120121304128196
784.888418,0.7856137653581392
785.129472,0.8496251727418088
785.370526,0.8105923518531761
785.61158,0.8292446937747401
785.852634,0.8395913446381534
786.093688,0.8662774852301183
786.334742,0.8470801167164133
786.575796,0.8433274181539323
786.81685,0.8803022188123942
787.057904,0.8359888527645754
787.298958,0.8790882395887559
787.540012,0.8819411046307056
787.781066,0.8708896531454148
788.02212,0.8696712607047238
788.263174,0.8850952611937521
788.504228,0.9238070957217779
788.745282,0.8932310472927947
788.986336,0.8971968385743043
789.22739,0.8879676205494366
789.468444,0.8782622849030626
789.709498,0.8849094107038858
789.950552,0.8342434606324127
790.191606,0.9467151717912009
790.43266,0.9129309783365923
790.673714,0.8898877035529389
790.914768,0.8777091539181288
791.155822,0.8822763059346794
791.396876,0.8712119419368283
791.63793,0.8543878768132005
791.878984,0.8613279093171439
792.120038,0.8731918393784367
792.361092,0.8846793641644489
792.602146,0.852373898852669
792.8432,0.8604067813455226
793.084254,0.8616552761184374
793.325308,0.8475122377574379
793.566362,0.8540291092514007
793.807416,0.8078652533693245
794.04847,0.8504667181590716
794.289524,0.7804067662793069
794.530578,0.8281590944487035
794.771632,0.8197220168828657
795.012686,0.7890701910914995
795.25374,0.8021577457462368
795.494794,0.7445092518533213
795.735848,0.810908544523962
795.976902,0.7572892485839852
796.217956,0.737093890046343
796.45901,0.7794552505670503
796.700064,0.7207304985444899
796.941118,0.7225418043336514
797.182172,0.711962526696119
797.423226,0.7182123511281711
797.66428,0.6792065502261967
797.905334,0.6828841862781071
798.146388,0.6673704432870287
798.387442,0.6514986203962908
798.628496,0.6685661061795494
798.86955,0.6293359897202009
799.110604,0.6320732434597179
799.351658,0.6244025540140564
799.592712,0.597853223984496
799.833766,0.6010242475017273
800.07482,0.596855642312984
800.315874,0.5861731823769216
800.556928,0.5964200966875907
800.797982,0.5467301092825809
801.039036,0.5507303348858915
801.28009,0.555898252821672
801.521144,0.5439162479243798
801.762198,0.5363598399344822
802.003252,0.5323202484401741
802.244306,0.5336633871101786
802.48536,0.530555875694745
802.726414,0.5053722462298427
802.967468,0.5195615480017391
803.208522,0.5118365209232149
803.449576,0.5181243539464946
803.69063,0.5066575233461965
803.931684,0.5086627783347678
804.172738,0.5036568983365313
804.413792,0.5292046817162243
804.654846,0.5141758250184171
804.8959,0.5127535287728441
805.136954,0.5229183215803445
805.378008,0.5228451181396836
805.619062,0.5070325886705271
805.860116,0.5348173458531199
806.10117,0.525865396070148
806.342224,0.548082201799352
806.583278,0.553490882177412
806.824332,0.5255972730953224
807.065386,0.5578082576144857
807.30644,0.5507964264914949
807.547494,0.5796446706445678
807.788548,0.5752560689578611
808.029602,0.5753366104452878
808.270656,0.5823171781843545
808.51171,0.5866951087320136
808.752764,0.600543620380208
808.993818,0.5969511468559138
809.234872,0.6296381435063738
809.475926,0.6019264603634613
809.71698,0.6609612923986145
809.958034,0.6601158031728861
810.199088,0.6574148690783286
810.440142,0.7045753486438849
810.681196,0.7164047345567987
810.92225,0.711656448621142
811.163304,0.7287678847045369
811.404358,0.7399001753937833
811.645412,0.7650378264791953
811.886466,0.7795409953604899
812.12752,0.756706360303363
812.368574,0.7899939435048612
812.609628,0.7806955702082624
812.850682,0.8301656664300929
813.091736,0.8173809612199201
813.33279,0.8272486202973993
813.573844,0.8272734381282738
813.814898,0.8280431602910611
814.055952,0.8645725984490689
814.297006,0.8648060645671577
814.53806,0.8713687742008571
814.779114,0.8658444547541437
815.020168,0.9046655152578138
815.261222,0.8818000053422088
815.502276,0.9049107128352197
815.74333,0.8717522608223753
815.984384,0.9044212885407846
816.225438,0.905033789061159
816.466492,0.9088011187473479
816.707546,0.8939995564050189
816.9486,0.8985795861480635
817.189654,0.9221890804876782
817.430708,0.9259796692782849
817.671762,0.9439142064166115
817.912816,0.964540940649653
818.15387,0.9005766487486053
818.394924,0.9500430306426889
818.635978,0.9085703125768106
818.877032,0.9304983277997959
819.118086,0.9299857644453502
819.35914,0.920314333910507
819.600194,0.9528088238654879
819.841248,0.9387472550086986
820.082302,0.9551919155498092
820.323356,0.9240288360325241
820.56441,0.942539924825118
820.805464,0.9744754039640441
821.046518,0.9514187379922573
821.287572,0.960482035718967
821.528626,0.9683022487483034
821.76968,0.9412222334103478
822.010734,0.9536686451457158
822.251788,0.964477283048294
822.492842,0.9353944191306032
822.733896,0.9365868710511622
822.97495,0.9463375077866356
823.216004,0.9601036803377984
823.457058,0.9593761974989303
823.698112,0.9477580792105262
823.939166,0.9627784075970229
824.18022,0.9684077994458254
824.421274,0.923452421898753
824.662328,0.9752270142090175
824.903382,0.9452791483779478
825.144436,0.9332109547449912
825.38549,0.9697160328339264
825.626544,0.9668992279235372
825.867598,0.9357911104569328
826.108652,0.9612728378047859
826.349706,0.9286252614174154
826.59076,0.9622769306927419
826.831814,0.9625569940268123
827.072868,0.942964163237773
827.313922,0.9458455402052434
827.554976,0.9784104636615686
827.79603,0.9276785465574284
828.037084,0.9317478948276434
828.278138,0.9272982763140667
828.519192,0.9753011342786243
828.760246,0.8922847240226048
829.0013,0.9180393723602935
829.242354,0.929636155528514
829.483408,0.9680921499568683
829.724462,0.90356249630757
829.965516,0.9582697159296752
830.20657,0.9400135395925122
830.447624,0.9408571100223024
830.688678,0.9489406707278678
830.929732,0.9261435821856114
831.170786,0.9673963418740306
831.41184,0.9347968930267008
831.652894,0.9375614280788698
831.893948,0.9462050298092203
832.135002,0.9351101024455132
832.376056,0.9584470122265241
832.61711,0.9467786038326607
832.858164,0.9058640856785449
833.099218,0.9681589506198117
833.340272,0.9564038671136341
833.581326,0.927196279113621
833.82238,0.9296575374059818
834.063434,0.9016850395471668
834.304488,0.9264696421097208
834.545542,0.9371967876105164
834.786596,0.9283634260142227
835.02765,0.9259333714522763
835.268704,0.9605819310451487
835.509758,0.9249329782876602
835.750812,0.9115635199661711
835.991866,0.9525801771864592
836.23292,0.9519859525732556
836.473974,0.9186500715778975
836.715028,0.9493649420252538
836.956082,0.9216663474878516
837.197136,0.9165286059716471
837.43819,0.9249542519908075
837.679244,0.9232520544638539
837.920298,0.9145583571596866
838.161352,0.9031740479565386
838.402406,0.9064050479988807
838.64346,0.9054058343985428
838.884514,0.9174272442663427
839.125568,0.9303159679993913
839.366622,0.9070959918616348
839.607676,0.9123359413418566
839.84873,0.9333145469102267
840.089784,0.8998024857684772
840.330838,0.8901280056722245
840.571892,0.9029211946242293
840.812946,0.918145871104295
841.054,0.918587605496901
841.295054,0.9017571772357996
841.536108,0.8702280284582515
841.777162,0.8904485094414836
842.018216,0.9026503588932329
842.25927,0.8750099686032414
842.500324,0.8672048982167795
842.741378,0.8703933874922695
842.982432,0.8861048451450273
843.223486,0.8649876929110255
843.46454,0.8280348799008602
843.705594,0.8400280456697932
843.946648,0.8474020683276975
844.187702,0.8342100915613734
844.428756,0.8240698361951109
844.66981,0.8152829891983737
844.910864,0.8254554370987844
845.151918,0.7877299113272275
845.392972,0.7809766712086815
845.634026,0.80232621656166
845.87508,0.7628682013779153
846.116134,0.7721318140069964
846.357188,0.7562297854332187
846.598242,0.7391606450451913
846.839296,0.7396560486190366
847.08035,0.7438394949624627
847.321404,0.7049841208785872
847.562458,0.7242852300662709
847.803512,0.6977949411284574
848.044566,0.6840665984119606
848.28562,0.6693420928479713
848.526674,0.671400130544479
848.767728,0.6724348833006382
849.008782,0.6433734050812828
849.249836,0.6518244511573911
849.49089,0.6339659706747516
849.731944,0.6108340259511924
849.972998,0.6125100062267271
850.214052,0.5932021762877232
850.455106,0.5914784671678737
850.69616,0.5871294237892272
850.937214,0.5784576162162518
851.178268,0.5742043130018867
851.419322,0.5564099145425703
851.660376,0.5599431602264499
851.90143,0.5766787076837322
852.142484,0.5392424471625595
852.383538,0.5497564043759137
852.624592,0.5348066496131656
852.865646,0.5125740964402635
853.1067,0.5233054243486733
853.347754,0.5121334722128997
853.588808,0.5105636333887655
853.829862,0.5233891599152358
854.070916,0.5225785351138821
854.31197,0.5023993287077101
854.553024,0.5008593278793783
854.794078,0.50584246103483
855.035132,0.4955633909971597
855.276186,0.48623657192947545
855.51724,0.48950039992732786
855.758294,0.48984317016286294
855.999348,0.49779845137082457
856.240402,0.5015409599700537
856.481456,0.5111817892940684
856.72251,0.5072202254389968
856.963564,0.49421729010078247
857.204618,0.5073470463473095
857.445672,0.4982068135065424
857.686726,0.5069869577909671
857.92778,0.5258022960086991
858.168834,0.5288555218617179
858.409888,0.5144226886569593
858.650942,0.5226098907666491
858.891996,0.5278674861371608
859.13305,0.5146130602683386
859.374104,0.5560372447581455
859.615158,0.5444114369868421
859.856212,0.5544991528309533
860.097266,0.560413710084312
860.33832,0.5741698617766536
860.579374,0.5600383586553255
860.820428,0.5925263111230953
861.061482,0.5982180257043392
861.302536,0.5894413824478195
861.54359,0.5966169477981443
861.784644,0.6102967284539277
862.025698,0.610290625517158
862.266752,0.5994096648632032
862.507806,0.6377493124804985
862.74886,0.6421007860478296
862.989914,0.6373731513645761
863.230968,0.6649323319300445
863.472022,0.6432640408986379
863.713076,0.6546006002128715
863.95413,0.6689539869956965
864.195184,0.6881833358645852
864.436238,0.6954403756846675
864.677292,0.6990451126427764
864.918346,0.7095246785292437
865.1594,0.7198661406646873
865.400454,0.7194559338845472
865.641508,0.7356653140664026
865.882562,0.7510072300755224
866.123616,0.7462758313500256
866.36467,0.7727884050605679
866.605724,0.7637307296821841
866.846778,0.750601795648429
867.087832,0.7627919183719915
867.328886,0.6814925225177643
867.56994,0.8182723922092799
867.810994,0.7625249879161159
868.052048,0.7928192620761237
868.293102,0.7967614140710347
868.534156,0.7736853597435758
