nu,[0]Ethylbenzoate-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
600,0.995105019656312
600.119602,0.9919287488826402
600.239204,0.9993602946987388
600.358806,0.9971440859038435
600.478408,0.9938757302603498
600.59801,0.9977230960871568
600.717612,0.9999068413395376
600.837214,0.9955581941291018
600.956816,0.999768626770915
601.076418,0.9999820701607415
601.19602,0.9976053717076935
601.315622,0.9963556567967141
601.435224,0.9956133495808485
601.554826,0.9972986552159708
601.674428,0.9982267740261884
601.79403,0.9949536756928226
601.913632,0.9969360036472541
602.033234,0.9944192306743845
602.152836,0.9939691589700749
602.272438,0.995461131937033
602.39204,0.9960218339512632
602.511642,0.9976502649595109
602.631244,0.9942383622668052
602.750846,0.9939817824585527
602.870448,0.997119955308946
602.99005,0.999651950583256
603.109652,0.9952494198706464
603.229254,0.9990238067869106
603.348856,0.9978691734410253
603.468458,0.9954878106528621
603.58806,0.9965697966358614
603.707662,0.9996304283084481
603.827264,0.9947299357716565
603.946866,0.9977836597171769
604.066468,0.9960447427168938
604.18607,0.9975207783589813
604.305672,0.9967474011977183
604.425274,0.9954123555365997
604.544876,0.9945078373752074
604.664478,0.9966039795661199
604.78408,0.9930978301511921
604.903682,0.9928391618594455
605.023284,0.9968218610096272
605.142886,0.9961615856179167
605.262488,0.9976046733841777
605.38209,0.9956148430019929
605.501692,0.9948840313731037
605.621294,0.9985131065230965
605.740896,0.9963618342209363
605.860498,0.9940614035881113
605.9801,0.9966084642941185
606.099702,0.9945809363876104
606.219304,0.9953675629884404
606.338906,0.9966702559344258
606.458508,0.9978440274546954
606.57811,0.9958829981846881
606.697712,0.9994531595717574
606.817314,0.9957712663805632
606.936916,0.9985071154624305
607.056518,0.9884838246855374
607.17612,0.9961178550842003
607.295722,0.9984734663396304
607.415324,0.9973920067388822
607.534926,0.996728363504166
607.654528,0.9998504511835392
607.77413,0.9938397526101138
607.893732,0.9923115088236042
608.013334,0.99322416022961
608.132936,0.9953097338129846
608.252538,0.9893243931274986
608.37214,0.993971842690427
608.491742,0.9898983677120518
608.611344,0.9922219071399343
608.730946,0.9881359396106133
608.850548,0.9915240253496752
608.97015,0.9933857709471547
609.089752,0.9934156723088735
