nu,[0]sec-Amylamine-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
540,0.9899448940286941
540.127203,0.978800927328891
540.254405,0.9871611305856072
540.381608,0.9806437845370405
540.50881,0.9846963100685501
540.636013,0.9736922406131115
540.763215,0.9816514230375646
540.890418,0.9780788387279894
541.01762,0.9753420977864917
541.144823,0.9879966222652319
541.272025,0.9745504414590558
541.399228,0.990452370816703
541.526431,0.9815836914261424
541.653633,0.9753216158174997
541.780836,0.9842237692585843
541.908038,0.9786394384990765
542.035241,0.9823761491788192
542.162443,0.9821531751014709
542.289646,0.9793041603253387
542.416848,0.9830345617423477
542.544051,0.9854144153961794
542.671253,0.9849720636390675
542.798456,0.9791435676120078
542.925659,0.9888822639470043
543.052861,0.9851464191243369
543.180064,0.9766098904245619
543.307266,0.987215425940898
543.434469,0.9817034519417394
543.561671,0.9849897932957794
543.688874,0.9797939348389262
543.816076,0.9829736154888731
543.943279,0.9829460926129615
544.070481,0.9847987238102194
544.197684,0.9859565423959061
544.324886,0.986136988953521
544.452089,0.9863953906937766
544.579292,0.9815758387880216
544.706494,0.9819587280236968
544.833697,0.9733174412539817
544.960899,0.9848223592632152
545.088102,0.9853710581157691
545.215304,0.9844098051308103
545.342507,0.9896499344014408
545.469709,0.9825608532565042
545.596912,0.9824586722412704
545.724114,0.9805496472523869
545.851317,0.9752182372053861
545.97852,0.9824743917057817
546.105722,0.9765034457478459
546.232925,0.9771256766022742
546.360127,0.983035544777401
546.48733,0.9780426504804433
546.614532,0.9875422483330064
546.741735,0.9834249039411591
546.868937,0.9881359396106133
546.99614,0.9821492464966277
547.123342,0.9834494898710805
547.250545,0.9825107439307867
547.377748,0.986665700061519
547.50495,0.9820500544320152
547.632153,0.9844452445217002
547.759355,0.983360983399843
547.886558,0.983934450002437
548.01376,0.9889851130505155
548.140963,0.9797802178198578
548.268165,0.9777424374718005
548.395368,0.9773445772697926
548.52257,0.9862829480285912
548.649773,0.9856105323778357
548.776976,0.983602919958736
548.904178,0.9830011391354361
549.031381,0.9836166904960091
549.158583,0.9882920774236341
549.285786,0.9849799434470958
549.412988,0.9794353958754078
549.540191,0.9807761803844716
549.667393,0.9827387128667527
549.794596,0.9817790460178735
549.921798,0.9824527775069212
550.049001,0.9874513986253104
550.176204,0.9800438141505683
550.303406,0.9854824113366747
550.430609,0.98021925769503
550.557811,0.9859220345208135
550.685014,0.9836619379044542
550.812216,0.9744451956947519
550.939419,0.9858155606907756
551.066621,0.9779282261842889
551.193824,0.9869360835041758
551.321026,0.9814217434781303
551.448229,0.9820333597229952
551.575432,0.9844186648589253
551.702634,0.985625316646703
551.829837,0.9851414934045556
551.957039,0.9763784613059651
552.084242,0.9850104782986304
552.211444,0.9863460721572156
552.338647,0.979560771629957
552.465849,0.9801535852048174
552.593052,0.9812068356495747
552.720254,0.9840968125812317
552.847457,0.9753206404963715
552.974659,0.9814246877477771
553.101862,0.9837770330841258
553.229065,0.9827151274206705
553.356267,0.9840476089707031
553.48347,0.9828438715349179
553.610672,0.9843664920522793
553.737875,0.9833875345048332
553.865077,0.9809321361953112
553.99228,0.9802790528934845
554.119482,0.9777766590559862
554.246685,0.9848016782108224
554.373887,0.9828802374309297
554.50109,0.983503581080518
554.628293,0.9795891793042436
554.755495,0.9797380881762854
554.882698,0.9787960333364893
555.0099,0.9804770892631689
555.137103,0.9824734092318812
555.264305,0.9791161519759354
555.391508,0.983584231680796
555.51871,0.9850676105631914
555.645913,0.9823908849315748
555.773115,0.98224353735018
555.900318,0.9836314448570239
556.027521,0.9821197824611956
556.154723,0.9777962147847239
556.281926,0.9776925738790218
556.409128,0.9789448216411811
556.536331,0.9826345480840198
556.663533,0.9822887215921277
556.790736,0.9796068120681655
