nu,[0]1-1-Dihydroperfluoropropanol-HITRAN(x-sec)-X=0.01-T=297.8K-P=0.0atm-L=15cm
520,0.9999645426286274
520.119602,0.9999671025411333
520.239204,0.9999639616493969
520.358806,0.9999686724907166
520.478408,0.9999676895219948
520.59801,0.9999734393527402
520.717612,0.9999650576104995
520.837214,0.9999692714721309
520.956816,0.9999623577084888
521.076418,0.999965374599473
521.19602,0.9999633566713831
521.315622,0.9999638716526444
521.435224,0.9999635446645119
521.554826,0.999968800486715
521.674428,0.9999739913382311
521.79403,0.9999714784067484
521.913632,0.9999674125309831
522.033234,0.9999702234433304
522.152836,0.9999672085376518
522.272438,0.9999671055410346
522.39204,0.9999730103642268
522.511642,0.9999721423880304
522.631244,0.9999727493713051
522.750846,0.9999729913647397
522.870448,0.9999686674908733
522.99005,0.9999658965815348
523.109652,0.9999644896305081
523.229254,0.9999630426829385
523.348856,0.9999626886960841
523.468458,0.9999652146050259
523.58806,0.9999676155243884
523.707662,0.9999720433907933
523.827264,0.9999674925283794
523.946866,0.9999699474515868
524.066468,0.9999742293320694
524.18607,0.9999780302413387
524.305672,0.9999726053752396
524.425274,0.9999792402154873
524.544876,0.9999716584016307
524.664478,0.9999745603235941
524.78408,0.9999724983781766
524.903682,0.9999672835351953
525.023284,0.9999681425074607
525.142886,0.9999698594542353
525.262488,0.9999698194554418
525.38209,0.999969596462197
525.501692,0.9999713844094338
525.621294,0.999969558463353
525.740896,0.999974360328702
525.860498,0.9999743033301651
525.9801,0.9999800771984616
526.099702,0.9999796422072227
526.219304,0.9999730763624476
526.338906,0.9999744103274213
526.458508,0.9999770562632115
526.57811,0.9999765092759114
526.697712,0.9999735393500891
526.817314,0.9999703004410406
526.936916,0.9999720983892572
527.056518,0.9999695344640839
527.17612,0.999967426530527
527.295722,0.9999649906128429
527.415324,0.9999674995281518
527.534926,0.9999708724242161
527.654528,0.9999694294672883
527.77413,0.9999688714845023
527.893732,0.9999706614303843
528.013334,0.9999715004061211
528.132936,0.99997205639043
528.252538,0.9999733883540961
528.37214,0.9999706574305016
528.491742,0.9999725183776267
528.611344,0.9999712204141402
528.730946,0.9999714494075759
528.850548,0.9999709614216277
528.97015,0.9999706014321463
529.089752,0.9999697884563779
529.209354,0.999971769398491
529.328956,0.9999712014146872
529.448558,0.9999737363448958
529.56816,0.9999745563236958
529.687762,0.9999766342729829
529.807364,0.99997631728044
529.926966,0.9999761372847191
530.046568,0.9999779472431656
530.16617,0.9999753603035623
530.285772,0.9999781422388844
530.405374,0.9999801351973078
530.524976,0.9999791132181318
530.644578,0.9999793922123433
530.76418,0.9999773192572119
530.883782,0.9999786812272483
531.003384,0.9999748213169883
531.122986,0.9999747833179459
531.242588,0.9999758162924306
531.36219,0.9999744063275237
531.481792,0.9999765552748319
531.601394,0.9999782702360948
531.720996,0.9999787312261835
531.840598,0.9999799902001987
531.9602,0.9999808851826905
532.079802,0.999977711248398
532.199404,0.9999842911233857
532.319006,0.9999839901281594
532.438608,0.9999848881141857
532.55821,0.999980620187791
532.677812,0.9999809741809932
532.797414,0.9999799382012405
532.917016,0.9999779452432097
533.036618,0.9999774352545877
533.15622,0.9999808001843188
533.275822,0.9999795262095909
533.395424,0.9999798382032518
533.515026,0.9999785842293208
533.634628,0.9999790572193031
533.75423,0.9999793322135816
533.873832,0.9999808241838584
533.993434,0.9999817931657464
534.113036,0.9999818341650007
534.232638,0.9999832611400963
534.35224,0.9999861410960355
534.471842,0.9999830731432608
534.591444,0.9999840841266588
534.711046,0.9999832501402804
534.830648,0.9999812631755365
534.95025,0.999979207216173
535.069852,0.9999803581929029
535.189454,0.9999804981901628
535.309056,0.9999820291614775
535.428658,0.9999809731810122
535.54826,0.9999821031601503
535.667862,0.9999812691754241
535.787464,0.9999815151708465
535.907066,0.9999839101294433
536.026668,0.9999862640943384
536.14627,0.9999859820982517
536.265872,0.9999886920639351
536.385474,0.9999867550877146
536.505076,0.9999841991248352
536.624678,0.9999850871111983
536.74428,0.9999839781283516
536.863882,0.9999849421133711
536.983484,0.9999818071654917
537.103086,0.9999839771283676
537.222688,0.999985327107648
537.34229,0.9999840781267544
537.461892,0.9999832601401131
537.581494,0.9999848681144882
537.701096,0.9999861940953024
537.820698,0.9999865950898467
537.9403,0.9999902139478837
538.059902,0.9999900211497891
538.179504,0.9999885900650938
538.299106,0.9999892640576307
538.418708,0.9999897700523263
538.53831,0.9999873170804289
538.657912,0.9999876610761251
538.777514,0.9999862140950264
538.897116,0.9999879940720717
539.016718,0.9999873470800489
539.13632,0.999987291080759
539.255922,0.9999871680823298
539.375524,0.9999872920807463
539.495126,0.9999876900757677
539.614728,0.999988831062373
539.73433,0.9999906044441386
539.853932,0.9999906991432532
539.973534,0.999993123823641
540.093136,0.9999906567436485
540.212738,0.9999915895353682
540.33234,0.9999920102319184
540.451942,0.9999922509300242
540.571544,0.9999908881415133
540.691146,0.9999926273271783
540.810748,0.9999902975470691
540.93035,0.9999900588494136
541.049952,0.9999899000510049
541.169554,0.9999899010509947
541.289156,0.9999917202342774
541.408758,0.9999902925471176
541.52836,0.9999910544400118
541.647962,0.9999916988344548
541.767564,0.9999915786354598
541.887166,0.9999921544307766
542.006768,0.9999948931130402
542.12637,0.9999948588132159
542.245972,0.999994279516362
542.365574,0.9999945390149112
542.485176,0.9999951833116003
542.604778,0.9999929805246366
542.72438,0.9999927166265239
542.843982,0.9999922009304129
542.963584,0.9999916747346552
543.083186,0.9999912502382794
543.202788,0.9999938229190782
543.32239,0.9999934595213891
543.441992,0.9999919956320351
543.561594,0.9999926256271908
543.681196,0.9999923589291931
543.800798,0.9999942459165548
543.9204,0.9999940718175717
544.040002,0.9999948140134473
544.159604,0.9999954895101723
544.279206,0.999995661109413
544.398808,0.9999960013079948
544.51841,0.99999544151039
544.638012,0.9999934593213903
544.757614,0.9999938680188006
544.877216,0.9999928479255762
544.996818,0.9999922704298733
545.11642,0.9999938324190196
545.236022,0.9999929161250908
545.355624,0.9999930645240506
545.475226,0.9999948374133262
545.594828,0.9999937969192392
545.71443,0.9999940890174699
545.834032,0.9999949194129062
545.953634,0.9999958845084687
546.073236,0.9999981321017445
546.192838,0.9999970588043253
546.31244,0.9999975691029547
546.432042,0.9999962904068805
546.551644,0.9999967714052119
546.671246,0.9999958146087587
546.790848,0.999994373115831
546.91045,0.9999940621176293
547.030052,0.9999953800106722
547.149654,0.9999974836031661
547.269256,0.999997410403353
547.388858,0.9999964996061264
547.50846,0.9999974357032878
547.628062,0.9999952527112684
547.747664,0.999996126007504
547.867266,0.9999973593034867
547.986868,0.9999970358043933
548.10647,0.9999973017036404
548.226072,0.9999973888034092
548.345674,0.9999977974024257
548.465276,0.9999973962033899
548.584878,0.9999965946057984
548.70448,0.9999961580073805
548.824082,0.9999956697093757
548.943684,0.9999953524108001
549.063286,0.9999956769093445
549.182888,0.9999971392040921
549.30249,0.9999988727006354
549.422092,0.9999967932051418
549.541694,0.9999970638043106
549.661296,0.9999968487049653
549.780898,0.9999967752051997
549.9005,0.9999968598049305
550.020102,0.9999985997009804
550.139704,0.9999976077028615
550.259306,0.9999983451013693
550.378908,0.9999976005028788
550.49851,0.9999981881016415
550.618112,0.9999967555052633
550.737714,0.9999966628055684
550.857316,0.999998169701675
550.976918,0.9999966899054784
551.09652,0.9999972597037546
551.216122,0.9999968462049732
551.335724,0.9999966656055591
551.455326,0.9999974718031959
551.574928,0.9999968156050701
551.69453,0.9999968240050435
551.814132,0.9999964171064186
551.933734,0.9999972633037447
552.053336,0.9999978964022126
552.172938,0.9999988116007061
552.29254,0.9999968103050871
552.412142,0.9999992016703186
552.531744,0.9999980232019539
552.651346,0.999997348203516
552.770948,0.9999975865029125
552.89055,0.9999966910054747
553.010152,0.9999984792011564
553.129754,0.9999989530005481
553.249356,0.9999988480006635
553.368958,0.9999978845022377
553.48856,0.9999965480059582
553.608162,0.999997211103889
553.727764,0.9999976202028317
553.847366,0.999997776902471
553.966968,0.9999985257010868
554.08657,0.9999994133401721
554.206172,0.9999987637007642
554.325774,0.999999353490209
554.445376,0.9999995544200992
554.564978,0.9999988505006607
554.68458,0.9999985459010572
554.804182,0.9999978495023123
554.923784,0.9999977168026065
555.043386,0.999999185070332
555.162988,0.9999995284901112
555.28259,0.9999978554022997
555.402192,0.9999977611025064
555.521794,0.999998046001909
555.641396,0.999998733500802
555.760998,0.9999984659011767
555.8806,0.9999992345102929
556.000202,0.9999991138103926
556.119804,0.9999969212047395
556.239406,0.9999996149700742
556.359008,0.9999986593008987
556.47861,0.999998968500532
556.598212,0.999999032570468
556.717814,0.9999984304012318
556.837416,0.999998438601219
556.957018,0.9999991164603903
557.07662,0.9999981687016768
557.196222,0.9999971292041208
557.315824,0.9999990828804206
557.435426,0.999998733500802
557.555028,0.9999996746100529
557.67463,0.999998692300855
557.794232,0.9999986735008798
557.913834,0.9999989857005144
558.033436,0.9999988581006519
558.153038,0.9999994417501559
558.27264,0.9999997680100269
558.392242,0.9999996391600651
558.511844,0.9999981854016464
558.631446,0.9999992974602467
558.751048,0.9999987771007477
558.87065,0.9999992981402464
558.990252,0.999998396201286
559.109854,0.9999982038016132
559.229456,0.999998531701078
559.349058,0.9999998926900058
559.46866,0.999999735230035
559.588262,0.9999991106103955
559.707864,0.9999984510011997
559.827466,0.9999987636007643
559.947068,0.9999993349102212
560.06667,0.9999991934003253
560.186272,0.9999994235101661
560.305874,0.9999985139011043
560.425476,0.9999982105016012
560.545078,0.9999997083700425
560.66468,0.9999988379006752
560.784282,0.9999993334002222
560.903884,0.9999990909704132
561.023486,0.9999987571007724
561.143088,0.9999988140007033
561.26269,0.9999974481032561
561.382292,0.9999979742020519
561.501894,0.9999989080005962
561.621496,0.999999422140167
561.741098,0.9999993063602406
561.8607,0.9999990509804503
561.980302,0.9999996058000777
562.099904,0.9999994786601359
562.219506,0.9999980565018886
562.339108,0.9999977854024522
562.45871,0.9999972522037752
562.578312,0.999999186320331
562.697914,0.9999995233601136
562.817516,0.9999996951400465
562.937118,0.9999995565500983
563.05672,0.9999995614100962
563.176322,0.9999990930804112
563.295924,0.999999815600017
563.415526,0.9999987825007411
563.535128,0.9999997926900215
563.65473,0.9999995426401046
563.774332,0.9999994610401453
563.893934,0.9999990687604337
564.013536,0.999999720750039
564.133138,0.9999989943005058
564.25274,0.9999983535013555
564.372342,0.9999985935009891
564.491944,0.9999994475401526
564.611546,0.999999503850123
564.731148,0.9999992901402519
564.85075,0.9999994994901252
564.970352,0.9999995532700998
565.089954,0.9999986349009318
565.209556,0.9999986250009453
565.329158,0.9999997879900224
565.44876,0.9999986834008667
565.568362,0.9999988549006557
565.687964,0.9999990640804379
565.807566,0.9999994131301722
565.927168,0.9999998285200147
566.04677,0.999998732700803
566.166372,0.99999882530069
566.285974,0.9999980126019749
566.405576,0.9999987052008382
566.525178,0.9999999025870048
566.64478,0.9999999404560018
566.764382,0.9999996209100719
566.883984,0.9999987167008234
567.003586,0.9999991380203715
567.123188,0.999999827000015
567.24279,0.9999988668006421
567.362392,0.9999997150200406
567.481994,0.9999991992803205
567.601596,0.9999992690002671
567.721198,0.9999993052602413
567.8408,0.9999997431700329
567.960402,0.9999994476701526
568.080004,0.9999991229603846
568.199606,0.9999984211012465
568.319208,0.9999986324009351
568.43881,0.9999980321019363
568.558412,0.9999994429801551
568.678014,0.9999991233503842
568.797616,0.9999996428800638
568.917218,0.999999418670169
569.03682,0.9999993033402427
569.156422,0.9999987776007472
569.276024,0.9999994491001517
569.395626,0.9999995482101021
569.515228,0.9999991546503573
569.63483,0.9999992067103146
569.754432,0.9999991368603725
569.874034,0.9999997425000332
569.993636,0.9999993993201804
570.113238,0.9999992686802675
570.23284,0.9999999571310009
570.352442,0.9999990176604825
570.472044,0.9999998264700151
570.591646,0.999999370730198
570.711248,0.9999994477001525
570.83085,0.9999988088007095
570.950452,0.9999989099005941
571.070054,0.9999986459009168
571.189656,0.9999991353703738
571.309258,0.9999986774008747
