nu,[0]Allyl2-2-2-trifluoroacetate-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
600,0.9999992996402453
600.119202,0.9999993704301982
600.238404,0.999999388500187
600.357606,0.9999993601202047
600.476808,0.9999992950402485
600.59601,0.9999992010603191
600.715212,0.9999990877604161
600.834414,0.9999989641005366
600.953616,0.9999988377006754
601.072818,0.9999987127008285
601.19202,0.9999985952009868
601.311222,0.999998484101149
601.430424,0.9999983808013109
601.549626,0.999998282401475
601.668828,0.9999981862016449
601.78803,0.9999980912018217
601.907232,0.9999979969020062
602.026434,0.999997868802271
602.145636,0.9999976819026868
602.264838,0.9999974860031601
602.38404,0.9999972932036634
602.503242,0.9999971112041726
602.622444,0.9999969453046655
602.741646,0.9999967983051254
602.860848,0.9999966663055567
602.98005,0.9999965445059702
603.099252,0.9999964291063757
603.218454,0.9999963123067995
603.337656,0.9999961882072649
603.456858,0.9999960594077641
603.57606,0.9999959296082841
603.695262,0.9999958048087998
603.814464,0.9999956956092639
603.933666,0.9999956102096351
604.052868,0.999995556809871
604.17207,0.9999955414099395
604.291272,0.9999955641098386
604.410474,0.9999956204095904
604.529676,0.9999957019092368
604.648878,0.9999958013088145
604.76808,0.9999959055083825
604.887282,0.9999960112079552
605.006484,0.9999961108075629
605.125686,0.9999962038072056
605.244888,0.9999962916068761
605.36409,0.999996376206566
605.483292,0.9999964652062474
605.602494,0.999996555005934
605.721696,0.9999966508056085
605.840898,0.999996742105307
605.9601,0.9999968302050238
606.079302,0.9999969014048007
606.198504,0.9999969510046482
606.317706,0.9999969768045699
606.436908,0.9999969740045783
606.55611,0.9999969451046662
606.675312,0.9999968947048214
606.794514,0.9999968300050245
606.913716,0.9999967627052401
607.032918,0.9999967022054377
607.15212,0.9999966580055845
607.271322,0.9999966350056616
607.390524,0.9999966336056663
607.509726,0.9999966557055922
607.628928,0.9999966953054605
607.74813,0.9999967447052985
607.867332,0.9999968001051197
607.986534,0.9999968554049442
608.105736,0.9999968999048053
608.224938,0.999996935704695
608.34414,0.9999969589046241
608.463342,0.999996968504595
608.582544,0.9999969679045968
608.701746,0.9999969592046233
608.820948,0.999996941904676
608.94015,0.999996917504751
609.059352,0.999996883604856
609.178554,0.9999968426049846
609.297756,0.999996789705153
609.416958,0.9999967262053588
609.53616,0.9999966519056048
609.655362,0.9999965691058855
609.774564,0.9999964802061945
609.893766,0.9999963912065117
610.012968,0.9999963080068154
610.13217,0.9999962336070929
610.251372,0.9999961735073211
610.370574,0.9999961283074951
610.489776,0.9999961015075991
610.608978,0.9999960866076574
610.72818,0.9999960853076624
610.847382,0.9999960930076324
610.966584,0.9999961055075836
611.085786,0.9999961200075272
611.204988,0.9999961344074714
611.32419,0.9999961509074078
611.443392,0.9999961630073613
611.562594,0.9999961750073153
611.681796,0.9999961872072687
611.800998,0.9999962041072045
611.9202,0.9999962258071223
612.039402,0.9999962595069957
612.158604,0.9999963026068354
612.277806,0.9999963672065986
612.397008,0.9999964529062909
612.51621,0.9999965601059164
612.635412,0.9999966955054599
612.754614,0.9999968550049455
612.873816,0.9999970382043861
612.993018,0.9999972408038066
613.11222,0.9999974586032293
613.231422,0.999997687002675
613.350624,0.9999979205021622
613.469826,0.9999981521017074
613.589028,0.9999983766013177
613.70823,0.9999985867009987
613.827432,0.99999877530075
613.946634,0.9999989357005664
614.065836,0.9999990598304419
614.185038,0.9999991416203684
614.30424,0.9999991750303403
614.423442,0.9999991582803542
614.542644,0.9999990926104116
614.661846,0.9999989827005175
614.781048,0.999998837300676
614.90025,0.9999986683008867
615.019452,0.9999984898011404
615.138654,0.999998316001418
615.257856,0.9999981610016909
615.377058,0.999998037301926
615.49626,0.9999979552020906
615.615462,0.9999979220021591
615.734664,0.9999979417021183
615.853866,0.9999980184019633
615.973068,0.999998155001702
616.09227,0.9999983558013517
616.211472,0.9999986283009408
616.330674,0.9999989838005163
616.449876,0.9999994384801576
616.569078,0.9999999663290006
616.68828,1.0
616.807482,1.0
616.926684,1.0
617.045886,1.0
617.165088,1.0
617.28429,1.0
617.403492,1.0
617.522694,1.0
617.641896,1.0
617.761098,1.0
617.8803,1.0
617.999502,1.0
618.118704,1.0
618.237906,1.0
618.357108,1.0
618.47631,1.0
618.595512,1.0
618.714714,1.0
618.833916,1.0
618.953118,1.0
619.07232,1.0
619.191522,1.0
619.310724,1.0
619.429926,1.0
619.549128,1.0
619.66833,1.0
619.787532,1.0
619.906734,1.0
620.025936,1.0
620.145138,1.0
620.26434,0.9999992905502516
620.383542,0.9999984080012673
620.502744,0.9999978058024073
620.621946,0.9999974546032395
620.741148,0.9999973077036243
620.86035,0.9999973163036011
620.979552,0.9999974282033071
621.098754,0.9999975934028958
621.217956,0.9999977717024826
621.337158,0.999997933602135
621.45636,0.9999980595018828
621.575562,0.9999981375017345
621.694764,0.9999981638016858
621.813966,0.9999981379017338
621.933168,0.9999980649018723
622.05237,0.9999979507020998
622.171572,0.9999978020024156
622.290774,0.9999976258028184
622.409976,0.9999974308033004
622.529178,0.9999972241038528
622.64838,0.9999970175044477
622.767582,0.9999968180050626
622.886784,0.9999966353056606
623.005986,0.9999964764062079
623.125188,0.9999963484066671
623.24439,0.9999962582070006
623.363592,0.9999962104071806
623.482794,0.9999962035072067
623.601996,0.9999962391070721
623.721198,0.9999963175067804
623.8404,0.9999964343063571
623.959602,0.9999965872058236
624.078804,0.9999967734052054
624.198006,0.9999969904045288
624.317208,0.9999972348038232
624.43641,0.9999975071031073
624.555612,0.9999978097023987
624.674814,0.9999981390017316
624.794016,0.9999984929011356
624.913218,0.9999988682006404
625.03242,0.9999992589402746
625.151622,0.999999656620059
625.270824,0.9999999743710003
625.390026,1.0
625.509228,1.0
625.62843,1.0
625.747632,1.0
625.866834,1.0
625.986036,1.0
626.105238,1.0
626.22444,1.0
626.343642,1.0
626.462844,1.0
626.582046,1.0
626.701248,1.0
626.82045,1.0
626.939652,1.0
627.058854,1.0
627.178056,1.0
627.297258,1.0
627.41646,1.0
627.535662,1.0
627.654864,1.0
627.774066,0.9999999264740027
627.893268,0.9999997377400344
628.01247,0.999999580550088
628.131672,0.9999994544601488
628.250874,0.9999993578902061
628.370076,0.9999992892402526
628.489278,0.9999992465202838
628.60848,0.9999992262202994
628.727682,0.9999992284702977
628.846884,0.9999992508102806
628.966086,0.9999992903802518
629.085288,0.9999993455802141
629.20449,0.9999994118901729
629.323692,0.9999994852001325
629.442894,0.9999995610100963
629.562096,0.9999996350800666
629.681298,0.9999997049100435
629.8005,0.9999997682800269
629.919702,0.999999826310015
630.038904,0.9999998808200071
630.158106,0.9999999356770021
630.277308,0.9999999905141
630.39651,1.0
630.515712,1.0
630.634914,1.0
630.754116,1.0
630.873318,1.0
630.99252,1.0
631.111722,1.0
631.230924,1.0
631.350126,1.0
631.469328,1.0
631.58853,1.0
631.707732,1.0
631.826934,1.0
631.946136,1.0
632.065338,1.0
632.18454,1.0
632.303742,1.0
632.422944,1.0
632.542146,1.0
632.661348,1.0
632.78055,1.0
632.899752,1.0
633.018954,1.0
633.138156,1.0
633.257358,1.0
633.37656,1.0
633.495762,1.0
633.614964,1.0
633.734166,1.0
633.853368,1.0
633.97257,1.0
634.091772,1.0
634.210974,1.0
634.330176,1.0
634.449378,1.0
634.56858,1.0
634.687782,1.0
634.806984,1.0
634.926186,1.0
635.045388,1.0
635.16459,1.0
635.283792,1.0
635.402994,1.0
635.522196,1.0
635.641398,1.0
635.7606,1.0
635.879802,1.0
635.999004,1.0
636.118206,1.0
636.237408,1.0
636.35661,1.0
636.475812,1.0
636.595014,1.0
636.714216,1.0
636.833418,1.0
636.95262,1.0
637.071822,1.0
637.191024,1.0
637.310226,1.0
637.429428,1.0
637.54863,1.0
637.667832,1.0
637.787034,1.0
637.906236,1.0
638.025438,1.0
638.14464,1.0
638.263842,1.0
638.383044,1.0
638.502246,1.0
638.621448,1.0
638.74065,1.0
638.859852,1.0
638.979054,1.0
639.098256,1.0
639.217458,1.0
639.33666,1.0
639.455862,1.0
639.575064,1.0
639.694266,1.0
639.813468,1.0
639.93267,1.0
640.051872,1.0
640.171074,1.0
640.290276,1.0
640.409478,1.0
640.52868,1.0
640.647882,1.0
640.767084,1.0
640.886286,1.0
641.005488,1.0
641.12469,1.0
641.243892,1.0
641.363094,1.0
641.482296,1.0
641.601498,1.0
641.7207,1.0
641.839902,1.0
641.959104,1.0
642.078306,1.0
642.197508,1.0
642.31671,1.0
642.435912,1.0
642.555114,1.0
642.674316,1.0
642.793518,1.0
642.91272,1.0
643.031922,1.0
643.151124,1.0
643.270326,1.0
643.389528,1.0
643.50873,1.0
643.627932,1.0
643.747134,1.0
643.866336,1.0
643.985538,1.0
644.10474,1.0
644.223942,1.0
644.343144,1.0
644.462346,1.0
644.581548,1.0
644.70075,1.0
644.819952,1.0
644.939154,1.0
645.058356,1.0
645.177558,1.0
645.29676,1.0
645.415962,1.0
645.535164,1.0
645.654366,1.0
645.773568,1.0
645.89277,1.0
646.011972,1.0
646.131174,1.0
646.250376,1.0
646.369578,1.0
646.48878,1.0
646.607982,1.0
646.727184,1.0
646.846386,1.0
646.965588,1.0
647.08479,1.0
647.203992,1.0
647.323194,1.0
647.442396,1.0
647.561598,1.0
647.6808,1.0
647.800002,1.0
647.919204,1.0
648.038406,1.0
648.157608,1.0
648.27681,1.0
648.396012,1.0
648.515214,1.0
648.634416,1.0
648.753618,1.0
648.87282,1.0
648.992022,1.0
649.111224,1.0
649.230426,1.0
649.349628,1.0
649.46883,1.0
649.588032,1.0
649.707234,1.0
649.826436,1.0
649.945638,1.0
650.06484,1.0
650.184042,1.0
650.303244,1.0
650.422446,1.0
650.541648,1.0
650.66085,1.0
650.780052,1.0
650.899254,1.0
651.018456,1.0
651.137658,1.0
651.25686,1.0
651.376062,1.0
651.495264,1.0
651.614466,1.0
651.733668,1.0
651.85287,1.0
651.972072,1.0
652.091274,1.0
652.210476,1.0
652.329678,1.0
652.44888,1.0
652.568082,1.0
652.687284,1.0
652.806486,1.0
652.925688,1.0
653.04489,1.0
653.164092,1.0
653.283294,1.0
653.402496,1.0
653.521698,1.0
653.6409,1.0
653.760102,1.0
653.879304,1.0
653.998506,1.0
654.117708,1.0
654.23691,1.0
654.356112,1.0
654.475314,1.0
654.594516,1.0
654.713718,1.0
654.83292,1.0
654.952122,1.0
655.071324,1.0
