nu,[0]Methylisothiocyanate-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.9310251389268156
600.118002,0.9390664833411428
600.236005,0.9324264542607428
600.354007,0.926640128208109
600.472009,0.9392890684729909
600.590012,0.9318038013785128
600.708014,0.9379459070771909
600.826017,0.9226041589595494
600.944019,0.93493618814099
601.062021,0.9415375956787709
601.180024,0.9261102416167867
601.298026,0.9314488517523851
601.416028,0.9434659536370269
601.534031,0.935851003004543
601.652033,0.9491152918759347
601.770035,0.9346221023511423
601.888038,0.9296566077489092
602.00604,0.9319556977773578
602.124042,0.9474548451452169
602.242045,0.9528631355163155
602.360047,0.9461567745832187
602.47805,0.9331670948608335
602.596052,0.9461075757101222
602.714054,0.9402466918600173
602.832057,0.9433565179337985
602.950059,0.9372089712479488
603.068061,0.9341511714961015
603.186064,0.9473155795192549
603.304066,0.9442087535959841
603.422068,0.9469954409598418
603.540071,0.9430697811385477
603.658073,0.9430858134611014
603.776076,0.9339559543021662
603.894078,0.9493886764454834
604.01208,0.9491826814539597
604.130083,0.94487843497628
604.248085,0.945516443223448
604.366087,0.9452025838678337
604.48409,0.9411751734751854
604.602092,0.9456119452069826
604.720094,0.9420348587951997
604.838097,0.9483060417262216
604.956099,0.9520287929050215
605.074101,0.9398302548231375
605.192104,0.9671816037229513
605.310106,0.9494475403681858
605.428109,0.9410198923826045
605.546111,0.9510896040523671
605.664113,0.9464804155395752
605.782116,0.9467284258963845
605.900118,0.9584508460222405
606.01812,0.9518545875761937
606.136123,0.9478974098887242
606.254125,0.9540492348577273
606.372127,0.9474529502374216
606.49013,0.9536495719635453
606.608132,0.9543135431007845
606.726135,0.95504100714923
606.844137,0.9532557960106558
606.962139,0.9569204646706626
607.080142,0.9592697126510263
607.198144,0.9476832092796699
607.316146,0.9584748075929095
607.434149,0.954033016158594
607.552151,0.955489026433893
607.670153,0.9597120379367032
607.788156,0.9510078138634471
607.906158,0.9570994255298748
608.02416,0.9559296084214244
608.142163,0.9597993757059636
608.260165,0.9556017807913885
608.378168,0.9564536014078044
608.49617,0.9516651873592127
608.614172,0.9640790361740355
608.732175,0.9654181069764003
608.850177,0.9552396763395965
608.968179,0.9717293109337412
609.086182,0.9560701404027099
609.204184,0.9669891537332195
609.322186,0.9663511514556666
609.440189,0.9580732907721763
609.558191,0.9575685191669397
609.676194,0.9592697126510263
609.794196,0.9577456857303874
609.912198,0.9592016069192102
610.030201,0.9647589515365421
610.148203,0.9653070902776805
610.266205,0.9656643199845036
610.384208,0.9604349732522566
