nu,[0]Methylglyoxal-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
550,0.8858390535622147
550.119002,0.8878788282270718
550.238005,0.8835565345197022
550.357007,0.8764899857123818
550.47601,0.8891938617776378
550.595012,0.8789475967221512
550.714014,0.8708809442924277
550.833017,0.8730608704254469
550.952019,0.8885005609879095
551.071021,0.8783149822210605
551.190024,0.8639589697681292
551.309026,0.8735761283251315
551.428029,0.8782798503244144
551.547031,0.8640712917349688
551.666033,0.8694190926052611
551.785036,0.8854759339948521
551.904038,0.8786400188925584
552.02304,0.8877456563909751
552.142043,0.8927577602698694
552.261045,0.8833798408827509
552.380048,0.8800381677563893
552.49905,0.8873196407278461
552.618052,0.8831236978714266
552.737055,0.8796246470025332
552.856057,0.8857770469987204
552.97506,0.8861314286891329
553.094062,0.8976814557019827
553.213064,0.8961477321201249
553.332067,0.8830530508015174
553.451069,0.8850864102853948
553.570071,0.9006847244308663
553.689074,0.8947955701838074
553.808076,0.8878965859812132
553.927079,0.8914285417208029
554.046081,0.8978071399034698
554.165083,0.8957714291018
554.284086,0.911802380897818
554.403088,0.8871688092099647
554.52209,0.8884117153741655
554.641093,0.9001714804263781
554.760095,0.8959953999542654
554.879098,0.90711504107748
554.9981,0.8899588974169398
555.117102,0.8908760273220985
555.236105,0.8909383908267082
555.355107,0.906414112094681
555.474109,0.8890249309928328
555.593112,0.8947866222728452
555.712114,0.8900835003845824
555.831117,0.90618391214684
555.950119,0.8995685675328657
556.069121,0.8844582219673343
556.188124,0.915477034849305
556.307126,0.8930613495156083
556.426129,0.9087702200345916
556.545131,0.9141158180179326
556.664133,0.9125704418108009
556.783136,0.8962104646569865
556.902138,0.9124764518958581
557.02114,0.9098450215172128
557.140143,0.9081506500419103
557.259145,0.9076685500556122
557.378148,0.9061114203335794
557.49715,0.9116501226141285
557.616152,0.9125987319329917
557.735155,0.9018563759811266
557.854157,0.9043127644977326
557.973159,0.9102135833796666
558.092162,0.9079545106853143
558.211164,0.9079072982782919
558.330167,0.9140445197647952
558.449169,0.9159779377718273
558.568171,0.9020187247397531
558.687174,0.912437216251999
558.806176,0.9096366908620558
558.925179,0.9150303910462503
559.044181,0.9139055955562982
559.163183,0.9168008553946587
559.282186,0.9127830954969353
559.401188,0.9140938795015634
559.52019,0.9084285866629573
559.639193,0.9175318369338578
559.758195,0.9167715182366831
559.877198,0.9075823256390815
559.9962,0.9244965129358346
560.115202,0.914911444827086
560.234205,0.9146589641122551
560.353207,0.9169338011570257
560.472209,0.9195443530949473
560.591212,0.9218110604640786
560.710214,0.9339699637465513
560.829217,0.9172346047729015
560.948219,0.9087238739352055
561.067221,0.9242968432541424
561.186224,0.9195517094791975
561.305226,0.9173868783556515
561.424228,0.916475448854072
561.543231,0.923155118087384
561.662233,0.9167660176240755
561.781236,0.9242589478604298
561.900238,0.9221171525446265
562.01924,0.9109128959133426
562.138243,0.9185288177713765
562.257245,0.9237840008330722
562.376248,0.9268319625688195
562.49525,0.9299560053770356
562.614252,0.9245260972975957
562.733255,0.9194698730188304
562.852257,0.9175144039945695
562.971259,0.9234875137575262
563.090262,0.9310046565990656
563.209264,0.9317991423711535
563.328267,0.92213006227513
563.447269,0.9297756114107729
563.566271,0.9225792489835437
563.685274,0.9296556780927663
563.804276,0.9357321574740124
563.923278,0.9287014118109751
564.042281,0.9344847229997264
564.161283,0.9335292339440785
564.280286,0.9355730965278053
564.399288,0.9311731836931519
564.51829,0.9403125114321057
564.637293,0.9270275447461156
564.756295,0.9338233419723535
564.875298,0.9274114136050114
564.9943,0.9377667765164522
565.113302,0.9344809850683102
565.232305,0.9273214590607577
565.351307,0.924689752899911
565.470309,0.9398960452436129
565.589312,0.930321549911945
565.708314,0.9304015610056652
565.827317,0.934644533550772
565.946319,0.931585784797925
566.065321,0.9364988360229946
566.184324,0.9318485290344342
566.303326,0.94250505149306
566.422328,0.9413333041869372
566.541331,0.9389735203610354
566.660333,0.9354542862891562
566.779336,0.9359118352967665
566.898338,0.9352026829283135
567.01734,0.9457916285459486
567.136343,0.9383530639475124
567.255345,0.9383540023010455
567.374347,0.9390843257738288
567.49335,0.9408166540363814
567.612352,0.9390918384784859
567.731355,0.9459836437354256
567.850357,0.9425154191056482
567.969359,0.9344613611736754
568.088362,0.9394647319528189
568.207364,0.9379112037206451
568.326367,0.9406238063898631
568.445369,0.9431414571655687
568.564371,0.9372670800055191
568.683374,0.9366870912080475
568.802376,0.9385369991731094
568.921378,0.941574316361051
569.040381,0.939359517794943
569.159383,0.9388796277037105
569.278386,0.9374404904552921
569.397388,0.9446564146324727
569.51639,0.9407771405667006
569.635393,0.9431650359967321
569.754395,0.9399843996244567
569.873397,0.9396131791074838
569.9924,0.9388955887930504
570.111402,0.9356797579403945
570.230405,0.9418662496464443
570.349407,0.9443267870671218
570.468409,0.9385116590162254
570.587412,0.9322577003452117
570.706414,0.9421055140591486
570.825417,0.9373654982157852
570.944419,0.9408364113935677
571.063421,0.9434763318195968
571.182424,0.9382479742894809
571.301426,0.9427953877584095
571.420428,0.9407602067305754
571.539431,0.9335899153164081
571.658433,0.9397776258024937
571.777436,0.9352559910005062
571.896438,0.9395483480348231
572.01544,0.9346856588149974
572.134443,0.9372239667114521
572.253445,0.9447376585775706
572.372447,0.9398462320732757
572.49145,0.9408608734582694
572.610452,0.9438132129997691
572.729455,0.9423514356896947
572.848457,0.9380650337717746
572.967459,0.9400953243280412
573.086462,0.9383774614443411
573.205464,0.9429528477357073
573.324466,0.9412128212350747
573.443469,0.9397456739064017
573.562471,0.9415432449212927
573.681474,0.9400370402247588
573.800476,0.9380434585241142
573.919478,0.9409323816019273
574.038481,0.9362413342512047
574.157483,0.9365128836108916
574.276486,0.9414603927612881
574.395488,0.9339148611442329
574.51449,0.9414698074122889
574.633493,0.9384562884617907
574.752495,0.94037739523386
574.871497,0.935641395856747
574.9905,0.9375295515322195
575.109502,0.9349015961419848
575.228505,0.9372792645567585
575.347507,0.9401113060843993
575.466509,0.938335235408669
575.585512,0.9416110384754657
575.704514,0.9381869901531581
575.823516,0.9393031579146885
575.942519,0.9374217418329698
576.061521,0.9360063671659105
576.180524,0.9380837952600644
576.299526,0.9380003095174568
576.418528,0.9366130958506972
576.537531,0.93808191909435
576.656533,0.9396291526673035
576.775536,0.9360690816934237
576.894538,0.9362675493755738
577.01354,0.9333518802387647
577.132543,0.9391021685455244
577.251545,0.9366365114707874
577.370547,0.9381428964008321
577.48955,0.9362965741194856
577.608552,0.936042872126072
577.727555,0.9347697843098812
577.846557,0.9358060832344819
577.965559,0.9381794846872588
578.084562,0.934900661240856
578.203564,0.9378342981551113
578.322566,0.9340372120048492
578.441569,0.9355328677495796
578.560571,0.9362216733896251
578.679574,0.9344912644156823
578.798576,0.9308892191789153
578.917578,0.9318615750051622
579.036581,0.9316612463026434
579.155583,0.9311573538835829
579.274585,0.9297923475224029
579.393588,0.9329282346599593
579.51259,0.9302378247401423
579.631593,0.932874126391504
579.750595,0.9356151982644311
579.869597,0.936739547153908
579.9886,0.9327836419898085
580.107602,0.9335917824981059
580.226605,0.934414639273674
580.345607,0.9312625806097699
580.464609,0.9320721995207872
580.583612,0.9353626162610046
580.702614,0.935169951407216
580.821616,0.9336001848619591
580.940619,0.935520705901351
581.059621,0.9333546802986055
581.178624,0.9309683481254781
581.297626,0.9300127344235819
581.416628,0.9266503213055812
581.535631,0.9325262292292144
581.654633,0.9304415691329571
581.773635,0.9287218434667823
581.892638,0.9300480755789677
582.01164,0.9302582901974057
582.130643,0.9266688544973387
582.249645,0.9290162949592571
582.368647,0.9297309832525096
582.48765,0.931489836403518
582.606652,0.9297142482454266
582.725655,0.9286224755458099
582.844657,0.9312895876162073
582.963659,0.9271397218656087
583.082662,0.9306639712439734
583.201664,0.9269737787077504
583.320666,0.9321542254834344
583.439669,0.9300257546930055
583.558671,0.9289568398189645
583.677674,0.929364741399491
583.796676,0.929784909213376
583.915678,0.9290831865405622
584.034681,0.9279754511945352
584.153683,0.9299959943450234
584.272685,0.9273984299361069
584.391688,0.9269700708200515
584.51069,0.9253613214103883
584.629693,0.9286958396192209
584.748695,0.9236399017689615
584.867697,0.92573802012119
584.9867,0.9240704182657388
585.105702,0.9284274853006377
585.224704,0.9254612658300021
585.343707,0.9268041580270125
585.462709,0.9255066145430623
585.581712,0.9241628299280714
585.700714,0.9255343801579806
585.819716,0.924900606199935
585.938719,0.9253021001809176
586.057721,0.9261871119569158
586.176724,0.9277277148233435
586.295726,0.9267059219928635
586.414728,0.9267522584473649
586.533731,0.9251318602570376
586.652733,0.9262723250909599
586.771735,0.9263668096867517
586.890738,0.9266762678778281
587.00974,0.9255417844626391
587.128743,0.925090230260008
587.247745,0.9277694635098489
587.366747,0.9250957808180412
587.48575,0.9265224523843996
587.604752,0.9250624779693867
587.723754,0.9266114028093806
587.842757,0.9244817211099625
587.961759,0.9249542519908075
588.080762,0.9267884024902486
588.199764,0.9279698833585315
588.318766,0.9255936162538456
588.437769,0.9269367004981712
