nu,[0]2-3-Dimethylfuran-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
510,0.9161272543446541
510.119802,0.9168439460474846
510.239605,0.9206024373828623
510.359407,0.8830000692079331
510.47921,0.8877811669274367
510.599012,0.9237738392649517
510.718814,0.9064122992682697
510.838617,0.9267754275434386
510.958419,0.9193953989753554
511.078222,0.8993257168059553
511.198024,0.9026232797886548
511.317826,0.9326689166575963
511.437629,0.9398913457751354
511.557431,0.9113502390573386
511.677234,0.962339480726091
511.797036,0.9171933301443728
511.916838,0.966978516911031
512.036641,0.8884650216762611
512.156443,0.8747037687023388
512.276246,0.8764023410961144
512.396048,0.8869825233207335
512.51585,0.8935973471085157
512.635653,0.8434033210371447
512.755455,0.9096075829536773
512.875258,0.8859010644663203
512.99506,0.8880653023600981
513.114862,0.8805487379447297
513.234665,0.8605702741653044
513.354467,0.8932042507633258
513.474269,0.8650309433769237
513.594072,0.8558929235289989
513.713874,0.8685501080773352
513.833677,0.8407171511618813
513.953479,0.870785152657192
514.073281,0.9424616972578463
514.193084,0.8458611991795971
514.312886,0.8943035679332277
514.432689,0.8510197012259021
514.552491,0.8600196853970379
514.672293,0.8506793614179112
514.792096,0.851675238745402
514.911898,0.8437154380040065
515.031701,0.8846882110023246
515.151503,0.8925345987261573
515.271305,0.8781042119187754
515.391108,0.927243567329695
515.51091,0.8602261148920817
515.630713,0.88314136052201
515.750515,0.8818352780478719
515.870317,0.9224344154111862
515.99012,0.8566892741935429
516.109922,0.8229087165078238
516.229725,0.8742490409820673
516.349527,0.8808393669794047
516.469329,0.9013875325754664
516.589132,0.8698974046299434
516.708934,0.873314094793629
516.828737,0.852936651313796
516.948539,0.8740654679593032
517.068341,0.8593663187469118
517.188144,0.895511693050908
517.307946,0.879413562418416
517.427749,0.8498715997720964
517.547551,0.874651288050652
517.667353,0.8917405963167738
517.787156,0.8639503302216294
517.906958,0.8228593434660394
518.026761,0.9021540376966821
518.146563,0.9027045195395696
518.266365,0.841735034610083
518.386168,0.852101182841925
518.50597,0.8657232450153578
518.625773,0.8453200212075453
518.745575,0.8866810005245844
518.865377,0.8825939825831818
518.98518,0.8568177872229081
519.104982,0.8450495620765278
519.224784,0.871081269946182
519.344587,0.8823027746208858
519.464389,0.8566036095494272
519.584192,0.8794663288151371
519.703994,0.8782183728866271
519.823796,0.8759204523400671
519.943599,0.8919813987846497
520.063401,0.8476987109610448
520.183204,0.9264186876806644
520.303006,0.8793432121474708
520.422808,0.8852722979490762
520.542611,0.8608370923049704
520.662413,0.8624483637368316
520.782216,0.8529963589691315
520.902018,0.8935258621801823
521.02182,0.8394486262409724
521.141623,0.8811389032824637
521.261425,0.872493565253825
521.381228,0.8982471732013761
521.50103,0.8706806647082755
521.620832,0.8581468845774571
521.740635,0.9064295212655642
521.860437,0.8816941956902739
521.98024,0.8713600605566835
522.100042,0.8614054323174651
522.219844,0.9031469531415242
522.339647,0.9057879962911469
522.459449,0.8857061876693714
522.579252,0.8752637582918626
522.699054,0.9145940256311466
522.818856,0.881561951479484
522.938659,0.9193659787933135
523.058461,0.9199757205443087
523.178264,0.8559100415586492
523.298066,0.9354720600894462
523.417868,0.8962732015852793
523.537671,0.8455567439531213
523.657473,0.8812975225603613
523.777276,0.9131793293369047
523.897078,0.9154715420035744
524.01688,0.879527893612897
524.136683,0.9116802075645737
524.256485,0.8875858765534415
524.376288,0.9336524679362237
524.49609,0.8704717264223427
524.615892,0.9207304100155504
524.735695,0.8704194996855752
524.855497,0.9019465661281568
524.9753,0.9064186441765717
525.095102,0.8888649209065939
525.214904,0.8865923368577893
525.334707,0.9042042534767843
525.454509,0.9851828702161856
525.574311,0.9177841928863677
525.694114,0.9269357735619342
525.813916,0.8816148467834161
525.933719,0.9306490807395579
526.053521,0.9025330219736418
526.173323,0.9317013085975675
526.293126,0.8886071874526881
526.412928,0.9062165353548916
526.532731,0.9040686330105521
526.652533,0.8763234684347387
526.772335,0.9301392247566113
526.892138,0.9001444756870385
527.01194,0.8732791629284792
527.131743,0.880812942194769
527.251545,0.9396601609409752
527.371347,0.9202858046083623
527.49115,0.9357199930350343
527.610952,0.9023886282419327
527.730755,0.913613192552696
527.850557,0.8995775632635197
527.970359,0.8983190358496999
528.090162,0.9310167597382716
528.209964,0.9412316456797432
528.329767,0.9325598007777508
528.449569,0.8936867113113622
528.569371,0.9157517191603463
528.689174,0.9034992491465049
528.808976,0.9277843079400202
528.928779,0.911318342357167
529.048581,0.900720752540401
529.168383,0.9241665265867844
529.288186,0.8927309779387983
529.407988,0.9350324915279078
529.527791,0.881923465985
529.647593,0.9386111465248259
529.767395,0.8918208565821002
529.887198,0.9052102878580994
530.007,0.9513740223623972
530.126803,0.9327108877031873
530.246605,0.9167275142599116
530.366407,0.8975916920446702
530.48621,0.901441617449951
530.606012,0.9066362107581195
530.725815,0.9435216197704263
530.845617,0.9282362489366875
530.965419,0.8992088120617435
531.085222,0.9068502021538499
531.205024,0.9128880715889269
531.324826,0.9223606236096648
531.444629,0.9380875476027501
531.564431,0.9231246544711396
531.684234,0.939325701461
531.804036,0.9519726248632137
531.923838,0.9247359885434374
532.043641,0.9571080394634672
532.163443,0.944269184889995
532.283246,0.9060788009096006
532.403048,0.899739501798938
532.52285,0.9135254898960058
532.642653,0.9291705244649151
532.762455,0.9259018902528303
532.882258,0.9336160562000076
533.00206,0.9334097498492789
533.121862,0.9436263564830007
533.241665,0.9059546766165841
533.361467,0.9332557499458952
533.48127,0.9163682274991276
533.601072,0.94870251650912
533.720874,0.9391857523579494
533.840677,0.9371930388308635
533.960479,0.9301206221581427
534.080282,0.9325868454041186
534.200084,0.9284228431748165
534.319886,0.9228431443839965
534.439689,0.9273381509972477
534.559491,0.9389200003957084
534.679294,0.9381382056980769
534.799096,0.910150780809127
534.918898,0.9409897802278453
535.038701,0.9371255633612138
535.158503,0.954676251157329
535.278306,0.9340418822025848
535.398108,0.919856131474096
535.51791,0.9191334086220461
535.637713,0.9840869716623105
535.757515,0.9494380459402543
535.877318,0.9427821887153744
535.99712,0.9265817517189107
536.116922,0.9332193536813791
536.236725,0.9420800775536633
536.356527,0.9458975631405723
536.47633,0.9200051602383987
536.596132,0.9192611770455442
536.715934,0.9134021722789963
536.835737,0.9517803458138291
536.955539,0.9313119388345236
537.075342,0.9500857835410009
537.195144,0.9662641837656404
537.314946,0.9519259793474198
537.434749,0.9748136056038106
537.554551,0.9317329869805893
