nu,[0]Trifluoroacetaldehyde-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
400.1569,0.9999867550877146
400.639017,0.9999853691070325
401.121133,0.9999879460726492
401.60325,0.9999888930616825
402.085367,0.9999881400703295
402.567483,0.9999894280558834
403.0496,0.9999923445293033
403.531717,0.9999941186172954
404.013834,0.9999946533142936
404.49595,0.9999949935125325
404.978067,0.9999949692126544
405.460184,0.9999943130161709
405.9423,0.9999934867212115
406.424417,0.9999930979238194
406.906534,0.9999928548255269
407.38865,0.9999928548255269
407.870767,0.9999935839205831
408.352884,0.999994556114818
408.835,0.9999953824106611
409.317117,0.999995917108335
409.799234,0.9999960386078464
410.28135,0.9999963302067337
410.763467,0.9999966218057061
411.245584,0.999995819808737
411.727701,0.9999947505137786
412.209817,0.9999950421122904
412.691934,0.999995917108335
413.174051,0.9999957955088389
413.656167,0.9999947505137786
414.138284,0.9999941672170107
414.620401,0.9999941915168693
415.102517,0.9999939728181635
415.584634,0.9999934381215292
416.066751,0.9999932194229882
416.548867,0.9999937298196576
417.030984,0.9999946776141639
417.513101,0.9999949935125325
417.995218,0.9999944832152176
418.477334,0.9999943130161709
418.959451,0.9999944589153519
419.441568,0.9999939242184577
419.923684,0.999993122223652
420.405801,0.9999929034251808
420.887918,0.9999932923224966
421.370034,0.9999938999186055
421.852151,0.9999947748136513
422.334268,0.9999955039101075
422.816384,0.9999954310104379
423.298501,0.9999948720131482
423.780618,0.9999945075150838
424.262734,0.999994701914035
424.744851,0.999995212311461
425.226968,0.9999955768097823
425.709085,0.999995819808737
426.191201,0.999995868408535
426.673318,0.9999954310104379
427.155435,0.9999948963130239
427.637551,0.999994701914035
428.119668,0.9999943616158957
428.601785,0.9999937055198104
429.083901,0.9999926604269348
429.566018,0.9999901572484402
430.048135,0.9999870220842139
430.530251,0.99998643909195
431.012368,0.9999887960627646
431.494485,0.9999922473300521
431.976602,0.999995212311461
432.458718,0.9999965732058714
432.940835,0.9999967677052238
433.422952,0.9999966948054622
433.905068,0.9999964031064689
434.387185,0.9999958927084349
434.869302,0.9999951636116954
435.351418,0.999994337316033
435.833535,0.9999937055198104
436.315652,0.9999932194229882
436.797768,0.9999931465234851
437.279885,0.9999935596207393
437.762002,0.9999936325202725
438.244118,0.9999933652220102
438.726235,0.9999934867212115
439.208352,0.9999938513189032
439.690469,0.9999940943174386
440.172585,0.9999939971180174
440.654702,0.9999936568201181
441.136819,0.9999937055198104
441.618935,0.9999943130161709
442.101052,0.9999949692126544
442.583169,0.9999951393118132
443.065285,0.9999947505137786
443.547402,0.9999943616158957
444.029519,0.9999945318149506
444.511635,0.9999951880115776
444.993752,0.9999961115075602
445.475869,0.9999969135047633
445.957986,0.9999970836042527
446.440102,0.9999965732058714
446.922219,0.9999960386078464
447.404336,0.9999959900080401
447.886452,0.9999960386078464
448.368569,0.9999958927084349
