nu,[0]Germane-PNNL(x-sec)-X=0.01-T=278.14K-P=1.0atm-L=15cm
600,1.0000766269356938
600.118002,0.9997193094009793
600.236005,0.9997717860447672
600.354007,1.0001724248634583
600.472009,0.999537077181847
600.590012,1.0000901090595775
600.708014,0.9999578418886782
600.826017,0.999745462400193
600.944019,0.9997506510926075
601.062021,0.9996153040144833
601.180024,1.0001573323754402
601.298026,0.9997163902248579
601.416028,1.0002185738837912
601.534031,1.0001144565496511
601.652033,1.0000756188589617
601.770035,0.999966522560382
601.888038,1.000339397582331
602.00604,0.9999646526247332
602.124042,0.9998920858231537
602.242045,0.9998905759872441
602.360047,0.9998182665155306
602.47805,0.9997317059972747
602.596052,0.999903017703087
602.714054,0.9998993950610163
602.832057,0.9997019744184491
602.950059,1.0004951025228148
603.068061,0.9994605055794767
603.186064,0.9999184123284551
603.304066,0.9997217387218528
603.422068,1.0003063869268896
603.540071,1.0003843638488616
603.658073,0.9997609985653944
603.776076,0.9997283369071024
603.894078,1.0004584450538274
604.01208,1.0002483808414144
604.130083,0.9998076984923057
604.248085,1.0000435359476618
604.366087,1.0000886999336065
604.48409,0.999571891664536
604.602092,0.9998014597117322
604.720094,0.9999951405118074
604.838097,1.0001519215389083
604.956099,0.9999445575369902
605.074101,1.0000068827236859
605.192104,0.9996928871688032
605.310106,1.0000626139601723
605.428109,1.000192728569765
605.546111,1.0002960838241652
605.664113,0.9995756200746453
605.782116,0.99981236760516
605.900118,0.9999807631850299
606.01812,0.9996574286909552
606.136123,1.000136289286541
606.254125,1.0001012551259543
606.372127,0.9997627881391835
606.49013,1.0004249102487957
606.608132,1.0001208773050727
606.726135,1.0004452090761555
606.844137,0.9995962215404725
606.962139,1.0003484807052982
607.080142,1.0002115623761636
607.198144,1.0000896970225375
607.316146,1.0000833884766258
607.434149,0.9997305463091684
607.552151,1.0000116850682699
607.670153,0.9999709544218309
607.788156,1.0001824066340674
607.906158,1.0002451900541687
608.02416,1.0003599047501792
608.142163,0.999889076152505
608.260165,0.9997533604205431
608.378168,0.9996926172517602
608.49617,1.0003409481095988
608.614172,0.9996557292747709
608.732175,1.0003195210359752
608.850177,0.9996825404009656
608.968179,0.9999283605662268
609.086182,1.000034390591343
609.204184,0.999780204158646
609.322186,0.9998578701014111
609.440189,0.9999153655816945
609.558191,1.0002623444062764
609.676194,1.000330284531929
609.794196,1.0004334539140105
609.912198,0.999985712102073
610.030201,1.0001897580017722
610.148203,0.9995718316902242
610.266205,0.9999940897174658
610.384208,0.9997979804087063
610.50221,0.9998254752312197
610.620212,1.000126708026784
610.738215,1.0000477661407658
610.856217,1.0000672292597854
610.974219,0.9998805771314786
611.092222,0.9999721703872508
611.210224,1.0002189539669215
611.328227,1.000093419363317
611.446229,0.9999766492726325
611.564231,0.9998042291656112
611.682234,0.9998353535557137
611.800236,0.9999143016723115
611.918238,0.9998028794308129
612.036241,0.9998071985885815
612.154243,0.9997781846046734
612.272245,0.9999257157592109
612.390248,1.000115246640384
612.50825,1.0002051510405972
612.626253,0.9999140416946268
612.744255,0.999939899806089
612.862257,0.9998144272207588
612.98026,1.0000188681780018
613.098262,0.9998761276728103
613.216264,0.9998958254265478
613.334267,0.9997530704921106
613.452269,0.9999629316870469
613.570271,0.9995205249849014
613.688274,0.9999433866025988
613.806276,1.000294533366437
613.924278,1.0004378658352706
614.042281,0.9996933370307036
614.160283,0.999594142382494
614.278286,0.999698335509885
614.396288,0.999711671574632
614.51429,1.000073608708988
614.632293,1.0004035313968973
614.750295,0.9998066786889733
614.868297,0.9999175543988253
614.9863,0.9997044936705989
615.104302,0.9999561829599946
615.222304,0.9998951754944725
615.340307,0.9999027667274611
615.458309,1.0002244151773192
615.576312,0.9996343968491259
615.694314,0.9999533840865554
615.812316,1.000199339865551
615.930319,0.9998663389334363
616.048321,1.0000842815514903
616.166323,0.9999200981923195
616.284326,0.9999991899203281
616.402328,1.000002744803767
616.52033,1.000027235370876
616.638333,1.000456103983805
616.756335,0.9999761842835987
616.874337,1.000075743868422
616.99234,1.0002828399916899
617.110342,1.0001890578691868
617.228345,0.9998867364148043
617.346347,1.0004550234917962
617.464349,0.9997019844154689
617.582352,1.0000448910075712
617.700354,0.9998907059730274
617.818356,0.9999816221688744
617.936359,0.9999341671670761
618.054361,0.9998528008348604
618.172363,0.9998495013260618
618.290366,0.9999706194316174
618.408368,1.000088877949411
618.526371,1.0001946289377546
618.644373,1.0004218889701288
618.762375,1.0003076973291147
618.880378,1.0000109990604893
618.99838,0.9996998750465071
619.116382,1.0002587534709058
619.234385,1.000106105628804
619.352387,0.9999571269190768
619.470389,1.00006933240338
619.588392,0.999735395014076
619.706394,0.9995558686555374
619.824396,0.9999510151997945
619.942399,0.999744432662897
620.060401,1.000437205546497
620.178404,0.9997741255134838
620.296406,1.0000144471043584
620.414408,1.0001999999973332
620.532411,1.0002923327208841
620.650413,1.0001328188196386
620.768415,0.9998901960288974
620.886418,0.9998845266675586
621.00442,1.000070973518501
621.122422,1.0000269623634779
621.240425,1.0001721648186617
621.358427,1.0001549219991737
621.47643,1.0001619631146093
621.594432,1.0002339273567378
621.712434,1.0000736597127435
621.830437,1.0000673722694093
621.948439,1.0000549715108782
622.066441,1.000113686461816
622.184444,1.0002124725690995
622.302446,0.9997907019059027
622.420448,1.0001406798944883
622.538451,1.0001468807859264
622.656453,0.9998683886615322
622.774455,0.9999444675419841
622.892458,1.0005168535227762
623.01046,0.999859179916079
623.128463,0.9996295786229451
