nu,[0]Dimethylamine-PNNL(x-sec)-X=0.01-T=278.27K-P=1.0atm-L=15cm
550,1.0012234478023934
550.123002,1.0012095308931916
550.246005,0.9987971240359677
550.369007,1.0027058542331684
550.49201,0.9992158376161466
550.615012,1.0030884594938714
550.738015,1.0022459183046162
550.861017,0.9973015473862645
550.98402,1.002021540563533
551.107022,1.0009189419686808
551.230025,1.002297535298535
551.353027,0.9999272956430899
551.47603,1.001521957002769
551.599032,1.0000536744404211
551.722034,0.9983821101970676
551.845037,1.0011728872949428
551.968039,1.003183857742484
552.091042,0.9994456736956269
552.214044,1.0034093988235722
552.337047,1.0007273143649162
552.460049,1.0008439559305606
552.583052,1.002997483496419
552.706054,0.999401109406605
552.829057,1.0022014195737226
552.952059,1.0017375077203412
553.075062,0.9985988824829716
553.198064,1.0023914549776607
553.321066,1.0024883909181341
553.444069,1.0005658200157879
553.567071,1.0015798466448782
553.690074,1.0007268740449948
553.813076,1.0016682900500558
553.936079,1.0008350284422904
554.059081,1.0007739593520917
554.182084,1.0004663587114262
554.305086,1.0007481197020527
554.428089,1.0014169028596656
554.551091,0.9986565033008354
554.674093,0.9987767487824656
554.797096,1.0001581925111158
554.920098,1.0005776667852295
555.043101,1.0025777166131655
555.166103,1.0000422208912767
555.289106,1.0017173729987907
555.412108,1.004165250643382
555.535111,0.9995685630956788
555.658113,1.0019213434194174
555.781116,0.9996929171595903
555.904118,1.001206026665966
556.027121,1.0003439691438238
556.150123,1.0002775385066869
556.273125,1.0003260031274734
556.396128,1.0004884392476208
556.51913,1.0026746705660101
556.642133,0.9997088923800481
556.765135,0.9998773675199774
556.888138,1.0011861028642777
557.01114,1.000111326196301
557.134143,1.0001348290886247
557.257145,0.9988614486419857
557.380148,1.0037222102823187
557.50315,1.0002737274565252
557.626153,1.0025340051776375
557.749155,1.001318268152573
557.872157,0.9980019986673331
557.99516,1.0024671383895243
558.118162,1.0016995425882425
558.241165,1.0010013009674288
558.364167,1.0006559950707146
558.48717,1.0018598273374946
558.610172,1.000133008844892
558.733175,0.9995405755677393
558.856177,1.000092957320264
558.97918,1.0019753484352498
559.102182,0.999637555698811
559.225185,1.0003298843998951
559.348187,1.0014772901195654
559.471189,1.0001041354217166
559.594192,1.0010745769445277
559.717194,1.001044845471107
559.840197,1.0013866605258606
559.963199,0.999401669071383
560.086202,1.0028630908381397
560.209204,0.9998536307130295
560.332207,0.9999345351429173
560.455209,1.000567751109684
560.578212,0.9998251852818738
560.701214,0.9997427131039517
560.824216,1.0003026057758932
560.947219,1.0003237523964985
561.070221,1.0001314186346724
561.193224,0.9991947044246654
561.316226,1.0016843168709109
561.439229,1.0008213671373907
561.562231,0.9994043274833584
561.685234,1.0007456778796195
561.808236,0.9996232609839719
561.931239,1.0013731418971945
562.054241,1.0001787859803086
562.177244,1.0003230421668863
562.300246,0.999258455080432
562.423248,1.0018340798707883
562.546251,1.0013004448460276
562.669253,1.0005525025733513
562.792256,1.0000182821671169
562.915258,1.000556454763542
563.038261,1.0008401827559592
563.161263,1.0003850241027596
563.284266,0.9976973551633371
563.407268,1.000129668406221
563.530271,0.9992501212996685
563.653273,1.0000613448815203
563.776276,0.9986788734570542
563.899278,0.9999573979074949
564.02228,1.0004976838035091
564.145283,0.999098906229044
564.268285,1.0005517521592557
564.391288,0.9997679369308006
564.51429,1.000426240814811
564.637293,1.0018228593919287
564.760295,1.0003061968686942
564.883298,0.99941229276759
565.0063,0.9995267620124368
565.129303,0.9999046385471925
565.252305,0.9998534807349961
565.375308,1.0002356877699992
565.49831,1.0005810787608909
565.621312,0.9982782838566704
565.744315,1.0003663370850466
565.867317,0.9998826668840686
565.99032,0.9992847159376976
566.113322,0.9993349012762753
566.236325,0.9994724791880554
566.359327,0.9998567602597913
566.48233,1.000415136145169
566.605332,0.9999123288433405
566.728335,0.9984253410783809
566.851337,0.9982892649781888
566.974339,1.0003405479732996
567.097342,0.9994308920034237
567.220344,1.0004941720628022
567.343347,1.0005301704907208
567.466349,0.9995029235834373
567.589352,0.9987380968702071
567.712354,0.9978576980115146
567.835357,0.9989739267735027
567.958359,0.9986064718633181
568.081362,0.9982677021629446
568.204364,0.9992470835839171
568.327367,0.9997325657669115
568.450369,0.9989249782503394
568.573371,1.0009363981472463
568.696374,0.9987136280865776
568.819376,1.0000935063714482
568.942379,0.9985875983793548
569.065381,0.9991447059726276
569.188384,0.9996584283488836
569.311386,0.9980485066440984
569.434389,0.9998431523018866
569.557391,0.9996697445463422
569.680394,1.002358577077138
569.803396,0.9991929258596745
569.926399,0.9996744829921614
570.049401,0.998083139528156
570.172403,0.9973768464955979
570.295406,0.9980943181219187
570.418408,1.0004198080947637
570.541411,0.9982170912734418
570.664413,0.9992017987322516
570.787416,0.9989129912225228
570.910418,0.9997617383888071
571.033421,0.9993868480545287
571.156423,0.9977625069278112
571.279426,0.9995991403657009
571.402428,0.9990440671951522
571.525431,0.9980005016654578
571.648433,0.9988113070558281
571.771435,0.9992236814912591
571.894438,1.000047259116677
572.01744,0.999862349474703
572.140443,0.9987001455436058
572.263445,0.9977198036063722
572.386448,1.000546669369265
572.50945,0.9979614806087094
572.632453,0.9993038624162777
572.755455,0.9983334901722082
572.878458,1.00006334200602
573.00146,0.9997717460538966
573.124462,0.9993255875183976
573.247465,0.9996036085838448
573.370467,0.9998218358731135
573.49347,0.9990960687921795
573.616472,0.9987920301836244
573.739475,0.9998297444951137
573.862477,0.9995314098226864
573.98548,0.9995265421165734
574.108482,0.9985730191068474
574.231485,0.9984108640158943
574.354487,0.9991044112791837
574.47749,1.0001814364576034
574.600492,0.9984678749038749
574.723494,0.9982921600212551
574.846497,0.9991018036200733
574.969499,1.0000153621179961
575.092502,0.9997166301568203
575.215504,0.9989231801869968
575.338507,1.0004396166030676
575.461509,0.9992702863705812
575.584512,1.0009661564287178
575.707514,0.9984262396615923
575.830517,0.9997447425837193
575.953519,0.9997374044842395
576.076522,1.0007944153808808
576.199524,1.0007457979691081
576.322526,1.0014019818589746
576.445529,1.0009244470380005
576.568531,0.9994496614918206
576.691534,0.9999357890616105
576.814536,1.0014684771581897
576.937539,1.0002664654956248
577.060541,1.0012236480471028
577.183544,1.0002795490665597
577.306546,1.0004255105039217
577.429549,1.000738032211847
577.552551,1.0000138370957317
577.675554,1.0008963014382788
577.798556,0.9994617549058896
577.921558,1.0003012353622622
578.044561,0.9997894221746233
578.167563,0.9998099880545568
578.290566,0.9994593761897436
578.413568,1.000606393782417
578.536571,1.0005036167723653
578.659573,1.0002611240869606
578.782576,1.0000478661455474
578.905578,0.9990349159934092
579.028581,0.9995314797898875
579.151583,1.0000987928796952
579.274585,0.9995049725665308
579.397588,1.0003470802184056
579.52059,1.0006356519411235
579.643593,0.9999052634877869
579.766595,0.9988972085219451
579.889598,1.0014025827003439
580.0126,0.9990799035485636
580.135603,1.0002243951728311
580.258605,0.9988562545759573
580.381608,0.9990290616659547
580.50461,0.9997769948693416
580.627613,1.0002423493618628
580.750615,1.0000425729062004
580.873617,0.9981846497451531
580.99662,0.9991604925836959
581.119622,1.0002645949990832
581.242625,1.00016505361985
581.365627,0.9979280494590839
581.48863,1.000052543380355
581.611632,0.9987687586004361
581.734635,0.9982441433231689
581.857637,1.0007067796511124
581.98064,0.9992983562671652
582.103642,0.9999503902306053
582.226645,1.0002203142656239
582.349647,1.0008504914629313
582.472649,0.9997311361503647
582.595652,1.0000251893172456
582.718654,0.9988239920399773
582.841657,0.9989644365662769
582.964659,0.999357926217647
583.087662,1.0000165421368197
583.210664,1.0004446688358883
583.333667,0.9986469162444217
583.456669,0.9994884608807709
583.579672,0.9997260875208749
583.702674,0.9992049462228748
583.825677,0.9990330178288721
583.948679,0.9994659526540755
584.071681,0.9990924520709568
584.194684,0.9991902680100265
584.317686,1.0003660369751906
584.440689,0.9995666039432151
584.563691,0.999545523305834
584.686694,0.9987814430442163
584.809696,0.9986642928519404
584.932699,0.9998038292439996
585.055701,1.0017289929877133
585.178704,0.9989157881828139
585.301706,0.9996939668377044
585.424708,0.9999345701406266
585.547711,0.9991884095178565
585.670713,0.998662295525352
585.793716,0.9996639464786382
585.916718,0.9989628382244571
586.039721,0.999702454275512
586.162723,0.9990617504316377
586.285726,0.9990318689415622
586.408728,0.9996972858271838
586.531731,0.9992556571606748
586.654733,0.9983508613260658
586.777736,0.9987087344017894
586.900738,0.9992562966845
587.02374,1.0004037414816611
587.146743,0.9981997224471628
587.269745,0.9986890600335149
587.392748,0.9985532475568081
587.51575,0.9982200859292075
587.638753,1.0006879765473784
587.761755,1.0005845707949492
587.884758,1.0011453554191072
588.00776,1.0003663770997009
588.130763,0.9987647635333918
588.253765,0.9998089982431586
588.376768,0.999839732844153
588.49977,0.9993671703212185
588.622772,0.9979900227152049
588.745775,0.9991980417405515
588.868777,0.9989786219619922
588.99178,0.998675378087114
589.114782,0.9996016693547252
589.237785,0.9998305443592292
589.360787,0.9993643121351985
589.48379,1.0001022552277095
589.606792,0.9994756874998629
589.729795,0.9985965857081831
589.852797,0.9983039399382447
589.9758,0.9994431650901342
590.098802,0.9983730249612026
590.221804,0.9984892423450287
590.344807,1.0001751153308998
590.467809,0.999325797376793
590.590812,0.9983975852397069
590.713814,0.9992353225149573
590.836817,0.9981685791016612
590.959819,0.9989971032374497
591.082822,0.9988334809129737
591.205824,0.9989724283137363
591.328827,0.9979852323745927
591.451829,0.9980594852380537
591.574831,0.9982980499623745
591.697834,0.9979987052661716
591.820836,0.9990786247271055
591.943839,0.9986009795428267
592.066841,0.9980463109397991
592.189844,0.9984641805795723
592.312846,0.9978180838472499
592.435849,0.9981566011505798
592.558851,0.9987140275721087
592.681854,0.9979732566236589
592.804856,0.9990572346827313
592.927859,0.9981150786996449
593.050861,0.9973936025673696
593.173863,0.9982749895437693
593.296866,0.998411063698087
593.419868,0.9972635509211464
593.542871,0.9980852355049498
593.665873,0.998188143397541
593.788876,0.9980621800023017
593.911878,0.9968511680031515
594.034881,0.9979556924489075
594.157883,0.9969323149908647
594.280886,0.9969128750002628
594.403888,0.9977334724613132
594.526891,0.997763504690817
594.649893,0.99810380006298
594.772895,0.9976897726922512
594.895898,0.9981417287280225
595.0189,0.9975199803426779
595.141903,0.9974700058435344
595.264905,0.9972038166235063
595.387908,0.9974038757743829
595.51091,0.9980804447073173
595.633913,0.9974666144512798
595.756915,0.9967723201942345
595.879918,0.9978741627993659
596.00292,0.9974967383979056
