nu,[0]Dimethylsulfide-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
600,0.9927400814552864
600.119602,0.9931485787469285
600.239204,0.9928036188536746
600.358806,0.9925093954671063
600.478408,0.9928884079031656
600.59801,0.9934743849100472
600.717612,0.9937332186989536
600.837214,0.9928557424118959
600.956816,0.9924915304587735
601.076418,0.993450939191224
601.19602,0.9934684240816203
601.315622,0.9934309710280269
601.435224,0.9942425380766959
601.554826,0.9943603627984349
601.674428,0.9938088446744285
601.79403,0.9937421623381683
601.913632,0.9929384507399928
602.033234,0.9936379242527221
602.152836,0.993869767023858
602.272438,0.9933954068358669
602.39204,0.9941110084897824
602.511642,0.993388949786708
602.631244,0.9930318906444859
602.750846,0.9928015339682641
602.870448,0.9940477850401694
602.99005,0.9941610135311256
603.109652,0.9941587269634241
603.229254,0.9943848243642357
603.348856,0.9940038490990621
603.468458,0.9937535904387466
603.58806,0.9940617018065772
603.707662,0.993821664891215
603.827264,0.994219471917381
603.946866,0.9948145908912148
604.066468,0.9947536106258574
604.18607,0.9942714709555253
604.305672,0.9936259013065777
604.425274,0.9943007029664799
604.544876,0.9943620532124885
604.664478,0.9946779127564292
604.78408,0.9948619451927647
604.903682,0.9942079390383975
605.023284,0.9938264352466554
605.142886,0.9941939208052859
605.262488,0.9941428205510443
605.38209,0.9948520961082603
605.501692,0.994698104923008
605.621294,0.9951304946708941
605.740896,0.9942842971402294
605.860498,0.9945640286554079
605.9801,0.9950743708937001
606.099702,0.9939983820929263
606.219304,0.994443693688353
606.338906,0.9949451191280049
606.458508,0.9952547942320245
606.57811,0.9953978226222994
606.697712,0.9950265089675486
606.817314,0.9945990379253761
606.936916,0.99425963919542
607.056518,0.9941442123519674
607.17612,0.9952108049422899
607.295722,0.9961272186360467
607.415324,0.9952180700076835
607.534926,0.995076361044432
607.654528,0.9950817344712899
607.77413,0.9947586838822084
607.893732,0.995426888663082
608.013334,0.9957568278018807
608.132936,0.9956578544922521
608.252538,0.9955308166552053
608.37214,0.9950379518381981
608.491742,0.9950205388264053
608.611344,0.9945207660611296
608.730946,0.9949025363881834
608.850548,0.9958387819611761
608.97015,0.99544022747276
609.089752,0.9955600856914677
609.209354,0.995188014875804
609.328956,0.9952473298490592
609.448558,0.9948895032503239
609.56816,0.9951905028489512
609.687762,0.9959832886521456
609.807364,0.9959103853437099
609.926966,0.9959314988676817
610.046568,0.9950697935621218
610.16617,0.9954332594155558
610.285772,0.9956074754794145
610.405374,0.9961724438383771
610.524976,0.9958323090301304
610.644578,0.9961794170698902
610.76418,0.9960552012415995
610.883782,0.9962721656910007
611.003384,0.9958278277948226
611.122986,0.995234292194435
611.242588,0.9956254961378073
611.36219,0.9957150068933582
611.481792,0.9964861879373575
611.601394,0.9965386044893864
611.720996,0.9962949805848247
611.840598,0.9953925470278198
611.9602,0.9960255192388665
612.079802,0.9963502764906943
612.199404,0.9965386044893864
612.319006,0.9963657200396671
612.438608,0.9963401137697041
612.55821,0.9960645642044971
612.677812,0.9957508532788374
612.797414,0.9962731619636647
612.917016,0.9959528120298076
613.036618,0.9963574502385105
613.15622,0.9961735396286681
613.275822,0.9969139716050285
613.395424,0.9962642951719805
613.515026,0.9961301074091695
613.634628,0.9959270171860206
613.75423,0.9964849921546495
613.873832,0.9963744880965828
613.993434,0.996681020031316
614.113036,0.9965254502666251
614.232638,0.9962901983803951
614.35224,0.9960061965312241
614.471842,0.9961694553255284
614.591444,0.9962442704608965
614.711046,0.9965956081278516
614.830648,0.9961612867694858
614.95025,0.9960356787509762
615.069852,0.9966907875531731
615.189454,0.9966026839817886
615.309056,0.9966557046549138
615.428658,0.9961340919375682
615.54826,0.9966175334724083
615.667862,0.9970043958029284
615.787464,0.996771821808199
615.907066,0.9968009279703437
616.026668,0.9963737906346853
616.14627,0.9962113949424203
616.265872,0.9959460395737121
616.385474,0.9972007252964663
616.505076,0.9968824696212597
616.624678,0.9969715948978843
616.74428,0.9966481301003418
616.863882,0.9962714683007289
616.983484,0.9968162788228356
617.103086,0.996705538685987
617.222688,0.9971845707755685
617.34229,0.996887254668598
617.461892,0.9976967565451036
617.581494,0.997090640413191
617.701096,0.9973387474277585
617.820698,0.9965662089910513
617.9403,0.9972018222178675
618.059902,0.9969451755006781
618.179504,0.9972712298800525
618.299106,0.9974388852648356
618.418708,0.9972696342473611
618.53831,0.9970354031217992
618.657912,0.9968714042872596
618.777514,0.996685604774553
618.897116,0.9969302214352014
619.016718,0.9973776443973942
619.13632,0.9970148644040444
619.255922,0.9972008250165438
619.375524,0.9967607577023828
619.495126,0.9974234250819307
619.614728,0.9970909395404279
619.73433,0.997419136170424
619.853932,0.9980836385698505
619.973534,0.9971617355103626
620.093136,0.9974780853833037
620.212738,0.9971460801940096
620.33234,0.9969743864222582
620.451942,0.9973029436094083
620.571544,0.9974174405593338
620.691146,0.9972730249698818
620.810748,0.9979328395252174
620.93035,0.9974658164783075
621.049952,0.9973333618130636
621.169554,0.9969078904483492
621.289156,0.9975831253559522
621.408758,0.9975689597761479
621.52836,0.9979817394323921
621.647962,0.9974326014196525
621.767564,0.9976743086206215
621.887166,0.9971390004819732
622.006768,0.9970439776631365
622.12637,0.9978135936759756
622.245972,0.9974508546032747
622.365574,0.9978850396870194
622.485176,0.9975061149113161
622.604778,0.9977078310405646
622.72438,0.9978106002396846
622.843982,0.9975644707259294
622.963584,0.9970977197818697
623.083186,0.9975172870423669
623.202788,0.9979183696039514
623.32239,0.9980602836859612
623.441992,0.997709128061588
623.561594,0.9973610880659152
623.681196,0.9977721852710683
623.800798,0.9975716532159755
623.9204,0.9977685932976669
624.040002,0.9975627748677706
624.159604,0.9974475630208856
624.279206,0.9975758430257176
624.398808,0.9976521604968152
624.51841,0.9973981905884939
624.638012,0.9974253201882387
624.757614,0.9977451460112311
624.877216,0.9979734562183301
624.996818,0.998119570227605
625.11642,0.9974755916912075
625.236022,0.9973868203139318
625.355624,0.996780593438826
625.475226,0.9977227967702729
625.594828,0.9973988887674716
625.71443,0.998421347385004
625.834032,0.9978823454010495
625.953634,0.9980156713883728
626.073236,0.9972673405298401
626.192838,0.9976244261522624
626.31244,0.9980318393732095
626.432042,0.9978647828263215
626.551644,0.997763105585495
626.671246,0.9974385860332149
626.790848,0.9982614130962315
626.91045,0.9977058356268979
627.030052,0.9977297808542945
627.149654,0.9976152480497612
627.269256,0.9980529978724836
627.388858,0.9977828614905684
627.50846,0.998252528609191
627.628062,0.9981672814833519
627.747664,0.9981240617757771
627.867266,0.9974896561962048
627.986868,0.9974978356449213
628.10647,0.9982521293082594
628.226072,0.9979236585853262
628.345674,0.9985497526265578
628.465276,0.99769625769685
628.584878,0.9979098873338595
628.70448,0.9972332345700093
628.824082,0.9977275858511911
628.943684,0.9976462743664323
629.063286,0.9983404785310986
629.182888,0.9983251042061119
629.30249,0.9977290824436924
629.422092,0.9978347475483917
629.541694,0.9977929391483615
629.661296,0.9973496184793527
629.780898,0.9978232725147764
629.9005,0.998722416805175
630.020102,0.9980662720656285
630.139704,0.9980167692062151
630.259306,0.9974173408175947
630.378908,0.997786653072646
630.49851,0.9973938020461101
630.618112,0.9981562018880192
630.737714,0.997906394655366
630.857316,0.9978441272391031
630.976918,0.9979036005213728
631.09652,0.9968787811629457
631.216122,0.9978606915890991
631.335724,0.9972061101949221
631.455326,0.9979056961211342
631.574928,0.9971048989112969
631.69453,0.9981135815281498
631.814132,0.99772110064296
631.933734,0.9981034008215399
632.053336,0.9976799953803878
632.172938,0.9962680809834952
632.29254,0.997506314412559
632.412142,0.9976467731896942
632.531744,0.9983761199223772
632.651346,0.9974695071086561
632.770948,0.9973368524859386
632.89055,0.9968900459568188
633.010152,0.9970644172741839
633.129754,0.9977101257712149
633.249356,0.9985186982121498
633.368958,0.9972366251687709
633.48856,0.9975646702388434
633.608162,0.9973498179492962
633.727764,0.9976072671597004
633.847366,0.9976015808144837
633.966968,0.9978137932387142
634.08657,0.9978367432198825
634.206172,0.9979240577548694
634.325774,0.9978756596117327
634.445376,0.9971132746276258
634.564978,0.9978266651196704
634.68458,0.9968691114856665
634.804182,0.997979444077031
634.923784,0.997917471477823
635.043386,0.9985073151638736
635.162988,0.997647072483771
635.28259,0.9976805939885646
635.402192,0.9971563508515294
635.521794,0.997605770749922
635.641396,0.9980914236525932
635.760998,0.9984612850376471
635.8806,0.998529382419381
636.000202,0.9975591836482453
636.119804,0.9979426193149656
636.239406,0.9979492057579883
636.359008,0.9979013053457311
636.47861,0.998200321367176
636.598212,0.9988040157598999
636.717814,0.9979806416530824
636.837416,0.9985478553838302
636.957018,0.9977003482598922
637.07662,0.997773382598409
637.196222,0.9979185691876453
637.315824,0.9981704756237632
637.435426,0.9988892173762415
637.555028,0.9985614357270095
637.67463,0.9980768516241839
637.794232,0.9973634817353989
637.913834,0.9981216662809034
638.033436,0.9980994084159214
638.153038,0.9991200873503752
638.27264,0.9986377287350549
638.392242,0.998418451967295
638.511844,0.9978747615240432
638.631446,0.9982585181423312
638.751048,0.9979600834636145
638.87065,0.9978692732279477
638.990252,0.9984739655764884
639.109854,0.9984261398189733
639.229456,0.9990159944512879
639.349058,0.9979904219112938
639.46866,0.998404474206812
639.588262,0.997359592025405
639.707864,0.9982133978770369
639.827466,0.9983543555601954
639.947068,0.998760668606256
640.06667,0.9983528580297851
640.186272,0.9983255035362334
640.305874,0.9977146154768827
640.425476,0.9978685747197009
640.545078,0.9987883346599494
640.66468,0.9980743564351738
640.784282,0.998548654222434
640.903884,0.9980464107444351
641.023486,0.998419150860456
641.143088,0.9977560214925939
641.26269,0.9980092841085152
641.382292,0.998222182193589
641.501894,0.9982555233712689
641.621496,0.9981541057621962
641.741098,0.9983602458682695
641.8607,0.9981784610195097
641.980302,0.9981107868140341
642.099904,0.9978424309055287
642.219506,0.9976553529888367
642.339108,0.9982598158792483
642.45871,0.9984050732496762
642.578312,0.9984882438562855
642.697914,0.997717508853463
642.817516,0.9982887658336811
642.937118,0.9974533482335282
643.05672,0.9983384818521382
643.176322,0.9984977295396591
643.295924,0.9984319307073778
643.415526,0.9983803131108866
643.535128,0.9980049926778201
643.65473,0.9977719857166512
643.774332,0.9978461229293533
643.893934,0.9979846335836329
644.013536,0.9977888482056975
644.133138,0.9989300727807195
644.25274,0.9981445235287757
644.372342,0.9983734243104925
644.491944,0.9970646166870873
644.611546,0.9980842374202133
644.731148,0.9979997032653758
644.85075,0.9981818548320467
644.970352,0.9988629469352823
645.089954,0.9983465684265919
645.209556,0.9980935196467836
645.329158,0.997755622390265
645.44876,0.9977498354244374
645.568362,0.9975827263227818
645.687964,0.9983374835141555
645.807566,0.9980658728391995
645.927168,0.9985098114352818
646.04677,0.9978566003686505
646.166372,0.9975575875548283
646.285974,0.9978741627993659
646.405576,0.9975725510308674
646.525178,0.998098510126858
646.64478,0.9983696304986883
646.764382,0.9985100111372641
646.883984,0.9978446261612914
647.003586,0.9976545548648735
647.123188,0.9968160794595998
647.24279,0.9980624794210007
647.362392,0.998405772133472
647.481994,0.9988475645643441
647.601596,0.9974883594604946
647.721198,0.998237055814912
647.8408,0.9971427896173743
647.960402,0.9975925026814039
648.080004,0.9976168442354351
648.199606,0.9977073321867738
648.319208,0.9982176902038762
648.43881,0.997869073654113
648.558412,0.997837341922108
648.678014,0.9972901782134288
648.797616,0.9977452457857506
648.917218,0.997232636230248
649.03682,0.9980770512395742
649.156422,0.9975320504074637
649.276024,0.9980378275822104
649.395626,0.9971818783808621
649.515228,0.9971993292164282
649.63483,0.9967751111606383
649.754432,0.997530254851389
649.874034,0.9979898231172203
649.993636,0.9975786362419886
650.113238,0.9977571190248211
650.23284,0.9967022495631364
650.352442,0.9972966606206549
650.472044,0.996812391246929
650.591646,0.9974704048316165
