nu,[0]HFE-263m1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
644.107909,0.9999997934200213
644.590026,0.9999999416720017
645.072143,0.9999999416720017
645.554259,0.9999995746900905
646.036376,0.9999994288701631
646.518493,0.9999995722600915
647.00061,0.9999996719100538
647.482726,0.999999674340053
647.964843,0.9999996524600604
648.44696,0.9999995552500989
648.929076,0.9999994167201701
649.411193,0.9999992976402466
649.89331,0.9999993268002266
650.375426,0.9999994458901535
650.857543,0.9999994240101658
651.33966,0.9999992466002838
651.821776,0.9999991202203871
652.303893,0.9999991809803354
652.78601,0.9999994118601729
653.268127,0.9999995771200895
653.750243,0.9999995844100864
654.23236,0.9999994458901535
654.714477,0.9999991736903414
655.196593,0.9999990157204844
655.67871,0.9999990570304446
656.160827,0.9999991105003956
656.642943,0.9999990934904108
657.12506,0.9999990691804332
657.607177,0.9999990691804332
658.089293,0.9999990570304446
658.57141,0.9999989866005135
659.053527,0.9999989258005769
659.535643,0.999998964700536
660.01776,0.999999018150482
660.499877,0.9999990813404219
660.981994,0.999999234450293
661.46411,0.9999993025002433
661.946227,0.9999991323703764
662.428344,0.9999988966006087
662.91046,0.9999988553006551
663.392577,0.999998937900564
663.874694,0.9999988456006663
664.35681,0.9999986099009662
664.838927,0.9999984908011389
665.321044,0.9999984349012248
665.80316,0.9999982793014804
666.285277,0.9999981651016834
666.767394,0.9999981578016969
667.249511,0.9999980800018432
667.731627,0.9999978953022148
668.213744,0.9999978759022559
668.695861,0.999998184501648
669.177977,0.9999985078011133
669.660094,0.9999984738011647
670.142211,0.9999982234015782
670.624327,0.9999980873018293
671.106444,0.9999981165017738
671.588561,0.9999982283015695
672.070677,0.9999983109014265
672.552794,0.9999983061014347
673.034911,0.9999982380015523
673.517027,0.9999980946018153
673.999144,0.9999979342021338
674.481261,0.9999979002022046
674.963378,0.9999979610020787
675.445494,0.9999979585020838
675.927611,0.9999978565022973
676.409728,0.9999977519025269
676.891844,0.9999978346023445
677.373961,0.999998111601783
677.856078,0.9999983449013696
678.338194,0.9999983765013178
678.820311,0.9999982210015824
679.302428,0.9999979804020394
679.784544,0.9999978880022302
680.266661,0.9999980436019138
680.748778,0.9999982380015523
681.230895,0.9999982623015098
681.713011,0.9999982016016171
682.195128,0.9999982477015352
682.677245,0.9999983304013937
683.159361,0.9999982696014972
683.641478,0.9999982016016171
684.123595,0.9999982623015098
684.605711,0.9999983206014101
685.087828,0.9999982890014638
685.569945,0.9999982429015437
686.052061,0.9999982793014804
686.534178,0.9999984397012173
687.016295,0.9999985710010211
687.498412,0.9999986074009697
687.980528,0.9999986293009394
688.462645,0.9999987022008422
688.944762,0.9999988675006413
689.426878,0.9999990011404989
689.908995,0.9999989720005283
690.391112,0.999998955000546
690.873228,0.9999990448804561
691.355345,0.9999991032104021
691.837462,0.9999990570304446
692.319578,0.9999990740504286
692.801695,0.9999992733302641
693.283812,0.9999994531801495
693.765928,0.999999504210123
694.248045,0.9999995406701055
694.730162,0.9999995844100864
695.212279,0.9999995212301146
695.694395,0.9999994434601549
696.176512,0.9999995941400823
696.658629,0.9999999319510023
697.140745,0.9999998371700133
697.622862,0.9999997934200213
698.104979,0.9999998274500149
698.587095,0.9999998493200114
699.069212,0.9999997812700239
699.551329,0.9999998128600175
700.033445,0.9999999829880002
700.515562,0.99999985904001
700.997679,0.9999999343810021
701.479796,0.9999999392420018
701.961912,0.9999999027870047
702.444029,0.9999998930700057
702.926146,0.9999998396000128
703.408262,0.9999998639000093
703.890379,0.9999999246600029
704.372496,0.9999998857700065
704.854612,0.9999997934200213
705.336729,0.9999997545400301
705.818846,0.9999997569700295
706.300962,0.9999998298800145
706.783079,0.9999999538240011
707.265196,0.999999987848
707.747312,0.999999922230003
708.229429,0.9999998080000184
708.711546,0.9999998347400136
709.193663,0.9999999805570002
709.675779,0.9999999392420018
710.157896,0.9999999319510023
710.640013,0.9999999951393
711.122129,0.9999998784800074
711.604246,0.9999998517500109
712.086363,0.9999999392420018
712.568479,1.0
713.050596,0.9999999489630013
713.532713,0.9999998857700065
714.014829,0.9999999319510023
714.496946,0.9999999052170044
714.979063,0.9999997521100307
715.46118,0.9999997180800397
715.943296,0.9999997666900272
716.425413,0.9999998493200114
716.90753,0.9999999951393
717.389646,0.9999999441020015
717.871763,0.9999999635450006
718.35388,0.9999999659750006
718.835996,0.9999999149390036
719.318113,0.9999998250200153
719.80023,0.9999998031400193
720.282346,0.9999997885600224
720.764463,0.9999997982800204
721.24658,0.9999998371700133
721.728696,0.9999998614700096
722.210813,0.9999998055700189
722.69293,0.9999996719100538
723.175047,0.9999996281600692
723.657163,0.9999997715500261
724.13928,0.999999922230003
724.621397,0.9999999197990033
725.103513,0.9999999343810021
725.58563,0.99999985904001
726.067747,0.9999996548900596
726.549863,0.9999998007100198
727.03198,0.9999997448200325
727.514097,0.9999994142901715
