nu,[0](Perfluorohexyl)ethylene-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
650.018,0.8983639529244098
650.078265,0.8784203863430479
650.13853,0.876621469071244
650.198795,0.8814120986855809
650.25906,0.8787191000528576
650.319325,0.8739431073592308
650.37959,0.880812942194769
650.439855,0.8928827551057416
650.50012,0.8925792265717803
650.560385,0.8775248543479381
650.62065,0.8618362427272511
650.680915,0.8542511856884919
650.74118,0.8536704923403382
650.801445,0.8641836283046131
650.86171,0.8850156062047729
650.921975,0.8983639529244098
650.98224,0.8913661439068313
651.042505,0.8745375907736884
651.10277,0.868610908712898
651.163035,0.8712729289072828
651.223299,0.8677253772838153
651.283564,0.858910975274655
651.343829,0.8633026103992584
651.404094,0.8829117736158655
651.464359,0.9011171568740768
651.524624,0.9023525334187043
651.584889,0.8898521087566975
651.645154,0.8754300742054495
651.705419,0.8680204540723032
651.765684,0.8712729289072828
651.825949,0.8811124695118737
651.886214,0.8826116346393534
651.946479,0.8715692120683945
652.006744,0.8592030546569296
652.067009,0.858910975274655
652.127274,0.8630091374049589
652.187539,0.8615432682132136
652.247804,0.8574520670400412
652.308069,0.8612503932935788
652.368334,0.868610908712898
652.428599,0.8662514972953823
652.488864,0.8554137576707852
652.549129,0.8501861104448984
652.609394,0.8536704923403382
652.669659,0.8568691978324444
652.729924,0.854541680472941
652.790189,0.851053742694776
652.850454,0.8464365804024836
652.910719,0.8386934623520791
652.970984,0.8304645798711989
653.031249,0.8270749163266921
653.091514,0.828200503438642
653.151779,0.8290456989285708
653.212044,0.8321604568204943
653.272309,0.8412722076301341
653.332574,0.851053742694776
653.392839,0.8536704923403382
653.453104,0.8498970963025355
653.513368,0.8498970963025355
653.573633,0.8551229664304892
653.633898,0.8592030546569296
653.694163,0.8606649421021036
653.754428,0.8621293168695593
653.814693,0.8656626465091792
653.874958,0.8692017649991924
653.935223,0.8715692120683945
653.995488,0.8730521398603955
654.055753,0.8709767464653227
654.116018,0.8644775006937119
654.176283,0.8559956368424979
654.236548,0.8507644336075916
654.296813,0.8475885172913635
654.357078,0.8447116098466493
654.417343,0.8424171161938658
654.477608,0.8395493661203932
654.537873,0.831312085897262
654.598138,0.8158946807959486
654.658403,0.7980532136369617
654.718668,0.7869976630579152
654.778933,0.7816564165589855
654.839198,0.7763591839293127
654.899463,0.7705659762875692
654.959728,0.7679505007961012
655.019993,0.769780399703923
655.080258,0.7729275194934021
655.140523,0.7726647688069223
655.200788,0.7687342099306241
655.261053,0.7632573633884957
655.321318,0.7570545253009127
655.381583,0.7506393266764794
655.441848,0.7458058256436181
655.502113,0.7437799901830886
655.562378,0.7455522947655908
655.622643,0.7483458810981595
655.682908,0.7465669356859078
655.743173,0.7407441425636173
655.803437,0.7367254352227018
655.863702,0.7384809299686276
655.923967,0.741752239948344
655.984232,0.7415000870551826
656.044497,0.7397374152594679
656.104762,0.741752239948344
656.165027,0.7480914867480762
656.225292,0.7534595086878875
656.285557,0.7529473303823395
656.345822,0.7460594427367996
656.406087,0.7374772785415368
656.466352,0.7327285302933937
656.526617,0.7327285302933937
656.586882,0.7327285302933937
656.647147,0.7272608954551798
656.707412,0.7206079847737029
656.767677,0.7196286240306681
656.827942,0.7235613068581356
656.888207,0.7235613068581356
656.948472,0.7181620780231713
657.008737,0.7147517495526932
657.069002,0.7188949770577202
657.129267,0.7240534958720982
657.189532,0.7230694524189342
657.249797,0.7181620780231713
657.310062,0.7152379460304567
657.370327,0.7135377038097178
657.430592,0.7099008262792129
657.490857,0.7053296477449865
657.551122,0.7031746378695503
657.611387,0.7019732367295195
657.671652,0.7000664639122356
657.731917,0.6969789984668727
657.792182,0.6929620799335244
657.852447,0.6863895193068912
657.912712,0.6794171368960142
657.972977,0.6775716333063534
658.033242,0.6805731283430662
658.093506,0.6801104959286406
658.153771,0.6743540562404442
658.214036,0.6706888234654558
658.274301,0.6738889124347058
658.334566,0.6761907961072258
658.394831,0.6697773066374809
658.455096,0.6596011136014389
658.515361,0.6569154235911542
658.575626,0.6618475742066227
658.635891,0.6668234238321612
658.696156,0.6675039307239848
658.756421,0.6652382711633613
658.816686,0.6622977836109325
658.876951,0.6593768873434384
658.937216,0.6584807442920517
658.997481,0.6584807442920517
659.057746,0.6553472704182668
659.118011,0.6495795315139622
659.178276,0.6478150759356762
659.238541,0.6522352299433513
659.298806,0.6551244902211042
659.359071,0.6509060263229275
659.419336,0.6425439884774568
659.479601,0.6362332739183046
659.539866,0.6329967443868013
659.600131,0.6308482100340402
659.660396,0.6297766791363058
659.720661,0.6287006812553647
659.780926,0.6248647829076244
659.841191,0.6202020294935726
659.901456,0.6204191381957019
659.961721,0.6248647829076244
