nu,[0]Piperidine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
510,0.9693931711544458
510.123802,0.9203124932836798
510.247605,0.9787862454250956
510.371407,0.9318475971863711
510.49521,0.9184626860772664
510.619012,0.9859555564398567
510.742815,0.9841568443177485
510.866617,0.9459751299209443
510.99042,0.9030205214185114
511.114222,0.975673770480902
511.238025,0.8979148832247282
511.361827,0.9647242208394431
511.48563,0.9803261074173228
511.609432,0.9353261378303044
511.733235,0.956557860532377
511.857037,0.9519136043901257
511.98084,0.9708619439960551
512.104642,0.9538670288550967
512.228445,0.9480879564173964
512.352247,0.9657502679336092
512.47605,0.9316118695650843
512.599852,0.9493896258346345
512.723654,0.9433734985039459
512.847457,0.9364445206656659
512.971259,0.9384159357089773
513.095062,0.9944541354019555
513.218864,0.9430018825586839
513.342667,0.9702931855593712
513.466469,0.9797909954615308
513.590272,0.9727024989733384
513.714074,0.9796136693398504
513.837877,0.9119008608727778
513.961679,0.9814737602089658
514.085482,0.9112645761610864
514.209284,0.9882812062705739
514.333087,0.9584086751127824
514.456889,0.9577926164187808
514.580692,0.9659019026286869
514.704494,0.9039059153016433
514.828297,0.9846795703735667
514.952099,0.9373533125435154
515.075902,0.9757811004986977
515.199704,0.9341549081082606
515.323506,0.9737915622869733
515.447309,0.9441908138000944
515.571111,0.9727024989733384
515.694914,0.9749461892696576
515.818716,0.985706141236431
515.942519,0.9537802309048374
516.066321,0.9923643012001384
516.190124,0.9591574846601116
516.313926,0.9642439077853422
516.437729,0.9518031888162436
516.561531,0.9632820724010618
516.685334,0.9515176906864594
516.809136,0.945025847510015
516.932939,0.9410697677585865
517.056741,0.9314171830297969
517.180544,0.9600038347471039
517.304346,0.9972148856473038
517.428149,0.9728902486729034
517.551951,0.9944531409483174
517.675754,0.9555368020795959
517.799556,0.9582141378979299
517.923358,0.9698178583631206
518.047161,0.9763433123140437
518.170963,0.9890128050213667
518.294766,0.9393923959534302
518.418568,0.9393238228114758
518.542371,0.9552444525499187
518.666173,0.964778246908526
518.789976,0.9568180796586386
518.913778,0.9531337870775047
519.037581,0.9395925078449281
519.161383,0.946179482618304
519.285186,0.9209062863195158
519.408988,0.9761109702555146
519.532791,0.9792522585802499
519.656593,0.9201100468050866
519.780396,0.9809223269229956
519.904198,0.9971144711642732
520.028001,0.9718245450726093
520.151803,0.9801722082998552
520.275606,0.937793972147306
520.399408,0.9482339732056888
520.52321,0.9653881794789626
520.647013,0.9481543248972153
520.770815,0.922079346516401
520.894618,0.9380941142385665
521.01842,0.9446753079496979
521.142223,0.9151328801893323
521.266025,0.9276664868147116
521.389828,0.9361832890878997
521.51363,0.9521868428024224
521.637433,0.9190414998766977
521.761235,0.9278177087763175
521.885038,0.9717370847993241
522.00884,0.9640144450424388
522.132643,0.9548824834998701
522.256445,0.9867160212954027
522.380248,0.9475837077666164
522.50405,0.9508841908833128
522.627853,0.9402288273425855
522.751655,0.9212231325764414
522.875458,0.9361823529050788
