nu,[0]HFC-152-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
700.050533,1.0
700.171067,1.0
700.2916,1.0
700.412133,1.0
700.532667,1.0
700.6532,1.0
700.773733,1.0
700.894267,1.0
701.0148,1.0
701.135333,1.0
701.255867,1.0
701.3764,1.0
701.496934,1.0
701.617467,1.0
701.738,1.0
701.858534,1.0
701.979067,1.0
702.0996,1.0
702.220134,1.0
702.340667,1.0
702.4612,1.0
702.581734,1.0
702.702267,1.0
702.8228,1.0
702.943334,1.0
703.063867,1.0
703.1844,1.0
703.304934,1.0
703.425467,1.0
703.546,1.0
703.666534,1.0
703.787067,1.0
703.9076,1.0
704.028134,1.0
704.148667,1.0
704.2692,1.0
704.389734,1.0
704.510267,1.0
704.630801,1.0
704.751334,1.0
704.871867,1.0
704.992401,1.0
705.112934,1.0
705.233467,1.0
705.354001,1.0
705.474534,1.0
705.595067,1.0
705.715601,1.0
705.836134,1.0
705.956667,1.0
706.077201,1.0
706.197734,1.0
706.318267,1.0
706.438801,1.0
706.559334,1.0
706.679867,1.0
706.800401,1.0
706.920934,1.0
707.041467,1.0
707.162001,1.0
707.282534,1.0
707.403067,1.0
707.523601,1.0
707.644134,1.0
707.764668,1.0
707.885201,1.0
708.005734,1.0
708.126268,1.0
708.246801,1.0
708.367334,1.0
708.487868,1.0
708.608401,1.0
708.728934,1.0
708.849468,1.0
708.970001,1.0
709.090534,1.0
709.211068,1.0
709.331601,1.0
709.452134,1.0
709.572668,1.0
709.693201,1.0
709.813734,1.0
709.934268,1.0
710.054801,1.0
710.175334,1.0
710.295868,1.0
710.416401,1.0
710.536935,1.0
710.657468,1.0
710.778001,1.0
710.898535,1.0
711.019068,1.0
711.139601,1.0
711.260135,1.0
711.380668,1.0
711.501201,1.0
711.621735,1.0
711.742268,1.0
711.862801,1.0
711.983335,1.0
712.103868,1.0
712.224401,1.0
712.344935,1.0
712.465468,1.0
712.586001,1.0
712.706535,1.0
712.827068,1.0
712.947601,1.0
713.068135,1.0
713.188668,1.0
713.309201,1.0
713.429735,1.0
713.550268,1.0
713.670802,1.0
713.791335,1.0
713.911868,1.0
714.032402,1.0
714.152935,1.0
714.273468,1.0
714.394002,1.0
714.514535,1.0
714.635068,1.0
714.755602,1.0
714.876135,1.0
714.996668,1.0
715.117202,1.0
715.237735,1.0
715.358268,1.0
715.478802,1.0
715.599335,1.0
715.719868,1.0
715.840402,1.0
715.960935,1.0
716.081468,1.0
716.202002,1.0
716.322535,1.0
716.443069,1.0
716.563602,1.0
716.684135,1.0
716.804669,1.0
716.925202,1.0
717.045735,1.0
717.166269,1.0
717.286802,1.0
717.407335,1.0
717.527869,1.0
717.648402,1.0
717.768935,1.0
717.889469,1.0
718.010002,1.0
718.130535,1.0
718.251069,1.0
718.371602,1.0
718.492135,1.0
718.612669,1.0
718.733202,1.0
718.853735,1.0
718.974269,1.0
719.094802,1.0
719.215335,1.0
719.335869,1.0
719.456402,1.0
719.576936,1.0
719.697469,1.0
719.818002,1.0
719.938536,1.0
720.059069,1.0
720.179602,1.0
720.300136,1.0
720.420669,1.0
720.541202,1.0
720.661736,1.0
720.782269,1.0
720.902802,1.0
721.023336,1.0
721.143869,1.0
721.264402,1.0
721.384936,1.0
721.505469,1.0
721.626002,1.0
721.746536,1.0
721.867069,1.0
721.987602,1.0
722.108136,1.0
722.228669,1.0
722.349202,1.0
722.469736,1.0
722.590269,1.0
722.710803,1.0
722.831336,1.0
722.951869,1.0
723.072403,1.0
723.192936,1.0
723.313469,1.0
723.434003,1.0
723.554536,1.0
723.675069,1.0
723.795603,1.0
723.916136,1.0
724.036669,1.0
724.157203,1.0
724.277736,1.0
724.398269,1.0
724.518803,1.0
724.639336,1.0
724.759869,1.0
724.880403,1.0
725.000936,1.0
725.121469,1.0
725.242003,1.0
725.362536,1.0
725.48307,1.0
725.603603,1.0
725.724136,1.0
725.84467,1.0
725.965203,1.0
726.085736,1.0
726.20627,1.0
726.326803,1.0
726.447336,1.0
726.56787,1.0
726.688403,1.0
726.808936,1.0
726.92947,1.0
727.050003,1.0
727.170536,1.0
727.29107,1.0
727.411603,1.0
727.532136,1.0
727.65267,1.0
727.773203,1.0
727.893736,1.0
728.01427,1.0
728.134803,1.0
728.255336,1.0
728.37587,1.0
728.496403,1.0
728.616937,1.0
728.73747,1.0
728.858003,1.0
728.978537,1.0
729.09907,1.0
729.219603,1.0
729.340137,1.0
729.46067,1.0
729.581203,1.0
729.701737,1.0
729.82227,1.0
729.942803,1.0
730.063337,1.0
730.18387,1.0
730.304403,1.0
730.424937,1.0
730.54547,1.0
730.666003,1.0
730.786537,1.0
730.90707,1.0
731.027603,1.0
731.148137,1.0
731.26867,1.0
731.389203,1.0
731.509737,1.0
731.63027,1.0
731.750804,1.0
731.871337,1.0
731.99187,1.0
732.112404,1.0
732.232937,1.0
732.35347,1.0
732.474004,1.0
732.594537,1.0
732.71507,1.0
732.835604,1.0
732.956137,1.0
733.07667,1.0
733.197204,1.0
733.317737,1.0
733.43827,1.0
733.558804,1.0
733.679337,1.0
733.79987,1.0
733.920404,1.0
734.040937,1.0
734.16147,1.0
734.282004,1.0
734.402537,1.0
734.523071,1.0
734.643604,1.0
734.764137,1.0
734.884671,1.0
735.005204,1.0
735.125737,1.0
735.246271,1.0
735.366804,1.0
735.487337,1.0
735.607871,1.0
735.728404,1.0
735.848937,1.0
735.969471,1.0
736.090004,1.0
736.210537,1.0
736.331071,1.0
736.451604,1.0
736.572137,1.0
736.692671,1.0
736.813204,1.0
736.933737,1.0
737.054271,1.0
737.174804,1.0
737.295337,1.0
737.415871,1.0
737.536404,1.0
737.656938,1.0
737.777471,1.0
737.898004,1.0
738.018538,1.0
738.139071,1.0
738.259604,1.0
738.380138,1.0
738.500671,1.0
738.621204,1.0
738.741738,1.0
738.862271,1.0
738.982804,1.0
739.103338,1.0
739.223871,1.0
739.344404,1.0
739.464938,1.0
739.585471,1.0
739.706004,1.0
739.826538,1.0
739.947071,1.0
740.067604,1.0
740.188138,1.0
740.308671,1.0
740.429204,1.0
740.549738,1.0
740.670271,1.0
740.790805,1.0
740.911338,1.0
741.031871,1.0
741.152405,1.0
741.272938,1.0
741.393471,1.0
741.514005,1.0
741.634538,1.0
741.755071,1.0
741.875605,1.0
741.996138,1.0
742.116671,1.0
742.237205,1.0
742.357738,1.0
742.478271,1.0
742.598805,1.0
742.719338,1.0
742.839871,1.0
742.960405,1.0
743.080938,1.0
743.201471,1.0
743.322005,1.0
743.442538,1.0
743.563072,1.0
743.683605,1.0
743.804138,1.0
743.924672,1.0
744.045205,1.0
744.165738,1.0
744.286272,1.0
744.406805,1.0
744.527338,1.0
744.647872,1.0
744.768405,1.0
744.888938,1.0
745.009472,1.0
745.130005,1.0
745.250538,1.0
745.371072,1.0
745.491605,1.0
745.612138,1.0
745.732672,1.0
745.853205,1.0
745.973738,1.0
746.094272,1.0
746.214805,1.0
746.335338,1.0
746.455872,1.0
746.576405,1.0
746.696939,1.0
746.817472,1.0
746.938005,1.0
747.058539,1.0
747.179072,1.0
747.299605,1.0
747.420139,1.0
747.540672,1.0
747.661205,1.0
747.781739,1.0
747.902272,1.0
748.022805,1.0
748.143339,1.0
748.263872,1.0
748.384405,1.0
748.504939,1.0
748.625472,1.0
748.746005,1.0
748.866539,1.0
748.987072,1.0
749.107605,1.0
749.228139,1.0
749.348672,1.0
749.469206,1.0
749.589739,1.0
749.710272,1.0
749.830806,1.0
749.951339,1.0
750.071872,1.0
750.192406,1.0
750.312939,1.0
750.433472,1.0
750.554006,1.0
750.674539,1.0
750.795072,1.0
750.915606,1.0
751.036139,1.0
751.156672,1.0
751.277206,1.0
751.397739,1.0
751.518272,1.0
751.638806,1.0
751.759339,1.0
751.879872,1.0
752.000406,1.0
752.120939,1.0
752.241472,1.0
752.362006,1.0
752.482539,1.0
752.603073,1.0
752.723606,1.0
752.844139,1.0
752.964673,1.0
753.085206,1.0
753.205739,1.0
753.326273,1.0
753.446806,1.0
753.567339,1.0
753.687873,1.0
753.808406,1.0
753.928939,1.0
754.049473,1.0
754.170006,1.0
754.290539,1.0
754.411073,1.0
754.531606,1.0
754.652139,1.0
754.772673,1.0
754.893206,1.0
755.013739,1.0
755.134273,1.0
755.254806,1.0
755.375339,1.0
755.495873,1.0
755.616406,1.0
755.73694,1.0
755.857473,1.0
755.978006,1.0
756.09854,1.0
756.219073,1.0
756.339606,1.0
756.46014,1.0
756.580673,1.0
756.701206,1.0
756.82174,1.0
756.942273,1.0
757.062806,1.0
757.18334,1.0
757.303873,1.0
757.424406,1.0
757.54494,1.0
757.665473,1.0
757.786006,1.0
757.90654,1.0
758.027073,1.0
758.147606,1.0
758.26814,1.0
758.388673,1.0
758.509207,1.0
758.62974,1.0
758.750273,1.0
758.870807,1.0
758.99134,1.0
759.111873,1.0
759.232407,1.0
759.35294,1.0
759.473473,1.0
759.594007,1.0
759.71454,1.0
759.835073,1.0
759.955607,1.0
760.07614,1.0
760.196673,1.0
760.317207,1.0
760.43774,1.0
760.558273,1.0
760.678807,1.0
760.79934,1.0
760.919873,1.0
761.040407,1.0
761.16094,1.0
761.281473,1.0
761.402007,1.0
761.52254,1.0
761.643074,1.0
761.763607,1.0
761.88414,1.0
762.004674,1.0
762.125207,1.0
762.24574,1.0
762.366274,1.0
762.486807,1.0
762.60734,1.0
762.727874,1.0
762.848407,1.0
762.96894,1.0
763.089474,1.0
763.210007,1.0
763.33054,1.0
763.451074,1.0
763.571607,1.0
763.69214,1.0
763.812674,1.0
763.933207,1.0
764.05374,1.0
764.174274,1.0
764.294807,1.0
764.41534,1.0
764.535874,1.0
764.656407,1.0
764.776941,1.0
764.897474,1.0
765.018007,1.0
765.138541,1.0
765.259074,1.0
765.379607,1.0
765.500141,1.0
765.620674,1.0
765.741207,1.0
765.861741,1.0
765.982274,1.0
766.102807,1.0
766.223341,1.0
766.343874,1.0
766.464407,1.0
766.584941,1.0
766.705474,1.0
766.826007,1.0
766.946541,1.0
767.067074,1.0
767.187607,1.0
767.308141,1.0
767.428674,1.0
767.549208,1.0
767.669741,1.0
767.790274,1.0
767.910808,1.0
768.031341,1.0
768.151874,1.0
768.272408,1.0
768.392941,1.0
768.513474,1.0
768.634008,1.0
768.754541,1.0
768.875074,1.0
768.995608,1.0
769.116141,1.0
769.236674,1.0
769.357208,1.0
769.477741,1.0
769.598274,1.0
769.718808,1.0
769.839341,1.0
769.959874,1.0
770.080408,1.0
770.200941,1.0
770.321474,1.0
770.442008,1.0
770.562541,1.0
770.683075,1.0
770.803608,1.0
770.924141,1.0
771.044675,1.0
771.165208,1.0
