nu,[0]1-1-1-2-Tetrachloroethane-PNNL(x-sec)-X=0.01-T=278.23K-P=1.0atm-L=15cm
530,0.9553562226892928
530.119402,0.954730669254546
530.238805,0.9912559534981683
530.358207,1.0332518862928943
530.47761,0.9669166322662784
530.597012,1.0035124542606375
530.716414,0.9474955865794927
530.835817,1.0619172491895588
530.955219,1.0668687966023278
531.074621,0.9809301743330006
531.194024,1.0013426004821255
531.313426,0.9628862448174453
531.432829,1.007889862211098
531.552231,0.9947976791869196
531.671633,0.961600687737714
531.791036,1.0109019983714616
531.910438,0.9616564621950464
532.029841,1.0318651604044677
532.149243,1.01831673060738
532.268645,1.0535885459057714
532.388048,0.9989172865576199
532.50745,0.9967196920051247
532.626853,0.9651642353998411
532.746255,1.0166917766596852
532.865657,0.951200888046028
532.98506,1.0040929533480696
533.104462,1.0095816125197064
533.223864,1.0630721808310557
533.343267,1.0047004124433683
533.462669,0.992931897367844
533.582072,1.02470011597193
533.701474,1.0235356940393827
533.820876,1.0415093925821288
533.940279,0.92217432558043
534.059681,1.057507791753957
534.179084,1.0027242039181998
534.298486,0.9704212727134311
534.417888,1.0058111194261534
534.537291,1.0865591933562528
534.656693,0.9482690585117716
534.776096,0.9848075870386181
534.895498,1.0200503614011258
535.0149,0.9879768625303845
535.134303,1.0259838439631621
535.253705,1.0216857917100033
535.373107,0.9581604794086593
535.49251,1.02440094721883
535.611912,0.9685753484877039
535.731315,0.9917702513328602
535.850717,0.996437660241664
535.970119,1.0156024670493753
536.089522,0.966598569018536
536.208924,0.9537039315383804
536.328327,1.0030906662909096
536.447729,0.9948308065012033
536.567131,0.9713319549104152
536.686534,0.9974723000271861
536.805936,1.0219371573314677
536.925339,0.9837947412300941
537.044741,0.9659434373034891
537.164143,0.9728581438244301
537.283546,0.993579301344584
537.402948,0.9719071536697561
537.52235,0.987828677115189
537.641753,0.9868778559929776
537.761155,0.997312816957423
537.880558,0.9628400273869213
537.99996,1.014035586783095
538.119362,0.9956285825816292
538.238765,0.9777707924136317
538.358167,0.9131802425166907
538.47757,0.9692041579154604
538.596972,0.9365400428783238
538.716374,0.9552243926270452
538.835777,0.9739210851778388
538.955179,0.9357883030878125
539.074581,0.9534807909268701
539.193984,0.9810635899087634
539.313386,0.9460091856386207
539.432789,0.9289967858219096
539.552191,0.9260889413261837
539.671593,0.9791905676312447
539.790996,0.9624963548463428
539.910398,0.9243227239280812
540.029801,0.9308473301065634
540.149203,0.916822858879229
540.268605,0.9045840990252261
540.388008,0.917939311522121
540.50741,0.9193429949311432
540.626813,0.9174786216305744
540.746215,0.9202471534162494
540.865617,0.9327883059196783
540.98502,0.9135602045241956
541.104422,0.8664334292119971
541.223824,0.8579409540378118
541.343227,0.9150047705539895
541.462629,0.898759320038083
541.582032,0.8900656988925901
541.701434,0.8499990900735958
541.820836,0.8855290641447804
541.940239,0.885166071647028
542.059641,0.8669100986701486
542.179044,0.882223370944389
542.298446,0.8543622455613668
542.417848,0.8861048451450273
542.537251,0.8646677066657542
542.656653,0.8452608508770466
542.776056,0.862965988026832
542.895458,0.8395661572756266
543.01486,0.8551742753477272
543.134263,0.8239791934985691
543.253665,0.859142912548102
543.373067,0.8156499491032991
543.49247,0.8244077741004875
543.611872,0.8237567491476632
543.731275,0.8236579042685769
543.850677,0.7932950963693823
543.970079,0.788328813613878
544.089482,0.806888327572048
544.208884,0.8039324747175198
544.328287,0.8045115145286339
544.447689,0.8144192470940138
544.567091,0.7659640825211296
544.686494,0.7817893094453758
544.805896,0.7769028256104529
544.925299,0.7935966057891642
545.044701,0.7845146756289663
545.164103,0.789078081832864
545.283506,0.7625707407879633
545.402908,0.754983035139103
545.52231,0.7719928427882601
545.641713,0.7670295128984029
545.761115,0.7593594728029138
545.880518,0.7673977754405337
545.99992,0.7535499292540555
546.119322,0.7494467584900163
546.238725,0.7079795994781184
546.358127,0.7324354974917437
546.47753,0.7277992676909761
546.596932,0.7174729732514827
546.716334,0.7185068785661326
546.835737,0.7376985549148957
546.955139,0.7035825974563583
547.074541,0.6909761299654918
547.193944,0.7110873511315927
547.313346,0.72609094747434
547.432749,0.7059859094317736
547.552151,0.7040330344431912
547.671553,0.7113149354955111
547.790956,0.71832727429796
547.910358,0.7100712229242995
548.029761,0.6744552169357427
548.149163,0.6795122619537783
548.268565,0.690761960563175
548.387968,0.6703267492696158
548.50737,0.6597858277720244
548.626773,0.6761299416740667
548.746175,0.6608951995740708
548.865577,0.6902924020979638
548.98498,0.650418029824747
549.104382,0.6641216091265567
549.223784,0.6581450047333274
549.343187,0.6545089625436281
549.462589,0.6616688994837598
549.581992,0.6591461458149911
549.701394,0.6572439634310651
549.820796,0.6538874742828766
549.940199,0.6518048967171745
550.059601,0.6390133070608975
550.179004,0.6392945347815657
550.298406,0.6086998438576706
550.417808,0.6235601792970071
550.537211,0.5991339998251858
550.656613,0.5958299329711112
550.776016,0.585651720329638
550.895418,0.5768459687606443
551.01482,0.5696688795608736
551.134223,0.5620693714288446
551.253625,0.5508680346813702
551.373027,0.5570724364632357
551.49243,0.5470144828701327
551.611832,0.5448961788438899
551.731235,0.5368535180443318
551.850637,0.5383318970584113
551.970039,0.5640344205513091
552.089442,0.5693727287493862
552.208844,0.5633410847029902
552.328247,0.5718091483550892
552.447649,0.5983915340892934
552.567051,0.6026070217084145
552.686454,0.5995055780824342
552.805856,0.5911532434556505
552.925259,0.582899786618205
553.044661,0.5777696610674525
553.164063,0.5621199599487225
553.283466,0.5620637507632338
553.402868,0.5614851231443269
553.52227,0.5494925846236192
553.641673,0.5364885817444658
553.761075,0.5242901639115994
553.880478,0.5107474693852794
553.99988,0.5102982093156433
554.119282,0.5070782236570511
554.238685,0.5133640686712746
554.358087,0.5142323874700468
554.47749,0.5124459689327592
554.596892,0.5465606492163706
554.716294,0.5539116951365362
554.835697,0.5588523349642941
554.955099,0.5884460677892623
555.074501,0.6196626883753186
555.193904,0.6432254462140361
555.313306,0.6692149299311899
555.432709,0.6621123661911716
555.552111,0.6609811215348219
555.671513,0.6642013085015187
555.790916,0.6557537117097068
555.910318,0.6623110296990652
556.029721,0.6595351567879744
556.149123,0.6756027659448232
556.268525,0.678168158776374
556.387928,0.6559898255438624
556.50733,0.6821334266666891
556.626733,0.6712725766376805
556.746135,0.6868976355309941
556.865537,0.6792201344930435
556.98494,0.6858749201662107
557.104342,0.6750827520460897
557.223744,0.6768944003459633
557.343147,0.6685460494972157
557.462549,0.6750152471461863
557.581952,0.6820447550850001
557.701354,0.6826247395853151
557.820756,0.696115280124817
557.940159,0.6681049546818484
558.059561,0.6754203778215228
558.178964,0.6834580499835938
558.298366,0.685778904398648
558.417768,0.6830480981514518
558.537171,0.6876055045855727
558.656573,0.6888925298727413
558.775976,0.6930383099548915
558.895378,0.6869319812714071
559.01478,0.7045964862214064
559.134183,0.7075832418928927
559.253585,0.6981299630990395
559.372987,0.6994226989427291
559.49239,0.7075337127994987
559.611792,0.7141730350465717
559.731195,0.6922002407339761
559.850597,0.7022189703632522
559.969999,0.7109096015134378
560.089402,0.7266429863426189
560.208804,0.7149090122358556
560.328207,0.7221589586404251
560.447609,0.7298253646250216
560.567011,0.7129457132256334
560.686414,0.7412257827723938
560.805816,0.7436015044045948
560.925219,0.7424795134493027
561.044621,0.7487650721541153
