nu,[0]Methanol-HITRAN(x-sec)-X=0.01-T=203.9K-P=0.0987atm-L=15cm
877.585812,1.0
877.591612,0.9997604087065792
877.597412,0.9997258075976095
877.603212,1.0
877.609012,0.998041719937328
877.614812,0.993392327314879
877.620612,0.9937780370777638
877.626413,0.9976130532986297
877.632213,0.9987316050936756
877.638013,0.994733019439237
877.643813,0.9909268120529736
877.649613,0.9938285222843607
877.655413,0.9989547466582384
877.661213,0.9991732419529221
877.667013,0.9981166756850485
877.672813,0.9975416267611141
877.678614,0.9955169788730266
877.684414,0.9964286923430774
877.690214,0.9998491813742726
877.696014,1.0
877.701814,0.9997077327184056
877.707614,0.9981451224156694
877.713414,0.9960874739529348
877.719214,0.9966445421735317
877.725015,0.9997522506949289
877.730815,1.0
877.736615,1.0
877.742415,1.0
877.748215,1.0
877.754015,1.0
877.759815,1.0
877.765615,1.0
877.771415,1.0
877.777216,0.9998685886352299
877.783016,1.0
877.788816,1.0
877.794616,1.0
877.800416,1.0
877.806216,1.0
877.812016,1.0
877.817816,1.0
877.823616,1.0
877.829417,1.0
877.835217,1.0
877.841017,1.0
877.846817,1.0
877.852617,1.0
877.858417,1.0
877.864217,1.0
877.870017,1.0
877.875818,1.0
877.881618,1.0
877.887418,1.0
877.893218,1.0
877.899018,1.0
877.904818,0.9995334488688422
877.910618,0.997325183713027
877.916418,0.9988219943939908
877.922218,0.9997135710286126
877.928019,0.9941567386479585
877.933819,0.990717253193855
877.939619,0.9950602409379563
877.945419,0.9982444427964569
877.951219,0.9988502614564092
877.957019,0.9995817974710656
877.962819,0.9998427023725692
877.968619,1.0
877.974419,1.0
877.98022,0.9992306860738174
877.98602,0.9961306054743477
877.99182,0.9971060954378935
877.99762,0.9963938179491509
878.00342,0.9975105039478775
878.00922,0.9999591608339414
878.01502,0.9999546310292029
878.02082,0.9999178783721655
878.026621,1.0
878.032421,1.0
878.038221,1.0
878.044021,1.0
878.049821,1.0
878.055621,0.9996610674506181
878.061421,0.996998812593945
878.067221,0.9965209659121887
878.073021,1.0
878.078822,1.0
878.084622,1.0
878.090422,1.0
878.096222,1.0
878.102022,0.9973539070919326
878.107822,0.997404075255178
878.113622,1.0
878.119422,0.9996605876134209
878.125223,0.9987375975012834
878.131023,0.997403277332237
878.136823,0.9938482996687386
878.142623,0.9943441548566163
878.148423,0.9981939329055624
878.154223,0.9984453097848889
878.160023,0.9980910244161035
878.165823,0.998717423205575
878.171623,0.9967860757471663
878.177424,0.9974162436591233
878.183224,1.0
878.189024,1.0
878.194824,1.0
878.200624,1.0
878.206424,1.0
878.212224,1.0
878.218024,1.0
878.223824,1.0
878.229625,1.0
878.235425,1.0
878.241225,1.0
878.247025,0.9996834900998302
878.252825,1.0
878.258625,1.0
878.264425,1.0
878.270225,1.0
878.276026,1.0
878.281826,1.0
878.287626,1.0
878.293426,1.0
878.299226,1.0
878.305026,1.0
878.310826,1.0
878.316626,1.0
878.322426,1.0
878.328227,1.0
878.334027,1.0
878.339827,0.9993058010676512
878.345627,0.9968086033670392
878.351427,0.9950873069446058
878.357227,0.9970699011435595
878.363027,0.999820866046403
878.368827,0.9994048171915988
878.374627,0.9969226447943097
878.380428,0.9948707995034786
878.386228,0.9943516124657438
878.392028,0.9957641964296703
878.397828,0.9981272557778851
878.403628,0.9999804511910805
878.409428,1.0
878.415228,1.0
878.421028,0.9985248890472702
878.426829,0.9990377132950902
878.432629,1.0
878.438429,1.0
878.444229,1.0
878.450029,1.0
878.455829,1.0
878.461629,1.0
878.467429,1.0
878.473229,1.0
878.47903,1.0
878.48483,0.9990787146441857
878.49063,0.9999584358638126
878.49643,1.0
878.50223,1.0
878.50803,1.0
878.51383,1.0
878.51963,0.999921149108895
878.525431,0.9995686930396004
878.531231,1.0
878.537031,0.9975599816959114
878.542831,0.9915588284537559
878.548631,0.9868295001627614
878.554431,0.989162157230733
878.560231,0.9964359662990815
878.566031,1.0
878.571831,0.9988115068181095
878.577632,0.9942408478658179
878.583432,0.9934806438183877
878.589232,0.9985017235385653
878.595032,0.9999396238227147
878.600832,0.999127870526171
878.606632,1.0
878.612432,1.0
878.618232,1.0
878.624032,1.0
878.629833,1.0
878.635633,1.0
878.641433,1.0
878.647233,1.0
878.653033,1.0
878.658833,1.0
878.664633,0.9990855783385322
878.670433,0.9918751861764066
878.676234,0.9921880729497771
878.682034,0.9955427630966837
878.687834,0.9919746762469237
878.693634,0.9918413638092326
878.699434,0.9969138719136362
878.705234,0.9959839858406917
878.711034,0.9933687841957087
878.716834,0.996519570783813
878.722634,0.9983216100743618
878.728435,0.9950095936606767
878.734235,0.9952635525127501
878.740035,0.9998537506954723
878.745835,0.9997379843321023
878.751635,0.9954180294031967
878.757435,0.9959121779840169
878.763235,0.9983165186471337
878.769035,0.9935951987405843
878.774835,0.992434066862747
878.780636,1.0
878.786436,1.0
878.792236,1.0
878.798036,1.0
878.803836,1.0
878.809636,0.9992525294953627
878.815436,0.9973790407270738
878.821236,0.9939905295367255
878.827037,0.9929143226287975
878.832837,0.9974311052718725
878.838637,0.999726877304796
878.844437,0.9970175563478124
878.850237,0.9960725327528849
878.856037,0.9998144372189031
878.861837,1.0
878.867637,1.0
878.873437,1.0
878.879238,1.0
878.885038,1.0
878.890838,1.0
878.896638,1.0
878.902438,1.0
878.908238,1.0
878.914038,1.0
878.919838,1.0
878.925639,0.9994189788581935
878.931439,0.9987195205143659
878.937239,0.9994795254938719
878.943039,1.0
878.948839,1.0
878.954639,1.0
878.960439,1.0
878.966239,1.0
878.972039,1.0
878.97784,1.0
878.98364,0.9976620373020941
878.98944,0.9994100041160601
878.99524,1.0
879.00104,1.0
879.00684,0.9974124534845987
879.01264,0.9941118037789073
879.01844,0.9963402134037205
879.02424,1.0
879.030041,1.0
879.035841,1.0
879.041641,1.0
879.047441,1.0
879.053241,1.0
879.059041,0.9908541797796555
879.064841,0.987361544636454
879.070641,0.994305575051861
879.076442,1.0
879.082242,1.0
879.088042,1.0
879.093842,0.9966921829212524
879.099642,0.9952769886614028
