nu,[0]HFE-125-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
458.094014,0.9309348338682059
458.335068,0.9258741136127744
458.576122,0.9397513123973606
458.817176,0.9336207242919589
459.05823,0.9459145894499451
459.299284,0.9441341640507759
459.540338,0.9456081627667666
459.781392,0.9407479769273818
460.022446,0.9459382376102821
460.2635,0.9414453295155102
460.504554,0.9349950909762628
460.745608,0.9424475604384139
460.986662,0.9421479097611773
461.227716,0.9285546885793495
461.46877,0.9309655552246231
461.709824,0.9366786610621624
461.950878,0.9407809036827891
462.191932,0.9376833189872574
462.432986,0.9380687860394143
462.67404,0.942171463753345
462.915094,0.9517270476068272
463.156148,0.9520668748183709
463.397202,0.9370365406613396
463.638256,0.9596870857480967
463.87931,0.9517451305925196
464.120364,0.948285179222792
464.361418,0.9503565965783348
464.602472,0.9387237866206795
464.843526,0.9459372916725175
465.08458,0.9469291535990593
465.325634,0.9472161166052998
465.566688,0.9527573735781694
465.807742,0.9545015613879686
466.048796,0.9524325387012734
466.28985,0.9621508806712777
466.530904,0.9431716381750916
466.771958,0.9548347405692783
467.013012,0.9590049907436383
467.254066,0.9475903408757865
467.49512,0.9517432271041619
467.736174,0.9411356449480044
467.977228,0.945189351124289
468.218282,0.9479267951639001
468.459336,0.9565549908630999
468.70039,0.9572975656177511
468.941444,0.9548385599158793
469.182498,0.9486180857423755
469.423552,0.9597081990962292
469.664606,0.9541942613631609
469.90566,0.9520459295775234
470.146714,0.9614228080648596
470.387768,0.9531128183648457
470.628822,0.9652771662217071
470.869876,0.9604003982155739
471.11093,0.9576029922541416
471.351984,0.9562212114191896
471.593038,0.9534865118287784
471.834092,0.9496925294358315
472.075146,0.9544786536253895
472.3162,0.9638833479927145
472.557254,0.9482766446945844
472.798308,0.9537706931502172
473.039362,0.961768020814936
473.280416,0.9639093731944489
473.52147,0.9649181498970493
473.762524,0.9624540059384123
474.003578,0.9761763718814518
474.244632,0.9632136818018163
474.485686,0.9708833031937734
474.72674,0.991138992196508
474.967794,0.9715913351680998
475.208848,0.9673731246404336
475.449902,0.9555549574513108
475.690956,0.954844288964426
475.93201,0.9537945377156019
476.173064,0.9472767403767025
476.414118,0.9562470297404436
476.655172,0.9541341490182537
476.896226,0.9807281235290354
477.13728,0.9825893479344194
477.378334,0.9702029524890169
477.619388,0.9676856366276613
477.860442,0.9705280249246936
478.101496,0.9691605447096587
478.34255,0.9677349898536258
478.583604,0.9719275639342901
478.824658,0.9681182887977899
479.065712,0.9680834371667263
479.306766,0.969122748185452
479.54782,0.9698421041126504
479.788874,0.9538260134546933
480.029928,0.9662844755265622
480.270982,0.9847258514009699
480.512036,0.9790055181016938
480.75309,0.9839797120281556
480.994144,0.972351416745364
481.235198,0.9687739267877241
481.476252,0.9765454362988034
481.717306,0.9743896539015534
481.95836,0.9691779897564684
482.199414,0.9621325999782122
482.440468,0.9807604880911241
482.681522,0.9587355481996898
482.922576,0.973333014457627
483.16363,0.9589848518502918
483.404684,0.9723387762591096
483.645738,0.9545359240627029
483.886792,0.9631481854983533
484.127846,0.9576460853583806
484.3689,0.9719421429570916
484.609954,0.9607961647019366
484.851008,0.9628352131988199
485.092062,0.96876327033314
485.333116,0.9659646882928697
485.57417,0.9736980827840817
485.815224,0.9705260838705848
486.056278,0.9744588380229876
486.297332,0.964579523058922
486.538386,0.9711862660441168
486.77944,0.9789918121203824
487.020494,0.9761597770241865
487.261548,0.9793609616138591
487.502602,0.978972232479937
487.743656,0.983658986923067
487.98471,0.981865446375483
488.225764,0.9638814202279463
488.466818,0.9835488232858105
488.707872,0.9783507824435809
488.948926,0.9737272941647338
489.18998,0.9705464651323487
489.431034,0.9708638857218849
489.672088,0.9729817046546425
489.913142,0.9726392753656946
490.154196,0.982896946536993
490.39525,0.9772693246346065
490.636304,0.9677707967106732
490.877358,0.9663202287135866
491.118412,0.9677282157324063
491.359466,0.9604522612373665
491.60052,0.9656160379755646
491.841574,0.9607135397846946
492.082628,0.9676972489249744
492.323682,0.9769009635396485
492.564736,0.9649519226233149
492.80579,0.9653003331516985
493.046844,0.9680088976118741
493.287898,0.987930428709049
493.528952,0.9688262419922685
493.770006,0.9708347602421975
494.01106,0.9628409902274302
494.252114,0.9614083868308981
494.493168,0.9586933647636113
494.734222,0.9562919744070328
494.975276,0.9486247260922169
495.21633,0.9648313111713598
495.457384,0.9744442212500434
495.698438,0.9607846352171373
495.939492,0.9657048787376709
496.180546,0.9514225436748206
496.4216,0.9548395147549166
496.662654,0.9503271359804825
496.903708,0.9576499159503833
497.144762,0.9565664695918625
497.385816,0.9600537562444584
497.62687,0.9513806820038625
497.867924,0.9614256923376102
498.108978,0.942849128627112
498.350032,0.9652124948180865
498.591086,0.9565961236120548
498.83214,0.9551814084965271
499.073194,0.9576221445055085
499.314248,0.9548461986549135
499.555302,0.9583090057934651
499.796356,0.9530956624885185
500.03741,0.967671121451976
500.278464,0.9681260337750802
500.519518,0.9556065588122374
500.760572,0.9528135879215174
501.001626,0.9569041971610374
501.24268,0.9528059654433039
501.483734,0.9435546436050319
501.724788,0.9421008035433546
501.965842,0.9461965140022731
502.206896,0.9424993964797161
502.44795,0.9397757462491216
502.689004,0.9366655476527016
502.930058,0.9586176309793188
503.171112,0.9463157422742609
503.412166,0.9438745628524626
503.65322,0.9445477853910911
503.894274,0.9410932947968672
504.135328,0.9551823636784131
504.376382,0.9513702168739188
504.617436,0.9425446375365238
504.85849,0.9458890501008127
505.099544,0.956214517894137
505.340598,0.9455779037897043
505.581652,0.9538136137971163
505.822706,0.9497058252243139
506.06376,0.9469007461505652
