nu,[0]Octanoicacid-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
600,0.6690744095510607
600.118002,0.7168848865619116
600.236005,0.7437576771180808
600.354007,0.718593104565017
600.472009,0.6062395948571251
600.590012,0.723134531598171
600.708014,0.7013487584828707
600.826017,0.6728990234800627
600.944019,0.6912940521017612
601.062021,0.6609348544756805
601.180024,0.7148518218025246
601.298026,0.7649995755441527
601.416028,0.659812219732971
601.534031,0.6811314271795471
601.652033,0.7266429863426189
601.770035,0.667323728991018
601.888038,0.7001364740590758
602.00604,0.691708952990842
602.124042,0.7189884394796635
602.242045,0.6289962400264252
602.360047,0.6769147074825792
602.47805,0.6747385476221349
602.596052,0.7879111100438864
602.714054,0.6630731255043179
602.832057,0.6359533928561296
602.950059,0.6171087589667328
603.068061,0.7351799351517798
603.186064,0.7043217471693775
603.304066,0.6531685935180732
603.422068,0.6827271409761652
603.540071,0.7417596575078312
603.658073,0.6574148690783286
603.776076,0.6410293726143521
603.894078,0.7669528137821329
604.01208,0.6228995556993154
604.130083,0.6674505325454826
604.248085,0.6927957889900518
604.366087,0.6821470694716499
604.48409,0.6954681938560546
604.602092,0.6616622828278483
604.720094,0.7088438616822289
604.838097,0.687770549711296
604.956099,0.6768402509599399
605.074101,0.6973554687638768
605.192104,0.7081778615213631
605.310106,0.6349747783577018
605.428109,0.7859359330417981
605.546111,0.6558586406976755
605.664113,0.6502814563791974
605.782116,0.6818947217431541
605.900118,0.7054072382736394
606.01812,0.6068400692418103
606.136123,0.7156958448279017
606.254125,0.6853127332598071
606.372127,0.7036388863156792
606.49013,0.674671077140953
606.608132,0.622413883482658
606.726135,0.6150018518757939
606.844137,0.5644971184563758
606.962139,0.6995975764762457
607.080142,0.6929620799335244
607.198144,0.7001854853276342
607.316146,0.6637630802691321
607.434149,0.6451386655135921
607.552151,0.6591263717272294
607.670153,0.6692952405413218
607.788156,0.6733163502325453
607.906158,0.632376711443068
608.02416,0.7140659171253596
608.142163,0.6230116877109196
608.260165,0.6119895939279946
608.378168,0.6440815052105432
608.49617,0.7147088657342474
608.614172,0.6557799423827851
608.732175,0.7215742467242215
608.850177,0.685340146317395
608.968179,0.6282733101147668
609.086182,0.6766236967301574
609.204184,0.6849496137463505
609.322186,0.6479381724939067
609.440189,0.6587705395698259
609.558191,0.6572308186832444
609.676194,0.7630665728974537
609.794196,0.7055695005978943
609.912198,0.6637365302769247
610.030201,0.6933849157540978
610.148203,0.6132270623300347
610.266205,0.6595351567879744
610.384208,0.6352859922402715
610.50221,0.6322439262765954
610.620212,0.6964912838879636
610.738215,0.6627217898599704
610.856217,0.6879493933028805
610.974219,0.6733432834252149
611.092222,0.6326423654453094
611.210224,0.7120835706140989
611.328227,0.6977949411284574
611.446229,0.7358934056661345
611.564231,0.7281705399838858
611.682234,0.6683120993235603
611.800236,0.7102061492742524
611.918238,0.6298396599532078
612.036241,0.7000104608352755
612.154243,0.6486058926284127
612.272245,0.6883760541779321
612.390248,0.6533580398785881
612.50825,0.6615233483370866
612.626253,0.6692149299311899
612.744255,0.6658838653489498
612.862257,0.6917158701149575
612.98026,0.6890096515578809
613.098262,0.6268926281395621
613.216264,0.7252419178449813
613.334267,0.6799812872096311
613.452269,0.6748937553362909
613.570271,0.6344099022121348
613.688274,0.7224334311911903
613.806276,0.6809066908921048
613.924278,0.6662901784197002
614.042281,0.6990171513974993
614.160283,0.6710846466276511
614.278286,0.6342513195602392
614.396288,0.6280220510458848
614.51429,0.6830617592500254
614.632293,0.6616953667690814
614.750295,0.6723340256326572
614.868297,0.6946897055137855
614.9863,0.6851482779392527
615.104302,0.6799200916476239
615.222304,0.6436501151338654
615.340307,0.6580002287582273
615.458309,0.6841418498765406
615.576312,0.6217296046331925
615.694314,0.6617615396143455
615.812316,0.6391091662462158
615.930319,0.6882452751520393
616.048321,0.6392945347815657
616.166323,0.6621057451006153
616.284326,0.7101422335970664
616.402328,0.6852853212987197
616.52033,0.6684925679525463
616.638333,0.65832272787615
616.756335,0.6461200219271033
616.874337,0.6109500954423756
616.99234,0.6352161146244644
617.110342,0.6415488167526451
617.228345,0.7110233561498083
617.346347,0.6951692068195163
617.464349,0.6723407490065304
617.582352,0.6530902179894769
617.700354,0.6502489431192168
617.818356,0.6386108554630135
617.936359,0.6068946873058181
618.054361,0.6601554113093087
618.172363,0.6666300730764645
618.290366,0.6922833097469053
618.408368,0.649027623506308
618.526371,0.656101353293795
618.644373,0.6145284827203629
618.762375,0.6453645035658756
618.880378,0.6398765575884297
618.99838,0.6449516024260519
619.116382,0.582451126538807
619.234385,0.6927265128750163
619.352387,0.6214374603782926
619.470389,0.594919010207278
619.588392,0.599949376395339
619.706394,0.6534625855283976
619.824396,0.7294094827047926
619.942399,0.6764816206723523
620.060401,0.6793084388501864
620.178404,0.6230677612860867
620.296406,0.6628410905188825
620.414408,0.647109342197667
620.532411,0.6831983852640214
620.650413,0.6515442268959274
620.768415,0.6610141714171388
620.886418,0.6212821204315004
621.00442,0.6872686604218856
621.122422,0.6572373910242929
621.240425,0.6378768750988313
621.358427,0.5901550381952366
621.47643,0.6566724098447408
621.594432,0.6695228396127555
621.712434,0.6566986772664796
621.830437,0.6152232923993719
621.948439,0.5889759076424425
622.066441,0.6084990060492587
622.184444,0.6084138221514237
622.302446,0.6509711201801984
622.420448,0.6082617377072335
622.538451,0.6285686679741808
622.656453,0.6070707122875255
622.774455,0.632699305820478
622.892458,0.6913977539870234
623.01046,0.6142274375259259
623.128463,0.5660969079360084
623.246465,0.6334083260201925
623.364467,0.6040368940793356
623.48247,0.5907573034372529
623.600472,0.6308229766103107
623.718474,0.6429939267294067
623.836477,0.57981859013238
623.954479,0.5930301725983402
624.072481,0.6113962518393203
624.190484,0.6130247307860067
624.308486,0.5889052347739823
624.426489,0.6197308550201366
624.544491,0.6250585210181814
624.662493,0.5890760420579259
624.780496,0.628040891990029
624.898498,0.5378153464212122
625.0165,0.5886697197862105
625.134503,0.5753999009533509
625.252505,0.6055367646474232
625.370507,0.5928404333030152
625.48851,0.5566158243019075
625.606512,0.6194210670460739
625.724514,0.6008079177143248
625.842517,0.6612984686303686
625.960519,0.5712376250160306
626.078522,0.5322616964332652
626.196524,0.556176271446947
626.314526,0.5874054394770137
626.432529,0.5601223707098704
626.550531,0.5745719213843425
626.668533,0.5910941310869726
626.786536,0.542493052554867
626.904538,0.6213007591746932
627.02254,0.5828356711680914
627.140543,0.537906782801976
627.258545,0.511769986500326
627.376548,0.5860325176935883
627.49455,0.5376540260165564
627.612552,0.5794881877096407
627.730555,0.5637355615130579
627.848557,0.5875640603585279
627.966559,0.5640682636318246
628.084562,0.5990441364651324
628.202564,0.5487787083837019
628.320566,0.5699822836228488
628.438569,0.536917944331997
628.556571,0.5350794705678983
628.674573,0.5458123738126323
628.792576,0.5681669371551366
628.910578,0.5413333587373621
629.028581,0.548334377608169
629.146583,0.5261126108972346
629.264585,0.5280417111531326
629.382588,0.5304656888619749
629.50059,0.5275877904954004
629.618592,0.5041910577032173
629.736595,0.48974521132504073
629.854597,0.5065511364373102
629.972599,0.5216335234588698
630.090602,0.5273504293999295
630.208604,0.5363491128449548
630.326607,0.546905090913119
630.444609,0.490902374939755
630.562611,0.5362472161940026
630.680614,0.4861782270416072
630.798616,0.4830621300298417
630.916618,0.4851146617534571
631.034621,0.5376970400591765
631.152623,0.5102829005989957
631.270625,0.4317321094948983
631.388628,0.5260547416929006
631.50663,0.5048166423971212
631.624632,0.5268602214826008
631.742635,0.5120208152417342
631.860637,0.5247464948293686
631.97864,0.5026154068725305
632.096642,0.46738591131682666
632.214644,0.5284431753906954
632.332647,0.4906275465689148
632.450649,0.5192291349945267
632.568651,0.4772093478470531
632.686654,0.5053368714107397
632.804656,0.4858380213685554
632.922658,0.5038634400029975
633.040661,0.5164018693763667
633.158663,0.5036166073963235
633.276666,0.48854680420546903
633.394668,0.5041658487805604
633.51267,0.4815910350934336
633.630673,0.4997986308404016
633.748675,0.506353620012306
633.866677,0.5134821559865896
633.98468,0.4791938817001448
634.102682,0.5185545756775902
634.220684,0.51281506288827
634.338687,0.5094416280537208
634.456689,0.5404030656417443
634.574691,0.5213727718904648
634.692694,0.5024797190313577
634.810696,0.5403274145082574
634.928699,0.5253135271861414
635.046701,0.530539959257222
635.164703,0.5258916899972943
635.282706,0.49552374751164047
635.400708,0.5325971269515369
635.51871,0.5013052911053891
635.636713,0.5257917800679386
635.754715,0.482917233126455
635.872717,0.515184597909945
635.99072,0.5141038454416024
636.108722,0.5338341867205341
636.226725,0.5560483656142489
636.344727,0.5416420067081574
636.462729,0.5023089049669235
636.580732,0.5460635052603908
636.698734,0.6385086858999225
636.816736,0.5360917270483223
636.934739,0.5442807939197605
637.052741,0.5730570520192858
637.170743,0.6183318447648449
637.288746,0.59548445180921
637.406748,0.5976141305167838
637.52475,0.5930242423262657
637.642753,0.5503779802370792
637.760755,0.5902966924022284
637.878758,0.5498168809065432
637.99676,0.5704042266123812
638.114762,0.6011083967866901
638.232765,0.5733780538405377
638.350767,0.571351883966548
638.468769,0.6449838508123762
638.586772,0.5775212735203433
638.704774,0.5929293660377989
638.822776,0.6294870484840602
638.940779,0.6232048512729151
639.058781,0.582899786618205
639.176784,0.5934217017026471
639.294786,0.5530040244499145
639.412788,0.6272814220826767
639.530791,0.5886461734683485
639.648793,0.6529530834433304
639.766795,0.6460877167336435
639.884798,0.6125651346080275
640.0028,0.633927933857627
640.120802,0.6446227609705134
640.238805,0.623516531612143
640.356807,0.6547642708208982
640.474809,0.6113901379073716
640.592812,0.6552162140702548
640.710814,0.6481390644640265
640.828817,0.6654511814739664
640.946819,0.6670568528782025
641.064821,0.6368188778668211
641.182824,0.6753460856661059
641.300826,0.6754068695490495
641.418828,0.6988424189521157
641.536831,0.6656974439668636
641.654833,0.6628212055844424
641.772835,0.6810701281096005
641.890838,0.6696768475761034
642.00884,0.7166555200988032
642.126843,0.7133094082737326
642.244845,0.7096949848880363
642.362847,0.7241765954295624
642.48085,0.7486976863300289
642.598852,0.6814243766728615
642.716854,0.7249011342340159
642.834857,0.685566345886556
642.952859,0.7004375974798168
643.070861,0.7216464077568855
643.188864,0.8319025270600584
643.306866,0.7281268510621676
643.424868,0.759990002799091
