nu,[0]Hexylacetate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
580,0.9606962470966132
580.119002,0.9635932627649856
580.238004,0.9565655130258712
580.357006,0.9614093482397656
580.476008,0.9553925269155309
580.59501,0.9606597413328375
580.714012,0.9631616696673393
580.833014,0.9586684390601631
580.952016,0.9623414054069771
581.071018,0.9591095279848055
581.19002,0.9556142036952874
581.309022,0.9529050624166633
581.428024,0.9550219065200939
581.547026,0.9558665191492375
581.666028,0.9647309739326247
581.78503,0.9622490250663853
581.904032,0.9641253130784085
582.023034,0.9517670209822617
582.142036,0.951643299311617
582.261038,0.9550591531007518
582.38004,0.9579794041901982
582.499042,0.9621537671282495
582.618044,0.965570655088286
582.737046,0.9649972764294843
582.856048,0.9550448273208989
582.97505,0.9556992571442386
583.094052,0.9508813382350191
583.213054,0.9618170722347981
583.332056,0.9600460758451301
583.451058,0.9658516770356269
583.57006,0.9625868337561405
583.689062,0.9608019294962192
583.808064,0.9580953267112763
583.927066,0.9543211776396674
584.046068,0.959117200891721
584.16507,0.9629392050173025
584.284072,0.9653070902776805
584.403074,0.9532005087778325
584.522076,0.9632050129176901
584.641078,0.9540816730831592
584.76008,0.9613112894873266
584.879082,0.9548013219381879
584.998084,0.9624771051117439
585.117086,0.961767059047396
585.236088,0.9602707529130696
585.35509,0.960775988194332
585.474092,0.9535866331687988
585.593094,0.9581681447231558
585.712096,0.9610402379237579
585.831098,0.9656334192206789
585.9501,0.9635132878431814
586.069102,0.9649606072296991
586.188104,0.9584958942706292
586.307106,0.9588975881993298
586.426108,0.9542705999575729
586.54511,0.9614718418784225
586.664112,0.9572075838757912
586.783114,0.9620190750295184
586.902116,0.966092204047579
587.021118,0.9578136880881295
587.14012,0.9532434037658575
587.259122,0.9577792074160141
587.378124,0.9557938760542547
587.497126,0.9562374673179584
587.616128,0.963372625171781
587.73513,0.9589704671853994
587.854132,0.9587681457624839
587.973134,0.9595652132272756
588.092136,0.9569137662508543
588.211138,0.9550056712856829
588.33014,0.9587921152657456
588.449142,0.9587633519337397
588.568144,0.9624694053257021
588.687146,0.9606760726872562
588.806148,0.9549932562926539
588.92515,0.9560175579910173
589.044152,0.9532853473983762
589.163154,0.9582591750207752
589.282156,0.9529269794851443
589.401158,0.9595383457774512
589.52016,0.9583655476927766
589.639162,0.9547736331013418
589.758164,0.9482453520816404
589.877166,0.9531328339441942
589.996168,0.9551785429565999
590.11517,0.9560424147706619
590.234172,0.9560491070909883
590.353174,0.9566602176994647
590.472176,0.9524220620009697
590.591178,0.9483164731500533
590.71018,0.9503394903135532
590.829182,0.9485649646169793
590.948184,0.9527106896106307
591.067186,0.9562546797472815
591.186188,0.9566200388140839
591.30519,0.9567080519061949
591.424192,0.9510572675555529
591.543194,0.945241337968226
591.662196,0.9479381703536931
591.781198,0.9479770366154305
591.9002,0.9514025640111907
592.019202,0.9567472777404472
592.138204,0.9537230058077533
592.257206,0.9474804267713863
592.376208,0.943971786939391
592.49521,0.9467823909546502
592.614212,0.9466157719167476
592.733214,0.9503071793201726
592.852216,0.9475666514133841
592.971218,0.9509326872136937
593.09022,0.9478519119050098
593.209222,0.9440954553435836
593.328224,0.941666595165642
593.447226,0.9431056184711359
593.566228,0.9451524894584024
593.68523,0.9497191211989386
593.804232,0.948476752177212
593.923234,0.940679304831628
594.042236,0.9421017456446291
594.161238,0.9388345625631527
594.28024,0.9427275089341579
594.399242,0.9430471477354023
594.518244,0.9418200993309036
594.637246,0.9419594990209271
594.756248,0.9398998048353131
594.87525,0.9332781483526736
594.994252,0.9310074496172249
595.113254,0.9311461800623794
595.232256,0.9333518802387647
595.351258,0.9385576472142187
595.47026,0.9362441429794205
595.589262,0.934274487589422
595.708264,0.9292736681174976
595.827266,0.9277499805556869
595.946268,0.9281777718950507
596.06527,0.9296752010669967
596.184272,0.9336795442503985
596.303274,0.9342623421000292
596.422276,0.9298221013535823
596.541278,0.9303038739704187
596.66028,0.9246194791491269
596.779282,0.9229326645106577
596.898284,0.923947525072688
597.017286,0.9268690365887977
597.136288,0.9262408323672862
597.25529,0.9248312412556878
597.374292,0.9209348348568918
597.493294,0.916078700886852
597.612296,0.9199030453330943
597.731298,0.9164057993666731
597.8503,0.9204026883275066
597.969302,0.9188200375625082
598.088304,0.9146507322186217
598.207306,0.9154285158522227
598.326308,0.9118397655618151
598.44531,0.9122976240369892
598.564312,0.910183546827021
598.683314,0.9130460148870132
598.802316,0.910867351407169
598.921318,0.9135382793423903
599.04032,0.9052573600169336
599.159322,0.9050003034304518
599.278324,0.901009029303036
599.397326,0.9045388709509861
599.516328,0.9066144517501705
599.63533,0.9048455616093679
599.754332,0.9039330328858641
599.873334,0.9001174717578287
599.992336,0.8968111268676774
600.111338,0.8952878431100538
600.23034,0.8966945489989103
600.349342,0.8931149348041219
600.468344,0.8977802060932819
600.587346,0.8967662874323292
600.706348,0.8925792265717803
600.82535,0.8870446142705238
600.944352,0.8883850634224856
601.063354,0.8869204367171575
601.182356,0.8859187826647911
601.301358,0.8904930329800348
601.42036,0.8874971224035676
601.539362,0.8856619034671023
601.658364,0.885803620708734
601.777366,0.8818793709140867
601.896368,0.8804078614170813
602.01537,0.8814297271038382
602.134372,0.8828941155569743
602.253374,0.8832031825809934
602.372376,0.8803550385300987
602.491378,0.880416665539716
602.61038,0.8742752688467128
602.729382,0.8748349841085535
602.848384,0.8738731947071854
602.967386,0.8746425415815039
603.086388,0.8760693714747326
603.20539,0.8738469789045832
603.324392,0.8718220037929227
603.443394,0.8673436621013089
603.562396,0.8671355245999038
603.681398,0.867543174086591
603.8004,0.8721184736712357
603.919402,0.8679076187477288
604.038404,0.8705326615758978
604.157406,0.8646677066657542
604.276408,0.8612245561693387
604.39541,0.858747797691714
604.514412,0.859778913594752
604.633414,0.8628624383213754
604.752416,0.861276231192944
604.871418,0.8667714041502188
604.99042,0.8600970906519078
605.109422,0.8576836103550829
605.228424,0.855465084036021
605.347426,0.8582069569618864
605.466428,0.8544904095102569
605.58543,0.8617672985856354
605.704432,0.8620172473430433
605.823434,0.8603723657625851
605.942436,0.8561240458184567
606.061438,0.8519563379530063
606.18044,0.8533461591804521
606.299442,0.8542511856884919
606.418444,0.8568092190878767
606.537446,0.8579323746711682
606.656448,0.8608973530105319
606.77545,0.8530731320961776
606.894452,0.8540205690030096
607.013454,0.8537814767181707
607.132456,0.8581726293701644
607.251458,0.8575549674619878
607.37046,0.8598047073490642
607.489462,0.8596671496008017
607.608464,0.8568691978324444
607.727466,0.8535509868369909
607.846468,0.8552426920263857
607.96547,0.857923795390318
608.084472,0.8572634483341107
608.203474,0.861310682931222
608.322476,0.8577436503091816
608.441478,0.856740677092066
608.56048,0.8547297003240703
608.679482,0.8577608053537377
608.798484,0.8563209769952121
608.917486,0.8637775574334398
609.036488,0.8629314700776746
609.15549,0.8634062129285338
609.274492,0.863578911440395
609.393494,0.8588079121415336
609.512496,0.8622758913119016
609.631498,0.8611728842461418
609.7505,0.8632767117094288
609.869502,0.8666587311915803
609.988504,0.8700104986434969
610.107506,0.8697495346404615
610.226508,0.8698539108470655
610.34551,0.8654202948989654
610.464512,0.8668060756998112
610.583514,0.870706785520027
610.702516,0.8728600895159387
610.821518,0.874214071719818
610.94052,0.8762007917367272
611.059522,0.8731569124034056
611.178524,0.8743889320196091
611.297526,0.8744588859322898
611.416528,0.8754300742054495
611.53553,0.8799413688819718
611.654532,0.8799501683396579
611.773534,0.8809803125534666
611.892536,0.8776564929487385
612.011538,0.8799237702305813
612.13054,0.8790618673371541
612.249542,0.8807072509833052
612.368544,0.8851572200305697
612.487546,0.8897898212891713
612.606548,0.8894784493449889
612.72555,0.8840426242761175
612.844552,0.8847147520467684
612.963554,0.8844936010037889
613.082556,0.889256107526538
613.201558,0.8890338212865941
613.32056,0.8960491612910867
613.439562,0.8944556124631953
613.558564,0.8926060043502422
613.677566,0.8888826983827862
613.796568,0.8891049468372811
613.91557,0.8903683726818421
614.034572,0.8927131234977845
614.153574,0.8995055999370299
614.272576,0.9008378538496514
614.391578,0.8994606257813964
614.51058,0.8957714291018
614.629582,0.8956908133009462
614.748584,0.8972955356547874
614.867586,0.9017932482443044
614.986588,0.902108931122471
615.10559,0.905755388510224
615.224592,0.9052944763295734
615.343594,0.9056240635001833
615.462596,0.9032101756410057
615.581598,0.9028670209777775
615.7006,0.9050699911367581
615.819602,0.9102918651139036
615.938604,0.9116811192452371
616.057606,0.9084821855307216
616.176608,0.9089938050085444
616.29561,0.9098996138562576
616.414612,0.9092847295715947
616.533614,0.9090747090573669
616.652616,0.9146937218132836
616.771618,0.915629932280705
616.89062,0.914018012858074
617.009622,0.9109985257500977
617.128624,0.9128031769459313
617.247626,0.9101262070697922
617.366628,0.9165203572513126
617.48563,0.9184314588768053
617.604632,0.9200162003665622
617.723634,0.9233739317787689
617.842636,0.9199610010505362
617.961638,0.9163269918566991
618.08064,0.9152271437304809
618.199642,0.9189303025827846
618.318644,0.9179356397722185
618.437646,0.9246167052948503
618.556648,0.9253122785600005
618.67565,0.9261852595845442
618.794652,0.9213346073195691
618.913654,0.9184406432373158
619.032656,0.9192400342816149
619.151658,0.9230941918601779
619.27066,0.9247794521562859
619.389662,0.9273706084005339
619.508664,0.9249302034928876
619.627666,0.921844246259596
619.746668,0.9220867231806797
619.86567,0.9198975259313805
619.984672,0.9247285906851206
620.103674,0.92727694869898
620.222676,0.9257296885165012
620.341678,0.9260000410550977
620.46068,0.9245427389171212
620.579682,0.9207709230448713
620.698684,0.9208786595453299
620.817686,0.9233582345553555
620.936688,0.9251734921274593
621.05569,0.9283550707809872
621.174692,0.9241073818217356
621.293694,0.9238218767535574
621.412696,0.9202158655449301
621.531698,0.922212135502877
621.6507,0.9200907246969865
621.769702,0.9262436110939514
621.888704,0.9269543124627939
622.007706,0.92471934344545
622.126708,0.9215861660035654
622.24571,0.918786041850043
622.364712,0.9161987150574247
622.483714,0.9168531145327875
622.602716,0.9204091311688748
622.721718,0.9197457553610182
622.84072,0.9253381876665261
622.959722,0.9197567923763046
623.078724,0.9161373317998779
623.197726,0.9127228538006302
623.316728,0.9125339397231751
623.43573,0.9132286423521284
623.554732,0.9168329439861446
623.673734,0.919313576426004
623.792736,0.9168091066394878
623.911738,0.9136616153350937
624.03074,0.9089538101610171
624.149742,0.9112673099589156
624.268744,0.9098159069423599
624.387746,0.9128360384518049
624.506748,0.9112746001265558
624.62575,0.9123359413418566
624.744752,0.9076739960832506
624.863754,0.9069028009909263
624.982756,0.9010630914666429
625.101758,0.9053361208333008
625.22076,0.9059854795992369
625.339762,0.9057707864827111
625.458764,0.9035082841841715
625.577766,0.9028038224982816
625.696768,0.8971340369936851
625.81577,0.895440054981025
625.934772,0.8980046792027747
626.053774,0.8981753163018343
626.172776,0.9010270496638251
626.291778,0.8992178041948248
626.41078,0.8963090532303708
626.529782,0.8914641995756241
626.648784,0.8910363994400741
626.767786,0.8907602209661228
626.886788,0.8930077674421157
627.00579,0.895269937532248
627.124792,0.8914731142621931
627.243794,0.8911255075353486
627.362796,0.8871776809424153
627.481798,0.8838304795046821
627.6008,0.8823733616662996
627.719802,0.88582133695831
627.838804,0.8863263990493977
627.957806,0.8864239003157645
628.076808,0.884077986688332
628.19581,0.8829117736158655
628.314812,0.8793168322468069
628.433814,0.8770774307749297
628.552816,0.8784730931474168
628.671818,0.8799501683396579
628.79082,0.8813151486870732
628.909822,0.8773230468401911
629.028824,0.874974968904496
629.147826,0.8716389403944559
629.266828,0.8722667464145859
629.38583,0.8706545446801366
629.504832,0.8747300102090205
629.623834,0.8748524809832039
629.742836,0.8720661481325973
629.861838,0.8686282811047956
629.98084,0.8688020241347404
630.099842,0.8671702107146054
630.218844,0.8690627038419818
630.337846,0.8686890872126619
630.456848,0.8717435433433546
630.57585,0.8700365993499648
630.694852,0.8660955860583015
630.813854,0.8637775574334398
630.932856,0.8623534996344419
631.051858,0.8633198766241281
631.17086,0.8647628253449189
631.289862,0.8694017043972917
631.408864,0.8681419854428708
631.527866,0.8638466624021963
631.646868,0.8596757463152812
631.76587,0.8599250884345725
631.884872,0.8607596204529486
632.003874,0.86128484399832
632.122876,0.8664074365990119
632.241878,0.8646763533860544
632.36088,0.8634839229845974
632.479882,0.8606219099308118
632.598884,0.8574692162528735
632.717886,0.8584472885546887
632.836888,0.862310383037384
632.95589,0.8625691149601432
633.074892,0.8647455302613635
633.193894,0.8629142116208581
633.312896,0.8616552761184374
633.431898,0.8568777665672663
633.5509,0.8582670335515299
633.669902,0.8605014312971225
633.788904,0.8604325939361499
633.907906,0.8644688559619287
634.026908,0.863035028067439
634.14591,0.8579924320393786
634.264912,0.8579152161952602
634.383914,0.8589539218970753
634.502916,0.8589968706668805
634.621918,0.862629496911534
634.74092,0.8653943326795537
634.859922,0.8644775006937119
634.978924,0.8609662275537178
635.097926,0.8596843431157283
635.216928,0.8587306229075087
635.33593,0.8603809695292615
635.454932,0.8633975789095747
635.573934,0.8661302305746296
635.692936,0.8647195882845872
635.811938,0.8608629178051201
635.93094,0.8600282856368929
636.049942,0.8577436503091816
636.168944,0.8593749124530677
636.287946,0.8619655278598027
636.406948,0.8663121370225587
636.52595,0.8672829501699042
636.644952,0.865705930723601
636.763954,0.8624397392963166
636.882956,0.8613795905421242
637.001958,0.85964135997316
637.12096,0.8636998209514649
637.239962,0.8688802198356663
637.358964,0.8694451755692818
637.477966,0.868081217630788
637.596968,0.867664638633283
637.71597,0.8673783565416772
637.834972,0.8654462578972554
637.953974,0.8686195948654158
638.072976,0.8723365305456271
638.191978,0.8746425415815039
638.31098,0.8730259486890694
638.429982,0.8727640801867019
638.548984,0.8710115862319721
638.667986,0.8712729289072828
638.786988,0.8741528788765721
638.90599,0.8770072673870406
639.024992,0.8788948614484219
639.143994,0.878930017946005
639.262996,0.8784467393499313
639.381998,0.8759467303478053
639.501,0.8786751651962355
639.620002,0.8786136600873757
639.739004,0.8834946877269487
639.858006,0.8856264776994837
639.977008,0.8863973079976417
640.09601,0.8818617335030432
640.215012,0.8831943505933276
640.334014,0.8822674832157338
640.453016,0.8850687087342052
640.572018,0.8873817552766808
640.69102,0.8908671186063689
640.810022,0.8937403341227091
640.929024,0.8902437298348694
641.048026,0.889300571443503
641.167028,0.8865480083491682
641.28603,0.8906889629988022
641.405032,0.8908938450208213
641.524034,0.8965152280218059
641.643036,0.8963449063095569
641.762038,0.8964972978965474
641.88104,0.8955564697549689
642.000042,0.8938028981358126
642.119044,0.8915711816983721
642.238046,0.8950998524027158
642.357048,0.9002795074855232
642.47605,0.9021540376966821
642.595052,0.9024878964506906
642.714054,0.8984537938116718
642.833056,0.8970802105662744
642.952058,0.898669448599726
643.07106,0.9021359947963578
643.190062,0.9046474221284405
643.309064,0.9077484284026128
643.428066,0.9057698807123775
643.547068,0.905456538544972
643.66607,0.9030114912584482
643.785072,0.9035082841841715
643.904074,0.905942899282341
644.023076,0.9080198857635582
644.142078,0.9117777625658826
644.26108,0.911979287719119
644.380082,0.9096303234275058
644.499084,0.9073953829357594
644.618086,0.9072910384666437
644.737088,0.908073460517258
644.85609,0.9138206062879738
644.975092,0.9162940046787651
645.094094,0.9166890125128551
645.213096,0.9154028842126235
645.332098,0.9130441887968096
645.4511,0.9114231499928617
645.570102,0.9130268411220258
645.689104,0.917061263813836
645.808106,0.9213530341959836
645.927108,0.9241628299280714
646.04611,0.9196997692229132
646.165112,0.9184048247506945
646.284114,0.9150230708324028
646.403116,0.9167229306337994
646.522118,0.9198147388795199
646.64112,0.9231440402924339
646.760122,0.9237803057044591
646.879124,0.9236325126793037
646.998126,0.9194101094194221
647.117128,0.919972960621287
647.23613,0.9210278539725986
647.355132,0.9229668136509998
647.474134,0.9257269113316015
647.593136,0.9261176505283552
647.712138,0.9270664807206446
647.83114,0.9253206064079829
647.950142,0.9237599827612868
648.069144,0.9225829393079202
648.188146,0.9261195027655085
648.307148,0.9276766912021907
648.42615,0.9316454081960804
648.545152,0.9317246014214415
648.664154,0.9294009873311967
648.783156,0.9262797352992015
648.902158,0.9270025153403059
649.02116,0.9286484773391487
649.140162,0.9320302572155177
649.259164,0.9362703581824351
649.378166,0.935817312974859
649.497168,0.9332790816312887
649.61617,0.9297421400912496
649.735172,0.9289187533693094
649.854174,0.9308194051055374
649.973176,0.9349679765117861
650.092178,0.935226998514171
650.21118,0.9398368336579471
650.330182,0.9371255633612138
650.449184,0.9350399718177612
650.568186,0.931778643015515
650.687188,0.934055892935898
650.80619,0.9368032476089053
650.925192,0.9385323064998452
651.044194,0.9433612347281801
651.163196,0.9424296541048763
651.282198,0.9383258521032315
651.4012,0.9377208270701736
651.520202,0.9370655892443508
651.639204,0.9389387789835015
651.758206,0.9420847879658271
651.877208,0.9447301007065335
651.99621,0.9442672963535138
652.115212,0.9428613857454552
652.234214,0.9422279957371128
652.353216,0.9410603571079623
652.472218,0.9424645246471792
652.59122,0.9474567400568021
652.710222,0.9484672674571138
652.829224,0.9476756278443215
652.948226,0.9452035290708902
653.067228,0.9447376585775706
653.18623,0.9444486130802624
653.305232,0.9483354396691809
653.424234,0.9490972588567033
653.543236,0.9533930747291118
653.662238,0.9537573404539822
653.78124,0.950836647862354
653.900242,0.947925847237579
654.019244,0.9489881189475998
654.138246,0.950207402304729
654.257248,0.9514282522272083
654.37625,0.9583013393520846
654.495252,0.9583243388602221
654.614254,0.9553132326265554
654.733256,0.9541007549074384
654.852258,0.952139234650496
654.97126,0.9535704223338274
655.090262,0.9573655361578356
655.209264,0.9600239950393159
655.328266,0.9610815635424831
655.447268,0.9597696223864957
655.56627,0.9577313196528474
655.685272,0.9548299664075109
655.804274,0.9558024782378489
655.923276,0.9593119214469696
656.042278,0.9640163730732569
656.16128,0.9663840079533734
656.280282,0.9641378467889475
656.399284,0.9631953809157211
656.518286,0.9599203180465101
656.637288,0.9628592843800384
656.75629,0.9628149938716464
656.875292,0.9681047352366219
656.994294,0.9704562085080893
657.113296,0.9690636335008289
657.232298,0.965983041796305
657.3513,0.966661399967506
657.470302,0.9652327644933085
657.589304,0.9674514850370826
657.708306,0.9711571308931649
657.827308,0.9737613752164445
657.94631,0.9753986692687204
658.065312,0.9706241119553907
658.184314,0.968066011821686
658.303316,0.9684717164698274
658.422318,0.9705192902117755
658.54132,0.9732035697749664
658.660322,0.9775029199167184
658.779324,0.9790182452561554
658.898326,0.9759421176638308
659.017328,0.9729962994896734
659.13633,0.9717089048324764
659.255332,0.9729184628992192
659.374334,0.9766147734862216
659.493336,0.9812323473589524
659.612338,0.9802555264785331
659.73134,0.9814325391766847
659.850342,0.9767935103436933
659.969344,0.9761256120298816
660.088346,0.9748321272382721
660.207348,0.9787803727252412
660.32635,0.9820088091958851
660.445352,0.9825323594049226
660.564354,0.9841243676777535
660.683356,0.9815051678718124
660.802358,0.9765552018019938
660.92136,0.9792032971913658
661.040362,0.9808693585475008
661.159364,0.9823191730144917
661.278366,0.9890355525774781
661.397368,0.9832508531371121
661.51637,0.9815728940649223
661.635372,0.9798125511005421
661.754374,0.9819174866231952
661.873376,0.9819076674974248
661.992378,0.9889030306925973
662.11138,0.9893560520146183
662.230382,0.9892739388700437
662.349384,0.9860699339181692
662.468386,0.9842129428566678
662.587388,0.9820775522185065
662.70639,0.9858756972741249
662.825392,0.9892353579387608
662.944394,0.9893174678809852
663.063396,0.9923926832250137
663.182398,0.9877279237286333
663.3014,0.9852124261456288
663.420402,0.9831210725902025
663.539404,0.9857012127180461
663.658406,0.9870782125332449
663.777408,0.9931248427795424
663.89641,0.9939680656046013
664.015412,0.9897993828246074
664.134414,0.9879906943032821
664.253416,0.9867002339653609
664.372418,0.9850351038684062
664.49142,0.9902549933285193
664.610422,0.9922191289224839
664.729424,0.9940688590765963
664.848426,0.9931644692513121
664.967428,0.9889475323302578
665.08643,0.988533250112397
665.205432,0.9860058414554921
665.324434,0.9926546102138628
665.443436,0.9919542417790688
665.562438,0.9966641762644077
665.68144,0.9951863230576168
665.800442,0.9911155024807472
665.919444,0.98903456354242
666.038446,0.9885372042533057
666.157448,0.9889692894152962
666.27645,0.9932352844024999
666.395452,0.9974779856355003
666.514454,0.9941390428155039
666.633456,0.9922685426654961
666.752458,0.9888011789258919
666.87146,0.9898290772515063
666.990462,0.9896548826634834
667.109464,0.9928570331251999
667.228466,0.9971641287013996
667.347468,0.9974051724002643
667.46647,0.9933656054206853
667.585472,0.9907107144815617
667.704474,0.9898459044888507
667.823476,0.9919354940210661
667.942478,0.9930869061351427
668.06148,0.9975353422686617
668.180482,0.9981462203759079
668.299484,0.9939027640478707
668.418486,0.9909144255452388
668.537488,0.9907546039383575
668.65649,0.9918372972679774
668.775492,0.9927158588928153
668.894494,0.9969977158958543
669.013496,0.9991381815789998
669.132498,0.9960334874748934
669.2515,0.9938078508660807
669.370502,0.9920387598808884
669.489504,0.9901569629367643
669.608506,0.9933247789332926
669.727508,0.9989217816955235
669.84651,0.9989995008333746
669.965512,0.998581606871739
670.084514,0.9943787586353077
670.203516,0.9942912571546694
670.322518,0.991819642721212
670.44152,0.996214682445448
670.560522,0.9952518084721205
670.679524,1.0
670.798526,0.9985485543675736
670.917528,0.9967670373149371
671.03653,0.9930448994474609
671.155532,0.9931305036072795
671.274534,0.9952033408892431
671.393536,0.9968089024096651
671.512538,1.0
671.63154,0.9989269761022938
671.750542,0.9961007220044378
671.869544,0.9924075692269068
671.988546,0.9931890007166649
672.107548,0.9941113067231296
672.22655,0.9982031163319888
672.345552,1.0
672.464554,0.9999592448305145
672.583556,0.9974072669533256
672.702558,0.9955511256910164
672.82156,0.9926552058068077
672.940562,0.9939439124740689
673.059564,0.9971749978496391
673.178566,0.9998899460563796
673.297568,1.0
673.41657,0.9982869689155198
673.535572,0.9951718929605509
673.654574,0.9930782663166426
673.773576,0.9942820102889758
673.892578,0.9964431406638665
674.01158,1.0
674.130582,0.9996054278640679
674.249584,0.9999652526037047
674.368586,0.9952680312088135
674.487588,0.9959264196299896
674.60659,0.9958836953030308
674.725592,0.9972605591349814
674.844594,0.9999682445042164
674.963596,0.9998784173917644
675.082598,1.0
675.2016,0.997105995727289
675.320602,0.996683711073703
675.439604,0.9946362366250059
675.558606,0.9965756764150069
675.677608,0.9989525489602131
675.79661,1.0
675.915612,1.0
676.034614,0.9988480639882512
676.153616,0.9948905976293794
676.272618,0.9951155678254257
676.39162,0.9962462629514299
676.510622,0.9990632490253872
676.629624,1.0
676.748626,1.0
676.867628,0.9997875325744011
676.98663,0.9941356627485045
677.105632,0.9955650635043406
677.224634,0.9953625861630675
677.343636,0.9990117886028045
677.462638,0.9997512509431782
677.58164,1.0
677.700642,0.999644363253745
677.819644,0.99637956961943
677.938646,0.997202121378459
678.057648,0.9984245423384276
678.17665,0.9982991480908334
678.295652,1.0
678.414654,1.0
678.533656,0.9996926572394657
678.652658,0.9986038754898665
678.77166,0.9957501562534841
678.890662,0.9964128492528221
679.009664,0.9970181545585257
679.128666,1.0
679.247668,1.0
679.36667,1.0
679.485672,0.998128852782772
679.604674,0.9951630359701171
679.723676,0.9944124686466068
679.842678,0.996901609948423
679.96168,0.9996957762854219
680.080682,1.0
680.199684,1.0
680.318686,0.9986740798099664
680.437688,0.9952644482503504
680.55669,0.9955004534283388
680.675692,0.9988312834817329
680.794694,0.9999093561084058
680.913696,1.0
681.032698,1.0
681.1517,0.9985787109892782
681.270702,0.9948711974518779
681.389704,0.9964646640681568
681.508706,0.9968545573028846
681.627708,0.9994476825834498
681.74671,1.0
681.865712,1.0
681.984714,1.0
682.103716,0.9971132746276258
682.222718,0.9950512854360877
682.34172,0.9961195484859934
682.460722,0.9989956047429188
682.579724,1.0
682.698726,1.0
682.817728,1.0
682.93673,0.9990222682914328
683.055732,0.9962207593735455
683.174734,0.9970722941141938
683.293736,0.9984775600892345
683.412738,1.0
683.53174,1.0
683.650742,1.0
683.769744,0.9998847466421786
683.888746,0.9971914513728449
684.007748,0.997715313877358
684.12675,0.9996247704162357
684.245752,1.0
684.364754,1.0
684.483756,1.0
684.602758,0.9997980603925479
684.72176,0.9975734488465674
684.840762,0.994749034769773
684.959764,0.9973995869469381
685.078766,0.9998432322893419
685.197768,1.0
685.31677,1.0
