nu,[0]Methanethiol-PNNL(x-sec)-X=0.01-T=278.14K-P=1.0atm-L=15cm
600,1.0007001349801559
600.241054,1.000530910883321
600.482108,1.0014264163654318
600.723162,0.9996386253115678
600.964216,0.9998942655902767
601.20527,1.0005391552919936
601.446324,0.9989940063512299
601.687378,0.9996860193022595
601.928432,0.9999252847913203
602.169486,0.9997434029266618
602.41054,0.9992566764019649
602.651594,1.0001586925903372
602.892648,0.9996777119459562
603.133702,0.9994200482370731
603.374756,0.9999333532209953
603.61581,1.000399269686931
603.856864,0.9998929257328586
604.097918,0.9993653814555846
604.338972,0.9997888722905923
604.580026,0.9993991006123939
604.82108,0.9991140027275709
605.062134,0.9998718082172688
605.303188,0.9999299274551955
605.544242,1.000116826823722
605.785296,0.9991754101612096
606.02635,1.0002896219323356
606.267404,1.0001088159200229
606.508458,0.9997601087785016
606.749512,0.999719699291586
606.990566,1.0000909761380778
607.23162,1.0000435789495348
607.472674,1.000362155562497
607.713728,1.000797587904206
607.954782,0.999325407639808
608.195836,1.0001781658696536
608.43689,0.9998488214286321
608.677944,0.9996118753398707
608.918998,0.9999095050949109
609.160052,0.9995815575714629
609.401106,1.0003402478711803
609.64216,1.0007361408187536
609.883214,0.9996073271161852
610.124268,0.9999495982702099
610.365322,0.9997030341031036
610.606376,0.9993048317414943
610.84743,0.9994849326927313
611.088484,0.9990932613361706
611.329538,0.9988774305530188
611.570592,1.0009889486875885
611.811646,1.0001425501593084
612.0527,1.0001232075894317
612.293754,0.999207244396894
612.534808,1.000262334403653
612.775862,0.9999268066787619
613.016916,0.999723368269615
613.25797,0.9992788401608427
613.499024,0.9995836666907745
613.740078,0.9994363489109914
613.981132,0.9984302333745383
614.222186,1.0001806963236144
614.46324,0.9996504710994639
614.704294,1.0002682359688355
614.945348,1.0007178975651942
615.186402,0.9991643093840676
615.427456,0.9998625394485675
615.66851,1.0001637834110386
615.909564,0.9998808870945055
616.150618,1.0001153566530672
616.391672,0.9997451824715028
616.632726,0.9991625708396819
616.87378,1.001242871725692
617.114834,0.9998147571595741
617.355888,1.0002266856893187
617.596942,0.9994456736956269
617.837996,1.0007872797421378
618.07905,0.9998921058209956
618.320104,1.000016548136919
618.561158,0.9990212592794514
618.802212,0.9998318941313753
619.043266,1.000116126742188
619.28432,0.999516856751306
619.525374,1.0002953636112442
619.766428,1.0000144421042862
620.007482,0.9999217630606689
620.248536,1.000342968800355
620.48959,0.9992238213825843
620.730644,0.9998262550953945
620.971698,0.9999576398972145
621.212752,1.0000137020938729
621.453806,0.9997989602112072
621.69486,0.9997381142980487
621.935914,0.9989471546310135
