nu,[0]HFC-23-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
600,0.9894450980663118
600.119002,0.9882337699111547
600.238004,0.9884423092367312
600.357006,0.9886746204749031
600.476008,0.9896113388066181
600.59501,0.9917134245255624
600.714012,0.9875353355614628
600.833014,0.9889406097217607
600.952016,0.9882515582791079
601.071018,0.9900122125702925
601.19002,0.9896865521264374
601.309022,0.9913535970184523
601.428024,0.990022112741919
601.547026,0.9904903058689569
601.666028,0.9902895538308637
601.78503,0.9883948651445551
601.904032,0.9900161726270629
602.023034,0.9907333029433593
602.142036,0.9911830988630268
602.261038,0.9902272665768824
602.38004,0.9908702317473885
602.499042,0.9881833712740654
602.618044,0.9892897673796933
602.737046,0.9890701694276096
602.856048,0.9909866658399878
602.97505,0.9914348913464297
603.094052,0.9910786336698191
603.213054,0.9901580521100225
603.332056,0.989702387237952
603.451058,0.9897231712063148
603.57006,0.9894975400462095
603.689062,0.9916531301823179
603.808064,0.9918091294887194
603.927066,0.9916206044930722
604.046068,0.9886340856464333
604.16507,0.99073260943029
604.284072,0.9898270975953315
604.403074,0.9904784200566016
604.522076,0.9910860667874457
604.641078,0.992495301933755
604.76008,0.9916471802813865
604.879082,0.9897310890233557
604.998084,0.9896380586734825
605.117086,0.9898904485567868
605.236088,0.991096275026506
605.35509,0.9898558029973881
605.474092,0.9930117323017138
605.593094,0.991330994414111
605.712096,0.9913826441043827
605.831098,0.9904924849500268
605.9501,0.9906359186461966
606.069102,0.9902471703449729
606.188104,0.9917968311317636
606.307106,0.9921574148119936
606.426108,0.9911480116023752
606.54511,0.9903494681612607
606.664112,0.9902348913561905
606.783114,0.9903014373768109
606.902116,0.9908719162282142
607.021118,0.991534138946313
607.14012,0.9912834116683741
607.259122,0.9922601084187291
607.378124,0.9907386529176401
607.497126,0.991162581585235
607.616128,0.9896331104955596
607.73513,0.9913692605290266
607.854132,0.9927177450547391
607.973134,0.9923600340428176
608.092136,0.9927591422478333
608.211138,0.9914416331266129
608.33014,0.9918562415412725
608.449142,0.9902246919893363
608.568144,0.9918135926398441
608.687146,0.9919767593959312
608.806148,0.9930190806157215
608.92515,0.9920291371515878
609.044152,0.9915743960495679
609.163154,0.9903957185613623
609.282156,0.9915813370946338
609.401158,0.9914911072984762
609.52016,0.9934834255680849
609.639162,0.9930621785790393
609.758164,0.9920472914509091
609.877166,0.9926432940158089
609.996168,0.9907717441412679
610.11517,0.9923668813506756
610.234172,0.9918216263624811
610.353174,0.9928103699412365
610.472176,0.9920419344099992
610.591178,0.9932431309922407
610.71018,0.9919512659208073
610.829182,0.9916544193322251
610.948184,0.9918662593399018
611.067186,0.991395036464886
611.186188,0.9929361669841824
611.30519,0.9936669389037222
611.424192,0.9924498466898595
611.543194,0.9914713768217599
611.662196,0.9917109452451003
611.781198,0.9916294299557254
611.9002,0.9931890007166649
612.019202,0.9915847084769113
612.138204,0.9932788883885857
612.257206,0.9931877095718032
612.376208,0.9932959729323926
612.49521,0.9919952103352492
612.614212,0.9919362875697787
612.733214,0.9923016849882949
612.852216,0.9932338938740751
612.971218,0.9934015659064824
613.09022,0.9935139259774287
613.209222,0.9922752901145275
613.328224,0.9917871115704445
613.447226,0.9926865742069293
613.566228,0.9925634887031866
613.68523,0.9948123028202871
613.804232,0.9932780937657928
613.923234,0.9938735437361484
614.042236,0.9914399476772692
614.161238,0.992808582884179
614.28024,0.992448854240509
614.399242,0.993393320707703
614.518244,0.992914819086083
614.637246,0.9926496469532199
614.756248,0.993876525361252
614.87525,0.9928002433271089
614.994252,0.9947405794389127
615.113254,0.993291701768892
615.232256,0.9927924002361669
615.351258,0.9929577139327895
615.47026,0.9943936744285553
615.589262,0.9930696265733086
615.708264,0.9932305168845768
615.827266,0.9925426450887825
615.946268,0.9928188088652463
616.06527,0.9927611277681033
616.184272,0.9937129467480668
616.303274,0.9938186834306926
616.422276,0.9927768135178392
616.541278,0.9939913247294672
616.66028,0.9929795592427936
616.779282,0.9937953289660479
616.898284,0.9926182797199811
617.017286,0.9933121637887065
617.136288,0.9931048811708173
617.25529,0.9945722835711036
617.374292,0.993898490275174
617.493294,0.993369380217158
617.612296,0.9929487773535788
617.731298,0.9932737233517951
617.8503,0.992507807453344
617.969302,0.9942096291933306
618.088304,0.9939841680176933
618.207306,0.9931031928939544
618.326308,0.9942919531587929
618.44531,0.9925813550067795
618.564312,0.9943063704966392
