nu,[0]o-Toluidine-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
550,0.8091184154617751
550.135003,0.8060173585861807
550.270005,0.8036993681019446
550.405008,0.8197302141440208
550.540011,0.8031209128258
550.675014,0.7959411723115639
550.810016,0.7923754075802193
550.945019,0.8161394859191198
551.080022,0.7977898995256795
551.215024,0.806533374803252
551.350027,0.8123451236452368
551.48503,0.7976383338439653
551.620032,0.8168825108763869
551.755035,0.809765969181096
551.890038,0.7973432622520538
552.025041,0.7886205492426782
552.160043,0.7912193835880149
552.295046,0.8030727270166191
552.430049,0.79898748233753
552.565051,0.7977101245245434
552.700054,0.8066220983541862
552.835057,0.7928826901541791
552.970059,0.7846715942554315
553.105062,0.8118984566719093
553.240065,0.7822272340661146
553.375068,0.794970716179953
553.51007,0.8042139003302803
553.645073,0.7917655133557928
553.780076,0.7845852851271525
553.915078,0.8011396520354856
554.050081,0.7900571455483897
554.185084,0.780079064259711
554.320086,0.7924625736691001
554.455089,0.8026311584592445
554.590092,0.7988356891366967
554.725095,0.7932950963693823
554.860097,0.8080106822031333
554.9951,0.7971040951502372
555.130103,0.7996988977297006
555.265105,0.7764290594002153
555.400108,0.7984283868061595
555.535111,0.7965861458401514
555.670113,0.7950502172265571
555.805116,0.8036190021834974
555.940119,0.7983964503094214
556.075122,0.7943667679650479
556.210124,0.8001468545286263
556.345127,0.7984283868061595
556.48013,0.7994830081737152
556.615132,0.7834249577592151
556.750135,0.7965702142765508
556.885138,0.8009874499612538
557.02014,0.8164905013609765
557.155143,0.7990434134188587
557.290146,0.7914646996189474
557.425149,0.8075017957893971
557.560151,0.7995709561416638
557.695154,0.796211838320764
557.830157,0.7968490626471659
557.965159,0.8082935354383332
558.100162,0.8023101701977929
558.235165,0.7950979216707097
558.370167,0.8007952360398564
558.50517,0.7987558095618282
558.640173,0.7928192620761237
558.775176,0.7939220471084494
558.910178,0.8027756450711722
559.045181,0.8028238130549015
559.180184,0.7909978731735154
559.315186,0.810365417766912
559.450189,0.7947719983416728
559.585192,0.8040852363996164
559.720194,0.8035306089549739
559.855197,0.7914409560341144
559.9902,0.7982367869862241
560.125203,0.8006911394255977
560.260205,0.8094987904981736
560.395208,0.806791506782103
560.530211,0.8055902825712712
560.665213,0.8067753711133245
560.800216,0.8146310236280146
560.935219,0.8009794401268034
561.070221,0.8066946976099556
561.205224,0.8157723057721854
561.340227,0.8102276673550084
561.47523,0.812304507404469
561.610232,0.8012678446349458
561.745235,0.80434258484882
561.880238,0.8148754495971653
562.01524,0.813475068496845
562.150243,0.8036029299641764
562.285246,0.8108274577239172
562.420248,0.8103978330319236
562.555251,0.8171766415206417
562.690254,0.8028398696917284
562.825257,0.8012357945621662
562.960259,0.7990753757946387
563.095262,0.8060979643522606
563.230265,0.8148021141068481
563.365267,0.8083258678263942
563.50027,0.8164496778565046
563.635273,0.8107382716088938
563.770275,0.8071062168342192
563.905278,0.8152829891983737
564.040281,0.8047448567008268
564.175284,0.8108598914708967
564.310286,0.8108680001103545
564.445289,0.8063962757832823
564.580292,0.8094826006842624
564.715294,0.8160986799649812
564.850297,0.8138981855333587
564.9853,0.8051392783060118
565.120302,0.808123811617516
565.255305,0.8112005241531705
565.390308,0.8121258200691677
565.525311,0.8120283708178314
565.660313,0.8075017957893971
565.795316,0.8019492118429249
565.930319,0.8108193494898811
566.065321,0.8010034698704517
566.200324,0.8115818780106588
566.335327,0.8033538516650186
566.470329,0.8095473618827305
566.605332,0.8048092388646151
566.740335,0.8049943662783905
566.875338,0.8078652533693245
567.01034,0.8056547323718346
567.145343,0.8142238099281093
567.280346,0.8043264981579905
567.415348,0.8011716982624874
567.550351,0.8080753256434127
567.685354,0.8052439532159134
567.820356,0.8088352735690851
567.955359,0.807162716246854
568.090362,0.8087382191596378
568.225365,0.807308018612599
568.360367,0.8100737387218941
568.49537,0.8021577457462368
568.630373,0.8095068855265537
568.765375,0.8123857419168674
568.900378,0.806630164615501
569.035381,0.8074775710988956
569.170383,0.8134913381609111
569.305386,0.8095230758261667
569.440389,0.811492608913968
569.575392,0.8131578750768685
569.710394,0.8114844940284534
569.845397,0.8210264116087131
569.9804,0.8133123897515625
570.115402,0.8122232810151158
570.250405,0.8126376205360305
570.385408,0.8161476473547861
570.52041,0.817847001176585
570.655413,0.8146310236280146
570.790416,0.8173646137641708
570.925419,0.8221519886368318
571.060421,0.8187798783969114
571.195424,0.8240863177566498
571.330427,0.8213631014541746
571.465429,0.824762345670775
571.600432,0.8282501969596391
571.735435,0.8156091676253895
571.870437,0.823839128941499
572.00544,0.8283081765026866
572.140443,0.8252078376094352
572.275446,0.8297921759218664
572.410448,0.8272651654352561
572.545451,0.827894125935703
572.680454,0.828680999060897
572.815456,0.8336096764708196
572.950459,0.8342851738482661
573.085462,0.8346189546695192
573.220464,0.8368503648855004
573.355467,0.826537492312806
573.49047,0.8350781213538508
573.625473,0.8313536525407144
573.760475,0.8319108461269243
573.895478,0.8310211775791234
574.030481,0.8375033628061931
574.165483,0.8324600885154188
574.300486,0.8359637734751837
574.435489,0.8413226854769121
574.570491,0.837871945368045
574.705494,0.8367917874101939
574.840497,0.8370763449899606
574.9755,0.8368252597511326
575.110502,0.834001565105376
