nu,[0]Isocyanicacid-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
500,0.7462758313500256
500.241054,0.7640210025078072
500.482108,0.7382003605268096
500.723162,0.7240896994519738
500.964216,0.7623038877306967
501.20527,0.8450242109699341
501.446324,0.797279477342504
501.687378,0.7444348046505581
501.928432,0.806533374803252
502.169486,0.7735538444115393
502.41054,0.7588205189284898
502.651594,0.8158375701671882
502.892648,0.7483758155320881
503.133702,0.7745446272981586
503.374756,0.7868953600115598
503.61581,0.7715837949888242
503.856864,0.7667150952581353
504.097918,0.7491919899052433
504.338972,0.7354520020570596
504.580026,0.7547490266713964
504.82108,0.7120123658173366
505.062134,0.777835668595035
505.303188,0.8047046204639061
505.544242,0.7670985486611266
505.785296,0.796681741913302
506.02635,0.8431840646782368
506.267404,0.8121014566600185
506.508458,0.778629465744726
506.749512,0.7853781165776162
506.990566,0.7862031966912781
507.23162,0.7566912263274972
507.472674,0.8487929479292857
507.713728,0.8045919697027785
507.954782,0.7546509156752821
508.195836,0.8039324747175198
508.43689,0.7718847713554465
508.677944,0.799882849629836
508.918998,0.8529622397971608
509.160052,0.817691625007565
509.401106,0.8113790079009765
509.64216,0.8588422651450748
509.883214,0.8097173846804948
510.124268,0.8562096625038015
510.365322,0.8411880846155919
510.606376,0.8282419144990819
510.84743,0.8590398215841778
511.088484,0.8356963078644517
511.329538,0.8663121370225587
511.570592,0.9013064113480447
511.811646,0.8726680814179105
512.0527,0.8978071399034698
512.293754,0.906874687439858
512.534808,0.8514453174717095
512.775862,0.8053405882882876
513.016916,0.6667434098222379
513.25797,0.7949309686378409
513.499024,0.763677270402203
513.740078,0.8054533438633541
513.981132,0.8034984683734316
514.222186,0.8068237790878161
514.46324,0.7779212352246588
514.704294,0.8204190768057146
514.945348,0.8014521574343713
515.186402,0.8344603921320501
515.427456,0.8228346580560184
515.66851,0.8327598280971719
515.909564,0.8428637156038381
516.150618,0.8247128614145772
516.391672,0.8090213270773392
516.632726,0.7481962268878597
516.87378,0.7931602476654641
517.114834,0.7632497308530245
517.355888,0.778902033754356
517.596942,0.8295183896810265
517.837996,0.7789409798296875
518.07905,0.7562978491767303
518.320104,0.7704118785026037
518.561158,0.7968092211900782
518.802212,0.663670159942469
519.043266,0.7447698756979821
519.28432,0.8237320368158756
519.525374,0.7404701179285524
519.766428,0.7534595086878875
520.007482,0.7601876258897073
520.248536,0.7768173709997255
520.48959,0.7574255729175522
520.730644,0.7757150731496022
520.971698,0.7897332885139435
521.212752,0.6884448952253449
521.453806,0.8051151244899717
521.69486,0.7790266680502345
521.935914,0.7983325811481972
522.176968,0.7886599812559325
522.418022,0.8194679424412052
522.659076,0.7266647859592018
522.90013,0.7701114764521951
523.141184,0.7672443112323779
523.382238,0.7158962677223494
523.623292,0.7504291770873254
523.864346,0.7784893250539325
524.1054,0.7078592531759327
