nu,[0]2-Butanone-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
550,0.9763247619673386
550.119202,0.9776974623541124
550.238404,0.9712222006007456
550.357606,0.9776984400520635
550.476808,0.9718556439556311
550.59601,0.9760114120141052
550.715212,0.9757967131212063
550.834414,0.9751441234357175
550.953616,0.976131468801124
551.072818,0.9759411417222011
551.19202,0.9770787756954281
551.311222,0.9760992569941513
551.430424,0.9772937566731216
551.549626,0.9733846024744637
551.668828,0.9794295192806624
551.78803,0.9756357199458435
551.907232,0.9795529351751299
552.026434,0.9783771982713189
552.145636,0.9777082170853492
552.264838,0.9737925360790225
552.38404,0.9780739483460218
552.503242,0.9773983326998033
552.622444,0.9763765085509952
552.741646,0.978095466209581
552.860848,0.9750514891441896
552.98005,0.9788939178339663
553.099252,0.9741597250759012
553.218454,0.9791484633420853
553.337656,0.9757049925411078
553.456858,0.978302844429732
553.57606,0.9770680278880085
553.695262,0.9767456486343079
553.814464,0.9767427184017573
553.933666,0.9761051136072632
554.052868,0.9784026364091684
554.17207,0.9772624837732771
554.291272,0.9798938789173411
554.410474,0.9789869171735592
554.529676,0.9779859256517512
554.648878,0.9772185079509706
554.76808,0.9792209230093472
554.887282,0.9788116941983093
555.006484,0.9810841924604775
555.125686,0.9777580814759517
555.244888,0.9813383261752202
555.36409,0.9815719124925191
555.483292,0.9790799253485091
555.602494,0.9806202493686347
555.721696,0.9777835035165552
555.840898,0.9797547438653573
555.9601,0.9774696853824315
556.079302,0.9815630783850602
556.198504,0.978307735956183
556.317706,0.980182010070947
556.436908,0.9797194733294516
556.55611,0.9808507222067342
556.675312,0.9801467241537347
556.794514,0.9793971986398197
556.913716,0.9793609616138591
557.032918,0.9802123961842415
557.15212,0.9807840266252996
557.271322,0.9776485787030961
557.390524,0.9829628028385724
557.509726,0.978800927328891
557.628928,0.9786854356336102
557.74813,0.978943842696849
557.867332,0.9811155876569567
557.986534,0.9826994041044186
558.105736,0.9802849345854469
558.224938,0.9816239371825233
558.34414,0.9793629203377411
558.463342,0.9820755880653662
558.582544,0.97989485881171
558.701746,0.9828743401671969
558.820948,0.979742007136476
558.94015,0.9801281015428912
559.059352,0.9804408122819944
559.178554,0.9820657673585892
559.297756,0.9810606467224084
559.416958,0.9803074813982298
559.53616,0.9806565329891042
559.655362,0.9816229555590769
559.774564,0.9829460926129615
559.893766,0.9795402010697444
560.012968,0.9823368549187426
560.13217,0.9802104357614095
560.251372,0.9836550522949886
560.370574,0.9793717346436884
560.489776,0.9821855866910375
560.608978,0.980990993889196
560.72818,0.9811823057853081
560.847382,0.9819606919431167
560.966584,0.9827957133650975
561.085786,0.9832813343860163
561.204988,0.9791533590966414
561.32419,0.9828478029182668
561.443392,0.9818192997839568
561.562594,0.9818988303681844
561.681796,0.9809390027442974
561.800998,0.9820530005865977
561.9202,0.9795264876029239
562.039402,0.981781009577929
562.158604,0.9790299935455881
562.277806,0.9829048097440181
562.397008,0.9815140014580743
562.51621,0.9785024385679056
562.635412,0.9813923012674612
562.754614,0.9797870763053872
562.873816,0.9809301743330006
562.993018,0.9796166081852666
563.11222,0.9815090939003359
563.231422,0.982897929434431
563.350624,0.9806977214284409
563.469826,0.9806104432151719
563.589028,0.9811715128393057
563.70823,0.9806271137344056
563.827432,0.9805378807272191
563.946634,0.9796930212607763
564.065836,0.9813236062107276
564.185038,0.9799761934603326
564.30424,0.9776309811870576
564.423442,0.9813658040330413
564.542644,0.9785464721683897
564.661846,0.9797958944287555
564.781048,0.9781551318528034
564.90025,0.9791249640609575
565.019452,0.9778783531165275
565.138654,0.9794050338487496
565.257856,0.9791788174149345
565.377058,0.9803702230847517
565.49626,0.9792620511517985
565.615462,0.9766499322509211
565.734664,0.9781081815332912
565.853866,0.9764341164644165
565.973068,0.9787392648128589
566.09227,0.9761714910117946
566.211472,0.9783488257439726
566.330674,0.9756854786363967
566.449876,0.9765718033815375
566.569078,0.9767466253804449
566.68828,0.9774393842918541
566.807482,0.9758298907734694
566.926684,0.9750358884451692
567.045886,0.9759596847800524
567.165088,0.9763355015987881
567.28429,0.97559962209202
567.403492,0.9725517417699826
567.522694,0.9746381549458348
567.641896,0.9742376609713015
567.761098,0.9740535474526535
567.8803,0.9722337693417492
567.999502,0.9743253463065699
568.118704,0.9717468022187591
568.237906,0.9728698181922021
568.357108,0.9711872372308684
568.47631,0.9707677749547599
568.595512,0.9711425636454561
568.714714,0.9660777127732032
568.833916,0.9701786977183906
568.953118,0.9683942418315368
569.07232,0.9682247876668881
569.191522,0.966249689911588
569.310724,0.9694222533858117
569.429926,0.9673711898961189
569.549128,0.9660071916742221
569.66833,0.9660042936569941
569.787532,0.9654856886092181
569.906734,0.9639267237193206
570.025936,0.96305091244399
570.145138,0.9657232273046776
570.26434,0.961209395891097
570.383542,0.9622769306927419
570.502744,0.9598156924340424
570.621946,0.960336053544464
570.741148,0.958892793723375
570.86035,0.9589253966326079
570.979552,0.9575053217302131
571.098754,0.9568525257295319
571.217956,0.956339790201138
571.337158,0.9543001828047034
571.45636,0.9547354429198264
571.575562,0.9548337857350152
571.694764,0.9530508680450592
571.813966,0.9513559464276943
571.933168,0.9534855583427433
572.05237,0.9488789915888642
572.171572,0.9509935488532271
572.290774,0.9489340281664217
572.409976,0.949578573169812
572.529178,0.9476348786684377
572.64838,0.9442399129989801
572.767582,0.9455400814300049
572.886784,0.9447348243688463
573.005986,0.9433225577104405
573.125188,0.9439255334550506
573.24439,0.9427425926949706
573.363592,0.9393435488188772
573.482794,0.9393463668537506
573.601996,0.9389547410784217
573.721198,0.939176360547385
573.8404,0.9362216733896251
573.959602,0.9354907697177437
574.078804,0.9340166634122204
574.198006,0.9357199930350343
574.317208,0.9338102685370802
574.43641,0.931097761719904
574.555612,0.9329683514365542
574.674814,0.9291101303436551
574.794016,0.9301475960473048
574.913218,0.9280005068699675
575.03242,0.9283114391180126
575.151622,0.9254483094629753
575.270824,0.9246740333077286
575.390026,0.9224694685849779
575.509228,0.9225248184135713
575.62843,0.9216451494056382
575.747632,0.9206678024763498
575.866834,0.9206696438137961
575.986036,0.9195572268060064
576.105238,0.919378850007115
576.22444,0.9155978857938919
576.343642,0.9179677680818527
576.462844,0.9159284762986594
576.582046,0.9148034916459593
576.701248,0.913463372274716
576.82045,0.9141149039025717
576.939652,0.9132724783790175
577.058854,0.9115279696821275
577.178056,0.9103519463596604
577.297258,0.910666982631233
577.41646,0.9104648370000841
577.535662,0.907222994190451
577.654864,0.9101480503608803
577.774066,0.9072683564742082
577.893268,0.9077974481412675
578.01247,0.9039059153016433
578.131672,0.9067876316486085
