nu,[0]o-Xylene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
600,0.9992413579145322
600.118002,1.001310658162653
600.236005,1.0021000019218813
600.354007,1.001702147010439
600.472009,1.0011061112903648
600.590012,0.9999429036300598
600.708014,1.0003540026441524
600.826017,0.9990882259188227
600.944019,1.0006880365886588
601.062021,1.0012696052672583
601.180024,1.0004831666874392
601.298026,0.9995411652968529
601.416028,1.0007072699975545
601.534031,1.0000805492439162
601.652033,1.0014053866315011
601.770035,1.000887133270148
601.888038,1.000557145147734
602.00604,0.9995848861835918
602.124042,1.001624918752092
602.242045,1.0009979676386467
602.360047,0.9995063418892812
602.47805,0.9996749428425293
602.596052,1.0006300383908622
602.714054,0.9994481523239711
602.832057,0.9995562384912772
602.950059,1.0009961758538881
603.068061,1.0006002300660157
603.186064,1.0002371281104265
603.304066,1.0002119724629883
603.422068,1.0009919316391003
603.540071,1.0008933888342795
603.658073,1.0001247477803572
603.776076,1.0002638548035567
603.894078,1.0008428950365296
604.01208,1.0007675844422748
604.130083,1.0003463999826223
604.248085,1.0007919334138082
604.366087,1.000776551360003
604.48409,1.0008452770454543
604.602092,1.0013633284884897
604.720094,1.001634534397467
604.838097,1.000030418462632
604.956099,1.0017370068517126
605.074101,0.9998438821876542
605.192104,1.0007663735142303
605.310106,0.9997087424237255
605.428109,1.0015045306723267
605.546111,1.0001966193270466
605.664113,1.0007481797469415
605.782116,1.0023264018832283
605.900118,1.0006348014011808
606.01812,1.0011237309129757
606.136123,1.0009198728237299
606.254125,1.0010134131564492
606.372127,1.0010627643342143
606.49013,1.001177893171894
606.608132,1.0008635126125276
606.726135,1.000998748417366
606.844137,1.00002299626441
606.962139,1.001198818008525
607.080142,1.000106175636234
607.198144,1.0006874561897658
607.316146,1.0002912424028358
607.434149,1.0006217231897927
607.552151,1.0010318319727038
607.670153,1.0016411452072098
607.788156,1.0016155035221075
607.906158,0.999564484864261
608.02416,1.0000676802902075
608.142163,1.000785698499485
608.260165,1.0007402038157331
608.378168,1.0014541562613608
608.49617,0.9991540480193025
608.614172,1.001461266611112
608.732175,1.0002058111762147
608.850177,0.9993982111475902
608.968179,1.0017874956691655
609.086182,1.0005755655743356
609.204184,1.0010386390123052
609.322186,1.0006030117385218
609.440189,1.000688296767582
609.558191,1.0009459971733317
609.676194,1.0015913648793444
609.794196,1.0004242699770578
609.912198,1.0006530131202924
610.030201,1.0006980134981185
610.148203,1.0008417841015327
610.266205,1.0003227120603368
610.384208,1.0004847774666341
610.50221,1.0017639539396337
610.620212,1.0000476711362325
610.738215,1.001521957002769
610.856217,1.0018935905825834
610.974219,1.0021285621789178
611.092222,1.0009048791563377
611.210224,0.9999229739666573
611.328227,0.9994364288659026
611.446229,1.0010505514429882
611.564231,1.0008648437618846
611.682234,1.0002548324642773
611.800236,1.000177075676047
611.918238,1.0008666753462248
612.036241,1.000754564540696
612.154243,1.0000613018788833
612.272245,1.0009545653077392
612.390248,1.0008355989184192
612.50825,1.0010587600911653
612.626253,0.999098466625622
612.744255,1.000946347504492
612.862257,1.0011887059515292
612.98026,1.0014122963525074
613.098262,1.000465288212995
613.216264,1.0010946987457476
613.334267,1.0005582957891126
613.452269,1.001539083174662
613.570271,0.9994283434578985
613.688274,1.001218742063247
613.806276,1.0000526283848248
613.924278,1.0005205154211614
614.042281,1.0004045918252027
614.160283,1.0011863031015182
614.278286,1.0001377694893445
614.396288,1.0004364352101454
614.51429,1.0011878048820992
614.632293,1.000673706838576
614.750295,1.0013683353176492
614.868297,0.9994343900176673
614.9863,1.0012559880932237
615.104302,1.0004315630965694
615.222304,1.0005825896394605
615.340307,1.0004020908168494
615.458309,1.0007402338379396
615.576312,1.0004546233098668
615.694314,1.0003166001072383
615.812316,1.001115621843597
615.930319,0.9998147771558694
616.048321,1.001374643958034
616.166323,1.0007705567264145
616.284326,1.0014940149299623
616.402328,1.00134991030979
616.52033,1.0004894997659284
616.638333,1.0007143650372508
616.756335,1.0005409762749131
616.874337,1.0009249174726014
616.99234,1.001508336396774
617.110342,0.9992916609906074
617.228345,1.0011733878815117
617.346347,1.0011568686568955
617.464349,1.0011172236298735
617.582352,1.0005795178556254
617.700354,1.0010105102217601
617.818356,1.0015245609632424
617.936359,0.9996898681008428
618.054361,1.000411454624242
618.172363,1.000967207443734
618.290366,1.0007805744898262
618.408368,1.000178485926718
618.526371,1.000895660864851
