nu,[0]Hexachloro-1-3-butadiene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
530,0.9618132249742036
530.119402,0.9955918445647526
530.238805,0.957650873600778
530.358207,0.9630200953078686
530.47761,0.9831348363815651
530.597012,0.9816740012799432
530.716414,0.9447697802040268
530.835817,0.9814384277895857
530.955219,0.9840840194058239
531.074621,0.9929264362574266
531.194024,0.9832901839578487
531.313426,0.9568553962914149
531.432829,0.9533854476150225
531.552231,0.9913258395063428
531.671633,0.9611123186445955
531.791036,0.9514225436748206
531.910438,0.9647657048728395
532.029841,0.9457708213590004
532.149243,0.9530470558492115
532.268645,0.9578309288896818
532.388048,0.9597197156637176
532.50745,0.9717662373491541
532.626853,0.9755966952975439
532.746255,0.9495140040222123
532.865657,0.9896301416006814
532.98506,0.929043236822466
533.104462,0.9675501701214101
533.223864,0.9381963720699691
533.343267,0.9823545371412706
533.462669,0.9723582232291038
533.582072,0.9644473847159462
533.701474,0.9736795826962602
533.820876,0.971099834312708
533.940279,0.9680379383144109
534.059681,0.9827210237291238
534.179084,0.9480955411513867
534.298486,0.9767935103436933
534.417888,0.9668924596526307
534.537291,0.9582687576604385
534.656693,0.9756308417794393
534.776096,0.9839649524431724
534.895498,0.9827947305698755
535.0149,0.9771110198270513
535.134303,0.9528526540794728
535.253705,0.9758474558695887
535.373107,0.9923626141822602
535.49251,0.9805692584414432
535.611912,0.9794735946007173
535.731315,0.9649509576718748
535.850717,0.9565329903513169
535.970119,0.972676236360413
536.089522,0.9648448189042701
536.208924,0.9597177962262057
536.328327,0.9742659142731406
536.447729,0.9617372447306898
536.567131,0.9567912891274774
536.686534,0.988104319766466
536.805936,0.983023748421642
536.925339,0.9766177033349369
537.044741,0.973693214305839
537.164143,0.9598963203385315
537.283546,0.9829628028385724
537.402948,0.9693369479810066
537.52235,0.9520840121763534
537.641753,0.9899567734386987
537.761155,0.963349504506226
537.880558,0.9799771734370161
537.99996,0.9674050484802871
538.119362,0.9811970236302784
538.238765,0.9573042667241642
538.358167,0.9626503665837286
538.47757,0.9885718036609408
538.596972,0.9963391174300885
538.716374,0.972255158719957
538.835777,0.9597216351050684
538.955179,0.9939313888596706
539.074581,0.9850449542686969
539.193984,0.9745212053843554
539.313386,0.971473779728792
539.432789,0.9856302447856067
539.552191,0.9886489152689399
539.671593,0.9569405602114232
539.790996,0.9487490040713649
539.910398,0.9922293488321442
540.029801,1.0013675342233015
540.149203,0.9741762859319943
540.268605,1.0027165832432088
540.388008,0.9657077758566527
540.50741,0.9586665217252023
540.626813,0.9948041453928494
540.746215,0.9754386614339943
540.865617,0.9692332344763441
540.98502,0.9947785792548391
541.104422,0.9926213568414177
541.223824,0.9775987198969927
541.343227,0.967104232289552
541.462629,0.9607855960022529
541.582032,0.980059494977041
541.701434,0.971628256340334
541.820836,0.965482792156497
541.940239,0.9701689959799222
542.059641,0.9860324639726138
542.179044,0.9923072418932901
542.298446,0.9933249775982683
542.417848,0.9858313338659317
542.537251,0.9812588409899935
542.656653,0.9867160212954027
542.776056,0.9817073787634008
542.895458,0.9739697824495194
543.01486,0.9813098677764099
543.134263,0.9842729816773474
543.253665,0.9698343454068523
543.373067,0.9856194029125445
543.49247,0.9700535527384097
543.611872,0.970793015245031
543.731275,0.9828615628838272
543.850677,0.9928577281253664
543.970079,0.9842592019520623
544.089482,0.9959971329160753
544.208884,0.9814021152395437
544.328287,0.9865078461781566
544.447689,0.9787735212866122
544.567091,0.9778871540613098
544.686494,0.9806732042918707
544.805896,0.9793501887025324
544.925299,0.9805898506120875
545.044701,0.983358033321318
545.164103,0.9717176502519742
545.283506,0.9917741192443829
545.402908,0.9965750784697804
545.52231,0.9941619082764405
545.641713,0.9724117044021002
545.761115,0.9765298116968197
545.880518,0.9926838939567972
545.99992,0.967307345504474
546.119322,0.9816249188069512
546.238725,0.9752357912916422
546.358127,1.0046526903071868
546.47753,0.99386370443677
546.596932,0.9982666040690761
546.716334,0.9805859282605297
546.835737,0.9941333762391097
546.955139,0.9806398619697475
547.074541,0.9906203657843642
547.193944,0.9951563684001126
547.313346,0.9880993792572184
547.432749,0.9765337178238789
547.552151,0.9674253641996196
547.671553,0.975676697506604
547.790956,0.9894154151586156
547.910358,0.9924447852085481
548.029761,0.991432809335344
548.149163,0.9845663387339177
548.268565,0.9874820100931431
548.387968,0.9622615343850216
548.50737,0.9832193896132307
548.626773,0.9833098499581873
548.746175,0.9735393829309773
548.865577,0.9699963212671431
548.98498,0.96922935755116
549.104382,0.9954985619792742
549.223784,0.9955520216874328
549.343187,0.9800232334465693
549.462589,0.9939668728436383
549.581992,0.9878919001736406
549.701394,0.998776349271846
549.820796,0.9761304926701433
549.940199,0.9818723194576634
550.059601,0.9721209967654415
550.179004,0.9875224976855469
550.298406,0.9657695831321192
550.417808,0.9905994639151616
550.537211,0.9870870962771345
550.656613,0.9591459748393548
550.776016,0.9717652655834027
550.895418,0.9714378358639076
551.01482,0.9538136137971163
551.134223,0.9888179886888163
551.253625,0.983371800430154
551.373027,0.9818006453944781
551.49243,0.9806447651813153
551.611832,0.9805280753974386
551.731235,0.9787079456574941
551.850637,0.9617545561568973
551.970039,0.965341841958457
552.089442,0.9778578178867326
552.208844,0.958332963818084
552.328247,0.940022939774909
552.447649,0.958720208553636
552.567051,0.9731179316289599
552.686454,0.944475058011656
552.805856,0.9806065207812439
552.925259,0.9552788419692164
553.044661,0.9637368488580359
553.164063,0.9364014452084584
553.283466,0.972395173543638
553.402868,0.9522249310378941
553.52227,0.9647029971400463
553.641673,0.9514567955029222
553.761075,0.944104896345342
553.880478,0.9463100643968408
553.99988,0.9533444529221673
554.119282,0.9427378789937915
554.238685,0.9437801801153929
554.358087,0.942201613722582
554.47749,0.9527716650459588
554.596892,0.9358734636981424
554.716294,0.9301680595195152
554.835697,0.9420989193436317
554.955099,0.9284887635368271
555.074501,0.9419481955747597
555.193904,0.9170731856877576
555.313306,0.9314712067930866
555.432709,0.9334153503245795
555.552111,0.9380359542064634
555.671513,0.9282928730748913
555.790916,0.9319743370777057
555.910318,0.9212139203911766
556.029721,0.914380035666951
556.149123,0.9223855276827057
556.268525,0.9124016318944647
556.387928,0.9147083570299139
556.50733,0.9128086537814235
556.626733,0.9210462747138848
556.746135,0.9255973186357154
556.865537,0.923796010103143
556.98494,0.8936330917172874
557.104342,0.9112581973313791
557.223744,0.9103018783794927
557.343147,0.9130989730916498
557.462549,0.9127538869052193
557.581952,0.9136186742482963
557.701354,0.9075732498612041
557.820756,0.9024247245089828
557.940159,0.9040053504211578
558.059561,0.9001264729775524
558.178964,0.8986155300503826
558.298366,0.8976904325614239
558.417768,0.9053017187143536
558.537171,0.8985077026565497
558.656573,0.8898432102801024
558.775976,0.887071226008126
558.895378,0.8833798408827509
559.01478,0.88912272911404
559.134183,0.8751237272933146
559.253585,0.8898432102801024
559.372987,0.8813592155461698
559.49239,0.8800997725842761
559.611792,0.8885894154866593
559.731195,0.890101302232608
559.850597,0.8834240109790382
559.969999,0.8872309132002236
560.089402,0.8827352089182006
560.208804,0.885865629132453
560.328207,0.8957983026477742
560.447609,0.8767968108986566
560.567011,0.8853165626705826
560.686414,0.8790794487503144
560.805816,0.8808834100488212
560.925219,0.886237770840977
561.044621,0.8835476989985346
561.164023,0.8822321932222097
561.283426,0.8839365455260566
561.402828,0.8811829613290698
561.52223,0.8848474692131141
561.641633,0.8786048739947053
561.761035,0.8849094107038858
561.880438,0.8879409819204015
561.99984,0.8811300919374877
562.119242,0.883459348646226
562.238645,0.8798269839391996
562.358047,0.8829206027777473
562.47745,0.8900033964742777
562.596852,0.890751313408451
562.716254,0.8948850542149528
562.835657,0.8863707164772766
562.955059,0.8889804808575458
563.074461,0.8923828807407679
563.193864,0.8959953999542654
563.313266,0.8937135223148646
563.432669,0.8874261254736904
563.552071,0.8936599011121779
563.671473,0.900468586034648
563.790876,0.8916425102460118
563.910278,0.9014145746070722
564.029681,0.8948045181842492
