nu,[0]3-methylfuran-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
550,0.9895173301949113
550.119002,0.987646933359538
550.238005,0.9817613741540924
550.357007,0.9847494851050068
550.47601,0.9887784367603126
550.595012,0.984383226424886
550.714014,0.9904914944580372
550.833017,0.9803231664434121
550.952019,0.9835370207707463
551.071021,0.9869153580640402
551.190024,0.9842700288628317
551.309026,0.9853336147269895
551.428029,0.989766719983914
551.547031,0.9899498437655385
551.666033,0.9899102465637373
551.785036,0.9860048554501436
551.904038,0.9860511987674092
552.02304,0.9906110539966912
552.142043,0.9845052975132137
552.261045,0.9875205226425265
552.380048,0.9861389612294712
552.49905,0.9874543609839498
552.618052,0.9846116298271868
552.737055,0.9918562415412725
552.856057,0.9826247217876706
552.97506,0.9885549980831263
553.094062,0.9916509485478313
553.213064,0.9880065022808545
553.332067,0.9868295001627614
553.451069,0.9897221814836386
553.570071,0.9898914384477302
553.689074,0.9861576980477337
553.808076,0.9837445689776947
553.927079,0.9915166880990355
554.046081,0.9897271301069175
554.165083,0.9847406223995231
554.284086,0.9908185096712492
554.403088,0.9862040485487702
554.52209,0.9871650792380268
554.641093,0.991146822225475
554.760095,0.9877970671032842
554.879098,0.9905531049450588
554.9981,0.9887705265644593
555.117102,0.9864249829993798
555.236105,0.9874533735300826
555.355107,0.9897706790587121
555.474109,0.9840731945411474
555.593112,0.9906869377097365
555.712114,0.9894045316489083
555.831117,0.9873437722886022
555.950119,0.9902061749607308
556.069121,0.992838963291633
556.188124,0.9876864400270006
556.307126,0.9853424827694283
556.426129,0.9879768625303845
556.545131,0.9881655841334672
556.664133,0.9907859122785111
556.783136,0.9877723724852906
556.902138,0.9902509332913697
557.02114,0.9918188492658152
557.140143,0.9895262358909586
557.259145,0.988356318496479
557.378148,0.9892699817822024
557.49715,0.9903139152535323
557.616152,0.9900369631849881
557.735155,0.987037743156159
557.854157,0.9892986710276661
557.973159,0.9882614408441035
558.092162,0.986530536119552
558.211164,0.9883484116775583
558.330167,0.9855375998969748
558.449169,0.9894361931005016
558.568171,0.9905835153921785
558.687174,0.9909881523211014
558.806176,0.985964430079796
558.925179,0.9839984078202936
559.044181,0.9852498649291547
559.163183,0.9885134796451001
559.282186,0.9890098379874022
559.401188,0.988104319766466
559.52019,0.9876044654544701
559.639193,0.9845033285045877
559.758195,0.9924836898066535
559.877198,0.9854755129839395
559.9962,0.9848804654965287
560.115202,0.9870120805084528
560.234205,0.9893699030963038
560.353207,0.9879531513702189
560.472209,0.9871019026946265
560.591212,0.9865186978241485
560.710214,0.9877980549008452
560.829217,0.9883820160948272
560.948219,0.9821453179074989
561.067221,0.9845368021868062
561.186224,0.9846106452160492
561.305226,0.9864358337338717
561.424228,0.9847455461149444
561.543231,0.9867841070498036
561.662233,0.9846391993387932
561.781236,0.9795578329520501
561.900238,0.983948225181163
562.01924,0.985736698600446
562.138243,0.9888090893669651
562.257245,0.9840613857336659
562.376248,0.9839285464134476
562.49525,0.9853552923049661
562.614252,0.9856223597751884
562.733255,0.9844669025553172
562.852257,0.9837317803814241
562.971259,0.9839816799895477
563.090262,0.9825048488840084
563.209264,0.9813520650079582
563.328267,0.982982462291223
563.447269,0.9773856266040679
563.566271,0.9811715128393057
563.685274,0.9834534236769076
563.804276,0.9819155227901859
563.923278,0.9802810134535508
564.042281,0.980572200153631
564.161283,0.983392451454798
564.280286,0.9800565548029664
564.399288,0.9778128374616676
564.51829,0.979532364779481
564.637293,0.9793590028938945
564.756295,0.9783605660003231
564.875298,0.9810351394771893
564.9943,0.9765122343184062
565.113302,0.9773396905591231
565.232305,0.9792473623311977
565.351307,0.9759723723384234
565.470309,0.9768101159745166
565.589312,0.9763892015281106
