nu,[0]E-C10F18-HITRAN(x-sec)-X=0.01-T=300.0K-P=0.0atm-L=15cm
603.774332,0.999932981245857
603.893934,0.9999339771796023
604.013536,0.9999333682199957
604.133138,0.9999326602674216
604.25274,0.9999342301629306
604.372342,0.9999344921457332
604.491944,0.9999357900615463
604.611546,0.9999373739610923
604.731148,0.9999389548633302
604.85075,0.9999402327861311
604.970352,0.9999399748015844
605.089954,0.99994340460158
605.209556,0.9999443675475422
605.329158,0.9999460144572718
605.44876,0.9999465014310995
605.568362,0.9999472593908348
605.687964,0.9999483713328056
605.807566,0.9999495322735386
605.927168,0.9999519581540465
606.04677,0.99995277511513
606.166372,0.9999553789955467
606.285974,0.9999562619565361
606.405576,0.9999578648877088
606.525178,0.9999598268069644
606.64478,0.9999620847188024
606.764382,0.9999629326870099
606.883984,0.9999639866484963
607.003586,0.9999651766063484
607.123188,0.9999677965185433
607.24279,0.9999686324919705
607.362392,0.9999696694599801
607.481994,0.999971473406891
607.601596,0.9999730033644157
607.721198,0.9999737743438986
607.8408,0.999974943313924
607.960402,0.9999765862741056
608.080004,0.9999780182416024
608.199606,0.9999784542321134
608.319208,0.9999807301856652
608.43881,0.9999803461931386
608.558412,0.9999826071512573
608.678014,0.9999821701589535
608.797616,0.9999848801143066
608.917218,0.9999861010965907
609.03682,0.9999858011008054
609.156422,0.9999865980898064
609.276024,0.9999866550890442
609.395626,0.9999873690797707
609.515228,0.9999885280658032
609.63483,0.9999892340579531
609.754432,0.9999896080539966
609.874034,0.9999903354467021
609.993636,0.9999906412437934
610.113238,0.9999919113327135
610.23284,0.999991283137992
610.352442,0.9999915523356817
610.472044,0.9999918441332593
610.591646,0.9999925685276135
610.711248,0.9999923772290534
610.83085,0.9999929858245994
610.950452,0.9999934589213929
611.070054,0.9999944231155509
611.189656,0.9999946655142284
611.309258,0.9999944831152181
611.42886,0.9999941558170773
611.548462,0.9999945843146649
611.668064,0.9999949118129449
611.787666,0.9999948956130275
611.907268,0.9999948684131666
612.02687,0.9999957961088364
612.146472,0.9999941399171703
612.266074,0.999994728013897
612.385676,0.9999949849125755
612.505278,0.999995386110644
612.62488,0.9999959514081955
612.744482,0.9999958818084798
612.864084,0.9999952498112822
612.983686,0.9999953028110318
613.103288,0.9999958728085169
