nu,[0]2-(Perfluorononyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
620.97021,1.0
621.030475,1.0
621.09074,1.0
621.151005,1.0
621.21127,1.0
621.271535,1.0
621.3318,1.0
621.392065,1.0
621.45233,1.0
621.512595,1.0
621.57286,1.0
621.633125,1.0
621.69339,1.0
621.753655,1.0
621.81392,1.0
621.874185,1.0
621.93445,1.0
621.994715,1.0
622.05498,1.0
622.115245,1.0
622.17551,1.0
622.235775,1.0
622.29604,1.0
622.356305,1.0
622.41657,1.0
622.476835,1.0
622.5371,1.0
622.597365,1.0
622.657629,1.0
622.717894,1.0
622.778159,1.0
622.838424,1.0
622.898689,1.0
622.958954,1.0
623.019219,1.0
623.079484,1.0
623.139749,1.0
623.200014,1.0
623.260279,1.0
623.320544,1.0
623.380809,1.0
623.441074,1.0
623.501339,1.0
623.561604,1.0
623.621869,1.0
623.682134,1.0
623.742399,1.0
623.802664,1.0
623.862929,1.0
623.923194,1.0
623.983459,1.0
624.043724,1.0
624.103989,1.0
624.164254,1.0
624.224519,1.0
624.284784,1.0
624.345049,1.0
624.405314,1.0
624.465579,1.0
624.525844,1.0
624.586109,1.0
624.646374,1.0
624.706639,1.0
