nu,[0]Vinylchloride-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
540,0.9953301378716687
540.119202,0.9928002433271089
540.238405,0.9960302005698081
540.357607,0.9947231716310913
540.47681,0.9951482081513487
540.596012,0.9886489152689399
540.715214,0.9942799222989466
540.834417,0.9926461726855356
540.953619,0.9947664430302033
541.072821,0.9989938065524486
541.192024,0.9898706509457923
541.311226,0.998955645717915
541.430429,0.9915097475065109
541.549631,0.9955676519768708
541.668833,0.9940885418348646
541.788036,0.9962677821031156
541.907238,0.9927296577391557
542.026441,0.9895697760032133
542.145643,0.9934493496709929
542.264845,0.9926242354475265
542.384048,0.9928360840628144
542.50325,0.9952534008762879
542.622452,0.999999188820329
542.741655,0.9932896158585085
542.860857,0.9990438074437284
542.98006,0.989646965456091
543.099262,0.9966542096724781
543.218464,0.9955869661766662
543.337667,0.9993851990675898
543.456869,0.9955545105705982
543.576072,0.993750708557513
543.695274,0.9911108442488324
543.814476,0.9926582830427154
543.933679,0.9963237739258254
544.052881,0.9986769759689972
544.172083,0.9938978939362587
544.291286,0.997873364500355
544.410488,0.9951648272651941
544.529691,0.9933036213408305
544.648893,0.992171602764469
544.768095,0.9921461042819348
544.887298,0.9975531983110993
545.0065,0.9918545553870951
545.125703,0.9934456739151992
545.244905,0.9908156363017375
545.364107,0.9975149927552451
545.48331,0.9944708423717684
545.602512,0.9951478100921451
545.721714,0.9922069247022541
545.840917,0.9967136120335474
545.960119,0.9957399996536891
546.079322,0.9964596817572922
546.198524,0.9941615106117567
546.317726,0.9978603922309365
546.436929,0.9970682061261683
546.556131,0.9924700928732423
546.675334,0.9916872436367442
546.794536,0.9952311074497956
546.913738,0.9883770741971015
547.032941,0.9936934701651816
547.152143,0.9916790126667806
547.271345,0.995252007522502
547.390548,0.9930309969161866
547.50975,0.9975822275315434
547.628953,0.9931804593279868
547.748155,0.992411538865123
547.867357,0.9971584448820648
547.98656,0.9960040053200021
