nu,[0]Limoneneoxide-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
510,0.7937156542084409
510.241054,0.6952248225806626
510.482108,0.6335603622620566
510.723162,0.6664767657906706
510.964216,0.6566921103125417
511.20527,0.7608340600673184
511.446324,0.6627151626752078
511.687378,0.6938427008509598
511.928432,0.7053508079518205
512.169486,0.7112295828245142
512.41054,0.7025139642751899
512.651594,0.6520787122710369
512.892648,0.7245677563950498
513.133702,0.7016012894887783
513.374756,0.779174697179486
513.61581,0.6336807501673752
513.856864,0.7439213218073025
514.097918,0.6710309620033346
514.338972,0.7383037158119845
514.580026,0.7347903930239318
514.82108,0.6497939281328583
515.062134,0.7617171396641399
515.303188,0.701713554676072
515.544242,0.6879493933028805
515.785296,0.614288863340918
516.02635,0.71690639343111
516.267404,0.6784326959396906
516.508458,0.5995775230684169
516.749512,0.6952317748636498
516.990566,0.6441910083739342
517.23162,0.7103482047091773
517.472674,0.7045964862214064
517.713728,0.6606639267293287
517.954782,0.6682987332152354
518.195836,0.7551340468467982
518.43689,0.6862522551299051
518.677944,0.7286002873654877
518.918998,0.6102967284539277
519.160052,0.6900577425756299
519.401106,0.6769147074825792
519.64216,0.756918267749906
519.883214,0.7501965800968246
520.124268,0.6486448101494844
520.365322,0.6526397411714391
520.606376,0.6053430238829116
520.84743,0.719837346594946
521.088484,0.6769824023380138
521.329538,0.6329081310456658
521.570592,0.625765236365903
521.811646,0.6889200861250576
522.0527,0.737447780040369
522.293754,0.6375133888834377
522.534808,0.7213145267478015
522.775862,0.71078164930121
523.016916,0.7483383976767656
523.25797,0.6830480981514518
523.499024,0.6760826142346292
523.740078,0.6653314110409635
523.981132,0.6661036432858801
524.222186,0.7168347063761793
524.46324,0.6780867834799362
524.704294,0.7450752939534824
524.945348,0.6802057180634645
525.186402,0.7179251236370477
525.427456,0.7358566119157026
525.66851,0.6371883399496308
525.909564,0.6862385302220521
526.150618,0.7333222808394391
526.391672,0.6770501039632725
526.632726,0.7213217399291348
526.87378,0.6992618502202845
527.114834,0.7970084483977391
527.355888,0.7073002651952481
527.596942,0.691038320615726
527.837996,0.7121761474956456
528.07905,0.7080008391846968
528.320104,0.6851551294562895
528.561158,0.6762989952903068
528.802212,0.7263305970270079
529.043266,0.749604158835757
529.28432,0.6447903846785036
529.525374,0.7309794001491153
529.766428,0.684860576084137
530.007482,0.7518563479067292
530.248536,0.7677508596203716
530.48959,0.7660253620988816
530.730644,0.8093207203526982
530.971698,0.7108811656980975
531.212752,0.7600812070715738
531.453806,0.7475082028986865
531.69486,0.7672903472721192
531.935914,0.8024465745207655
532.176968,0.7739252393845196
532.418022,0.7609481937361396
532.659076,0.774893250814851
532.90013,0.7598532169096865
533.141184,0.7218484970422371
533.382238,0.756214660988755
533.623292,0.757705872231707
533.864346,0.7829707030303203
534.1054,0.7865885306567685
534.346454,0.755965151321988
534.587508,0.8220204548416341
534.828562,0.7976144050528836
535.069616,0.7592379850065483
535.31067,0.8096040321814996
535.551724,0.7757771328378086
535.792778,0.7871550783315294
536.033832,0.74357919669408
536.274886,0.7714912104886067
536.51594,0.7943905993255556
536.756994,0.805219796259673
536.998048,0.7718924902417544
537.239102,0.8075744742214985
537.480156,0.7990673850808344
537.72121,0.8052036920247907
537.962264,0.821782103472349
538.203318,0.8465804868528537
538.444372,0.8026953715204094
538.685426,0.8069125345849786
538.92648,0.8368754707730334
539.167534,0.8222999893144478
539.408588,0.8100656380250104
539.649642,0.8366411784436737
539.890696,0.8474613885486639
540.13175,0.8189845989555141
540.372804,0.8084552103123693
540.613858,0.8005150067502288
540.854912,0.8077683153553173
541.095966,0.8091426893783459
541.33702,0.8176180360728661
541.578074,0.8260582395639968
541.819128,0.8428974308267622
542.060182,0.8589796909012654
542.301236,0.8345688790345231
542.54229,0.846826030796192
542.783344,0.8275795859342328
543.024398,0.8489712131655456
543.265452,0.8502456255556341
543.506506,0.8318110228149076
543.74756,0.8477326195876512
543.988614,0.8533120260167527
544.229668,0.8440614322575634
544.470722,0.8285401352648186
544.711776,0.8450242109699341
544.95283,0.8518455908277915
545.193884,0.8505857918345766
545.434938,0.8280762826799161
545.675992,0.8188208184143231
545.917046,0.8342518031087314
546.1581,0.8338597968899479
546.399154,0.8204518942251308
546.640208,0.8276209659480211
546.881262,0.8443822365507766
547.122316,0.8375619900935206
547.36337,0.8399272483522727
547.604424,0.824539689897326
547.845478,0.801652545521197
548.086532,0.8144111029422637
548.327586,0.8188208184143231
548.56864,0.8201237790948417
548.809694,0.8114033496363378
549.050748,0.8106247761957328
549.291802,0.8110950749393779
549.532856,0.79898748233753
549.77391,0.8095878402627756
550.014964,0.8003309094706749
550.256018,0.7837697405872888
550.497072,0.7967136098203323
550.738126,0.7867065277859304
550.97918,0.8021176388616299
551.220234,0.7905155116061149
551.461288,0.7895437752671994
551.702342,0.7766542564794396
551.943396,0.782321106966464
552.18445,0.7889597289972736
552.425504,0.7870212733419595
552.666558,0.7894885091372679
552.907612,0.7715297860135112
553.148666,0.7771981047836746
553.38972,0.7743819900039396
553.630774,0.7738633278418635
553.871828,0.7711826757154797
554.112882,0.7807736436688911
554.353936,0.7698188896861496
554.59499,0.7630665728974537
554.836044,0.7684344620433885
555.077098,0.7841225163391442
555.318152,0.7678967461424802
555.559206,0.7720468841786818
555.80026,0.7812031872865759
556.041314,0.7703425445536131
556.282368,0.7753815873727283
556.523422,0.7803365328308944
556.764476,0.7794864294006455
557.00553,0.7884943800486041
557.246584,0.7822819918890007
557.487638,0.777128160101802
557.728692,0.785967371107877
557.969746,0.7831429755342677
558.2108,0.7794006906091314
558.451854,0.7942793924263145
558.692908,0.7871472068201038
558.933962,0.7840284272826398
559.175016,0.7918130207118006
559.41607,0.802061492592052
559.657124,0.8051070733789824
559.898178,0.8011396520354856
560.139232,0.810405937050774
560.380286,0.8069690204393813
560.62134,0.8067834389073746
560.862394,0.808172300500865
561.103448,0.824308851103094
561.344502,0.8183378566191981
561.585556,0.823484954269066
561.82661,0.8222424303297837
562.067664,0.8250263118537263
562.308718,0.8434792307519239
562.549772,0.8398768542292104
562.790826,0.8436395070315311
563.03188,0.8484874374632146
563.272934,0.8462588473832193
563.513988,0.8506028037205317
563.755042,0.8500585920924473
563.996096,0.859349131592409
564.23715,0.8646504134845533
564.478204,0.8608026595099387
564.719258,0.8643132655714107
564.960312,0.8654635669955038
565.201366,0.880275810141962
565.44242,0.8712380786871357
565.683474,0.8800645692974431
565.924528,0.8892027537607154
566.165582,0.8870002631485976
566.406636,0.8857593316349346
566.64769,0.88540509875358
566.888744,0.8977263408968883
567.129798,0.895583336852066
567.370852,0.9087584060985219
567.611906,0.9071712839535379
567.85296,0.9065981328369096
568.094014,0.9095457317410015
568.335068,0.903408903738936
568.576122,0.9101307577122041
568.817176,0.9136031428628514
569.05823,0.9163682274991276
569.299284,0.9115225005307168
569.540338,0.9249292785631464
569.781392,0.9142675738391083
570.022446,0.9219290598316164
570.2635,0.9312681682020163
570.504554,0.9278919371621155
570.745608,0.9253687243305713
570.986662,0.9320572864848995
571.227716,0.9351867846178398
571.46877,0.9292662339578893
571.709824,0.9352410270243623
571.950878,0.9373261296916049
572.191932,0.9376317478229331
572.432986,0.9317311235164788
572.67404,0.9453859709570765
572.915094,0.9468212098284609
573.156148,0.9390157751201766
573.397202,0.9431093909011548
573.638256,0.9420188443387234
573.87931,0.9503052787077145
574.120364,0.9502349587189619
574.361418,0.9522868276700303
574.602472,0.9472956861009666
574.843526,0.9523534900811244
575.08458,0.9526001815802255
575.325634,0.9558502695565338
575.566688,0.9568190364771967
575.807742,0.9539271243709033
576.048796,0.955731751471382
576.28985,0.9586703563989585
576.530904,0.955616114925606
576.771958,0.9589378627437937
577.013012,0.9660439006449718
577.254066,0.9581441908189627
577.49512,0.9673431365383877
577.736174,0.9635171419040408
577.977228,0.9657000502253484
578.218282,0.9633601014090585
578.459336,0.9635315947695655
578.70039,0.967448582686981
578.941444,0.9655561716370858
579.182498,0.9682790097732022
579.423552,0.9699032060899015
579.664606,0.977424722811051
579.90566,0.9700050512733195
580.146714,0.972068503648943
580.387768,0.9713708089656876
580.628822,0.9726713729913896
580.869876,0.9714125788085183
581.11093,0.9664091342642208
581.351984,0.9735033626401883
581.593038,0.9682151054674225
581.834092,0.9729564074591864
582.075146,0.9743955002570158
582.3162,0.9815149829725666
582.557254,0.9745670089573839
582.798308,0.9783899172575696
