nu,[0]Ethyl2-2-2-trifluoroacetate-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
500,1.0228562919250046
500.120002,1.0024859849488832
500.240005,1.0146289711493677
500.360007,1.0374554163431382
500.48001,1.0270031519228622
500.600012,1.0107089345279565
500.720014,1.007373753210472
500.840017,1.0155029428843683
500.960019,1.0105916990913382
501.080022,1.032285215000064
501.200024,1.017899306325656
501.320026,1.0279206753507666
501.440029,1.0088627435926716
501.560031,1.020147270788582
501.680034,1.020462545002613
501.800036,1.0257971318948744
501.920038,1.0074597866025696
502.040041,1.0143773743638136
502.160043,1.001752233369938
502.280046,1.0135661969785394
502.400048,1.0041220724659417
502.52005,1.0213721823134536
502.640053,1.0064725570467885
502.760055,1.0113408250572575
502.880058,1.0119700747268032
503.00006,1.0185010626171636
503.120062,1.0063204905323333
503.240065,1.0221865404213561
503.360067,1.005537978220372
503.48007,1.0197199186186532
503.600072,1.0127657958829868
503.720074,1.0126837651758087
503.840077,1.0244747067423408
503.960079,1.012531874003155
504.080082,1.0279988002908034
504.200084,1.0113519498675196
504.320086,1.0205054053295637
504.440089,1.0346104716665965
504.560091,1.0212424762828072
504.680094,1.0190236877041594
504.800096,0.9997610485534456
504.920098,0.9944318598788093
505.040101,1.010161278713575
505.160103,0.9957375103068016
505.280106,1.0118769777624543
505.400108,0.9962028275612637
505.52011,0.9835980019564313
505.640113,1.0246724494422987
505.760115,1.0058858539686806
505.880118,1.0210311009683164
506.00012,1.0240250610505315
506.120122,1.0092977580820703
506.240125,0.9898963879172961
506.360127,1.0104805401182937
506.48013,1.0181599219054462
506.600132,1.002583030289145
506.720134,1.0000885179174797
506.840137,1.0076382235309007
506.960139,1.0086597808273996
507.080142,1.0106412192978287
507.200144,1.0085509523084524
507.320146,0.9960113757769121
507.440149,1.009037090137872
507.560151,0.984362554594186
507.680154,1.002134875608747
507.800156,0.9795725264297452
507.920158,1.0093297533281234
508.040161,1.0033866216887404
508.160163,0.9829382290756747
508.280166,1.0036252553998017
508.400168,0.9584508460222405
508.52017,1.004672381692892
508.640173,0.9964778174885348
508.760175,0.9901136940229166
508.880178,1.0172419557208752
509.00018,0.984893269025803
509.120182,0.9992408283167529
509.240185,0.9993141053333623
509.360187,1.0092999785395806
509.48019,0.9963094269667792
509.600192,1.0173925186717054
509.720194,0.9782803437230693
509.840197,1.0036839691946042
509.960199,0.9653611489883658
510.080202,1.0098283844201041
510.200204,0.9944942127111646
510.320206,0.9698227074645352
510.440209,0.9777023508536453
510.560211,0.9786727128056455
510.680214,0.9860847250781114
510.800216,0.9825058313893484
510.920218,0.964155201426381
511.040221,0.9884175984878858
511.160223,0.9902750957089224
511.280226,0.9437235550033564
511.400228,0.9925313301671237
511.52023,0.993103590135311
511.640233,0.9542142996530507
511.760235,0.9927600357314634
511.880238,0.9745153582746644
512.00024,1.007139666752126
512.120242,0.9728299313473422
512.240245,0.9735666424153304
512.360247,0.9673208879021076
512.48025,0.9768716569503434
512.600252,0.9591219964897144
512.720254,0.961220930473055
512.840257,0.9839639684787119
512.960259,0.9710338017691067
513.080262,0.9778568400294038
513.200264,0.9601094409771622
513.320266,0.9719839373678122
513.440269,0.9690820458847825
513.560271,0.9706037290630608
513.680274,0.9510829464484404
513.800276,0.9703601380990108
513.920278,0.9712736767414831
514.040281,0.9498520911835883
514.160283,0.9718430099143811
514.280286,0.9397644690078303
514.400288,0.9725964801790795
514.52029,0.9481552730520143
514.640293,0.9575541557468782
514.760295,0.9607020112913883
514.880298,0.950552390203281
515.0003,0.9496013633290488
515.120302,0.9565272511705923
515.240305,0.9350156610945347
515.360307,0.962479030067879
515.48031,0.960155527336393
515.600312,0.9520449775320698
515.720314,0.9507586824538548
