nu,[0]2-(Perfluoroheptyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
649.171013,0.4792945229822666
649.412072,0.45435338621082727
649.65313,0.4206517435916861
649.894189,0.4172081587826985
650.135248,0.3968527396417049
650.376306,0.3979416072156678
650.617365,0.3671811338352601
650.858424,0.34345471845918735
651.099482,0.3270311018227509
651.340541,0.3293942227826566
651.5816,0.32893339352650897
651.822658,0.30999472431080527
652.063717,0.3162254090210264
652.304776,0.30990173984187974
652.545834,0.3044342935031548
652.786893,0.3091588674696846
653.027952,0.28848851591887875
653.26901,0.27516069679524313
653.510069,0.2731047111528614
653.751128,0.2729136047500989
653.992186,0.28097207269907304
654.233245,0.26938868948002
654.474304,0.2908638472983106
654.715362,0.30568503637732797
654.956421,0.2816472155208685
655.19748,0.2842787523044823
655.438538,0.3134234899157345
655.679597,0.3096848845322038
655.920656,0.3040083836986788
656.161714,0.3276858185248597
656.402773,0.3257907418124103
656.643832,0.3369232902201088
656.88489,0.3424943903342908
657.125949,0.3654228875597436
657.367008,0.3820476270522442
657.608066,0.4030196334435257
657.849125,0.407184043669936
658.090184,0.4081583773993228
658.331242,0.4405593982077475
658.572301,0.4514051525792612
658.81336,0.4753708703087269
659.054418,0.4765083654540062
659.295477,0.4982068135065424
659.536536,0.5087289087943381
659.777594,0.5208933295176338
660.018653,0.5379390581771957
660.259712,0.5399709160721068
660.50077,0.564948896838399
660.741829,0.5951391709682838
660.982887,0.5975962023617919
661.223946,0.6112556468715884
661.465005,0.6211765114480451
661.706063,0.6419467003502015
661.947122,0.6233108051034519
662.188181,0.6226691254959231
662.429239,0.6926641702943158
662.670298,0.6967141967629655
662.911357,0.6741720052232526
663.152415,0.6595549431394718
663.393474,0.7146231058160573
663.634533,0.7048713324425622
663.875591,0.7171932133486416
664.11665,0.7326918947827744
664.357709,0.7264686129515406
664.598767,0.7046317169264776
664.839826,0.7536705068886898
665.080885,0.764066845143223
665.321943,0.7286367182906215
665.563002,0.797845746773277
665.804061,0.7456566793936115
666.045119,0.8011636865855631
666.286178,0.7875015027737836
666.527237,0.7944620976968733
666.768295,0.7826340980032847
667.009354,0.7692878978655114
667.250413,0.8257939432170073
667.491471,0.7801414730811713
667.73253,0.8021737890615843
667.973589,0.8151362514671101
668.214647,0.8540120288400205
668.455706,0.8535168454803492
668.696765,0.8204026685882612
668.937823,0.8121826708663272
669.178882,0.8201237790948417
669.419941,0.8193941936451311
669.660999,0.8143296659038893
669.902058,0.8262399923687764
670.143117,0.8526125969605233
670.384175,0.8445004583392258
670.625234,0.8376457504804795
670.866293,0.8245149540776682
671.107351,0.8200991757505208
671.34841,0.86992350194354
671.589469,0.8551828271332396
671.830527,0.827662348030862
672.071586,0.8374949878144401
672.312645,0.8868051445545372
672.553703,0.858936742990427
672.794762,0.8141342502348906
673.035821,0.8738120257244952
